genus_species,individual,Species.code,number,Site,Rainfall,Soil.nutrient,Group,Diamter_of_sapwood_for_mechanical_test (mm),Diameter_of_whole_stem_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content (sapwood),Drymatter content (whole stem),"Fresh_density (Sapwood, g/cm3)","Dry_density (Sapwood, g/cm3)","Fresh_density (Whole stem, g/cm3)","Dry_wood_density (whole stem, g/cm3)","Youngs_modulus (sapwood, Mpa)","Bending_strength (sapwood, Mpa)","Youngs_modulus (whole stem, Mpa)","Bending_strength (whole stem, Mpa)","Youngs_modulus (bark, Mpa)"
Leptospermum trinervium,LepTri_3_at_HR-LN,LepTri,3,"Murrua, Kuringai",high,low,HR-LN,4.03,4.98,0.8358884,0.611742101,0.581210617,1.115238095,0.682238095,0.952181818,0.553418182,7766.6,97.62918,5813.87,72.40935,5341.625389
Leptospermum trinervium,LepTri_4_at_HR-LN,LepTri,4,"Murrua, Kuringai",high,low,HR-LN,3.82,5.21,1.0757968,0.622266935,0.561070246,1.146923077,0.713692308,1.007037037,0.565018519,12392.45,124.54104,4692.77,64.64689,3655.231291
Leptospermum trinervium,LepTri_5_at_HR-LN,LepTri,5,"Murrua, Kuringai",high,low,HR-LN,4.31,5.31,1.1801048,0.569445465,0.563495838,1.0892,0.62024,0.909189189,0.512324324,9198.29,108.22188,2917.28,45.34195,2256.160895
Persoonia levis,PerLev_1_at_HR-LN,PerLev,1,"Murrua, Kuringai",high,low,HR-LN,3.9,5.66,1.4175066,0.411232877,0.451580541,1.081481481,0.444740741,1.100625,0.497020833,8251.9,65.28493,1595.19,29.35765,1154.751076
Persoonia levis,PerLev_2_at_HR-LN,PerLev,2,"Murrua, Kuringai",high,low,HR-LN,4.26,5.73,1.4828523,0.536400541,0.501001306,1.055714286,0.566285714,1.093809524,0.548,6089.2,60.51887,1912.13,33.42897,1672.922278
Persoonia levis,PerLev_3_at_HR-LN,PerLev,3,"Murrua, Kuringai",high,low,HR-LN,4.04,5.77,1.5201927,0.52042042,0.498949104,1.051578947,0.547263158,1.102954545,0.550318182,6992.95,62.53165,2938.41,40.95165,2724.633643
Persoonia levis,PerLev_4_at_HR-LN,PerLev,4,"Murrua, Kuringai",high,low,HR-LN,5.58,5.99,1.7255649,0.524776119,0.48641021,1.083823529,0.568764706,1.069807692,0.520365385,5051.77,59.69938,2572.28,34.71642,2489.586223
Persoonia levis,PerLev_5_at_HR-LN,PerLev,5,"Murrua, Kuringai",high,low,HR-LN,4.36,5.62,1.3801662,0.546066566,0.496085561,1.101666667,0.601583333,1.0625,0.527090909,8300.04,82.75169,1342.98,23.36545,843.0811752
Phyllota phylicoides,PhyPhy_1_at_HR-LN,PhyPhy,1,"Murrua, Kuringai",high,low,HR-LN,5.69,4.06,0.9094736,0.610574413,0.483246073,1.140851064,0.696574468,1.0696,0.51688,12898.18,92.85121,4575.75,48.28912,3724.09207
Phyllota phylicoides,PhyPhy_2_at_HR-LN,PhyPhy,2,"Murrua, Kuringai",high,low,HR-LN,3.85,4.25,0.740005,0.636810662,0.521091811,1.088,0.69285,1.099090909,0.572727273,13693.09,106.55169,5198.91,52.36751,3328.638952
Phyllota phylicoides,PhyPhy_3_at_HR-LN,PhyPhy,3,"Murrua, Kuringai",high,low,HR-LN,3.77,4.62,0.4099872,0.61927427,0.511734365,1.01047619,0.625761905,1.107857143,0.566928571,12851.39,106.88961,4090.82,47.33466,-3303.008818
Phyllota phylicoides,PhyPhy_4_at_HR-LN,PhyPhy,4,"Murrua, Kuringai",high,low,HR-LN,3.84,4.61,0.4189066,0.602559653,0.516546537,1.1525,0.69445,1.100344828,0.56837931,11061.63,116.4969,5631.42,61.38963,1218.940501
Phyllota phylicoides,PhyPhy_5_at_HR-LN,PhyPhy,5,"Murrua, Kuringai",high,low,HR-LN,4.26,4.73,0.3118738,0.617738275,0.544548872,1.101666667,0.680541667,1.100689655,0.59937931,14476.9,99.19607,5203.15,52.58718,-6989.44956
Acacia doratoxylon,AcaDor_1_at_LR-HN,AcaDor,1,"Woodland, RoundHill",low,high,LR-HN,4.98,5.74,0.9092556,0.66947147,0.619352259,1.1884375,0.795625,1.111555556,0.688444444,12361.18,134.37788,7589.37,89.95743,6260.301377
Acacia doratoxylon,AcaDor_2_at_LR-HN,AcaDor,2,"Woodland, RoundHill",low,high,LR-HN,4.9,5.48,0.7909712,0.665158371,0.648148148,1.1492,0.7644,1.108421053,0.718421053,11004.95,123.11384,5269.74,65.79043,3296.153174
