taxon_name,family,native_status,source_details,name_resolution_and_type,references,reference_category,plant_growth_form_to_use,woodiness_to_use
Solanum ultimum,Solanaceae,native,APC_accepted,binomial,species - Bean 2018; delta-intkey.com/solanum/www/adoxum.htm,taxon revision; taxonomic species description,shrub,woody
Solanum ultraspinosum,Solanaceae,native,APC_accepted,binomial,species - Bean 2018; delta-intkey.com/solanum/www/adoxum.htm,taxon revision; taxonomic species description,shrub,woody
Solanum unispinum,Solanaceae,native,APC_accepted,binomial,species - Bean 2018; delta-intkey.com/solanum/www/adoxum.htm,taxon revision; taxonomic species description,herb shrub,herbaceous woody
Solanum vansittartense,Solanaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Solanum versicolor,Solanaceae,native,APC_accepted,binomial,species - Bean 2018; delta-intkey.com/solanum/www/adoxum.htm,taxon revision; taxonomic species description,herb,herbaceous
Solanum vescum,Solanaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Solanum viarum,Solanaceae,,APNI_unplaced,binomial,species,scraped from online flora,shrub,woody
Solanum vicinum,Solanaceae,native,APC_accepted,binomial,species - Bean 2018; delta-intkey.com/solanum/www/adoxum.htm,taxon revision; taxonomic species description,shrub,woody
Solanum villosum,Solanaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Solanum viride,Solanaceae,,APNI_included,binomial,species,scraped from online flora,shrub tree,woody
Solanum viride,Solanaceae,,APNI_excluded,binomial,species,scraped from online flora,shrub tree,woody
Solanum viride,Solanaceae,,APNI_excluded,binomial,species,scraped from online flora,shrub tree,woody
Solanum viridifolium,Solanaceae,native,APC_accepted,binomial,species - Bean 2018; delta-intkey.com/solanum/www/adoxum.htm,taxon revision; taxonomic species description,shrub,woody
Solanum watneyi,Solanaceae,native,APC_accepted,binomial,species - Bean 2018; delta-intkey.com/solanum/www/adoxum.htm,taxon revision; taxonomic species description,shrub,woody
Solanum wilkinsii,Solanaceae,native,APC_accepted,binomial,species - Bean 2018; delta-intkey.com/solanum/www/adoxum.htm,taxon revision; taxonomic species description,shrub,woody
Solanum zoeae,Solanaceae,native,APC_accepted,binomial,"species - Barrett 2013, Nuytsia 23: 5–21",taxon revision; taxonomic species description,shrub,woody
Symonanthus aromaticus,Solanaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Symonanthus bancroftii,Solanaceae,native,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Withania somnifera,Solanaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,shrub,woody
Sparganium erectum,Sparganiaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Sparganium erectum subsp. stoloniferum,Sparganiaceae,naturalised,APC_accepted,subspecies,genus,scraped from online flora - applied genus value to individual species,herb,herbaceous
Sparganium subglobosum,Sparganiaceae,native,APC_accepted,binomial,genus,scraped from online flora,herb,herbaceous
Sphenoclea zeylanica,Sphenocleaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stemona angusta,Stemonaceae,native,APC_accepted,binomial,species - www.environment.gov.au/cgi-bin/sprat/public/publicspecies.pl?taxon_id=4806,website - well referenced material,herb,herbaceous
Stemona australiana,Stemonaceae,native,APC_accepted,binomial,species,scraped from online flora,herb climber_herbaceous,herbaceous
Stemona lucida,Stemonaceae,native,APC_accepted,binomial,species,scraped from online flora,climber_herbaceous,herbaceous
Stemona prostrata,Stemonaceae,native,APC_accepted,binomial,species,scraped from online flora,geophyte,herbaceous
Strelitzia nicolai,Strelitziaceae,naturalised,APC_accepted,binomial,species,scraped from online flora,palmoid,semi_woody
Donatia novae-zelandiae,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Forstera bellidifolia,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia chippendalei,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia dubia,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia leptantha,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia murfetii,Stylidiaceae,native,APC_accepted,binomial,genus - Vic,scraped from online flora - applied genus value to individual species,herb,herbaceous
Levenhookia octomaculata,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia pauciflora,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia preissii,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia pulcherrima,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia pusilla,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia sonderi,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Levenhookia stipitata,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Phyllachne colensoi,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium accedens,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium aceratum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium acuminatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium acuminatum subsp. acuminatum,Stylidiaceae,native,APC_accepted,subspecies,species - WA,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Stylidium acuminatum subsp. meridionale,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Stylidium adenophorum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium adnatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium adpressum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium aeonioides,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium affine,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium albolilacinum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium albomontis,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium alsinoides,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium amabile,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium amoenum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium amoenum var. amoenum,Stylidiaceae,native,APC_accepted,variety,species,scraped from online flora,herb,herbaceous
Stylidium amoenum var. caulescens,Stylidiaceae,native,APC_accepted,variety,species,scraped from online flora,herb,herbaceous
Stylidium amphora,Stylidiaceae,native,APC_accepted,binomial,"species - Lowrie 2017, Nuytsia 28: 339-382.",taxon revision; taxonomic species description,herb,herbaceous
Stylidium androsaceum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium angustifolium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium angustifolium subsp. angustifolium,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Stylidium angustifolium subsp. glaucifolium,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Stylidium applanatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium aquaticum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium araeophyllum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium arenicola,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium armeria,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium armeria subsp. armeria,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Stylidium armeria subsp. pilosifolium,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Stylidium articulatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium assimile,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium asteroideum,Stylidiaceae,native,APC_accepted,binomial,"species - Wege 2012, Australian Systematic Botany 25: 138–169",taxon revision; taxonomic species description,geophyte,herbaceous
Stylidium asymmetricum,Stylidiaceae,native,APC_accepted,binomial,"species - Wege 2011, Australian Systematic Botany 24: 375–404",taxon revision; taxonomic species description,herb,herbaceous
Stylidium austrocapense,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 1999, Austrobaileya 5(3): 439-440",taxon revision; taxonomic species description,herb,herbaceous
Stylidium barleei,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium beaugleholei,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium bellum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium bicolor,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium bindoon,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium breviscapum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium brunonianum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium bulbiferum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium burbidgeanum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium caespitosum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium calcaratum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium candelabrum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium capillare,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium caricifolium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium carlquistii,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium carnosum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium carnosum subsp. Narrow leaves (J.A.Wege 490),Stylidiaceae,native,APC_accepted,phrase_name,species,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Stylidium centrolepidoides,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2010, Austrobaileya 8(2): 107-117",taxon revision; taxonomic species description,herb,herbaceous
Stylidium ceratophorum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium chiddarcoopingense,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium choreanthum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium ciliatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium cilium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium clarksonii,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 1999, Austrobaileya 5(3): 439-440",taxon revision; taxonomic species description,herb,herbaceous
Stylidium clavatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium claytonioides,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium coatesianum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium confertum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium confluens,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium cordifolium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium cornuatum,Stylidiaceae,native,APC_accepted,binomial,"species - Wege 2012, Australian Systematic Botany 25: 138–169",taxon revision; taxonomic species description,geophyte,herbaceous
Stylidium coroniforme,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium coroniforme subsp. amblyphyllum,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Stylidium coroniforme subsp. coroniforme,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Stylidium corymbosum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium corymbosum var. corymbosum,Stylidiaceae,native,APC_accepted,variety,species,scraped from online flora,herb,herbaceous
Stylidium corymbosum var. proliferum,Stylidiaceae,native,APC_accepted,variety,species,scraped from online flora,herb,herbaceous
Stylidium costulatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium crassifolium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium crossocephalum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium cygnorum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium cymiferum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium daphne,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium debile,Stylidiaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb,herbaceous
Stylidium decipiens,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium delicatum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 1999, Austrobaileya 5(3): 439-440",taxon revision; taxonomic species description,herb,herbaceous
Stylidium desertorum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium despectum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium diademum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium diceratum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium dichotomum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium dielsianum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium diffusum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium diplectroglossum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium diplotrichum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium dispermum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium diuroides,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium diuroides subsp. diuroides,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Stylidium diuroides subsp. nanum,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Stylidium diuroides subsp. paucifoliatum,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Stylidium divaricatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium divergens,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium diversifolium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium drummondianum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium dunlopianum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium ecorne,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium edentatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium eglandulosum,Stylidiaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb,herbaceous
Stylidium elachophyllum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2012, Austrobaileya 8(4): 608–612",taxon revision; taxonomic species description,herb,herbaceous
Stylidium elongatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium emarginatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium emarginatum subsp. emarginatum,Stylidiaceae,native,APC_accepted,subspecies,species,scraped from online flora,herb,herbaceous
Stylidium ensatum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium ericksoniae,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium eriopodum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium eriorhizum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 1999, Austrobaileya 5(3): 439-440",taxon revision; taxonomic species description,herb,herbaceous
Stylidium exappendiculatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium exiguum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2010, Austrobaileya 8(2): 107-117",taxon revision; taxonomic species description,herb,herbaceous
Stylidium expeditionis,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium falcatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium fasciculatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium fasciculatum subsp. gigantic (J.A.Wege JAW1174),Stylidiaceae,native,APC_accepted,phrase_name,species,scraped from online flora - applied species value to infraspecific taxon,herb,herbaceous
Stylidium ferricola,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium fimbriatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium fissilobum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium flagellum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium floodii,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium floribundum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium fluminense,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium foveolatum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 1999, Austrobaileya 5(3): 439-440",taxon revision; taxonomic species description,herb,herbaceous
Stylidium galioides,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium glabrifolium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium glandulosissimum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium glandulosum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium glaucum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium gloeophyllum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium graminifolium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium guttatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium hesperium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium hirsutum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium hispidum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium hortiorum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium humphreysii,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium hygrophilum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium hymenocraspedum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium imbricatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium inaequipetalum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium induratum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium insensitivum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium inundatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium inversiflorum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium involucratum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium ireneae,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium junceum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium kalbarriense,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium keigheryi,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium korijekup,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium laciniatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,climber_herbaceous herb,herbaceous
Stylidium laricifolium,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,subshrub,semi_woody
Stylidium lateriticola,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium leeuwinense,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium leiophyllum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 1999, Austrobaileya 5(3): 439-440",taxon revision; taxonomic species description,herb,herbaceous
Stylidium lepidum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium leptocalyx,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium leptophyllum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium leptorrhizum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium limbatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium lineare,Stylidiaceae,native,APC_accepted,binomial,species - PlantNet,scraped from online flora,herb,herbaceous
Stylidium lineatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium lithophilum,Stylidiaceae,native,APC_accepted,binomial,species - plants.jstor.org/stable/10.5555/al.ap.specimen.perth08526303,website - well referenced material,herb,herbaceous
Stylidium lobuliflorum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium longibracteatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium longicornu,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium longissimum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium longitubum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium lowrieanum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium luteum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium macranthum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium maitlandianum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium maritimum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium marradongense,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium megacarpum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium merrallii,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium miniatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium montanum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium monticola,Stylidiaceae,native,APC_accepted,binomial,"species - Lowrie 2017, Nuytsia 28: 339-382.",taxon revision; taxonomic species description,herb,herbaceous
Stylidium mucronatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium multiscapum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium muscicola,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium neglectum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium neurophyllum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium nitidum,Stylidiaceae,native,APC_accepted,binomial,"species - Lowrie 2017, Nuytsia 28: 339-382.",taxon revision; taxonomic species description,herb,herbaceous
Stylidium nominatum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2000, Austrobaileya 5(4): 589-649",taxon revision; taxonomic species description,herb,herbaceous
Stylidium nonscandens,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium notabile,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2010, Austrobaileya 8(2): 107-117",taxon revision; taxonomic species description,herb,herbaceous
Stylidium nungarinense,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium nymphaeum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium obtusatum,Stylidiaceae,native,APC_accepted,binomial,species,scraped from online flora,herb,herbaceous
Stylidium oreophilum,Stylidiaceae,native,APC_accepted,binomial,species - plants.jstor.org/stable/10.5555/al.ap.specimen.perth08526273,website - well referenced material,herb,herbaceous
Stylidium ornatum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 1999, Austrobaileya 5(3): 439-440",taxon revision; taxonomic species description,herb,herbaceous
Stylidium osculum,Stylidiaceae,native,APC_accepted,binomial,"species - Bean 2010, Austrobaileya 8(2): 107-117",taxon revision; taxonomic species description,herb,herbaceous
