Species,geology & topography,habitat,ecodistrict,plant_growth_form,Fire response,Post-fire recovery and flowering,Conservation Code,Primary Juvenile Period (months),Primary Juvenile Period -value 1,juvenile period value type 1,Primary Juvenile Period -value 2,juvenile period value type 2
Melaleuca laxiflora,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,,,,,,,,
Melaleuca pauperiflora subsp. fastigiata,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,OSC,,,,,,,
Melleuca pulchella,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,RS,,,,,,,
Melaleuca sheathiana,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,OSC?,,,,,,,
Melaleuca subalaris,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,,,,,,,,
Melaleuca undulata,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,OSC,,,,,,,
Petrophile squamata,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,OSC,slow,,,,,,
Phymatocarpus maxwellii,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,OSC,,,,,,,
Santalum acuminatum,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,OSS,slow,,,,,,
Santalum murrayanum,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,OSS?,,,,,,,
Styphelia hainsii,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,,,,,,,,
Templetonia retusa,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,OSS,,,,,,,
Trymalium myrtillus subsp. myrtillus,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,,,,,,,,
Thryptomene australis subsp. brachyandra,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,,,,,,,,
Westringia spp,Mallee Lake Shrubland,Mallee Shrublands,Mallee Lakes,shrub,,,,,,,,
Eucalyptus conferruminata,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,tree,OSC,slow,,,,,,
Eucalyptus utilis,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,tree,OSC,slow,,,,,,
Acacia conniana,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,tree,OSS,,,,,,,
Allocasuarina trichodon,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,tree,OSC,,,,,,,
Callitris preissii,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,tree,OSC,slow,,,,,,
Callitris drummondii,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,tree,OSC,,,,,,,
Paraserianthes lophantha,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,tree,OSS,rapid,,,,,,
Eucalyptus angulosa,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,mallee,RS,,,,,,,
Eucalyptus cuspidata,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,mallee,RS,,,,,,,
Eucalyptus cornuta,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,mallee shrub,RS ep,,,,,,,
Acacia cyclops,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Acacia heteroclita subsp. heteroclita,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Acacia myrtifolia,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Acacia rostellifera,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid to medium,,,,,,
Alogyne hakeifolia,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Alyxia buxifolia,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,,,,,,,
Anthocercis genistoides,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Anthocercis littorea,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,,,,,,,
Anthocercis viscosa subsp. caudata,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,,,,,,,
Astartea fascicularis,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,RS,,,,,,,
Bossiaea dentata,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Calytrix tetragona,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,,,,,,,
Calothamnus quadrifidus,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,RS/OSC,,,,,,,
Chorilaena quercifolia,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Dillwynia pungens,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Dodanaea ceratocarpa,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,RS,,,,,,,
Dodanaea viscosa,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Eucalyptus aff cornuta,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,RS,,,,,,,
Eutaxia myrtifolia,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Gastrolobium bilobum,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Hakea clavata,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSC,,,,,,,
Hakea drupacea,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSC,slow,,,,,,
Hibbertia racemosa,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Kunzea baxteri,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Leucopogon apiculatus,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,,,,,,,
Leucopogon interruptus,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Leucopogon parviflorus,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,RS,,,,,,,
Leucopogon obovatus,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Leucopogon rotundifolius,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,,,,,,,
Melaleuca elliptica,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,RS/OSC,medium,,,,,,
Melaleuca globifera,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,RS/OSC,slow,,,,,,
Melaleuca lanceolata,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSC,slow,,,,,,
Melaleuca pentagona,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSC,,,,,,,
Melaleuca viminea subsp. demissa,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,?OSC,,,,,,,
Myoporum insulare,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,,,,,,,
Myoporum tetrandum,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSC,,,,,,,
Phyllanthus calycinus,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Phyllantus scaber,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Pimelea clavata,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Pimelea argentea,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Pomaderris myrtilloides,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,,,,,,,
Pultenaeae heteroclita,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Rhadinothamnus rudis,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,,,,,,,
Rulingia coryfolia,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,,rapid,,,,,,
Spyridium globulosum,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Taxandria marginata,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,RS/OSC,,,,,,,
Templetonia retusa,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,medium,,,,,,
Trymalium odaritissimum,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSS,rapid,,,,,,
Thryptomene saxicola,unknown,Woodland/ Mallet /Granite shrubland,Albany Fraser Island,shrub,OSC,,,,,,,
Rumicastrum chamaecladum,,,South Coast region of Western Australia,,OSS,,P2,6,6,median,,
Rorripa dictyosperma,,,South Coast region of Western Australia,,OSS,,P2,9,9,median,,
Apium prostratum ssp. phillipii,,,South Coast region of Western Australia,,OSS,,R,12,12,median,,
Drosera fimbriata,,,South Coast region of Western Australia,,OSS,,P4,12,12,median,,
Eriochilus scaber ssp orbifolia,,,South Coast region of Western Australia,,GEO,,P1,12,12,median,,
Gonocarpus simplex,,,South Coast region of Western Australia,,RS?,,P3,12,12,median,,
Gonocarpus trichostachyus,,,South Coast region of Western Australia,,OSS,,P3,12,12,median,,
Gyrostemon sessilis,,,South Coast region of Western Australia,,OSS,,P3,12,12,median,,
Kennedia glabrata,,,South Coast region of Western Australia,,OSS,,R,12,12,median,,
Marianthus sylvaticus,,,South Coast region of Western Australia,,RS/OSS,,P3,12,12,median,,
Pentapogon quadrifidus var.. quadrifidus,,,South Coast region of Western Australia,,OSS,,P2,12,12,median,,
Rhodanthe pyrethrum,,,South Coast region of Western Australia,,OSS,,P3,12,12,median,,
Thelymitra jacksonii,,,South Coast region of Western Australia,,GEO,,P3,12,12,median,,
Andersonia axilliflora,,,South Coast region of Western Australia,,OSS,,R,14,14,median,,
Cryptandra congesta,,,South Coast region of Western Australia,,RS/OSS,,R,17,17,median,,
Alexgeorgea ganopoda,,,South Coast region of Western Australia,,RS/OSS,,P3,24,24,median,,
Andersonia amabile,,,South Coast region of Western Australia,,OSS,,P3,24,24,median,,
Andersonia lazulina,,,South Coast region of Western Australia,,OSS,,P3,24,24,median,,
Boronia virgata,,,South Coast region of Western Australia,,OSS,,P3,24,24,median,,
Chamaexeros longicaulis,,,South Coast region of Western Australia,,RS,,P2,24,24,median,,
Chordifex jacksonii,,,South Coast region of Western Australia,,OSS,,P2,24,24,median,,
Chorizema reticulatum,,,South Coast region of Western Australia,,OSS,,P3,24,24,median,,
Muiriantha hassellii,,,South Coast region of Western Australia,,OSS,,P4,24,24,median,,
Platysace sp. Stirling (J.M. Fox 88/262),,,South Coast region of Western Australia,,OSS,,P2,24,24,median,,
Pomaderris grandis,,,South Coast region of Western Australia,,OSS,,P4,24,24,median,,
Rorippa cygnorum,,,South Coast region of Western Australia,,OSS?,,P2,24,24,median,,
Scaevola sp. Waychinicup (E.M. Sandiford EMS 1336),,,South Coast region of Western Australia,,OSS,,P2,24,24,median,,
Sphenotoma parviflora,,,South Coast region of Western Australia,,OSS,,P3,24,24,median,,
Stirlingia divaricatissima,,,South Coast region of Western Australia,,OSS,,P3,24,24,median,,
Stylidium leeuwinense,,,South Coast region of Western Australia,,OSS,,P3,24,24,median,,
Thomasia discolor,,,South Coast region of Western Australia,,OSS,,P3,24,24,median,,
Villarsia calthifolia,,,South Coast region of Western Australia,,OSS,,R,24,24,median,,
Verticordia crebra,,,South Coast region of Western Australia,,OSS,,R,29,29,median,,
Andersonia auriculata,,,South Coast region of Western Australia,,OSS,,P3,36,36,median,,
Andersonia pinaster,,,South Coast region of Western Australia,,OSS,,R,36,36,median,,
Banksia porrecta,,,South Coast region of Western Australia,,RS/OSC,,P4,36,36,median,,
Banksia serra,,,South Coast region of Western Australia,,OSC,,P4,36,36,median,,
Darwinia leiostyla,,,South Coast region of Western Australia,,OSS,,P4,36,36,median,,
Daviesia pseudaphylla,,,South Coast region of Western Australia,,OSS,,R,36,36,median,,
Gastrolobium sp. East Peak (E.D. Middleton EDM 43),,,South Coast region of Western Australia,,OSS,,P2,36,36,median,,
Gonocarpus benthamii ssp. Stirling (C.J. Robinson 1080),,,South Coast region of Western Australia,,OSS,,P2,36,36,median,,
Marianthus mollis,,,South Coast region of Western Australia,,OSS,,R,36,36,median,,
Myoporum cordifolium,,,South Coast region of Western Australia,,OSS,,R,36,36,median,,
Acacia awestoniana,,,South Coast region of Western Australia,,OSS,,R,48,48,median,,
Adenanthos dobagii,,,South Coast region of Western Australia,,OSS,,R,48,48,median,,
Adenanthos ellipticus,,,South Coast region of Western Australia,,OSS,,R,48,48,median,,
Calothamnus affinis,,,South Coast region of Western Australia,,OSC,,P4,48,48,median,,
Daviesia glossosema,,,South Coast region of Western Australia,,OSS,,R,48,48,median,,
Daviesia megacalyx,,,South Coast region of Western Australia,,OSS,,R,48,48,median,,
Grevillea infundibularis,,,South Coast region of Western Australia,,OSS,,R,48,48,median,,
Lambertia orbifolia ssp. orbifolia,,,South Coast region of Western Australia,,OSC,,R,48,48,median,,
Synaphea intricata,,,South Coast region of Western Australia,,OSS,,P3,48,48,median,,
Darwinia wittwerorum,,,South Coast region of Western Australia,,OSS,,R,60,60,median,,
Spyridium villosum,,,South Coast region of Western Australia,,OSS,,P2,60,60,median,,
Banksia anatona,,,South Coast region of Western Australia,,OSC,,R,72,72,median,,
Banksia brownii Coastal,,,South Coast region of Western Australia,,OSC,,R,72,72,median,,
Gastrolobium luteifolium,,,South Coast region of Western Australia,,OSS,,R,72,72,median,,
Calectasia cyanea,,,South Coast region of Western Australia,,OSS,,R,84,84,median,,
Lambertia fairallii,,,South Coast region of Western Australia,,OSC,,R,84,84,median,,
Verticordia pityrhops,,,South Coast region of Western Australia,,OSS,,R,84,84,median,,
Euphrasia scabra,,,South Coast region of Western Australia,,OSS,,P2,?,,,,
Dampiera deltoidea,,,South Coast region of Western Australia,,OSS,,P4,< 48,48,maximum,,
Gyrostemon prostratus,,,South Coast region of Western Australia,,OSS,,P3,<19,19,maximum,,
Gonocarpus hispidus,,,South Coast region of Western Australia,,OSS,,P2,<36,36,maximum,,
Stylidium verticillatum,,,South Coast region of Western Australia,,0SS,,P3,<36,36,maximum,,
Gonocarpus rudis,,,South Coast region of Western Australia,,OSS,,P2,<48,48,maximum,,
Siegfriedia darwinioides,,,South Coast region of Western Australia,,OSS,,P4,<48,48,maximum,,
Leucopogon lasiophyllus,,,South Coast region of Western Australia,,OSS,,P2,<60,60,maximum,,
Banksia brownii Stirling Range,,,South Coast region of Western Australia,,OSC,,R,>120,120,minimum,,
Banksia montana,,,South Coast region of Western Australia,,OSC,,R,>120,120,minimum,,
Banksia verticillata,,,South Coast region of Western Australia,,OSC,,R,>120,120,minimum,,
Verticordia harveyi,,,South Coast region of Western Australia,,OSS,,P4,>30,30,minimum,,
Acacia argutifolia,,,South Coast region of Western Australia,,OSS,,P4,>36,36,minimum,,
Acacia durabilis,,,South Coast region of Western Australia,,OSS,,P3,>36,36,minimum,,
Banksia corvijuga,,,South Coast region of Western Australia,,OSC,,P1,>36,36,minimum,,
Banksia foliosissima,,,South Coast region of Western Australia,,OSC,,P2,>36,36,minimum,,
Banksia seneciifolia,,,South Coast region of Western Australia,,OSC,,P3,>36,36,minimum,,
Conospermum spectabile,,,South Coast region of Western Australia,,OSS,,P2,>36,36,minimum,,
Spyridium montanum,,,South Coast region of Western Australia,,OSS,,P2,>36,36,minimum,,
Andersonia echinocephala,,,South Coast region of Western Australia,,OSS,,P3,>48,48,minimum,,
Laxmannia grandiflora ssp. brendae,,,South Coast region of Western Australia,,OSS,,R,>48,48,minimum,,
Stylidium galioides,,,South Coast region of Western Australia,,OSS,,R,>48,48,minimum,,
Verticordia helichrysantha,,,South Coast region of Western Australia,,OSS,,R,>48,48,minimum,,
Banksia ionthocarpa ssp. ionthocarpa,,,South Coast region of Western Australia,,OSC,,R,>60,60,minimum,,
Sphenotoma drummondii,,,South Coast region of Western Australia,,OSS,,R,>60,60,minimum,,
Banksia concinna,,,South Coast region of Western Australia,,OSC,,P4,>84,84,minimum,,
Banksia solandri,,,South Coast region of Western Australia,,OSC,,P4,>84,84,minimum,,
Isopogon latifolius,,,South Coast region of Western Australia,,OSC,,P3,>84,84,minimum,,
Actinotus rhomboideus,,,South Coast region of Western Australia,,OSS,,P4,≤24,24,maximum,,
Anthocercis fasciculata,,,South Coast region of Western Australia,,OSS,,P4,≤24,24,maximum,,
Laxmannia jamesii,,,South Coast region of Western Australia,,OSS,,P4,≤24,24,maximum,,
Lechenaultia superba,,,South Coast region of Western Australia,,OSS,,P4,≤24,24,maximum,,
Pultenaea daena,,,South Coast region of Western Australia,,OSS,,P3,≤24,24,maximum,,
Goodenia stenophylla,,,South Coast region of Western Australia,,OSS,,P4,≤36,36,maximum,,
Hibbertia helianthemoides,,,South Coast region of Western Australia,,OSS,,P3,≤36,36,maximum,,
Acacia simulans,,,South Coast region of Western Australia,,OSS,,P4,≤48,48,maximum,,
Lasiopetalum parvuliflorum,,,South Coast region of Western Australia,,OSS,,P3,≤48,48,maximum,,
Microcorys lenticularis,,,South Coast region of Western Australia,,OSS,,P2,≤48,48,maximum,,
Daviesia mesophylla,,,South Coast region of Western Australia,,OSS,,P2,≥24,24,minimum,,
Leucopogon compactus,,,South Coast region of Western Australia,,0SS,,P4,≥24,24,minimum,,
Darwinia macrostegia,,,South Coast region of Western Australia,,OSS,,P4,≥36,36,minimum,,
Banksia plumosa ssp. denticulata,,,South Coast region of Western Australia,,OSC,,P2,≥48,48,minimum,,
Sphenotoma sp. Stirling Range (P.G. Wilson 4235),,,South Coast region of Western Australia,,OSS,,P3,≥48,48,minimum,,
Anigozanthos bicolor ssp. minor,,,South Coast region of Western Australia,,OSS,,R,12 to 24,12,minimum,24,maximum
Deyeuxia drummondii,,,South Coast region of Western Australia,,OSS,,R,12 to 24,12,minimum,24,maximum
Drosera binata,,,South Coast region of Western Australia,,OSS?,,P2,12 to 24,12,minimum,24,maximum
Gonocarpus pusillus,,,South Coast region of Western Australia,,RS/OSS,,P3,12 to 24,12,minimum,24,maximum
Andersonia jamesii,,,South Coast region of Western Australia,,OSS,,P1,24 (SB) 36 (JL),24,minimum,36,maximum
Andersonia virolens,,,South Coast region of Western Australia,,OSS,,P2,24 to 36,24,minimum,36,maximum
Eremophila denticulata ssp. trisulcata,,,South Coast region of Western Australia,,OSS,,R,24 to 36,24,minimum,36,maximum
Eremophila lactea,,,South Coast region of Western Australia,,OSS,,R,24 to 36,24,minimum,36,maximum
Goodenia sp. South Coast (A.R. Annels ARA1846),,,South Coast region of Western Australia,,OSS?,,P3,24 to 36,24,minimum,36,maximum
Hibbertia priceana,,,South Coast region of Western Australia,,OSS,,R,24 to 36,24,minimum,36,maximum
Lasiopetalum sp. Denmark (B.G. Hammersley 2012),,,South Coast region of Western Australia,,OSS,,P3,24 to 36,24,minimum,36,maximum
Scaevola brookeana,,,South Coast region of Western Australia,,OSS/RS,,P2,24 to 36,24,minimum,36,maximum
Sphaerolobium pubescens,,,South Coast region of Western Australia,,OSS,,P3,24 to 36,24,minimum,36,maximum
Myoporum turbinatum,,,South Coast region of Western Australia,,OSS,,R,24 to 36?,24,minimum,36,maximum
Laxmannia grandiflora ssp. stirlingensis,,,South Coast region of Western Australia,,0SS?,,P3,24±,24,median,,
Velleia foliosa,,,South Coast region of Western Australia,,OSS,,P4,24±,24,median,,
Drummondita longifolia,,,South Coast region of Western Australia,,OSS,,R,36 +,36,median,,
Stylidium keigheryi,,,South Coast region of Western Australia,,OSS,,P2,36 +,36,median,,
Andersonia hammersleyana,,,South Coast region of Western Australia,,OSS,,P2,36 to 48,36,minimum,48,maximum
Andersonia redolens,,,South Coast region of Western Australia,,OSS,,P1,36 to 48,36,minimum,48,maximum
Astartea arbuscula,,,South Coast region of Western Australia,,OSS,,P4,36 to 48,36,minimum,48,maximum
Astartea sp. Mt Johnston (A.R. Annels 5645),,,South Coast region of Western Australia,,OSS,,P3,36 to 48,36,minimum,48,maximum
Chamaluacium floriferum floriferum,,,South Coast region of Western Australia,,OSS,,P3,36 to 48,36,minimum,48,maximum
Darwinia sp. Mt Ragged (S. Barrett 663),,,South Coast region of Western Australia,,OSS,,P2,36 to 48,36,minimum,48,maximum
Isopogon uncinatus,,,South Coast region of Western Australia,,OSS,,R,36 to 48,36,minimum,48,maximum
Melaleuca ringens,,,South Coast region of Western Australia,,RS/OSC,,P3,36 to 48,36,minimum,48,maximum
Rhadinothamnus rudis ssp. linearis,,,South Coast region of Western Australia,,?OSS,,P4,36 to 48,36,minimum,48,maximum
Spyridium riparium,,,South Coast region of Western Australia,,OSS,,P2,36 to 48,36,minimum,48,maximum
Verticordia endlicheriana var.. angustifolia,,,South Coast region of Western Australia,,RS/OSS,,P2,36 to 48,36,minimum,48,maximum
Melaleuca basicephala,,,South Coast region of Western Australia,,,,P4,36?,36,median,,
Acacia imparilis,,,South Coast region of Western Australia,,OSS,,P2,36±,36,median,,
Calothamnus microcarpus,,,South Coast region of Western Australia,,OSC,,P2,36±,36,median,,
Chamelaucium aorocladus,,,South Coast region of Western Australia,,OSS?,,P2,36±,36,median,,
Cryptandra craigiae,,,South Coast region of Western Australia,,?OSS,,P1,36±,36,median,,
Guichenotia anota,,,South Coast region of Western Australia,,0SS,,P1,36±,36,median,,
Guichenotia apetala,,,South Coast region of Western Australia,,0SS,,P1,36±,36,median,,
Darwinia meeboldii,,,South Coast region of Western Australia,,OSS,,R,48 +,48,median,,
Leucopogon psilopus,,,South Coast region of Western Australia,,OSS,,P2,48 +,48,median,,
Adenanthos filifolius,,,South Coast region of Western Australia,,OSS,,P3,48 to 60,48,minimum,60,maximum
Banksia densa var.. parva,,,South Coast region of Western Australia,,OSC,,P2,48 to 60,48,minimum,60,maximum
Darwinia oxylepis,,,South Coast region of Western Australia,,OSS,,R,48 to 60,48,minimum,60,maximum
Darwinia squarrosa,,,South Coast region of Western Australia,,OSS,,R,48 to 60,48,minimum,60,maximum
Lasiopetalum membraniflorum,,,South Coast region of Western Australia,,OSS,,P2,48 to 60,48,minimum,60,maximum
Latrobea colophona,,,South Coast region of Western Australia,,OSS,,R,48 to 60,48,minimum,60,maximum
Xyris exilis,,,South Coast region of Western Australia,,OSS,,R,48 to 60,48,minimum,60,maximum
Darwinia hypericifolia,,,South Coast region of Western Australia,,OSS,,P4,48+,48,median,,
Adenanthos linearis,,,South Coast region of Western Australia,,OSS?,,P2,48±,48,median,,
Gastrolobium leakeanum,,,South Coast region of Western Australia,,OSS,,P2,48±,48,median,,
Gastrolobium mondurup,,,South Coast region of Western Australia,,OSS,,P2,48-60,48,minimum,60,maximum
Gastrolobium sp. crenulatum capitate (E. & S. Pignatti 1588),,,South Coast region of Western Australia,,OSS,,P2,48-60,48,minimum,60,maximum
Gastrolobium vestitum,,,South Coast region of Western Australia,,OSS,,P2,48-60,48,minimum,60,maximum
Banksia pseudoplumosa,,,South Coast region of Western Australia,,OSC,,R,60 to 72,60,minimum,72,maximum
Calothamnus sp. Mt Lindesay (B.G. Hammersley 439),,,South Coast region of Western Australia,,RS/OSC,,P2,60 to 72,60,minimum,72,maximum
Darwinia sp. Stirling Range (G.J. Keighery 5732),,,South Coast region of Western Australia,,OSS,,R,60 to 72,60,minimum,72,maximum
Grevillea maxwellii,,,South Coast region of Western Australia,,OSS,,R,60 to 72,60,minimum,72,maximum
Leucopogon gnaphalioides,,,South Coast region of Western Australia,,OSS,,R,60 to 84,60,minimum,72,maximum
Banksia foliolata,,,South Coast region of Western Australia,,OSC,,P4,60±,60,minimum,72,maximum
Banksia rufa ssp. pumila,,,South Coast region of Western Australia,,OSC,,P2,60±,60,minimum,72,maximum
Darwinia collina,,,South Coast region of Western Australia,,OSS,,R,72 to 84,72,minimum,84,maximum
Grevillea fuscolutea,,,South Coast region of Western Australia,,OSS,,R,72 to 84,72,minimum,84,maximum
Banksia aculeata,,,South Coast region of Western Australia,,OSC,,P2,96±,96,median,,
Verticordia carinata,,,South Coast region of Western Australia,,OSS,,R,add,add,,,
Acacia aemula ssp. aemula,,,,,OSS,,P4,,,,,
Acacia amyctica,,,,,,,P2,,,,,
Acacia ancistrophylla var.. perarcuata,,,,,,,P3,,,,,
Acacia arcuatilis,,,,,,,P2,,,,,
Acacia asepala,,,,,,,P2,,,,,
Acacia ataxiphylla ssp. ataxiphylla,,,,,,,P3,,,,,
Acacia bifaria,,,,,,,P3,,,,,
Acacia brachyphylla var.. recurvata,,,,,,,P3,,,,,
Acacia declinata,,,,,,,P3,,,,,
Acacia depressa,,,,,,,R,,,,,
Acacia diaphana,,,,,,,P1,,,,,
Acacia dictyoneura,,,,,OSS,,P4,,,,,
Acacia diminuta,,,,,,,P1,,,,,
Acacia dissona var.. indoloria,,,,,,,P3,,,,,
Acacia disticha,,,,,OSS?,,P3,,,,,
Acacia drummondii ssp. elegans Porongurup variant (R.J. Cumming 938),,,,,OSS,,P4,,,,,
Acacia empelioclada,,,,,,,P4,,,,,
Acacia errabunda,,,,,?OSS,,P3,,,,,
Acacia euthyphylla,,,,,,,P3,,,,,
Acacia glaucissima,,,,,,,P3,,,,,
Acacia grisea,,,,,,,P4,,,,,
Acacia heterochroa ssp. robertii,,,,,,,P2,,,,,
Acacia heteroclita ssp. valida,,,,,OSS,,P2,,,,,
Acacia hystrix ssp. continua,,,,,,,P1,,,,,
Acacia improcera,,,,,,,P3,,,,,
Acacia incanicarpa,,,,,RS,,P2,,,,,
Acacia laricina var.. crassifolia,,,,,OSS,,P3,,,,,
Acacia leioderma Fitzgerald River N.P. variant (A.S. George 9922),,,,,OSS?,,P2,,,,,
Acacia microneura,,,,,,,P1,,,,,
Acacia moirii ssp. dasycarpa,,,,,OSS?,,P4,,,,,
Acacia mutabilis ssp. incurva,,,,,OSS,,P2,,,,,
Acacia mutabilis ssp. rhynchophylla,,,,,,,P3,,,,,
Acacia newbeyi,,,,,,,P3,,,,,
Acacia nitidula,,,,,,,P2,,,,,
Acacia papulosa,,,,,,,P2,,,,,
Acacia phlebopetala var.. pubescens,,,,,,,P2,,,,,
Acacia pinguiculosa ssp. pinguiculosa,,,,,OSS?,,P4,,,,,
Acacia prismifolia,,,,,,,X,,,,,
Acacia rhamphophylla,,,,,OSS,,R,,,,,
Acacia singula,,,,,,,P3,,,,,
Acacia sp. Esperance (M.A. Burgman 1833b),,,,,,,P1,,,,,
Acacia sp. Petrudor Rocks (B.R. Maslin 7714),,,,,,,P1,,,,,
Acacia sp. Ravensthorpe Range (B.R. Maslin 5463),,,,,,,P1,,,,,
Acacia subtiliformis,,,,,,,P3,,,,,
Acacia truculenta,,,,,,,P3,,,,,
Acacia trulliformis,,,,,OSS,,R,,,,,
Acacia undosa,,,,,,,P3,,,,,
Acacia veronica,,,,,OSS,,P3,,,,,
Acrotriche dura,,,,,,,P2,,,,,
Acrotriche parviflora,,,,,,,P4,,,,,
Actinotus sp Walpole,,,,,OSS,,P3,,,,,
Adenanthos cacomorphus,,,,,RS,,P2,,,,,
Adenanthos gracilipes,,,,,,,P3,,,,,
Adenanthos ileticos,,,,,,,P4,,,,,
Adenanthos labillardierei,,,,,OSS,,P4,,,,,
Adenanthos pungens ssp. effusus,,,,,,,R,,,,,
Adenanthos pungens ssp. pungens,,,,,OSS,,R,,,,,
Adenanthos velutinus,,,,,,,R,,,,,
