year,remnant,site,quadrat,yrs,yrsq,family,genus,species,species.for.tree,count,mean.log.seed.mass,rem.scale.max.sqrt.height,rem.scale.mean.log.sla
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Asteraceae,Brachyscome,Brachyscome.iberidifolia,Brachyscome_iberidifolia,4,-2.599345287,8.949556668,3.368078351
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,2,-1.21116641,12.50966291,3.411716301
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Goodeniaceae,Goodenia,Goodenia.berardiana,Goodenia_berardiana,4,0.869636285,14.2773937,3.341974053
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Poaceae,Pentameris,Pentameris.airoides,Pentameris_airoides,2,-2.979790344,10.85365369,3.301269126
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Poaceae,NA,Poaceae.sp1,Poaceae_sp1,1,NA,NA,2.999146789
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Asteraceae,Podolepis,Podolepis.canescens,Podolepis_canescens,1,-2.095968474,16.65781958,3.075599177
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Amaranthaceae,Ptilotus,Ptilotus.spathulatus,Ptilotus_spathulatus,5,0.055707711,3.278038008,3.178083321
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Araliaceae,Trachymene,Trachymene.cyanopetala,Trachymene_cyanopetala,9,0.886367463,11.19141061,3.444546993
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Asteraceae,Ursinia,Ursinia.anthemoides,Ursinia_anthemoides,1,0.351097453,17.47744101,3.298397646
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Goodeniaceae,Velleia,Velleia.cycnopotamica,Velleia_cycnopotamica,3,1.152358406,8.366600265,3.350469235
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Campanulaceae,Wahlenbergia,Wahlenbergia.gracilenta,Wahlenbergia_gracilenta,1,-4.856945492,15.1491758,3.60655901
2011,ben,1,10,2011.ben.1,2011.ben.1.10,Asteraceae,Waitzia,Waitzia.acuminata,Waitzia_acuminata,10,-2.509359171,17.62090321,3.123704477
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Poaceae,Austrostipa,Austrostipa.elegantissima,Austrostipa_elegantissima,4,0.442105577,14.2294459,2.886838198
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Portulacaceae,Calandrinia,Calandrinia.eremaea,Calandrinia_eremaea,8,-2.576246345,7.033742187,3.912882176
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Asteraceae,Ceratogyne,Ceratogyne.obionoides,Ceratogyne_obionoides,2,-1.21116641,12.50966291,3.411716301
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Haloragaceae,Gonocarpus,Gonocarpus.nodulosus,Gonocarpus_nodulosus,11,-0.993117782,13.31319964,3.22396686
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Asteraceae,Lawrencella,Lawrencella.rosea,Lawrencella_rosea,1,0.245501996,13.96424004,3.23285204
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Poaceae,Neurachne,Neurachne.alopecuroidea,Neurachne_alopecuroidea,2,NA,12.64911064,2.350132884
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Poaceae,Pentameris,Pentameris.airoides,Pentameris_airoides,1,-2.979790344,10.85365369,3.301269126
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Asteraceae,Podolepis,Podolepis.canescens,Podolepis_canescens,6,-2.095968474,16.65781958,3.075599177
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Asteraceae,Podolepis,Podolepis.capillaris,Podolepis_capillaris,1,-2.659260037,14.89480306,2.634807238
2011,ben,1,11,2011.ben.1,2011.ben.1.11,Phyllanthaceae,Poranthera,Poranthera.microphylla,Poranthera_microphylla,2,-2.822607646,8.115375703,3.491087092
