Spp No,VBA TAXON_ID,Species,Common Name,"PERSEED D, S, G, C, Z (F=inadequate data)","PERVEG V, U, W, N, X (F=inadequate data)","T, I, R, M, K (F=inadequate data)","JUVEN 1, 2, 5, 10, 20, 40 (F=inadequate data)","SPP LIFE 3, 10, 20, 50, 100 (F=inadequate data)","INDIV LIFE A, ASP, B, SP, MP, LP (F = inadequate data)","GEOPHYTE Y, N",MINTFI: Y,VIC ADV,"KFRS: 1, 2, 3, N",REFERENCES  ,
2812,502812,Pterostylis pusilla,Small Rustyhood,,,,,,,Y,,,N,27,
2813,502813,Pterostylis reflexa,,,,,,,,Y,,,,27,
4875,517083,Pterostylis robusta,,,,,,,,Y,,,N,27,
3934,503934,Pterostylis sanguinea,Banded Greenhood,D,U,T,5,100,LP,Y,,,N,1,
3935,503935,Pterostylis setifera,Bristly Greenhood,,,,,,,Y,,Rare,N,27,
3915,503915,Pterostylis smaragdyna,Emerald-lip Greenhood,,,T,,,,Y,,Rare,N,5,
3918,503918,Pterostylis sp. aff. aciculiformis (Stawell),Stawell Ruddyhood,,,,,,,Y,,Poorly known,N,,
7374,507374,Pterostylis sp. aff. alata (Coastal),Coastal Striped Greenhood,,,,,,,Y,,Poorly known,N,,
5623,505623,Pterostylis sp. aff. alveata (Montane),Hill Greenhood,,,,,,,Y,,Poorly known,N,,
5630,505630,Pterostylis sp. aff. bicolor (Woorndoo),Dense Greenhood,,,,,,,Y,,Endangered,N,,
5909,505909,Pterostylis sp. aff. biseta (Lara),Stocky Rustyhood,,,,,,,Y,,Presumed extinct,N,,
4851,504851,Pterostylis sp. aff. biseta (Pink Lakes),Mallee Rustyhood,,,,,,,Y,,Poorly known,N,,
4874,504874,Pterostylis sp. aff. boormanii (Beechworth),Granite Rustyhood,,,,,,,Y,,Endangered,N,,
5625,505625,Pterostylis sp. aff. boormanii (Sunset Country),Sunset Rustyhood,,,,,,,Y,,Poorly known,N,,
5626,505626,Pterostylis sp. aff. cycnocephala (Alpine),,,,,,,,Y,,,N,,
5627,505627,Pterostylis sp. aff. dolichochila (Portland),Portland Shell-orchid,,,,,,,Y,,Endangered,N,,
2803,502803,Pterostylis sp. aff. excelsa,Small Dryland Rustyhood,,,,,,,Y,,Poorly known,N,,
5433,,Pterostylis sp. aff. longifolia (Mount Hamilton),,,,,,,,Y,,,N,,
5041,505041,Pterostylis sp. aff. mutica (Basalt Plains),,,,,,,,Y,,,N,,
3913,503913,Pterostylis sp. aff. parviflora (Northern Victoria),Inland Red-tip Greenhood,,U,T,5,100,LP,Y,,,N,27,
5293,505293,Pterostylis sp. aff. parviflora (Southern Victoria),Red-tip Greenhood,,,,,,,Y,,Rare,N,,
5482,505482,Pterostylis sp. aff. plumosa (Anglesea),Large Plume-orchid,,,,,,,Y,,Rare,N,,
5481,505481,Pterostylis sp. aff. plumosa (Mallee),Mallee Plume-orchid,,,,,,,Y,,Rare,N,,
4852,504852,Pterostylis sp. aff. plumosa (Woodland),Woodland Plume-orchid,,U,T,5,100,LP,Y,,Rare,N,27,
2814,,Pterostylis sp. aff. revoluta,,,U,T,5,100,LP,Y,,,N,27,
5869,505869,Pterostylis sp. aff. striata (Silurian),Silurian Striped Greenhood,,,,,,,Y,,Endangered,N,,
5040,505040,Pterostylis spissa,,,,,,,,Y,,,N,,
2816,502816,Pterostylis squamata,Common Ruddyhood,,,,,,,Y,,,N,,
7375,507375,Pterostylis striata,Striated Greenhood,,,,,,,Y,,,N,,
4853,504853,Pterostylis tasmanica,Southern Plume-orchid,,,,,,,Y,,Poorly known,N,,
2819,502819,Pterostylis tenuissima,Swamp Greenhood,,,,,,,Y,,Vulnerable,N,,
2821,502821,Pterostylis truncata,Brittle Greenhood,,,,,,,Y,,Endangered,N,,
4628,504628,Pterostylis tunstallii,Granite Greenhood,,,,,,,Y,,Vulnerable,N,,
2784,502784,Pterostylis uliginosa,Marsh Greenhood,,,,,,,Y,,Poorly known,N,,
4854,504854,Pterostylis valida,Robust Greenhood,,,,,,,Y,,Endangered,N,,
2823,502823,Pterostylis woollsii,Long-tail Greenhood,,,,,,,Y,,Endangered,N,,
4727,504727,Pterostylis X aenigma,Enigmatic Greenhood,Z,U,,1,,,Y,,Endangered,N,"8, 27",
2800,502800,Pterostylis X ingens,Sharp Greenhood,,U,T,5,100,LP,Y,,Rare,N,27,
2820,502820,Pterostylis X toveyana,Mentone Greenhood,,,,,,,Y,,Vulnerable,N,,
3936,503936,Pterostylis xerophila,Desert Greenhood,D,U,T,1,100,MP,Y,,Endangered,N,"27, 59",spring burn likely to have a negative impact
2825,502825,Ptilotus erubescens,Hairy Tails,,,,,,,,,Vulnerable,,,
2826,502826,Ptilotus exaltatus,,G,U,,1,50,MP,Y,,,N,19,
4864,504864,Ptilotus exaltatus var. exaltatus,,G,U,,1,50,MP,Y,,,N,19,
4865,504865,Ptilotus exaltatus var. semilanatus,,,,,,,,,,,,,
2827,502827,Ptilotus macrocephalus,Feather Heads,,N,I,2,100,,,,,N,,
2828,502826,Ptilotus nobilis,Mulla Mulla,,,,,,,,,,,,
2829,502829,Ptilotus obovatus,Silver Tails,,,,,,,,,Endangered,,,
2830,502830,Ptilotus polystachyus,Long Tails,,,,,,,,,Endangered,,,
2831,502831,Ptilotus seminudus,Rabbit Tails,G,U,I,1,100,MP,N,,,3,19,
2824,502824,Ptilotus sessilifolius,Crimson Tails,,,,,,,,,Poorly known,,,
2832,502832,Ptilotus spathulatus,Pussy Tails,Z,V,T,5,100,,N,,,N,9,
2833,502833,Puccinellia fasciculata,Borrer's Saltmarsh-grass,,,,,,,,,,,,
2834,502834,Puccinellia stricta,,,,,,,,,,,,,
4838,504838,Puccinellia stricta var. perlaxa,,,,,,,,,,,,,
4849,504849,Puccinellia stricta var. stricta,,,,,,,,,,,,,
2835,502835,Pultenaea acerosa,Bristly Bush-pea,,,,,,,,,Vulnerable,,,
4861,504861,Pultenaea aff. retusa (Mt Kaye),Mt Kaye Bush-pea,,,,,,,,,Rare,,,
2836,502836,Pultenaea altissima,Tall Bush-pea,,,,,,,,,Rare,,,
2838,502838,Pultenaea benthamii,Bentham's Bush-pea,,,,,,,,,Rare,,,
7128,507128,Pultenaea blakelyi,Blakely's Bush-pea,,,,,,,,,Endangered,,,
2839,502839,Pultenaea canaliculata,Coast Bush-pea,,,,,,,,,Rare,,,
2840,502840,Pultenaea capitellata,Hard-head Bush-pea,,,,,,,,,Rare,,,
2841,502841,Pultenaea costata,Ribbed Bush-pea,,,I,,,LP,N,,Rare,3,,
2843,502843,Pultenaea daltonii,Hoary Bush-pea,,,,,,,,,Rare,,,
2844,502844,Pultenaea daphnoides,Large-leaf Bush-pea,S,X,I,2,50,MP,N,,,2,"[5], 70","TIRMK = T, JUVEN = 5 [5]"
2845,502845,Pultenaea densifolia,Dense Bush-pea,S,X,T,,,MP,N,,Rare,,[9],PERSEED = G [9]
2846,502846,Pultenaea dentata,Clustered Bush-pea,S,,I,5,50,,,,,3,,
2847,502847,Pultenaea fasciculata,Alpine Bush-pea,,,,,,,,,Rare,,,
2848,502848,Pultenaea foliolosa,Small-leaf Bush-pea,,,I,5,50,,,,Rare,3,,
4857,504857,Pultenaea forsythiana,Prickly Bush-pea,S,N,I,5,50,MP,N,,,2,[38],PERVEG = N [38]
2849,502849,Pultenaea graveolens,Scented Bush-pea,,,I,,,MP,N,,Vulnerable,3,,
2850,502850,Pultenaea gunnii,Golden Bush-pea,,,,,,,,,,,,
4138,504138,Pultenaea gunnii subsp. gunnii,Golden Bush-pea,,,,,,,,,,,,
4624,504624,Pultenaea gunnii subsp. tuberculata,Golden Bush-pea,,,,,,,,,Rare,,,
2852,502852,Pultenaea hispidula,Rusty Bush-pea,S,X,I,5,50,MP,N,,,3,5,TIRMK = T [5]
2853,502853,Pultenaea humilis,Dwarf Bush-pea,S,,I,5,50,,,,,3,,
4856,517120,Pultenaea juniperina,,,N,,,,,,,,2,,
3929,503929,Pultenaea lapidosa,Stony Bush-pea,S,X,I,5,50,MP,N,,Vulnerable,3,49,
2855,502855,Pultenaea largiflorens,Twiggy Bush-pea,,,I,5,50,,,,,3,,
2856,502856,Pultenaea laxiflora,Loose-flower Bush-pea,S,X,I,5,50,,N,,,3,,
2857,502857,Pultenaea linophylla,Halo Bush-pea,,,,,,,,,,,,
2858,502858,Pultenaea luehmannii,Thready Bush-pea,,,,,,,,,Rare,,,
3931,503931,Pultenaea maidenii,Maidens Bush-pea,,,,,,,,,Presumed extinct,,,
5685,505685,Pultenaea microphylla,Spreading Bush-pea,,PERVEG,,,,,,,Vulnerable,,68,
2859,502859,Pultenaea mollis,Soft Bush-pea,S,X,I,5,50,MP,,,,3,[5],TIRMK = T [5]
4859,517121,Pultenaea muelleri,,PERSEED,PERVEG,,,,,,,,,63,
2861,502861,Pultenaea paleacea s.l.,Chaffy Bush-pea,,,,,,,,,,,,
4568,504568,Pultenaea parrisiae,Bantam Bush-pea,S,X,I,5,50,MP,N,,Vulnerable,2 or 3,49,
2863,502863,Pultenaea patellifolia,Mt. Byron Bush-pea,,,,,,,,,Rare,,,
2864,502864,Pultenaea pedunculata,Matted Bush-pea,,,,,,,,,,,,
2878,502878,Pultenaea penna,Feather Bush-pea,S,X,I,5,50,MP,N,,Vulnerable,2,49,
2865,502865,Pultenaea platyphylla,Flat-leaf Bush-pea,,,,,,,,,Rare,,,
2866,502866,Pultenaea polifolia,Dusky Bush-pea,S,,,,,,,,Rare,3,,
2867,502867,Pultenaea procumbens,Heathy Bush-pea,,,I,5,50,,,,,3,,
2868,502868,Pultenaea prolifera,Otway Bush-pea,,,,,,,,,Rare,,,
2869,502869,Pultenaea prostrata,Silky Bush-pea,S,,I,5,100,,,,,3,,
4860,504860,Pultenaea reflexifolia,Wombat Bush-pea,,,,,,,,,Rare,,,
2870,502870,Pultenaea retusa,Blunt Bush-pea,S,X,,,,,,,,3,70,
2871,502871,Pultenaea scabra,Rough Bush-pea,S,X,I,5,50,MP,N,,,3,"[5], 51, 70",TIRMK = T [5]
4862,504862,Pultenaea sericea,Chaffy Bush-pea,,,,,,,,,,,,
2842,502842,Pultenaea spinosa,Grey Bush-pea,S,N,I,5,50,MP,N,,,2,[38],PERVEG = N [38]
2872,502872,Pultenaea stricta,Rigid Bush-pea,S,X,I,5,50,MP,N,,,2,[5],"TIRMK = T, JUVEN = 2 [5]"
2873,502873,Pultenaea subalpina,Rosy Bush-pea,,,,,,,,,Rare,,,
2874,502874,Pultenaea subspicata,Low Bush-pea,S,,,,,,,,Vulnerable,3,,
2876,502876,Pultenaea tenella,Delicate Bush-pea,S,X,I,5,100,MP,N,,Rare,3,"[4], 26, 28",PERVEG = V [4]; JUVEN = 1 [4]
2877,502877,Pultenaea tenuifolia,Slender Bush-pea,,,I,,,,,,,3,,
4563,504563,Pultenaea victoriensis,Victoria Range Bush-pea,,,,,,,,,Rare,,,
2880,502880,Pultenaea vrolandii,Cupped Bush-pea,,,,,,,,,Rare,,,
2881,502881,Pultenaea weindorferi,Swamp Bush-pea,,,,,,,,,Rare,,,
2882,502882,Pultenaea williamsoniana,Williamson's Bush-pea,,,I,,,MP,,,Rare,2,,
4863,504863,Pultenaea williamsonii,Highland Bush-pea,,,,,,,,,Rare,,,
852,500852,Pycnosorus chrysanthes,Golden Billy-buttons,,,,,,,,,,,,
854,500854,Pycnosorus globosus,Drumsticks,,,,,,,,,,,,
855,500855,Pycnosorus pleiocephalus,Soft Billy-buttons,,,,,,,,,,,,
4878,504878,Pyracantha angustifolia,Orange Firethorn,,,,,,,,,,,,
4879,504879,Pyracantha crenatoserrata,Broad-leaf Firethorn,,,,,,,,,,,,
3955,503955,Pyracantha crenulata,Nepal Firethorn,,,,,,,,,,,,
2086,502086,Pyrorchis nigricans,Red-beaks,Z,N,I,1,50,,Y,,,3,"5, 55",
2883,502883,Pyrrosia rupestris,Rock Felt-fern,,,,,,,,,,,,
5201,505201,Pyrus communis,Pear,,,,,,,,,,,,
2884,502884,Quercus robur,English Oak,C,,T,20,100,LP,N,,,N,,
5360,505360,Quercus suber,Cork Oak,,,,,,,,,,,,
2885,502885,Quinetia urvillei,Quinetia,S,X,T,1,F,A,N,,Rare,N,48,
2886,502886,Radyera farragei,Desert Rose Mallow,,,,,,,,,Vulnerable,,,
3971,517141,Ranunculus acris,,,,,,,,,,,,,
2907,502907,Ranunculus amphitrichus,Small River Buttercup,,,,,,,,,,,,
5019,505019,Ranunculus amplus,Lacey River Buttercup,,,,,,,,,Rare,,,
2887,502887,Ranunculus collinus,Strawberry Buttercup,S,,T,1,,,N,,Rare,N,10,
4314,504314,Ranunculus diminutus,Brackish Plains Buttercup,,,,,,,,,Rare,,,
2888,502888,Ranunculus eichlerianus,Eichler's Buttercup,Z,W,T,2,100,SP,,,Rare,N,"26, 28",
2889,,Ranunculus flammula,,Z,,,,,,,,,,,
2890,502890,Ranunculus glabrifolius,Shining Buttercup,,,,,,,,,,,,
2891,502891,Ranunculus graniticola,Granite Buttercup,S,W,T,2,100,SP,N,,,N,"4, 28",
2892,502892,Ranunculus gunnianus,Gunn's Alpine Buttercup,Z,W,T,1,100,SP,,,Rare,N,"26, 28",
2893,502893,Ranunculus inundatus,River Buttercup,,W,T,1,100,,,,,N,,
2894,502894,Ranunculus lappaceus,Australian Buttercup,C,,T,1,100,,,,,N,,
2895,502895,Ranunculus millanii,Dwarf Buttercup,S,W,T,1,100,SP,N,,Rare,N,4,
2896,502896,Ranunculus muelleri,Felted Buttercup,S,U,T,5,50,MP,N,,Vulnerable,N,48,
2897,502897,Ranunculus muricatus,Sharp Buttercup,C,,T,1,100,,,,,N,,
2898,502898,Ranunculus ophioglossifolius,Snake-tongue Buttercup,,,,,,,,,,,,
2899,502899,Ranunculus pachycarpus,Thick-fruit Buttercup,C,,T,1,100,,,,,N,,
2900,502900,Ranunculus papulentus,Large River Buttercup,,,,,,,,,Poorly known,,,
2901,502901,Ranunculus parviflorus,Small-flower Buttercup,,,,,,,,,,,,
2902,,Ranunculus pentandrus,,S,,T,1,100,,,,,N,,
2903,502903,Ranunculus pimpinellifolius,Bog Buttercup,C,,T,1,100,SP,N,,,N,"[4], [10]","PERSEED = S [4,10]"
3973,517147,Ranunculus plebeius,,,,,,,,,,,,,
2905,502905,Ranunculus pumilio,Ferny Small-flower Buttercup,,,T,1,100,,,,,N,,
4909,504909,Ranunculus pumilio var. politus,Ferny Small-flower Buttercup,,,,,,,,,Poorly known,,,
4910,504910,Ranunculus pumilio var. pumilio,Ferny Small-flower Buttercup,S,,T,1,100,,,,,N,,
2906,502906,Ranunculus repens,Creeping Buttercup,,,,,,,,,,,,
7384,507384,Ranunculus rivularis s.l.,River Buttercup complex,,,,,,,,,,,,
2908,502908,Ranunculus robertsonii,Slender Buttercup,,,,,,,,,,,,
2909,502909,Ranunculus sardous,Pale Hairy Buttercup,,,,,,,,,,,,
2910,502910,Ranunculus scapiger,Hairy Buttercup,,,,,,,,,,,,
2911,517150,Ranunculus sceleratus,,,,,,,,,,,,,
2912,502912,Ranunculus sessiliflorus,Annual Buttercup,S,,T,1,100,,N,,,N,,
4911,504911,Ranunculus sessiliflorus var. pilulifer,Annual Buttercup,,,,,,,,,Poorly known,,,
4912,504912,Ranunculus sessiliflorus var. sessiliflorus,Annual Buttercup,S,,T,1,100,,,,,N,,
2914,502914,Ranunculus trilobus,Large Annual Buttercup,,,,,,,,,,,,
2915,502915,Ranunculus undosus,Swamp Buttercup,,,,,,,,,Vulnerable,,,
3961,503961,Ranunculus victoriensis,Victorian Buttercup,S,W,T,2,100,SP,,,Rare,N,"26, 28",
4612,504612,Raphanus maritimus,Sea Radish,,,,,,,,,,,,
2917,502917,Raphanus raphanistrum,Wild Radish,,,,,,,,,,,,
2918,502918,Raphanus sativus,Common Radish,,,,,,,,,,,,
2919,502919,Rapistrum rugosum,Giant Mustard,,,,,,,,,,,,
2920,502920,Reichardia tingitana,False Sow-thistle,,,,,,,,,,,,
2921,502921,Reseda alba,White Mignonette,,,,,,,,,,,,
2922,502922,Reseda lutea,Cut-leaf Mignonette,,,,,,,,,,,,
2923,502923,Reseda luteola,Weld,,,,,,,,,,,,
3964,503964,Reseda phyteuma,Rampion Mignonette,,,,,,,,,,,,
2927,517155,Rhagodia candolleana,,D,,T,5,100,MP,N,,,N,[5],PERSEED = S/G [5]
2928,502928,Rhagodia crassifolia,Fleshy Saltbush,,,,,,,,,,,,
2929,502929,Rhagodia parabolica,Fragrant Saltbush,,,,,,,,,Rare,,,
2930,502930,Rhagodia spinescens,Hedge Saltbush,,,,,,,,,,,,
2931,502931,Rhagodia ulicina,Spiny Goosefoot,,,,,,,,,Rare,,,
2932,502932,Rhamnus alaternus,Italian Buckthorn,,,,,,,,,,,,
5294,505294,Rhaphiolepis indica,Indian Hawthorn,,,,,,,,,,,,
5980,505980,Rhaphiolepis umbellata,Sexton's Bride,,,,,,,,,,,,
5979,505979,Rhaphiolepis X delacourii,Pink Indian Hawthorn,,,,,,,,,,,,
2933,517418,Rhaponticum australe,,,,,,,,,,,,,
1639,501639,Rhodanthe anthemoides,Chamomile Sunray,,W,T,1,50,SP,,,,3,,
1641,501641,Rhodanthe corymbiflora,Paper Sunray,,,,,,,,,,,,
5296,505296,Rhodanthe floribunda,Common White Sunray,,,,,,,,,Endangered,,,
1646,501646,Rhodanthe laevis,Smooth Sunray,,,,,,,,,,,,
1648,501648,Rhodanthe moschata,Musk Sunray,,,,,,,,,,,,
1649,501649,Rhodanthe polygalifolia,Milkwort Sunray,,,,,,,,,Rare,,,
1650,501650,Rhodanthe pygmaea,Pygmy Sunray,,,,,,,,,,,,
1651,501651,Rhodanthe stricta,Slender Sunray,,,,,,,,,Endangered,,,
1652,501652,Rhodanthe stuartiana,Clay Sunray,,,,,,,,,,,,
1653,501653,Rhodanthe tietkensii,Sand Sunray,,,,,,,,,,,,
7129,507129,Rhus typhina,Staghorn Sumac,,,,,,,,,,,,
2934,502934,Rhyncharrhena linearis,Purple Pentatrope,,,,,,,,,Vulnerable,,,
2935,502935,Rhynchospora brownii,Grassy Beak-sedge,,,,,,,,,Endangered,,,
3969,503969,Rhytidosporum inconspicuum,Alpine Marianth,,,,,,,,,Rare,,,
402,500402,Rhytidosporum procumbens,White Marianth,G,X,I,5,50,SP,,,,2,"55, 68",
5297,505297,Ribes uva-crispa,Gooseberry,,,,,,,,,,,,
2936,502936,Richea continentis,Candle Heath,G,X,,,100,LP,N,,,2,38,
2937,502937,Richea victoriana,Serpent Heath,,,,,,,,,Rare,,,
2938,502938,Ricinocarpos pinifolius,Wedding Bush,F,N,I,2,20,MP,N,,,,55,
2939,502939,Ricinus communis,Castor Oil Plant,,,,,,,,,,,,
2940,502940,Ripogonum album,White Supplejack,,,,,,,,,Rare,,,
3967,503967,Robinia pseudoacacia,Locust Tree,,,T,10,100,,,,,N,,
5298,505298,Roldana petasitis,Velvet Groundsel,,,,,,,,,,,,
3966,503966,Romulea flava var. minor,Yellow Onion-grass,,,,,,,,,,,,
2941,502941,Romulea minutiflora,Small-flower Onion-grass,,U,T,1,100,,,,,N,,
2942,502942,Romulea rosea,Onion Grass,S,U,T,1,100,MP,Y,,,N,12,
4113,517164,Romulea rosea var. australis,,,U,T,1,100,,,,,N,,
5300,505300,Romulea rosea var. reflexa,Large-flower Onion-grass,,,,,,,,,,,,
2943,502943,Rorippa dictyosperma,Forest Bitter-cress,,,,,,,,,,,,
2944,502944,Rorippa eustylis,Dwarf Bitter-cress,,,,,,,,,Rare,,,
2945,502945,Rorippa gigantea,Long-style Bitter-cress,,,,,,,,,,,,
2946,502946,Rorippa laciniata,Jagged Bitter-cress,,,,,,,,,,,,
2949,502949,Rorippa palustris,Marsh Yellow-cress,,,,,,,,,,,,
3970,503970,Rosa canina,Dog Rose,,,,,,,,,,,,
7134,507134,Rosa chinensis,China Rose,,,,,,,,,,,,
5457,505457,Rosa pimpinellifolia,Burnet Rose,,,,,,,,,,,,
2950,502950,Rosa rubiginosa,Sweet Briar,D,V,T,5,100,MP,N,,,N,9,PERSEED = Z [9]
7537,507537,Rosa wichuraiana,,,,,,,,,,,,,
2054,502054,Rostraria cristata,Annual Cat's-tail,C,X,T,1,100,A,N,,,N,9,
2055,502055,Rostraria pumila,Tiny Bristle-grass,,,,,,,,,,,,
2959,502959,Rubus anglocandicans,Common Blackberry,D,,T,2,100,,,,,N,,
2951,502951,Rubus cissburiensis,Blackberry,,,,,,,,,,,,
5635,505635,Rubus echinatus,Blackberry,,,,,,,,,,,,
2960,502960,Rubus erythrops,Blackberry,,,,,,,,,,,,
2952,502952,Rubus fruticosus spp. agg.,Blackberry,D,N,T,2,100,,,,,N,[9],PERSEED = Z [9]
2954,502954,Rubus idaeus,Raspberry,,,,,,,,,,,,
2955,502955,Rubus laciniatus,Cut-leaf Bramble,,,,,,,,,,,,
4906,504906,Rubus laciniatus subsp. laciniatus,Cut-leaf Bramble,,,,,,,,,,,,
4907,504907,Rubus laciniatus subsp. selmeri,Blackberry,,,,,,,,,,,,
5302,505302,Rubus leucostachys,Blackberry,,,,,,,,,,,,
7538,507538,Rubus loganobaccus,Loganberry,,,,,,,,,,,,
2953,,Rubus moluccanus,,,,,,,,,,,,,
2956,502956,Rubus parvifolius,Small-leaf Bramble,D,V,T,5,100,LP,N,,,N,"5, 68",
2957,502957,Rubus phoenicolasius,Wine Raspberry,,,,,,,,,,,,
2958,502958,Rubus polyanthemus,Forest Blackberry,,,,,,,,,,,,
2961,,Rubus rosifolius,,,,,,,,,,,,,
5637,505637,Rubus rugosus,Himalayan Blackberry,,,,,,,,,,,,
2962,502962,Rubus ulmifolius,,,,,,,,,,,,,
5303,505303,Rubus ulmifolius hybrids,Blackberry,,,,,,,,,,,,
2963,502963,Rubus vestitus,Blackberry,,,,,,,,,,,,
5304,505304,Rubus X novus,Hybrid Bramble,,,,,,,,,Rare,,,
2965,502965,Rulingia prostrata,Dwarf Kerrawang,,,,,,,,,Endangered,,,
2967,502967,Rumex bidens,Mud Dock,,,,,,,,,,,,
2968,502968,Rumex brownii,Slender Dock,Z,V,T,1,100,SP,N,,,N,9,
2969,502969,Rumex conglomeratus,Clustered Dock,,,T,1,100,,,,,N,,
2970,502970,Rumex crispus,Curled Dock,,,T,1,100,,,,,N,,
4908,,Rumex crystallinus,,,,,,,,,,,,,
2972,502972,Rumex dumosus,Wiry Dock,,,,,,,,,,,,
5442,505442,Rumex frutescens,Argentine Dock,,,,,,,,,,,,
2973,517183,Rumex obtusifolius,,,,,,,,,,,,,
2974,517184,Rumex pulcher,,,,,,,,,,,,,
3962,503962,Rumex stenoglottis,Tongue Dock,,,,,,,,,Poorly known,,,
3963,503963,Rumex tenax,Narrow-leaf Dock,,,,,,,,,,,,
2976,502976,Rumohra adiantiformis,Leathery Shield-fern,,,,,,,,,,,,
4097,517188,Ruppia maritima,,,,,,,,,,,,,
2978,502978,Ruppia megacarpa,Large-fruit Tassel,,,,,,,,,,,,
2979,502979,Ruppia polycarpa,Many-fruit Tassel,F,,T,2,100,,,,,N,,
2980,502980,Ruppia tuberosa,Tuberous Tassel,,,,,,,,,Poorly known,,,
3972,503972,Ruschia geminiflora,Loose-flower Pigface,,,,,,,,,,,,
2981,502981,Rutidosis helichrysoides subsp. helichrysoides,Grey Wrinklewort,,,,,,,,,Endangered,,,
2982,502982,Rutidosis leptorhynchoides,Button Wrinklewort,C,U,I,5,20,MP,N,,Endangered,N,48,
4938,504938,Rytidosperma aff. caespitosum (South-west swamps),,,,,,,,,,,,,
959,500959,Rytidosperma alpicola,,Z,U,T,2,100,MP,,,,N,"26, 28",
1242,501242,Rytidosperma australe,Southern Sheep-grass,,,,,,,,,Endangered,,,
,,Rytidosperma bipartitum,,F,U,T,1,50,MP,N,,,,75,
,,Rytidosperma caespitosa,,F,U,T,1,100,MP,N,,,,75,
,,Rytidosperma carphoidesum,,F,U,T,1,100,MP,N,,,,75,
4183,504183,Rytidosperma dimidiatum,Tasmanian Wallaby-grass,,,,,,,,,Vulnerable,,,
,,Rytidosperma duttonianum,,F,U,T,1,100,MP,N,,,,75,
,,Rytidosperma erianthum,,F,U,T,1,100,MP,N,,,,75,
,,Rytidosperma fulvum,,F,U,T,1,100,MP,N,,,,75,
,,Rytidosperma geniculatum,,F,U,T,1,100,MP,N,,,,75,
,,Rytidosperma laeve,,F,U,T,1,100,MP,N,,,,75,
970,500970,Rytidosperma monticola,,,,,2,,,,,,,43,
971,,Rytidosperma nivicola,,,,,,,,,,,,,
972,500972,Rytidosperma nudiflorum,Alpine Wallaby-grass,,,T,1,100,MP,,,,N,,
4913,504913,Rytidosperma oreophilum,,Z,U,T,2,100,MP,,,,N,"26, 28",
,,Rytidosperma pallidum,,F,U,T,1,100,MP,N,,,,75,
974,500974,Rytidosperma penicillatum,,C,N,T,1,100,MP,N,,,N,"[10], 43","PERSEED = G, PERVEG = W [10], JUVEN =1, 5 [43]"
,,Rytidosperma pilosum,,F,U,T,1,50,MP,N,,,,75,
,,Rytidosperma procerum,,F,U,T,1,100,MP,N,,,,75,
,,Rytidosperma racemosum,,F,U,T,1,100,MP,N,,,,75,
978,500978,Rytidosperma richardsonii,,,,,,,,,,,,,
,,Rytidosperma semiannulare,,F,U,T,1,50,MP,N,,,,75,
,,Rytidosperma setaceium ,,F,U,T,1,100,MP,N,,,,75,
4179,504179,Rytidosperma setaceum var. brevisetum,,C,W,T,1,100,MP,N,,,N,1,
2985,502985,Sagina apetala,Common Pearlwort,,,,,,,,,,,,
2986,502986,Sagina maritima,Sea Pearlwort,,,,,,,,,,,,
4410,504410,Sagina namadgi,Native Pearlwort,,,,,,,,,Vulnerable,,,
2987,502987,Sagina procumbens,Spreading Pearlwort,,,,,,,,,,,,
3989,503989,Sagittaria brevirostrata,,,,,,,,,,,,,
2984,502984,Sagittaria platyphylla,Sagittaria,,,,,,,,,,,,
2988,502988,Salix alba,White Willow,,,,,,,,,,,,
5109,505109,Salix alba var. alba,White Willow,,,,,,,,,,,,
5110,505110,Salix alba var. vitellina,Golden Willow,,,,,,,,,,,,
7137,507137,Salix alba x matsudana,New Zealand Hybrid Willow,,,,,,,,,,,,
5124,517205,Salix babylonica,,,,,,,,,,,,,
5123,,Salix chilensis,,,,,,,,,,,,,
2990,502990,Salix cinerea,Grey Sallow,,,,,,,,,,,,
5111,505111,Salix cinerea subsp. cinerea,Grey Sallow,,,,,,,,,,,,
5112,505112,Salix cinerea subsp. oleifolia,Rusty Sallow,,,,,,,,,,,,
2991,502991,Salix fragilis,Crack Willow,,,,,,,,,,,,
5113,505113,Salix fragilis var. fragilis,Crack Willow,,,,,,,,,,,,
5114,505114,Salix fragilis var. furcata,Forked-catkin Crack Willow,,,,,,,,,,,,
5115,505115,Salix matsudana 'Tortuosa',Tortured Willow,,,,,,,,,,,,
5116,505116,Salix nigra,Black Willow,,,,,,,,,,,,
5117,505117,Salix purpurea,Purple Osier,,,,,,,,,,,,
5118,505118,Salix X pendulina,Weeping Willow,,,,,,,,,,,,
5119,505119,Salix X reichardtii,Pussy Willow,,,,,,,,,,,,
3993,503993,Salix X rubens,Basket Willow,,,,,,,,,,,,
5120,505120,Salix X sepulcralis,Weeping Willow,,,,,,,,,,,,
5121,505121,Salix X sepulcralis var. chrysocoma,Golden Weeping Willow,,,,,,,,,,,,
5122,505122,Salix X sepulcralis var. sepulcralis,Weeping Willow,,,,,,,,,,,,
2992,502992,Salpichroa origanifolia,Pampas Lily-of-the-Valley,,,,,,,,,,,,
2993,502993,Salsola tragus,Prickly Saltwort,S,,T,,,,,,,N,,
5308,505308,Salsola tragus subsp. pontica,Coast Saltwort,,,,,,,,,Rare,,,
5306,505306,Salsola tragus subsp. tragus,Prickly Saltwort,,,,,,,,,,,,
