location_name,latitude (deg),longitude (deg),locality,state
6 km S of Yellowdine,-31.17,119.38,"6 km S of Yellowdine, WA",WA
6 km SW of McDermid Rock,-32.01,120.44,"6 km SW of McDermid Rock, WA",WA
6 km W of Kununnurra,-15.46,128.42,"6 km W of Kununnurra, WA",WA
6 km W of Pindar,-28.28,115.42,"6 km W of Pindar, WA",WA
6 km W of Tincurrin,-32.59,117.46,"6 km W of Tincurrin, WA",WA
6 km WS W of Nalbarra Homestead,-28.39,117.36,"6 km WS W of Nalbarra Homestead, WA",WA
6.4 km E of Windjana Gorge,-17.24,125.0,"6.4 km E of Windjana Gorge, WA",WA
60 km E of Jurien,-30.07,115.37,"60 km E of Jurien, WA",WA
60 km NE of Broome,-17.5,122.34,"60 km NE of Broome, WA",WA
60 km W of Coolgardie,-30.57,120.4,"60 km W of Coolgardie, WA",WA
65 km N of Galena Bridge,-27.2,114.41,"65 km N of Galena Bridge, WA",WA
65 km W of Caiguna,-32.2,125.0,"65 km W of Caiguna, WA",WA
7 km E of Kununurra,-15.46,128.49,"7 km E of Kununurra, WA",WA
7 km E of Yuna,-28.2,115.05,"7 km E of Yuna, WA",WA
7 km NE of Menzies,-29.41,121.02,"7 km NE of Menzies, WA",WA
7 km NW of Hamersley Inlet,-33.57,119.54,"7 km NW of Hamersley Inlet, WA",WA
7 km S of Northcliffe,-34.43,116.07,"7 km S of Northcliffe, WA",WA
7 km SW of Mundijong,-32.18,115.59,"7 km SW of Mundijong, WA",WA
7 km W of Coolgardie,-30.57,121.07,"7 km W of Coolgardie, WA",WA
7.5 km E of Yuinmery Homestead,-28.2,119.06,"7.5 km E of Yuinmery Homestead, WA",WA
7.5 km NNW of Mt Linden,-29.11,122.15,"7.5 km NNW of Mt Linden, WA",WA
70 km ENE of Norseman,-30.3,121.1,"70 km ENE of Norseman, WA",WA
71 km W of Ravensthorpe,-34.04,119.32,"71 km W of Ravensthorpe, WA",WA
74 km E of Hyden,-32.27,119.37,"74 km E of Hyden, WA",WA
75 km E of Hyden,-32.27,119.25,"75 km E of Hyden, WA",WA
75 km NE of Wubin,-29.36,117.08,"75 km NE of Wubin, WA",WA
77 km E of Hyden,-32.24,119.42,"77 km E of Hyden, WA",WA
77 km NW of Wubin,-29.27,116.17,"77 km NW of Wubin, WA",WA
8 km E of Mt Nossiter,-25.25,123.47,"8 km E of Mt Nossiter, WA",WA
8 km E of Porongurup,-34.4,117.55,"8 km E of Porongurup, WA",WA
8 km E of Porongurups,-34.4,117.55,"8 km E of Porongurups, WA",WA
8 km E of White Point,-29.25,115.03,"8 km E of White Point, WA",WA
8 km N of Gibb River Road turnoff,-17.43,123.39,"8 km N of Gibb River Road turnoff, WA",WA
8 km NE of Tamala HS,-26.42,113.43,"8 km NE of Tamala HS, WA",WA
8 km S of Yellowdine,-31.17,119.38,"8 km S of Yellowdine, WA",WA
8 km SW of Stirling Dam,-33.1,115.55,"8 km SW of Stirling Dam, WA",WA
8 km W of Borrikin Rock,-30.31,117.04,"8 km W of Borrikin Rock, WA",WA
8 km WSW of Manunda RH_1,-26.32,125.21,"8 km WSW of Manunda RH, WA",WA
8 km WSW of Manunda RH_2,-26.5336,125.3503,"8 km WSW of Manunda RH, WA",WA
81 km E of Yellowdine,-31.1,120.23,"81 km E of Yellowdine, WA",WA
82 km NE of Halls Creek,-17.26,127.37,"82 km NE of Halls Creek, WA",WA
85 km E of Jerramungup,-33.36,119.37,"85 km E of Jerramungup, WA",WA
9 km N of Newman TO,-23.15,119.44,"9 km N of Newman TO, WA",WA
9 km NNE of Geraldton,-28.46,114.37,"9 km NNE of Geraldton, WA",WA
9 km SW of Scrivener Rocks,-32.22,118.44,"9 km SW of Scrivener Rocks, WA",WA
9 km SW of Stirling Dam_1,-33.1,117.57,"9 km SW of Stirling Dam, WA",WA
9 km SW of Stirling Dam_2,-33.1,115.55,"9 km SW of Stirling Dam, WA",WA
9.5 km N of Kambalda,-31.13,121.4,"9.5 km N of Kambalda, WA",WA
9.5 km S of Toodyay,-31.33,116.28,"9.5 km S of Toodyay, WA",WA
90 km N of Zanthus,-30.26,123.34,"90 km N of Zanthus, WA",WA
"90-mile tank, W of Gibson",-32.41,120.41,"90-mile tank, W of Gibson, WA",WA
94 km S of Learmonth,-23.06,113.55,"94 km S of Learmonth, WA",WA
98 km NNE of Neale Junction,-28.18,125.49,"98 km NNE of Neale Junction, WA",WA
Adcock Gorge,-17.15,125.45,"Adcock Gorge, WA",WA
Adcock Gorge off Gibb River Road,-16.55,125.48,"Adcock Gorge off Gibb River Road, WA",WA
Albany_1,-35.02,117.53,"Albany, WA",WA
Albany_2,-35.01,117.53,"Albany, WA",WA
Alexander Morrison National Park_1,-30.02,115.32,"Alexander Morrison National Park, WA",WA
Alexander Morrison National Park_2,-30.03,115.35,"Alexander Morrison National Park, WA",WA
"Alexandra Bridge, E of Karridale",-34.12,115.05,"Alexandra Bridge, E of Karridale, WA",WA
"Amarillo farm, lower Serpertine River",-32.27,115.49,"Amarillo farm, lower Serpertine River, WA",WA
Anketell HS,-28.02,118.51,"Anketell HS, WA",WA
"Anstey Road, Canning Vale",-32.04,115.56,"Anstey Road, Canning Vale, WA",WA
Argyle Downs,-16.17,128.48,"Argyle Downs, WA",WA
Arrowsmith Hill,-29.34,115.03,"Arrowsmith Hill, WA",WA
Arthur River,-33.33,117.08,"Arthur River, WA",WA
"Ashendon forest, 15 km NE of Jarrahdale",-32.2,116.05,"Ashendon forest, 15 km NE of Jarrahdale, WA",WA
Ashton Range_1,-15.16,126.45,"Ashton Range, WA",WA
Ashton Range_2,-15.16,126.43,"Ashton Range, WA",WA
Augusta_1,-34.2,115.1,"Augusta, WA",WA
Augusta_2,-34.19,115.09,"Augusta, WA",WA
Avon Valley National Park,-31.37,116.13,"Avon Valley National Park, WA",WA
Avon Valley Nature Reserve,-31.36,116.13,"Avon Valley Nature Reserve, WA",WA
Babakin,-32.07,118.01,"Babakin, WA",WA
Badgingarra,-30.22,115.29,"Badgingarra, WA",WA
Badgingarra National Park_1,-30.31,115.28,"Badgingarra National Park, WA",WA
Badgingarra National Park_2,-30.24,115.27,"Badgingarra National Park, WA",WA
Badgingarra National Park_3,-30.22,115.28,"Badgingarra National Park, WA",WA
Badgingarra National Park_4,-30.14,115.16,"Badgingarra National Park, WA",WA
Badjaling Reserve_1,-31.59,117.3,"Badjaling Reserve, WA",WA
Badjaling Reserve_2,-31.9836,117.0503,"Badjaling Reserve, WA",WA
Baker's Junction,-34.56,117.55,"Baker's Junction, WA",WA
Balgo Hills_1,-20.07,127.48,"Balgo Hills, WA",WA
Balgo Hills_2,-20.1169,127.8003,"Balgo Hills, WA",WA
Banana Spring,-19.54,128.47,"Banana Spring, WA",WA
Bandalup Hill,-33.38,120.22,"Bandalup Hill, WA",WA
Bank Rock,-31.55,120.45,"Bank Rock, WA",WA
Barlee Impediment,-15.49,124.45,"Barlee Impediment, WA",WA
"Barnett River, Adcock Gorge",-17.15,125.45,"Barnett River, Adcock Gorge, WA",WA
