Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N,nitrogen_fixing,life_history
MARBIC,Marianthus bicolor,native,PITTOSPORACEAE,SEEDER,Norman et al. 2006,soil,Inferred using data for Family,shrub,NA,Kew SID,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
MARCOE,Marianthus coeruleopunctatus,native,PITTOSPORACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Family,shrub,1.44,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
MARDRU,Marianthus drummondianus,native,PITTOSPORACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,shrub,3.25,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
MEDMIN,Medicago minima,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
MELINC,Melaleuca incana,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
MELLAT,Melaleuca lateriflora,native,MYRTACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,0.41,Weighed,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
MELPOL,Melaleuca polycephala,native,MYRTACEAE,RESPROUTER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,shrub,NA,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
MELPRE,Melaleuca preissiana,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
MELRAD,Melaleuca radula,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,0.08,Weighed,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
MELRHA,Melaleuca rhaphiophylla,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,tree,NA,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
MELSCA,Melaleuca scabra,native,MYRTACEAE,SEEDER,Bellairs & Bell 1990,canopy,Bell et al. 1993,shrub,0.12,Weighed,AMF/ECM,Brundrett&Abbott 1991,NA,NA,0,perennial
MELVIM,Melaleuca viminea,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF/ECM,Brundrett 2009 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
MICMED,Microtis media,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008 for the Genus,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,0.12,1.41,0,perennial
MICSTI,Microlaena stipoides,native,POACEAE,RESPROUTER,Burrows et al. 2008,soil,Inferred using data for Family,grass,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,perennial
MILTEN,Millotia tenuifolia,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Vlahos & Bell 1986,forb,0.17,Weighed,AMF,Lamont 1982 for Family,NA,NA,0,annual
MIRDIL,Mirbelia dilatata,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2.08,Weighed,AMF/ECM,Sprent 2001; Brundrett&Abbott 1991,0.05,1.93,1,perennial
MONDEB,Monopsis debilis,weed,CAMPANULACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
MONGRA,Monotaxis grandiflora,native,EUPHORBIACEAE,RESPROUTER,Alcoa DB,soil,Default,shrub,1.8,McAlinden 1998,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
MONOCC,Monotaxis occidentalis,native,EUPHORBIACEAE,RESPROUTER,Alcoa DB,soil,Default,forb,1.8,Approximation based on one species,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
NEUALO,Neurachne alopecuroidea,native,POACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,grass,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,perennial
OLABEN,Olax benthamiana,native,OLACACEAE,RESPROUTER,Alcoa DB,soil,Default,shrub,22.84,Weighed,Root hemiparasite,Brundrett 2008 for Genus,NA,NA,0,perennial
OLEAXI,Olearia axillaris,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,perennial
OLEPAU,Olearia paucidentata,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.13,Weighed,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
OPEAPI,Opercularia apiciflora,native,RUBIACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,forb,0.35,Approximation: avg seed mass of Opercularia species (n = 6).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
OPEECH,Opercularia echinocephala,native,RUBIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.26,Weighed,AMF,Brundrett&Abbott 1991,NA,2.9,0,perennial
OPEHIS,Opercularia hispidula,native,RUBIACEAE,RESPROUTER,Burrows et al. 2008,soil,Vlahos & Bell 1986,forb,0.26,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
OPEVAG,Opercularia vaginata,native,RUBIACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,0.31,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
ORNCOM,Ornithopus compressus,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
ORNPIN,Ornithopus pinnatus,weed,FABACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Sprent 2001/ AMF assumed,NA,NA,1,annual
OROMIN,Orobanche minor,weed,OROBANCHACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered (weed),forb,NA,Kew SID,Holoparasite,Brundrett 2008,NA,NA,0,annual
ORTLAX,Orthrosanthus laxus,native,IRIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,NA,Kew SID,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
OXACOR,Oxalis corniculata,weed,OXALIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
OXAPUR,Oxalis purpurea,weed,OXALIDACEAE,RESPROUTER,Burrows et al. 2008 for Genus,soil,Infered (weed),forb,0.64,Approximation: avg seed mass of Oxalis species (n = 15).,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
PARLAT,Parentucellia latifolia,weed,OROBANCHACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,Root hemiparasite,Brundrett 2008 for Genus,NA,NA,0,annual
PARLOP,Paraserianthes lophantha,native,FABACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Sprent 2001; Lamont 1982 on AMF for Family,0.05,1.88,1,perennial
PARVIS,Parentucellia viscosa,weed,OROBANCHACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,NA,Kew SID,Root hemiparasite,Brundrett 2008 for Genus,NA,NA,0,annual
PATBAB,Patersonia babianoides,native,IRIDACEAE,RESPROUTER,Smith et al. 2000,soil,Smith et al. 2000,forb,1.68,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PATOCC,Patersonia occidentalis,native,IRIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,NA,Kew SID,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
PATPYG,Patersonia pygmaea,native,IRIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,3.98,Nursery records,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PATRUD,Patersonia rudis,native,IRIDACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,forb,7.35,Nursery records,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PATUMB,Patersonia umbrosa,native,IRIDACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,25.4,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PENAIR,Pentaschistis airoides,weed,POACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,grass,0.05,John Dwyer,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
PENPEL,Pentapeltis peltigera,native,APIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,3.18,Weighed,AMF,Brundrett 2008 for Family,0.05,1.35,0,perennial
PERELL,Persoonia elliptica,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,tree,390,Abbott 1984,Hairy roots,Lamont 1982 for Genus,NA,NA,0,perennial
PERLON,Persoonia longifolia,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,tree,722,Abbott 1984,Hairy roots,Lamont 1982 for Genus,0.05,0.72,0,perennial
PERPRO,Persicaria prostrata,native,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Family,forb,NA,Kew SID,None,NM: Brundrett 2009 for Family,NA,NA,0,perennial
PETDUB,Petrorhagia dubia,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,0.24,John Dwyer,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
PETLIN,Petrophile linearis,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,3.57,Nursery records,Root clusters,Skene 1998,NA,NA,0,perennial
PETSTR,Petrophile striata,native,PROTEACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,7.42,Weighed,Root clusters,Skene 1998,NA,NA,0,perennial
PHAPAR,Phalaris paradoxa,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
PHISPI,Philotheca spicata,native,RUTACEAE,SEEDER,Norman et al. 2006,soil,Inferred using data for Family,shrub,0.64,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PHYCAL,Phyllanthus calycinus,native,PHYLLANTHACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,2,"Standish et al, unpub data",AMF,Brundrett&Abbott 1991,0.06,1.29,0,perennial
PHYOCT,Phytolacca octandra,weed,PHYTOLACCACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
PHYPAR,Phyllangium paradoxum,native,LOGANIACEAE,SEEDER,Alcoa DB,soil,Default,forb,0.03,Appoximation: avg seed mass of Mitrasacme species (n =2).,AMF,Brundrett 2008 for Family,NA,NA,0,annual
PIMBRE,Pimelea brevistyla,native,THYMELACEAE,RESPROUTER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,5.63,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PIMCIL,Pimelea ciliata,native,THYMELACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,2.91,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PIMIMB,Pimelea imbricata,native,THYMELACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,shrub,0.97,Weighed,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
PIMLEH,Pimelea lehmanniana,native,THYMELACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Genus,shrub,7.35,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PIMROS,Pimelea rosea,native,THYMELACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.31,McAlinden 1998,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PIMSPE,Pimelea spectabilis,native,THYMELACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,NA,Kew SID,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PIMSUA,Pimelea suaveolens,native,THYMELACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.65,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PIMSYL,Pimelea sylvestris,native,THYMELACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,2,Roche 1997,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PINPIN,Pinus pinaster,weed,PINACEAE,SEEDER,Alcoa DB,canopy,Lamont et al. 1991 for Genus,tree,50.45,Weighed,ECM,Brundrett 2009 for Genus,NA,NA,0,perennial
PLACOM,Platysace compressa,native,APIACEAE,SEEDER,Smith et al. 2000,soil,Bell et al. 1993,forb,0.43,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PLAJUN,Platysace juncea,native,APIACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Family,forb,0.77,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PLALAN,Plantago lanceolata,weed,PLANTAGINACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PLATEN,Platysace tenuissima,native,APIACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,forb,2.02,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
POAANN,Poa annua,weed,POACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,grass,NA,Kew SID,AMF,Brundrett 2008 for Genus,NA,NA,0,annual
PODANG,Podotheca angustifolia,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Vlahos & Bell 1986,forb,0.81,McAlinden 1998,AMF,Lamont 1982 for Family,NA,NA,0,annual
PODGNA,Podotheca gnaphalioides,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.9,Nursery records,AMF,Lamont 1982 for Family,NA,NA,0,annual
PODGRA,Podolepis gracilis,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,0.12,Milberg et al 1999,AMF,Lamont 1982 for Family,0.1,NA,0,annual
PODLES,Podolepis lessonii,native,ASTERACEAE,SEEDER,Norman et al. 2006,soil,Infered using data for Genus,forb,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,annual
POLAVI,Polygonum aviculare,weed,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Pendleton&Smith 1983,NA,NA,0,annual
POLMON,Polypogon monspeliensis,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),grass,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
POLTET,Polycarpon tetraphyllum,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
PORHUE,Poranthera huegelii,native,PHYLLANTHACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,shrub,0.67,Weighed,AMF/ECM,Brundrett 2008 for Genus,NA,NA,0,perennial
PORMIC,Poranthera microphylla,native,PHYLLANTHACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,forb,NA,Kew SID,AMF/ECM,Brundrett 2008 for Genus,NA,NA,0,annual
PRABRO,Prasophyllum brownii,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008 for Genus,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
PRAELA,Prasophyllum elatum,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
PSELUT,Pseudognaphalium luteoalbum,native,ASTERACEAE,SEEDER,Smith et al. 2000,soil,Smith et al. 2000,forb,NA,Kew SID,AMF,McGee 1986,NA,NA,0,annual
PTEBAR,Pterostylis barbata,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
PTEESC,Pteridium esculentum,native,DENNSTAEDTIACE,SEEDER,Burrows et al. 2008,soil,Default,forb,0.005,Estimated,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
PTEPAN,Pterochaeta paniculata,native,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,0.16,Nursery records,AMF,Lamont 1982 for Family,NA,NA,0,annual
PTEPYR,Pterostylis pyramidalis,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
PTEREC,Pterostylis recurva,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
PTESCA,Pterostylis scabra,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
PTEVIT,Pterostylis vittata,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
PTIDEC,Ptilotus decipiens,native,AMARANTHACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,forb,2.74,Approximation: avg seed mass of Ptilotus species (n = 23),None,NM: Brundrett 2009 for Family,NA,NA,0,annual
PTIDRU,Ptilotus drummondii,native,AMARANTHACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,4.16,Nursery records,None,NM: Brundrett 2009 for Family,NA,NA,0,perennial
PTIMAN,Ptilotus manglesii,native,AMARANTHACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,forb,2.82,Nursery records,None,NM: Brundrett 2009 for Family,NA,NA,0,perennial
PYRNIG,Pyrorchis nigricans,native,ORCHIDACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,0.005,Approximation: avg seed mass of Orchidaceae species (n = 60),OMF,Cornelissen et al. 2003 for Family,NA,NA,0,perennial
QUIURV,Quinetia urvillei,native,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,0.51,John Dwyer,AMF,Lamont 1982 for Family,NA,NA,0,annual
RANCOL,Ranunculus colonorum,native,RANUNCULACEAE,RESPROUTER,Burrows et al. 2008,soil,Default,forb,4.65,Weighed,AMF,Brundrett 2008 for Genus,0.16,2.16,0,perennial
RAPRAP,Raphanus raphanistrum,weed,BRASSICACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett 2009 for Family,NA,NA,0,annual
REGCIL,Regelia ciliata,native,MYRTACEAE,RESPROUTER,Bell et al. 1993,canopy,Bell et al. 1993,shrub,NA,Kew SID,AMF,Genus not listed in Brundrett 2008; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
RHOCIT,Rhodanthe citrina,native,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,annual
ROMROS,Romulea rosea,weed,IRIDACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett&Abbott 1991,NA,NA,0,perennial
RUMCON,Rumex conglomeratus,weed,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett 2009 for Family,NA,NA,0,perennial
RUMCRI,Rumex crispus,weed,POLYGONACEAE,RESPROUTER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett 2009 for Family,NA,NA,0,perennial
SAGAPE,Sagina apetala,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
SAGPRO,Sagina procumbens,weed,CARYOPHYLLACEAE,SEEDER,Burrows et al. 2008,soil,Burrows et al. 2008,forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
SCACAL,Scaevola calliptera,native,GOODENIACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,forb,25.32,Weighed,AMF,Brundrett&Abbott 1991,0.07,1.57,0,perennial
SCAPIL,Scaevola pilosa,native,GOODENIACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,forb,7.98,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
SCAPLA,Scaevola platyphylla,native,GOODENIACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,31.83,Approximation: avg seed mass of Scaevola species (n = 10).,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
SCHDIS,Schoenus discifer,native,CYPERACEAE,SEEDER,Alcoa DB,soil,Inferred using data for Family,sedge,1.24,Approximation: avg seed mass of Schoenus species (n = 5).,Root clusters,Lamont 1982 for Family,NA,NA,0,annual
SCHLAT,Schoenus latitans,native,CYPERACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Family,sedge,1.24,Approximation: avg seed mass of Schoenus species (n = 5).,Root clusters,Lamont 1982 for Family,NA,NA,0,perennial
SENDIA,Senecio diaschides,weed,ASTERACEAE,SEEDER,Ward et al. 1997,soil,Ward et al. 1997,forb,0.89,Approximation: avg seed mass of Senecio species (n = 139),AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
SENHIS,Senecio hispidulus,native,ASTERACEAE,SEEDER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.25,Weighed,AMF,Lamont 1982 for Family,NA,NA,0,perennial
SENLEU,Senecio leucoglossus,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,forb,0.18,Weighed,AMF,Lamont 1982 for Family,NA,NA,0,annual
SENPIN,Senecio pinnatifolius,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,forb,NA,Kew SID,AMF,Lamont 1982 for Family,NA,NA,0,annual
SENQUA,Senecio quadridentatus,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Genus,forb,NA,Kew SID,AMF,Lamont 1982 for Family,0.17,3.58,0,perennial
SENVUL,Senecio vulgaris,weed,ASTERACEAE,SEEDER,Alcoa DB,soil,Vlahos & Bell 1986,forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,0.32,4.05,0,annual
SILGAL,Silene gallica,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
SILHUM,Siloxerus humifusus,native,ASTERACEAE,SEEDER,Alcoa DB,soil,Infered using data for Family,forb,0.26,Weighed,AMF,Lamont 1982 for Family,NA,NA,0,annual
SOLNIG,Solanum nigrum,weed,SOLANACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
SONASP,Sonchus asper,weed,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Vlahos & Bell 1986,forb,NA,Kew SID,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
SONOLE,Sonchus oleraceus,weed,ASTERACEAE,SEEDER,Burrows et al. 2008,soil,Bellairs & Bell 1993,forb,0.35,Milberg et al 1999,AMF,Brundrett 2009 for Family; Brundrett pers. comm. 10 Aug 2012,0.14,2.98,0,annual
SPEARV,Spergula arvensis,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
SPEMAR,Spergularia marina,native,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Default,forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
SPERUB,Spergularia rubra,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
SPHLIN,Sphaerolobium linophyllum,native,FABACEAE,RESPROUTER,Alcoa DB,soil,Inferred using data for Genus,shrub,2.11,Approximation: avg seed mass of Sphaerolobium species (n = 5).,AMF,Lamont 1982 on Nfixer and AMF for Family,NA,NA,1,perennial
SPHMAC,Sphaerolobium macranthum,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,6.53,Weighed,AMF,Lamont 1982 on Nfixer and AMF for Family,NA,NA,1,perennial
SPHMED,Sphaerolobium medium,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,0.96,Weighed,AMF,Sprent 2001; Lamont 1982 on AMF for Family,NA,NA,1,perennial
SPHVIM,Sphaerolobium vimineum,native,FABACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,shrub,1.1,Hanley et al 2003,AMF,Lamont 1982 on Nfixer and AMF for Family,NA,NA,1,perennial
SPYTRI,Spyridium tricolor,native,RHAMNACEAE,SEEDER,Rachel Standish,soil,Inferred using data for Family,shrub,0.82,Approximation: avg seed mass of Spyidium species species (n = 18).,ECM,Brundrett 2008 for Genus; Brundrett pers. comm. 10 Aug 2012,NA,NA,0,perennial
STAARV,Stachys arvensis,weed,LAMIACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
STAMON,Stackhousia monogyna,native,CELASTRACEAE,RESPROUTER,Norman et al. 2006,soil,Inferred using data for Family,forb,2.28,Weighed,AMF,Brundrett 2008 for Genus,NA,NA,0,perennial
STAVER,Stachystemon vermicularis,native,EUPHORBIACEAE,RESPROUTER,Alcoa DB,soil,Default,shrub,24.14,Weighed,AMF,Brundrett 2008 for Family,NA,NA,0,perennial
STEFIL,Stellaria filiformis,native,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Default,forb,0.42,Approximation: avg seed mass of Stellaria species (n = 16).,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
STEMED,Stellaria media,weed,CARYOPHYLLACEAE,SEEDER,Alcoa DB,soil,Infered (weed),forb,NA,Kew SID,None,NM: Brundrett pers. comm. 10 Aug 2012,NA,NA,0,annual
