Sp code,Species Name,Status,Family,Fire Response,FR data source,Seed storage,SS data source,Life Form,Seed mass (mg),SM data source,Nutrient-acquisition strategy,NAS data source,Leaf P,Leaf N
LOGSER,Logania serpyllifolia,native,LOGANIACEAE,SEEDER,Burrows et al. 2008,soil,Bell et al. 1993,perennial forb,0.19,Weighed,AMF,Brundrett 2008 for Family,,
LOLPER,Lolium perenne*,weed,POACEAE,SEEDER,Alcoa DB,soil,Bellairs & Bell 1993,perennial grass,2.00,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
LOLREM,Lolium remotum*,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual grass,4.37,Approximation: avg seed mass of Lolium species (n = 7).,AMF,Brundrett pers. comm. 10 Aug 2012,,
LOLRIG,Lolium rigidum*,weed,POACEAE,SEEDER,Alcoa DB,soil,Infered (weed),annual grass,3.80,Kew SID,AMF,Brundrett pers. comm. 10 Aug 2012,,
LOMBRI,Lomandra brittanii,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,perennial forb,15.53,Approximation: avg seed mass of Lomandra species (n = 24),None,NM: Brundrett 2008 for Genus,,
LOMCAE,Lomandra caespitosa,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,perennial forb,14.16,Weighed,None,NM: Brundrett 2008 for Genus,,
LOMDRU,Lomandra drummondii,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,perennial forb,25.64,Weighed,None,NM: Brundrett 2008 for Genus,0.04,0.8
LOMHER,Lomandra hermaphrodita,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,perennial forb,33.43,Weighed,None,NM: Brundrett 2008 for Genus,,
LOMINT,Lomandra integra,native,ASPARAGACEAE,RESPROUTER,Burrows et al. 2008,soil,Infered using data for Genus,perennial forb,9.95,Weighed,None,NM: Brundrett 2008 for Genus,,
LOMMIC,Lomandra micrantha,native,ASPARAGACEAE,RESPROUTER,Roche 1997,soil,Infered using data for Genus,perennial forb,6.10,Weighed,None,NM: Brundrett 2008 for Genus,,
LOMNIG,Lomandra nigricans,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,13.79,Weighed,None,NM: Brundrett 2008 for Genus,,
LOMODO,Lomandra odora,native,ASPARAGACEAE,RESPROUTER,Alcoa DB,soil,Infered using data for Genus,perennial forb,12.36,Weighed,None,NM: Brundrett 2008 for Genus,,
LOMPRE,Lomandra preissii,native,ASPARAGACEAE,RESPROUTER,Bell et al. 1993,soil,Bell et al. 1993,perennial forb,40.00,Roche 1997 ,None,NM: Brundrett 2008 for Genus,,
