Family ,Species,Status,Fruit type,Sex type,Code,Source
Fabaceae,Sesbania formosa ,e,legume,bi,1,Gross
Fabaceae,Sophora tomentosa ,n,legume,bi,1,Hyland et al. (2003)
Fabaceae (Caesalpinaceae),Cassia queenslandica ,e,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Caesalpinaceae),Crudia ssp. (Archer River BH 3078RFK) ,e,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Caesalpinaceae),Cynometra ramiflora ,n,legume,bi,1,Hyland et al.  (2003)
Fabaceae (Caesalpinaceae),Erythrophleum chlorostachys ,e,legume,bi,1,Ross (1998)
Fabaceae (Caesalpinaceae),Intsia bijuga ,n,legume,bi,1,Ross (1998)
Fabaceae (Caesalpinaceae),Lysiphyllum cunninghamii ,e,legume,bi,1,Hyland et al. (2003)
Fabaceae (Caesalpinaceae),Lysiphyllum hookeri ,e,legume,bi,1,Hyland et al. (2003)
Fabaceae (Caesalpinaceae),Maniltoa lenticellata ,n,legume,bi,1,Ross (1998)
Fabaceae (Caesalpinaceae),Peltophorum pterocarpum ,n,legume,bi,1,Ross (1998)
Fabaceae (Caesalpinaceae),Storckiella australiensis ,e,legume,bi,1,Ross and Hyland (1983)
Fabaceae (Mimosaceae),Acacia aulacocarpa ,e,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia auriculiformis ,n,legume,mono,3,Sedgley et al. (1992)
Fabaceae (Mimosaceae),Acacia celsa ,e,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia cincinnata ,e,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia crassicarpa ,n,legume,mono,3,Hyland et al.  (2003)
Fabaceae (Mimosaceae),Acacia fasciculifera ,e,legume,bi,1,Hyland et al.  (2003)
