Site,Season,Species,Plant ,Leaf,Time,PAR,LAVPD,Leaf Temp,A,E,gs
1,Wet,Alphitonia excelsa,1,2,15:00,430,2.19135032,31.97,6.42,4.17,
1,Wet,Alphitonia excelsa,1,3,15:00,1242,3.75137606,37.05,4.52,3.12,0.13
1,Wet,Alphitonia excelsa,1,4,15:00,1541,3.78275218,37.17,5.59,4.47,0.23
1,Wet,Alphitonia excelsa,1,5,15:00,1513,3.921816876,37.54,6.4,4.07,0.18
1,Wet,Alphitonia excelsa,1,1,17:00,412,2.218131026,32.18,3.42,2.08,0.15
1,Wet,Alphitonia excelsa,1,2,17:00,1257,3.810214796,37.45,2.26,0.87,0.03
1,Wet,Alphitonia excelsa,1,3,17:00,274,1.991639584,31.52,5.55,1.9,0.16
1,Wet,Alphitonia excelsa,1,4,17:00,1085,2.688254128,34.11,7.02,2.96,0.2
1,Wet,Alphitonia excelsa,1,5,17:00,983,2.859398401,34.61,3.82,1.98,0.1
1,Wet,Alphitonia excelsa,2,1,5:00,2,0.435774591,24.17,,,
1,Wet,Alphitonia excelsa,2,2,5:00,2,0.406740185,24.12,,,
1,Wet,Alphitonia excelsa,2,3,5:00,2,0.413019194,24.21,,,
1,Wet,Alphitonia excelsa,2,4,5:00,2,0.406647198,24.23,,,
1,Wet,Alphitonia excelsa,2,5,5:00,2,0.403914627,24.27,,,
1,Wet,Alphitonia excelsa,2,1,9:00,1105,3.222129782,35.67,7.34,5.06,0.3
1,Wet,Alphitonia excelsa,2,2,9:00,863,2.710211533,34.15,7.84,4.87,0.38
1,Wet,Alphitonia excelsa,2,3,9:00,1659,3.647348368,36.98,7.2,5.58,0.29
1,Wet,Alphitonia excelsa,2,4,9:00,1886,3.461370533,36.49,8.92,6.94,0.5
1,Wet,Alphitonia excelsa,2,5,9:00,1059,3.059925052,35.16,6.4,4.58,0.27
1,Wet,Alphitonia excelsa,2,1,11:00,1408,3.524637261,36.41,8.38,4.69,0.22
