Species_reconciled with updates and additions,growth form,seed size categorical: <10mm,seed size categorical: >10mm,leaf type,leaves lobed,leaf longevity,wood density species,wood density genus,wood density family,Height (m),leaf length minimum (mm),leaf length maximum (mm),leaf width minimum (mm),leaf width maximum (mm),seed length minimum (mm),seed length maximum (mm),seed width minimum (mm),seed width maximum (mm),seed breadth (mm),plant_height_duplicate,wood_density_duplicate,seed_width_min_duplicate,seed_width_max_duplicate,seed_length_min_duplicate,seed_length_max_duplicate,leaf_width_min_duplicate,leaf_width_max_duplicate,leaf_length_min_duplicate,leaf_length_max_duplicate
Casuarina cristata,tree,0,1,simple,no,evergreen,NA,NA,NA,20,0.5,0.7,0.3,0.4,3,4,2,3,NA,Duplicate of Barlow_1981_0646,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casuarina cunninghamiana,tree,0,1,simple,no,evergreen,NA,NA,NA,25,0.3,0.5,0.2,0.3,3,4,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Casuarina equisetifolia,tree,1,0,simple,no,evergreen,NA,588,669,35,0.3,0.8,0.3,0.4,1,2,1,2,NA,Duplicate of Barlow_1981_0650,NA,NA,NA,NA,NA,NA,NA,NA,NA
Gymnostoma australianum,tree,1,0,simple,no,evergreen,NA,NA,669,10,0.4,0.7,0.3,0.4,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denhamia celastroides,tree,1,1,simple,no,evergreen,718.1,NA,NA,15,40,120,20,45,5,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1133,Duplicate of Barlow_1981_1133,Duplicate of Barlow_1981_1133
Denhamia Jardine-River,shrub,1,0,simple,no,evergreen,NA,NA,685,5,40,75,15,25,4,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denhamia moorei,tree,1,0,simple,no,evergreen,NA,NA,NA,NA,NA,NA,NA,NA,4,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Denhamia obscura,tree,0,1,simple,no,evergreen,NA,NA,NA,8,50,120,15,35,5,9,4,5,NA,NA,NA,NA,NA,Duplicate of NTH_2014_272,NA,Duplicate of Barlow_1981_1135,Duplicate of Barlow_1981_1135,Duplicate of Barlow_1981_1135,Duplicate of Barlow_1981_1135
Denhamia oleaster,tree,1,0,simple,no,evergreen,NA,NA,685,8,40,80,10,35,5,9,4,5,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1136,Duplicate of Barlow_1981_1136,Duplicate of Barlow_1981_1136,Duplicate of Barlow_1981_1136
Denhamia parvifolia,tree,1,0,simple,no,evergreen,NA,NA,NA,8,5,20,4,12,4,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1137,NA
Denhamia pittosporoides-angustifolia,tree,1,0,simple,no,evergreen,NA,NA,685,10,25,90,4,11,5,7,3,4,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1139,Duplicate of Barlow_1981_1139,Duplicate of Barlow_1981_1139,Duplicate of Barlow_1981_1139
Denhamia pittosporoides-pittosporoides,tree,1,0,simple,yes,evergreen,NA,NA,685,7,30,110,7,40,5,5,3,5,NA,Duplicate of Barlow_1981_1140,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1140,NA,Duplicate of Barlow_1981_1140,Duplicate of Barlow_1981_1140
Denhamia viridissima,tree,1,1,simple,no,evergreen,NA,NA,685,20,45,110,15,35,10,10,5,6,NA,Duplicate of Barlow_1981_1141,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1141,Duplicate of Barlow_1981_1141,Duplicate of Barlow_1981_1141,Duplicate of Barlow_1981_1141
Elaeodendron australe_australe,tree,1,1,simple,no,evergreen,670,670,685,10,30,150,15,50,5,6,3,4,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0616,Duplicate of Barlow_1981_0616,NA,NA
Elaeodendron melanocarpum,tree,1,1,simple,no,evergreen,NA,670,685,13,60,165,20,85,13,23,10,20,NA,Duplicate of Barlow_1981_0617,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0617,NA
Maytenus cunninghamii,shrub,1,0,simple,no,evergreen,NA,740,685,5,20,85,2,20,3,5,2,3,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3049,NA,Duplicate of Barlow_1981_3049,NA
Maytenus fasciculiflora,tree,1,0,simple,no,evergreen,NA,740,685,8,30,120,17,50,3,3,3,3,NA,Duplicate of Barlow_1981_3052,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3052,NA
Perrottetia arborescens,tree,1,0,simple,no,evergreen,NA,NA,685,6,40,170,15,60,5,6,5,6,NA,NA,NA,Duplicate of Barlow_1981_3248,NA,Duplicate of Barlow_1981_3248,NA,NA,NA,Duplicate of Barlow_1981_3248,NA
Pleurostylia opposita,tree,1,0,simple,no,evergreen,NA,NA,685,15,20,80,10,50,5,5,5,5,NA,Duplicate of Barlow_1981_3597,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3597,NA,NA,NA
Siphonodon australis,tree,1,0,simple,no,evergreen,630,645,685,30,40,130,20,60,7,8,6,7,NA,Duplicate of Barlow_1981_3887,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3887,NA,NA
Siphonodon membranaceus,tree,1,1,simple,no,evergreen,660,645,685,25,60,150,20,50,8,9,3,4,NA,Duplicate of Barlow_1981_3888,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3888,Duplicate of Barlow_1981_3888,Duplicate of Barlow_1981_3888,Duplicate of Barlow_1981_3888
Rhagodia parabolica,shrub,1,0,simple,no,evergreen,NA,NA,NA,3,10,40,8,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Maranthes corymbosa,tree,0,1,simple,no,evergreen,NA,NA,NA,25,75,165,35,70,35,42,8,18,6,Duplicate of Brock_1993_222,NA,NA,NA,NA,NA,Duplicate of Brock_1993_222,NA,Duplicate of Brock_1993_222,NA
Parinari nonda,tree,1,1,simple,no,evergreen,NA,NA,NA,12,35,80,20,50,20,25,13,16,NA,Duplicate of NTH_2014_088,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calophyllum australianum,tree,0,1,simple,no,evergreen,590,582,677,30,60,150,20,40,5,15,5,15,NA,Duplicate of Metcalfe_2009_037,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calophyllum bicolor,tree,1,0,simple,no,evergreen,NA,582,677,10,60,160,20,45,5,6,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calophyllum costatum,tree,0,1,simple,no,evergreen,596,582,677,35,45,90,25,40,20,33,20,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calophyllum inophyllum,tree,0,1,simple,no,evergreen,550,582,677,30,80,200,45,115,20,45,20,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calophyllum sil,tree,1,1,simple,no,evergreen,NA,582,677,37,40,140,25,55,12,13,8,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_101,NA
Calophyllum soulattri,tree,1,1,simple,no,evergreen,NA,NA,NA,25,65,300,25,200,5,12,5,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia brassii,tree,0,1,simple,no,evergreen,NA,700,677,20,40,90,20,40,14,20,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia Claudie-River,tree,1,0,simple,no,evergreen,NA,700,677,8,70,110,30,50,8,13,6,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia Davies-Creek,tree,0,1,simple,no,evergreen,NA,700,677,30,50,110,15,30,22,32,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia dulcis,tree,0,1,simple,no,evergreen,NA,700,677,20,105,250,50,120,20,30,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia gibbsiae,tree,0,1,simple,no,evergreen,NA,700,677,12,70,180,40,90,5,18,3,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia mestonii,tree,0,1,simple,no,evergreen,NA,700,677,6,55,75,15,25,13,25,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia Mossman,tree,0,1,simple,no,evergreen,NA,NA,NA,5,110,260,50,83,18,20,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia riparia,tree,1,1,simple,no,evergreen,NA,700,677,10,70,130,30,65,9,10,6,8,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Garcinia warrenii,tree,0,1,simple,no,evergreen,NA,700,677,15,70,180,40,80,32,35,15,18,NA,Duplicate of NTH_2014_103,NA,NA,NA,NA,NA,NA,Duplicate of NTH_2014_103,Duplicate of NTH_2014_103,NA
Mammea touriga,tree,0,1,simple,no,evergreen,750,750,677,40,100,220,40,75,40,45,30,33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesua Boonjee,tree,0,1,simple,no,evergreen,NA,NA,677,14,40,110,10,30,20,22,20,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mesua larnachiana,tree,1,1,simple,no,evergreen,NA,NA,677,15,150,240,40,100,20,26,20,22,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dansiea elliptica,tree,1,0,simple,no,deciduous,NA,NA,550,35,30,85,10,35,3,5,3,4,NA,Duplicate of Barlow_1981_1104,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1104,Duplicate of Barlow_1981_1104,Duplicate of Barlow_1981_1104,Duplicate of Barlow_1981_1104
Dansiea grandiflora,tree,1,0,simple,no,evergreen,NA,NA,NA,10,13,60,8,30,3,5,3,4,NA,Duplicate of Barlow_1981_1105,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_1105,NA,Duplicate of Barlow_1981_1105
Lumnitzera littorea,tree,1,0,simple,no,evergreen,NA,NA,NA,10,20,80,10,25,5,7,2,3,NA,Duplicate of Barlow_1981_3017,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3017,Duplicate of Barlow_1981_3017,Duplicate of Barlow_1981_3017,Duplicate of Barlow_1981_3017
Lumnitzera racemosa,tree,1,0,simple,no,evergreen,NA,NA,NA,10,20,97,10,25,5,7,2,3,NA,Duplicate of WAH_1998_3998,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3018,Duplicate of Barlow_1981_3018,Duplicate of Barlow_1981_3018,NA
Macropteranthes fitzalanii,tree,1,0,simple,no,evergreen,NA,NA,NA,15,15,40,10,30,5,7,3,4,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3042,Duplicate of Barlow_1981_3042,Duplicate of Barlow_1981_3042,Duplicate of Barlow_1981_3042
Macropteranthes leiocaulis,tree,1,0,simple,no,evergreen,NA,NA,NA,25,9,80,4,23,5,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Macropteranthes montana,tree,1,0,simple,no,evergreen,NA,NA,550,15,3,11,1,4,5,7,3,4,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_3045,NA,NA,NA
Terminalia arenicola,tree,0,1,simple,no,deciduous,NA,550,550,11,100,200,60,145,20,28,12,20,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4049,Duplicate of Barlow_1981_4049,Duplicate of Barlow_1981_4049,Duplicate of Barlow_1981_4049
Terminalia aridicola-chillagoensis,tree,0,1,simple,no,deciduous,NA,550,550,10,45,150,30,70,10,20,10,16,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4052,Duplicate of Barlow_1981_4052,Duplicate of Barlow_1981_4052,Duplicate of Barlow_1981_4052
Terminalia catappa,tree,0,1,simple,no,deciduous,NA,550,550,40,100,330,70,170,40,65,20,40,12,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4055,Duplicate of Barlow_1981_4055,Duplicate of Barlow_1981_4055,Duplicate of Barlow_1981_4055
Terminalia complanata,tree,1,1,simple,no,deciduous,NA,550,550,45,50,110,20,40,12,20,12,18,8,Duplicate of Barlow_1981_4056,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4056,Duplicate of Barlow_1981_4056,Duplicate of Barlow_1981_4056,Duplicate of Barlow_1981_4056
Terminalia erythrocarpa,tree,1,1,simple,no,deciduous,NA,NA,NA,20,90,200,20,60,10,12,5,8,6,NA,NA,NA,NA,NA,NA,Duplicate of Brock_1993_316,Duplicate of Brock_1993_316,Duplicate of Brock_1993_316,Duplicate of Brock_1993_316
Terminalia melanocarpa,tree,0,1,simple,no,deciduous,NA,NA,NA,15,45,120,30,75,22,25,10,11,6,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4067,Duplicate of Barlow_1981_4067,Duplicate of Barlow_1981_4067,Duplicate of Barlow_1981_4067
Terminalia muelleri,tree,1,1,simple,no,deciduous,NA,550,550,18,50,150,25,80,9,15,6,10,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4068,Duplicate of Barlow_1981_4068,Duplicate of Barlow_1981_4068,Duplicate of Barlow_1981_4068
Terminalia oblongata-oblongata,tree,0,1,simple,no,deciduous,NA,NA,NA,15,15,100,25,65,10,12,5,6,NA,Duplicate of Barlow_1981_4069,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4070,Duplicate of Barlow_1981_4069,Duplicate of Barlow_1981_4069,Duplicate of Barlow_1981_4069
Terminalia petiolaris,tree,1,1,simple,no,deciduous,NA,NA,NA,10,65,140,40,70,8,12,5,6,NA,Duplicate of Barlow_1981_4072,NA,NA,NA,NA,NA,NA,NA,NA,NA
Terminalia platyphylla,tree,0,1,simple,no,deciduous,NA,550,550,20,70,220,50,140,16,28,5,10,NA,Duplicate of Barlow_1981_4073,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4073,Duplicate of Barlow_1981_4073,Duplicate of Barlow_1981_4073,Duplicate of Barlow_1981_4073
Terminalia platyptera,tree,0,1,simple,no,deciduous,NA,NA,NA,15,40,85,15,50,20,25,6,8,NA,Duplicate of Barlow_1981_4074,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4074,Duplicate of Barlow_1981_4074,Duplicate of Barlow_1981_4074
Terminalia porphyrocarpa,tree,1,1,simple,no,deciduous,NA,NA,NA,18,30,100,18,70,7,15,5,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4075
Terminalia sericocarpa,tree,1,1,simple,no,deciduous,550,550,550,40,60,135,30,60,10,14,5,6,NA,Duplicate of Metcalfe_2009_264,Duplicate of Ilic_2000_0540,NA,NA,NA,NA,Duplicate of Barlow_1981_4078,Duplicate of Barlow_1981_4078,Duplicate of Barlow_1981_4078,Duplicate of Barlow_1981_4078
Terminalia subacroptera,tree,1,1,simple,no,deciduous,NA,550,550,16,50,130,30,75,5,11,4,9,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_4079,Duplicate of Barlow_1981_4079,Duplicate of Barlow_1981_4079,Duplicate of Barlow_1981_4079
Alangium Claudie-River,tree,0,1,simple,no,evergreen,NA,570,570,25,50,140,20,45,12,13,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alangium villosum-polyosmoides,tree,0,1,simple,no,evergreen,570,570,570,20,35,200,10,90,10,17,5,7,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0068,NA,NA,NA
Corynocarpus cribbianus,tree,0,1,simple,no,evergreen,NA,560,560,25,80,150,40,70,23,35,23,35,NA,Duplicate of Barlow_1981_0896,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0896,Duplicate of Barlow_1981_0896,Duplicate of Barlow_1981_0896,Duplicate of Barlow_1981_0896
Corynocarpus rupestris-arborescens,tree,0,1,simple,no,evergreen,NA,NA,NA,20,80,150,40,60,20,35,15,20,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Corynocarpus rupestris-rupestris,tree,0,1,simple,no,evergreen,NA,NA,NA,20,80,150,40,60,20,35,15,20,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acsmithia davidsonii,tree,1,0,simple,no,evergreen,NA,NA,553,15,20,140,12,65,2,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Anodopetalum biglandulosum,tree,1,0,simple,no,evergreen,NA,NA,NA,12,15,60,5,18,5,6,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of TMAG_2009_102
Ceratopetalum apetalum,tree,1,0,simple,no,evergreen,537.5,NA,NA,40,60,120,20,50,1,2,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ceratopetalum macrophyllum,tree,1,0,simple,no,evergreen,NA,576,563,20,55,290,28,105,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pullea stutzeri,tree,1,0,simple,no,evergreen,650,650,553,30,90,200,35,85,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizomeria ovata,tree,1,1,simple,no,evergreen,520,540,553,35,50,150,20,60,9,11,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Schizomeria whitei,tree,0,1,simple,no,evergreen,560,540,553,30,70,190,40,80,9,12,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athrotaxis cuppressoides,tree,1,1,simple,no,evergreen,NA,NA,NA,12,3,4,2,2,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Athrotaxis selaginoides,tree,1,1,simple,no,evergreen,NA,NA,NA,35,8,12,2,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0350
Athrotaxis laxifolia,tree,1,1,simple,no,evergreen,NA,NA,NA,10,4,6,2,3,2,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Callitris baileyi,tree,1,1,simple,no,evergreen,NA,NA,NA,20,2,5,1,2,4,6,3,4,3,NA,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0559,NA
Callitris glaucophylla,tree,1,1,simple,no,evergreen,NA,NA,NA,20,1,3,1,1,4,7,3,5,2,Duplicate of Barlow_1981_0564,NA,NA,NA,NA,NA,NA,NA,Duplicate of Barlow_1981_0564,Duplicate of Barlow_1981_0564
Callitris intratropica,tree,1,0,simple,no,evergreen,NA,470,470,30,1,2,1,2,4,5,2.5,2.5,NA,Duplicate of Barlow_1981_0568,NA,NA,NA,Duplicate of NTH_2014_146,NA,NA,NA,NA,Duplicate of Barlow_1981_0568
Dillenia alata,tree,1,0,simple,no,evergreen,520,520,520,15,110,230,60,130,4,4,4,4,NA,Duplicate of Metcalfe_2009_092,NA,NA,NA,Duplicate of NTH_2014_105,Duplicate of NTH_2014_105,NA,NA,NA,NA
Hibbertia banksii,shrub,1,0,simple,yes,evergreen,NA,NA,520,3,35,115,5,45,3,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia hexandra,shrub,1,0,simple,no,evergreen,NA,NA,NA,5,20,60,10,26,1,2,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Hibbertia melhanioides,shrub,1,0,simple,yes,evergreen,NA,NA,520,1.5,12,55,7,20,2,2,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros australis,tree,1,0,simple,no,evergreen,NA,NA,NA,20,30,100,15,40,8,10,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros Baird,tree,1,0,simple,no,evergreen,NA,616,616,6,40,100,8,20,8,9,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros Bamaga,shrub,1,0,simple,no,evergreen,NA,616,616,6,30,100,15,45,8,9,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros calycantha,tree,1,1,simple,no,evergreen,NA,616,616,20,50,120,25,45,10,12,2,3,NA,NA,NA,NA,Duplicate of NTH_2014_122,Duplicate of NTH_2014_122,NA,NA,NA,NA,NA
Diospyros compacta,tree,1,0,simple,no,evergreen,NA,616,616,11,20,100,15,50,5,7,3,4,3,NA,NA,NA,Duplicate of NTH_2014_123,Duplicate of NTH_2014_123,Duplicate of NTH_2014_123,NA,Duplicate of Brock_1993_101,NA,NA
Diospyros cordifolia,shrub,1,1,simple,no,evergreen,NA,NA,NA,4,65,90,20,35,12,15,5,7,4,NA,NA,Duplicate of NTH_2014_127,NA,NA,Duplicate of NTH_2014_127,NA,NA,NA,NA
Diospyros cupulosa,tree,0,1,simple,no,evergreen,NA,616,616,12,65,120,30,40,10,14,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros elllipticifolia-ebenus,tree,1,1,simple,no,evergreen,NA,NA,NA,6,40,70,20,40,5,8,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros fasciculosa,tree,1,1,simple,no,evergreen,690,616,616,30,60,150,15,60,10,12,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros humilis,tree,1,0,simple,no,evergreen,NA,616,616,15,15,40,2,12,6,9,4,5,NA,Duplicate of NTH_2014_124,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros Kuranda,shrub,1,1,simple,no,evergreen,NA,NA,NA,5,35,95,15,25,9,10,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros littorea,tree,1,1,simple,no,evergreen,NA,NA,NA,15,35,95,20,45,8,10,4,5,NA,Duplicate of NTH_2014_125,NA,Duplicate of NTH_2014_125,NA,NA,Duplicate of NTH_2014_125,NA,NA,NA,NA
Diospyros mabacea,tree,0,1,simple,no,evergreen,NA,NA,NA,25,80,150,30,55,15,20,5,7,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros maritima,tree,0,1,simple,no,evergreen,NA,616,616,15,70,280,30,105,10,10,5,7,NA,Duplicate of WAH_1998_1775,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros Millaa-Millaa,shrub,1,1,simple,no,evergreen,NA,616,616,2,75,200,30,70,8,8,4,6,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros MtLewis,tree,0,1,simple,no,evergreen,NA,616,616,20,40,100,18,35,9,10,3,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros MtSpurgeon,tree,0,1,simple,no,evergreen,NA,616,616,20,50,90,20,30,10,10,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros MtWhite,tree,1,0,simple,no,evergreen,NA,616,616,7,15,60,8,33,6,9,3,5,NA,NA,NA,NA,Duplicate of NTH_2014_123,NA,NA,NA,NA,NA,NA
Diospyros pentamera,tree,1,1,simple,no,evergreen,569,616,616,20,30,110,10,50,7,10,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Diospyros Swipers-Flat,tree,0,0,simple,no,evergreen,NA,616,616,18,65,130,22,72,10,12,4,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceratium concinnum,tree,1,0,simple,no,evergreen,580,570,513,25,45,120,20,45,8,10,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aceratium megalospermum,tree,1,1,simple,no,evergreen,510,570,513,12,30,115,8,30,8,8,5,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus coorangooloo,tree,1,1,simple,no,evergreen,500,524,513,35,55,120,30,70,10,12,6,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus culminicola,tree,1,1,simple,no,evergreen,NA,524,513,25,50,130,20,60,10,12,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus elliffii,tree,1,0,simple,no,evergreen,NA,524,513,36,60,90,15,35,10,12,7,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus eumundi,tree,1,0,simple,no,evergreen,650,524,513,30,40,200,15,50,10,16,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus ferruginiflorus,tree,1,1,simple,no,evergreen,NA,524,513,25,35,60,15,35,10,14,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus foveolatus,tree,0,1,simple,no,evergreen,316,524,513,30,30,140,15,35,12,15,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus grahamii,tree,1,1,simple,no,evergreen,NA,524,513,20,80,170,25,60,7,9,4,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus johnsonii,tree,0,1,simple,no,evergreen,550,524,0,18,80,200,40,110,20,29,10,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus kirtonii,tree,1,0,simple,no,evergreen,580.5,NA,NA,45,70,200,20,40,5,7,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus largiflorens-largiflorens,tree,0,1,simple,no,evergreen,400,524,513,23,55,180,35,100,15,18,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus Mossman-Bluff,tree,1,0,simple,no,evergreen,NA,524,513,15,50,100,10,25,12,14,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus MtBellenden-Ker,tree,1,0,simple,no,evergreen,NA,524,513,35,40,90,18,35,10,12,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus reticulatus,tree,1,0,simple,no,evergreen,632.1,NA,NA,15,50,130,10,30,4,5,4,5,NA,NA,NA,NA,NA,NA,NA,Duplicate of TMAG_2009_201,NA,Duplicate of TMAG_2009_201,NA
Elaeocarpus ruminatus,tree,1,1,simple,no,evergreen,NA,524,513,30,50,150,25,45,10,12,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus sedentarius,tree,1,1,simple,no,evergreen,516,NA,NA,35,70,150,40,80,4,5,3,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus sericopetalus,tree,1,1,simple,no,evergreen,600,524,513,20,60,100,15,30,10,15,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus stellaris,tree,0,1,simple,no,evergreen,NA,524,513,25,80,180,40,90,45,57,30,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus thelmae,tree,0,1,simple,no,evergreen,NA,524,513,35,55,110,32,50,15,19,9,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus williamsianus,tree,1,1,simple,no,evergreen,NA,NA,NA,20,90,170,20,50,10,14,5,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Elaeocarpus Windsor-Tableland,tree,1,1,simple,no,evergreen,NA,524,513,20,60,125,20,45,15,17,8,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peripentadenia mearsii,tree,0,1,simple,no,evergreen,NA,NA,513,30,50,150,25,40,18,28,12,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sloanea australis-parviflora,tree,1,1,simple,no,evergreen,455,487,513,35,120,200,40,100,9,10,6,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
