character,unit_in,unit_checked,unit_standard,data_type,conversion,traitname_short,traitname_full,dataset_id,character2,unit2,dataset_id2
leaf thickness,microns,microns,mm,N,0.001,leaf_thickness,Leaf thickness,32,leaf thickness,microns,32
leaf type,,,,C,NA,leaf_type,LeafType,32,leaf type,,32
longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",32,longevity,,32
n_area,,g/m2,g m-2,N,1,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,32,n_area,,32
n_mass,,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,32,n_mass,,32
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,32,nitrogen fixer,,32
p_area,,g / m2,g m-2,N,1,leaf_P_perArea,Leaf phosphorus (P) content per leaf area,32,p_area,,32
p_mass,,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,32,p_mass,,32
photosynthetic pathway,,,,C,NA,photosynthetic_pathway,Photosynthetic pathway,32,photosynthetic pathway,,32
plant height,,m,m,N,1,plant_height,Plant height,32,plant height,,32
Rd,umol m-2 s-1,umol m-2 s-1,umol m-2 s-1,N,1,leaf_darkRespiration_perArea,Leaf respiration rate per leaf area,32,Rd,umol m-2 s-1,32
specific leaf area,cm2/g,cm2/g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",32,specific leaf area,cm2/g,32
W leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,32,W leaf area,cm2,32
water content,%,%,,NA,NA,NA,NA,32,water content,%,32
wood density mean,,g / cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",33,wood density mean,NA,33
wood density standard deviation,,,mg mm-3,N,1,wood_density_sd,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",33,wood density standard deviation,NA,33
wood density (dry mass/fresh volume),g/cm3,g/cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",34,wood density (dry mass/fresh volume),g/cm3,34
growth form,,,,C,NA,PlantGrowthForm,Plant Growth Form,35,growth form,,35
leaf shape,,,,C,NA,leaf_shape,Leaf shape,35,leaf shape,,35
leaf thickness,mm,mm,mm,N,1,leaf_thickness,Leaf thickness,35,leaf thickness,mm,35
longevity,,,,C,NA,LeafPhenology,"Leaf phenology type (evergreen, deciduous, semideciduous)",35,longevity,,35
Narea,,g / m2,g m-2,N,1,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,35,Narea,,35
nitrogen fixer,,,,C,NA,nitrogenFixing,Plant nitrogen fixation capacity,35,nitrogen fixer,,35
Nmass,%,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,35,Nmass,%,35
Parea,,g / m2,g m-2,N,1,leaf_P_perArea,Leaf phosphorus (P) content per leaf area,35,Parea,,35
Pmass,%,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,35,Pmass,%,35
specific leaf area,,cm2 / g,mm2 mg-1,N,0.1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",35,specific leaf area,,35
N mass,%,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,36,N mass,%,36
P mass,%,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,36,P mass,%,36
N mass,,%,mg g-1,N,10,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,37,N mass,NA,37
P mass,,%,mg g-1,N,10,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,37,P mass,NA,37
specific leaf area,,g m-2,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",38,specific leaf area,NA,38
carbon-13,%,parts per 1000,per mille,N,1,leaf_delta13C,Leaf carbon (C) isotope signature (delta 13C),39,carbon-13,%,39
leaf area,mm2,mm2,mm2,N,1,leaf_area,Leaf area,39,leaf area,mm2,39
leaf mass area,gm2,gm2,mm2 mg-1,N,1,LMA,leaf dry mass per area,39,leaf mass area,gm2,39
plant height,m,m,m,N,1,plant_height,Plant height,39,plant height,m,39
wood density,g/cm3,g/cm3,mg mm-3,N,1,wood_density,"Stem dry mass per stem fresh volume (stem specific density, SSD, wood density)",39,wood density,g/cm3,39
Aa,?molCO2,molCO2,,NA,NA,NA,NA,40,Aa,?molCO2,40
Am,nmolCO2,nmolCO2,,N,1,photosyntheticRate_perArea,Leaf photosynthesis rate per leaf area,40,Am,nmolCO2,40
gs,?molH2O,umolH2O/m2/s,mmol m-2 s-1,N,0.001,stomatal_conductance,Stomatal conductance,40,gs,?molH2O,40
Karea,mgK/cm2,mgK/cm2,g m-2,N,10,leaf_K_perArea,Leaf potassium (K) content per leaf area,40,Karea,mgK/cm2,40
Kmass,mgK/g,mgK/g,mg/g,N,1,leaf_K_perDryMass,Leaf potassium (K) content per dry mass,40,Kmass,mgK/g,40
LAR,mm2/mg,mm2/mg,mm2 mg-1,N,1,LAR,Leaf area per plant dry mass,40,LAR,mm2/mg,40
LDMC,mg/g,mg/g,g g-1,N,0.001,LDMC,Leaf dry mass per leaf fresh mass ,40,LDMC,mg/g,40
leaf area,cm2,cm2,mm2,N,100,leaf_area,Leaf area,40,leaf area,cm2,40
LMF,g/g,g/g,g g-1,N,1,LMF,Leaf mass fraction,40,LMF,g/g,40
LWCa,gH2O/cm2,gH2O/cm2,gH2O cm-2,N,1,leaf_waterContent_perArea,Leaf water content per area,40,LWCa,gH2O/cm2,40
Narea,mgN/cm2,mgN/cm2,g m-2,N,10,leaf_N_perArea,Leaf nitrogen (N) content per leaf area,40,Narea,mgN/cm2,40
Nmass,mgN/g,mgN/g,mg g-1,N,1,leaf_N_perDryMass,Leaf nitrogen (N) content per leaf dry mass,40,Nmass,mgN/g,40
Parea,mgP/cm2,mgP/cm2,g m-2,N,10,leaf_P_perArea,Leaf phosphorus (P) content per leaf area,40,Parea,mgP/cm2,40
Pmass,mgP/g,mgP/g,mg g-1,N,1,leaf_P_perDryMass,Leaf phosphorus (P) content per leaf dry mass,40,Pmass,mgP/g,40
PNUE,?molCO2,umolCO2/s/gN,umolCO2/s/gN,N,1,leaf_PNUE,"Leaf photosynthesis rate per leaf nitrogen (N) content (photosynthetic nitrogen use efficiency, PNUE)",40,PNUE,?molCO2,40
PWUE,?molCO2,?molCO2,umol CO2 umol H20 -1,N,1,leaf_PWUE,Leaf photosynthesis rate per leaf transpiration (water use effinciency: WUE),40,PWUE,?molCO2,40
specific leaf area,mm2/mg,mm2/mg,mm2 mg-1,N,1,SLA,"Leaf area per leaf dry mass (specific leaf area, SLA)",40,specific leaf area,mm2/mg,40
