Individual,Species,Continent,Climate,Leaf Habit,Mass0_g
427,Plathymenia reticulata,South America,Humid,Deciduous,0.01940
428,Plathymenia reticulata,South America,Humid,Deciduous,0.02110
429,Plathymenia reticulata,South America,Humid,Deciduous,0.02220
430,Plathymenia reticulata,South America,Humid,Deciduous,0.02360
431,Plathymenia reticulata,South America,Humid,Deciduous,0.02390
432,Plathymenia reticulata,South America,Humid,Deciduous,0.02590
433,Plathymenia reticulata,South America,Humid,Deciduous,0.02690
434,Strychnos spinosa,Africa,Humid,Deciduous,0.64300
435,Strychnos spinosa,Africa,Humid,Deciduous,0.64500
436,Strychnos spinosa,Africa,Humid,Deciduous,0.68300
437,Strychnos spinosa,Africa,Humid,Deciduous,0.68900
438,Strychnos spinosa,Africa,Humid,Deciduous,0.72700
439,Strychnos spinosa,Africa,Humid,Deciduous,0.74300
440,Strychnos spinosa,Africa,Humid,Deciduous,0.83500
441,Strychnos spinosa,Africa,Humid,Deciduous,0.83800
442,Strychnos spinosa,Africa,Humid,Deciduous,0.87900
443,Strychnos spinosa,Africa,Humid,Deciduous,0.96800
