"species","plant_growth_form","leaf_lifespan","plant_height","plant_height_unit","leaf_length_min","leaf_length_max","leaf_length_unit","leaf_width_min","leaf_width_max","leaf_width_unit","seed_length_min","seed_length_max","seed_length_unit","seed_width_min","seed_width_max","seed_width_unit"
"Eucalyptus polyanthemos subsp. polyanthemos","T","",20,"m",5,11,"cm",1.8,5,"cm",0.8,1.4,"mm",NA,NA,""
"Eucalyptus polyanthemos subsp. vestita","T","",20,"m",3,11,"cm",1.5,6.3,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus polybractea","","",8,"m",6,13,"cm",0.4,2,"cm",0.5,1.2,"mm",NA,NA,""
"Eucalyptus populnea","T","",20,"m",4,11,"cm",1.3,5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus porosa","T","",12,"m",5,12,"cm",0.8,2.3,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus praetermissa","","",10,"m",5,10,"cm",1,2,"cm",0.7,1.7,"mm",NA,NA,""
"Eucalyptus prava","T","",15,"m",5.5,16,"cm",1.5,3.7,"cm",1,1.3,"mm",NA,NA,""
"Eucalyptus preissiana subsp. lobata","S","",1,"m",6.2,13.5,"cm",3,7.3,"cm",3,4,"mm",NA,NA,""
"Eucalyptus preissiana subsp. preissiana","S","",2.5,"m",6.5,13,"cm",2.5,5,"cm",2.5,4,"mm",NA,NA,""
"Eucalyptus prolixa","","",10,"m",5,10.3,"cm",0.5,1.4,"cm",1,2,"mm",NA,NA,""
"Eucalyptus prominens","","",3,"m",5,15,"cm",0.6,2.2,"cm",1.3,2.2,"mm",NA,NA,""
"Eucalyptus propinqua","T","",40,"m",6,17,"cm",1.5,2.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus protensa","","",10,"m",4.3,12.5,"cm",0.7,1.7,"cm",1.8,3,"mm",NA,NA,""
"Eucalyptus provecta","T","",12,"m",6.5,13,"cm",0.8,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus pruiniramis","T","",4,"m",8.5,12.5,"cm",1.5,3.3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus pruinosa subsp. pruinosa","T","",10,"m",4.5,16,"cm",2.5,10.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus pruinosa subsp. tenuata","T","",10,"m",2.5,11.6,"cm",1.5,6,"cm",1,3,"mm",NA,NA,""
"Eucalyptus psammitica","T","",15,"m",7,18,"cm",1.2,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus pterocarpa","","",10,"m",8,13.5,"cm",1.5,2.5,"cm",1.8,3,"mm",NA,NA,""
"Eucalyptus pulchella","T","",20,"m",3.3,12,"cm",0.3,1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus pulverulenta","T","",10,"m",1.5,10,"cm",2,5,"cm",1.3,2,"mm",NA,NA,""
"Eucalyptus pumila","","",5,"m",5,16,"cm",1,3,"cm",1,2.2,"mm",NA,NA,""
"Eucalyptus punctata","T","",35,"m",6,18,"cm",1.4,3.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus purpurata","","",10,"m",4.5,9.5,"cm",0.6,1.6,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus pyriformis","","",5,"m",5.5,11,"cm",1.5,3,"cm",3,6,"mm",NA,NA,""
"Eucalyptus pyrocarpa","T","",30,"m",9,24,"cm",1.5,4,"cm",2,4,"mm",NA,NA,""
"Eucalyptus quadrangulata","T","",50,"m",10.5,19,"cm",1,2.2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus quadrans","T","",12,"m",5.5,10.5,"cm",0.5,1.5,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus quadricostata","T","",14,"m",8,18,"cm",1.2,3.6,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus quaerenda","","",4,"m",5.5,9,"cm",0.4,0.7,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus quinniorum","T","",10,"m",9,23,"cm",1.6,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus racemosa subsp. racemosa","T","",20,"m",6.5,20,"cm",1,3.5,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus racemosa subsp. rossii","T","",15,"m",5.5,15,"cm",0.8,2.5,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus radiata subsp. radiata","T","",40,"m",5.5,12,"cm",0.6,1.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus radiata subsp. robertsonii","T","",50,"m",4.5,14,"cm",0.6,2.8,"cm",2,3,"mm",NA,NA,""
"Eucalyptus radiata subsp. sejuncta","T","",30,"m",5.5,18,"cm",0.8,2.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus rameliana","","",3,"m",5,11,"cm",2.3,5,"cm",2.5,4.5,"mm",NA,NA,""
"Eucalyptus raveretiana","T","",30,"m",6.5,17.2,"cm",1,4.2,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus ravida","","",10,"m",5.8,13,"cm",0.8,2.3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus recta","","",15,"m",7,14.5,"cm",1,2.3,"cm",1,3,"mm",NA,NA,""
"Eucalyptus recurva","","",4,"m",1,3.2,"cm",0.4,0.8,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus redunca","S","",2,"m",5,7.5,"cm",0.9,2.5,"cm",0.7,1.5,"mm",NA,NA,""
"Eucalyptus regnans","T","",90,"m",9,23,"cm",1.5,5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus relicta","T","",12,"m",8.8,15.3,"cm",1.5,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus remota","T","",15,"m",7.5,15,"cm",2,4,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus repullulans","","",5,"m",6.2,16,"cm",1,2.8,"cm",1,2,"mm",NA,NA,""
"Eucalyptus resinifera subsp. hemilampra","T","",45,"m",6,17,"cm",1.3,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus resinifera subsp. resinifera","T","",45,"m",7,18,"cm",1.4,4,"cm",0.9,2,"mm",NA,NA,""
"Eucalyptus retinens","T","",25,"m",9,30,"cm",1,4,"cm",2,2.7,"mm",NA,NA,""
"Eucalyptus rhodantha","S","",3,"m",4.5,13.5,"cm",3,7.5,"cm",4.5,6.5,"mm",NA,NA,""
"Eucalyptus rhombica","T","",20,"m",9,23,"cm",1.5,3.5,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus rhomboidea","T","",18,"m",8,15.5,"cm",1.5,2.2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus rigens","","",4,"m",6.5,12.5,"cm",1,2.2,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus rigidula","","",4,"m",4.7,10,"cm",0.4,1.7,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus risdonii","T","",8,"m",10,10,"cm",2,2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus robusta","T","",30,"m",8.5,17,"cm",2.5,7,"cm",1.2,1.8,"mm",NA,NA,""
"Eucalyptus rodwayi","T","",20,"m",5,13.5,"cm",0.7,2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus rosacea","","",4,"m",4.5,12,"cm",0.5,1,"cm",1,2,"mm",NA,NA,""
"Eucalyptus roycei","T","",6,"m",6.5,15,"cm",1.4,3.5,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus rubida subsp. barbigerorum","T","",15,"m",8,22,"cm",1.3,3.3,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus rubida subsp. rubida","T","",20,"m",6.8,17.5,"cm",0.8,3.4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus rubiginosa","T","",15,"m",7,15,"cm",1,3,"cm",1.7,2.3,"mm",NA,NA,""
"Eucalyptus rudderi","T","",30,"m",7,13,"cm",1.2,2.5,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus rudis subsp. cratyantha","T","",25,"m",7,18,"cm",1,3.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus rudis subsp. rudis","T","",20,"m",7,18,"cm",1,3.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus rugosa","","",10,"m",5,12,"cm",0.7,3,"cm",1.8,2.5,"mm",NA,NA,""
"Eucalyptus rugulata","","",15,"m",7.5,14,"cm",1.3,2.8,"cm",1,2.8,"mm",NA,NA,""
"Eucalyptus rummeryi","T","",40,"m",8,17,"cm",1,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus rupestris","T","",5,"m",3.7,7.5,"cm",1,3,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus salicola","T","",15,"m",3.5,10.5,"cm",0.4,1.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus saligna","T","",55,"m",9,19,"cm",1.5,4,"cm",1,2,"mm",NA,NA,""
"Eucalyptus salmonophloia","T","",25,"m",6,12,"cm",0.6,1.7,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus salubris","","",15,"m",6.5,10.5,"cm",0.7,1.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus sargentii subsp. fallens","T","",6,"m",5.5,11.5,"cm",0.7,1.7,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus sargentii subsp. sargentii","T","",11,"m",5.3,12.5,"cm",0.5,1.3,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus saxatilis","T","",5,"m",5.8,20,"cm",0.7,2,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus scias subsp. apoda","T","",10,"m",7.5,14.5,"cm",2,3.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus scias subsp. scias","T","",20,"m",7,20,"cm",2,6,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus scoparia","T","",15,"m",6,16,"cm",0.5,1.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus scopulorum","T","",8,"m",6,11,"cm",1.5,3.8,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus scyphocalyx","T","",5,"m",6,10.5,"cm",1,2,"cm",1.8,3.2,"mm",NA,NA,""
"Eucalyptus seeana","T","",18,"m",20,20,"cm",1,2.5,"cm",0.7,1.1,"mm",NA,NA,""
"Eucalyptus semota","T","",8,"m",3.3,10.5,"cm",0.4,1.2,"cm",0.8,1.2,"mm",NA,NA,""
"Eucalyptus sepulcralis","T","",7,"m",5,11.5,"cm",0.8,1.3,"cm",3.5,8,"mm",NA,NA,""
"Eucalyptus serraensis","T","",5,"m",5,13,"cm",2,7,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus sessilis","","",5,"m",6,15,"cm",1.7,6.2,"cm",2,4,"mm",NA,NA,""
"Eucalyptus sheathiana","T","",10,"m",6.5,13.3,"cm",0.8,3,"cm",1.2,3.5,"mm",NA,NA,""
"Eucalyptus shirleyi","T","",7,"m",5,16,"cm",3,10,"cm",1,2,"mm",NA,NA,""
"Eucalyptus sicilifolia","T","",10,"m",6.5,12,"cm",0.7,1.6,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus siderophloia","T","",20,"m",8.5,17.5,"cm",1.5,3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus sideroxylon","T","D",25,"m",5,14,"cm",1,4,"cm",1,2,"mm",NA,NA,""
"Eucalyptus sieberi","T","",35,"m",8.5,19.5,"cm",1.2,3.8,"cm",1,3,"mm",NA,NA,""
"Eucalyptus similis","T","",12,"m",7,18,"cm",1,3.5,"cm",2,3.8,"mm",NA,NA,""
"Eucalyptus singularis","","",6,"m",5.5,13,"cm",0.6,2,"cm",2,4,"mm",NA,NA,""
"Eucalyptus smithii","T","",45,"m",6,21,"cm",0.7,1.6,"cm",1,2.7,"mm",NA,NA,""
"Eucalyptus socialis subsp. socialis","","",10,"m",5,14,"cm",0.8,2.5,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus socialis subsp. victoriensis","","",7,"m",5.5,13,"cm",1.4,3.5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus socialis subsp. viridans","","",5,"m",5.5,9.5,"cm",1,2.5,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus sp. Cockburn","T","",7,"m",7,11,"cm",1,1.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus sp. Dorsiventralis","T","",20,"m",8,16,"cm",1.5,3.7,"cm",1,2,"mm",NA,NA,""
"Eucalyptus sp. Flinders Ranges","","",7,"m",7,17,"cm",0.5,1,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus sp. Kalbarri","","",4,"m",6.5,10.5,"cm",0.8,1.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus sp. Triangolensis","","",6,"m",7.5,12,"cm",1,3,"cm",NA,NA,"",1.5,3,"mm"
"Eucalyptus sp. Undulans","","",4,"m",4,7.5,"cm",0.4,0.8,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus sparsa","","",10,"m",7,10,"cm",1.3,2.5,"cm",0.9,2,"mm",NA,NA,""
"Eucalyptus sparsifolia","T","",20,"m",7,13.5,"cm",1,2.2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus spathulata","","",10,"m",3.5,9.5,"cm",0.2,0.9,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus sphaerocarpa","T","",45,"m",6.5,15,"cm",1.2,3.5,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus splendens subsp. arcana","T","",4,"m",8,15,"cm",1.7,3,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus splendens subsp. splendens","T","",10,"m",10,25,"cm",1.5,2.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus sporadica","","",4,"m",5,10,"cm",0.5,2.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus spreta","","",10,"m",7,13,"cm",0.7,2,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus squamosa","T","",15,"m",6,13,"cm",0.9,2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus staeri","T","",10,"m",8,14.7,"cm",1.8,3.5,"cm",2,5.5,"mm",NA,NA,""
"Eucalyptus staigeriana","T","",12,"m",4,11,"cm",1.2,3.2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus steedmanii","","",12,"m",3,8.5,"cm",0.6,1.5,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus stellulata","T","",15,"m",5,11,"cm",0.9,3.2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus stenostoma","T","",25,"m",9,19.5,"cm",1,3,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus stoatei","","",6,"m",5,8,"cm",1.4,3.5,"cm",3,5,"mm",NA,NA,""
"Eucalyptus stowardii","","",5,"m",6,13.8,"cm",1.2,3.3,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus striaticalyx","T","",12,"m",7,17.5,"cm",0.7,2.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus stricklandii","T","",9,"m",10.5,18.5,"cm",1.5,3.7,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus stricta","","",7,"m",6,11,"cm",0.6,1.6,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus strzeleckii","T","",30,"m",7.5,21.5,"cm",1.4,3.3,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus sturgissiana","","",5,"m",5,10,"cm",0.7,1.2,"cm",1.3,2,"mm",NA,NA,""
"Eucalyptus subangusta subsp. cerina","","",5,"m",4.5,12,"cm",0.6,1.8,"cm",0.7,1.2,"mm",NA,NA,""
"Eucalyptus subangusta subsp. pusilla","","",7,"m",6.5,12,"cm",0.5,1.5,"cm",0.5,1,"mm",NA,NA,""
"Eucalyptus subangusta subsp. subangusta","","",5,"m",4.5,12,"cm",0.6,1.8,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus subangusta subsp. virescens","","",5,"m",4.5,12,"cm",0.5,1.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus subcrenulata","T","",20,"m",5.2,13.5,"cm",2,4.5,"cm",1.3,2,"mm",NA,NA,""
"Eucalyptus suberea","T","",3,"m",5.5,10,"cm",0.8,1.7,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus subtilis","","",3,"m",4.5,8,"cm",0.3,0.7,"cm",0.6,1,"mm",NA,NA,""
"Eucalyptus suffulgens","T","",25,"m",8,18.5,"cm",1,3.4,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus suggrandis subsp. alipes","","",8,"m",3,7.5,"cm",0.4,1.1,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus suggrandis subsp. suggrandis","S","",5,"m",3,8.5,"cm",0.4,2.5,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus surgens","","",2,"m",5.5,11.5,"cm",1,2.2,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus synandra","","",4,"m",10,20,"cm",0.5,1.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus talyuberlup","T","",10,"m",4.5,10.5,"cm",0.6,2,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus taurina","T","",22,"m",7.5,18,"cm",1.5,3,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus tectifica","T","",15,"m",7,22.5,"cm",0.9,4.2,"cm",2,4,"mm",NA,NA,""
"Eucalyptus tenella","T","",15,"m",5,15,"cm",0.5,2,"cm",1.2,2,"mm",NA,NA,""
"Eucalyptus tenera","","",5,"m",4,9,"cm",0.7,2.5,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus tenuipes","T","D",5,"m",3.5,13.5,"cm",0.8,2.8,"cm",1,2,"mm",NA,NA,""
"Eucalyptus tenuiramis","T","",25,"m",5.5,13,"cm",1,2.5,"cm",1.5,2.2,"mm",NA,NA,""
"Eucalyptus tenuis","","",10,"m",6.5,12,"cm",0.7,2,"cm",1.2,3,"mm",NA,NA,""
"Eucalyptus tephroclada","","",4,"m",5,10,"cm",0.6,1.5,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus tephrodes","T","",12,"m",7,19,"cm",1,4.7,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus terebra","","",12,"m",6,9.5,"cm",0.5,1.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus tereticornis subsp. mediana","T","",20,"m",8,20,"cm",1,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus tereticornis subsp. tereticornis","T","",50,"m",8,22,"cm",1,3.5,"cm",0.8,1.5,"mm",NA,NA,""
"Eucalyptus terrica","T","",10,"m",5,13,"cm",0.9,2,"cm",0.9,1,"mm",NA,NA,""
"Eucalyptus tetrapleura","T","",30,"m",8,20,"cm",1.7,3.4,"cm",1,2,"mm",NA,NA,""
"Eucalyptus tetraptera","S","",4,"m",9,28.5,"cm",2.8,11.6,"cm",3.5,6,"mm",NA,NA,""
"Eucalyptus tetrodonta","T","",25,"m",10,28,"cm",1.2,4,"cm",2,4,"mm",NA,NA,""
"Eucalyptus thamnoides subsp. megista","","",4,"m",5,12.5,"cm",0.8,2.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus thamnoides subsp. thamnoides","","",4,"m",4.5,10.5,"cm",0.8,2,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus tholiformis","T","",15,"m",7.5,14,"cm",1.2,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus thozetiana","T","",17,"m",5,14,"cm",0.5,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus tindaliae","T","",30,"m",6,14,"cm",1.2,3.7,"cm",1,3,"mm",NA,NA,""
"Eucalyptus tintinnans","T","",15,"m",5.5,11,"cm",3.5,8,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus todtiana","T","",5,"m",8,12.5,"cm",1.5,2.2,"cm",5,9,"mm",NA,NA,""
"Eucalyptus torquata","T","",12,"m",8,11.5,"cm",1.3,2,"cm",1.8,3,"mm",NA,NA,""
"Eucalyptus tortilis","","",8,"m",5.5,9.5,"cm",0.7,1.8,"cm",1,2,"mm",NA,NA,""
"Eucalyptus transcontinentalis","T","",12,"m",5,15,"cm",0.8,2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus tricarpa","T","D",35,"m",8,22,"cm",1,2.6,"cm",1,2,"mm",NA,NA,""
"Eucalyptus triflora","T","",12,"m",7,16,"cm",0.8,3,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus trivalvis","T","",5,"m",5,14,"cm",0.8,2.8,"cm",1,2.3,"mm",NA,NA,""
"Eucalyptus tumida","","",3,"m",6,10,"cm",1.2,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus ultima","","",4,"m",0.4,1,"cm",0.5,1.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus umbra","TS","",25,"m",6,18,"cm",1.5,4.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus umbrawarrensis","T","",18,"m",6,12,"cm",0.6,2.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus uncinata","T","",7,"m",5,11.5,"cm",0.5,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus urna","","",16,"m",6,14,"cm",0.8,2.2,"cm",1.5,2,"mm",NA,NA,""
"Eucalyptus urnigera","T","",15,"m",3.5,9,"cm",1,2.8,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus utilis","","",7,"m",4.5,8,"cm",1,4,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus valens","","",10,"m",9,15.5,"cm",1.5,3.5,"cm",1.2,3,"mm",NA,NA,""
"Eucalyptus varia subsp. salsuginosa","","",4,"m",5,8.3,"cm",0.5,1.5,"cm",0.8,1.6,"mm",NA,NA,""
"Eucalyptus varia subsp. varia","","",7,"m",4.8,9,"cm",0.9,2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus vegrandis","","",6,"m",3,8,"cm",0.2,2,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus vernicosa","S","",4,"m",1,3,"cm",0.8,1.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus verrucata","TS","",5,"m",5.5,12,"cm",2.5,9,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus vesiculosa","T","",3,"m",4.2,7,"cm",2.5,4,"cm",1,2,"mm",NA,NA,""
"Eucalyptus vicina","T","",8,"m",5.5,16,"cm",0.7,2.7,"cm",0.7,1.2,"mm",NA,NA,""
"Eucalyptus victoriana","T","",20,"m",7.2,15,"cm",2,5.5,"cm",2,4,"mm",NA,NA,""
"Eucalyptus victrix","T","",15,"m",7.8,22,"cm",0.8,3.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus viminalis subsp. cygnetensis","T","",10,"m",6,19,"cm",0.8,3,"cm",1.1,2.5,"mm",NA,NA,""
"Eucalyptus viminalis subsp. hentyensis","T","",6,"m",7,15,"cm",1.2,3,"cm",2,3,"mm",NA,NA,""
"Eucalyptus viminalis subsp. pryoriana","T","",15,"m",7,21.5,"cm",0.8,2.5,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus viminalis subsp. viminalis","T","",90,"m",8.5,23.2,"cm",0.8,3,"cm",1.2,3,"mm",NA,NA,""
"Eucalyptus virens","T","",25,"m",5.5,11,"cm",0.9,2.4,"cm",1,1.5,"mm",NA,NA,""
"Eucalyptus virginea","T","",20,"m",5,17,"cm",1.3,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus viridis","T","",8,"m",5,13,"cm",0.3,1.5,"cm",0.7,2,"mm",NA,NA,""
"Eucalyptus vokesensis","","",7,"m",7,11,"cm",2,5.4,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus volcanica","T","",25,"m",10,19,"cm",1.3,3,"cm",2,2.5,"mm",NA,NA,""
"Eucalyptus wandoo subsp. pulverea","T","",15,"m",7.5,12.5,"cm",1,2.8,"cm",0.7,1.3,"mm",NA,NA,""
"Eucalyptus wandoo subsp. wandoo","T","D",18,"m",7.5,12.5,"cm",1,2.8,"cm",0.7,1.3,"mm",NA,NA,""
"Eucalyptus websteriana","","",5,"m",1.8,4.5,"cm",0.9,3,"cm",1,2,"mm",NA,NA,""
"Eucalyptus whitei","T","",15,"m",6,12,"cm",1.2,2.5,"cm",1,2,"mm",NA,NA,""
"Eucalyptus wilcoxii","T","",10,"m",5.5,15.5,"cm",0.7,2.2,"cm",1.7,2.2,"mm",NA,NA,""
"Eucalyptus williamsiana","T","",20,"m",9,18,"cm",2,5,"cm",1.5,2.5,"mm",NA,NA,""
"Eucalyptus willisii subsp. falciformis","T","",20,"m",7.5,18,"cm",1,3.5,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus willisii subsp. willisii","T","",15,"m",5.7,16,"cm",0.6,1.8,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus woodwardii","","",10,"m",9.5,18.5,"cm",2,5,"cm",2,3.5,"mm",NA,NA,""
"Eucalyptus wyolensis","","",7,"m",5,10,"cm",3,6,"cm",2,3,"mm",NA,NA,""
"Eucalyptus xanthonema subsp. apposita","","",3,"m",4,6.5,"cm",0.7,1.5,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus xanthonema subsp. xanthonema","","",4,"m",3.5,7.7,"cm",0.3,1.1,"cm",0.8,1.3,"mm",NA,NA,""
"Eucalyptus xerothermica","T","",12,"m",7.8,18,"cm",1,3.6,"cm",1.5,3.5,"mm",NA,NA,""
"Eucalyptus yalatensis","S","",4,"m",5,12,"cm",0.9,2.2,"cm",1,2,"mm",NA,NA,""
"Eucalyptus yarraensis","T","",15,"m",6,13.5,"cm",1.7,4,"cm",1,2.5,"mm",NA,NA,""
"Eucalyptus yilgarnensis","T","",10,"m",4.8,10,"cm",0.5,2,"cm",0.8,2,"mm",NA,NA,""
"Eucalyptus youmanii","T","",20,"m",5.5,16,"cm",1.2,3.2,"cm",1.5,3,"mm",NA,NA,""
"Eucalyptus youngiana","T","",10,"m",8.5,17,"cm",1.5,3.7,"cm",2.5,4,"mm",NA,NA,""
"Eucalyptus yumbarrana","T","",8,"m",7,13,"cm",2,5,"cm",1.8,2.5,"mm",NA,NA,""
"Eucalyptus zopherophloia","","",4,"m",4.5,10.3,"cm",0.5,1.3,"cm",1,2.5,"mm",NA,NA,""
