genus,species,form,height,stem diameter,fruits,dispersers,min fruit length,max fruit length,min fruit width,max fruti width,min seed length,max seed length,species_name,flowering_span,fruiting_span
Alectryon,forsythii,tree,8,0.36,woody capsule,NA,18,18,8,8,NA,NA,Alectryon forsythii,000000000110,001000000000
Alectryon,oleifolius,tree,13,NA,capsule,NA,8,8,10,25,NA,NA,Alectryon oleifolius,111111111111,111000011111
Alectryon,ramiflorus,NA,NA,NA,capsule?,NA,NA,NA,NA,NA,NA,NA,Alectryon ramiflorus,NA,NA
Alectryon,repandodentatus,tree,10,NA,thin-walled capsule,NA,7,12,14,16,NA,NA,Alectryon repandodentatus,000001100000,010000000000
Alectryon,reticulatus,tree,10,NA,thin-walled capsule,NA,8,16,8,14,5,5,Alectryon reticulatus,000000000011,000001110000
Alectryon,semicinereus,tree,15,NA,thin-walled capsule,NA,6,12,6,12,4,5,Alectryon semicinereus,110000000001,000110000000
Alectryon,subcinereus,tree,18,0.3,capsule,Green Catbird,NA,9,NA,9,NA,6,Alectryon subcinereus,100000000001,000111110000
Alectryon,subdentatus,tree,11,0.2,capsule,NA,13,15,13,15,NA,NA,Alectryon subdentatus,111100000001,000000000010
Alectryon,tomentosus,tree,20,0.3,thin-walled capsule,many bird species,8,12,6,22,5,8,Alectryon tomentosus,111000000011,111111000000
Alectryon,tropicus,tree,8,NA,woody capsule,NA,6,13,16,28,6,8,Alectryon tropicus,000111110000,001110000000
Alectryon,unilobatus,tree,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Alectryon unilobatus,NA,NA
Allophylus,cobbe,vine/shrub,6,NA,berry,NA,5,10,4,9,4,8,Allophylus cobbe,111000001111,111100000011
Arytera,(Dryander Creek),tree,6,NA,capsule,NA,8,8,NA,NA,NA,NA,Arytera (Dryander Creek),000000000010,100000000000
Arytera,bifoliolata,tree,10,NA,capsule,NA,10,10,8,8,10,10,Arytera bifoliolata,000000011111,111000000001
Arytera,distylis,tree,24,0.35,capsule,Figbird & Regent Bowerbird,9,13,NA,NA,9,9,Arytera distylis,000000001100,110000000111
Arytera,divaricata,tree,30,NA,capsule,Metallic Starling,13,16,10,14,10,15,Arytera divaricata,111110000011,100011111111
Arytera,pauciflora,tree,20,NA,capsule,Victoria's Riflebird,17,17,14,14,NA,NA,Arytera pauciflora,100000011111,100000111111
Arytera,pseudofoveolata,tree,25,NA,capsule,NA,12,12,9,9,8,8,Arytera pseudofoveolata,000000000001,000100000000
Atalaya,angustifolia,shrub,5,NA,samara,NA,25,42,11,20,NA,NA,Atalaya angustifolia,001111111111,000000001110
Atalaya,australiana,tree,20,NA,samara,NA,25,37,12,12,NA,NA,Atalaya australiana,000000000111,000000000110
Atalaya,calcicola,tree,10,NA,samara,NA,30,55,14,40,8,8,Atalaya calcicola,000011110000,110000000000
Atalaya,collina,NA,NA,NA,samala or capsule?,NA,NA,NA,NA,NA,NA,NA,Atalaya collina,NA,NA
Atalaya,foveolata,tree,NA,NA,samara,NA,NA,NA,NA,NA,NA,NA,Atalaya foveolata,NA,NA
Atalaya,microphylla,tree,NA,NA,capsule,NA,NA,NA,NA,NA,NA,NA,Atalaya microphylla,NA,NA
Atalaya,multiflora,tree,25,0.4,samara,NA,20,40,14,14,NA,NA,Atalaya multiflora,100000000111,001110000000
Atalaya,oligoclada,shrub,3,NA,samara,NA,23,33,8,10,7,7,Atalaya oligoclada,000000001100,000000001000
Atalaya,rigida,tree,8,NA,samara,NA,35,40,16,16,NA,NA,Atalaya rigida,100000001111,100000000011
Atalaya,salicifolia,tree,25,0.45,samara,NA,20,40,9,20,7,7,Atalaya salicifolia,000000000110,100000000111
