genus_speceis,Species.code,number,individual,Site,Rainfall,Soil.nutrient,Group,context,Diamter_of_sapwood_for_mechanical_test (mm),Estimated_bark_thickness (mm),Drymatter content,Fresh_density (g/cm3),Dry_density (g/cm3),Youngs_modulus (Mpa),Bending_strength (Mpa),"Youngs_modulus (bark, Mpa)",species_name
Dodonaea viscosa ssp angustissima,DodVisang,2,DodVisang_2_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.15,0.4120291,0.68358396,1.33,0.909166667,13993.38,110.45042,-5358.11019,Dodonaea viscosa ssp. angustissima
Dodonaea viscosa ssp angustissima,DodVisang,3,DodVisang_3_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.97,0.3624664,0.722924901,1.265,0.9145,15028.42,149.56151,-1293.555144,Dodonaea viscosa ssp. angustissima
Dodonaea viscosa ssp angustissima,DodVisang,4,DodVisang_4_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.7,0.1777327,0.733759843,1.27,0.931875,13178.06,137.60179,-12082.9673,Dodonaea viscosa ssp. angustissima
Dodonaea viscosa ssp angustissima,DodVisang,5,DodVisang_5_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.02,0.6057742,0.723135272,1.248947368,0.903157895,12065.01,126.24286,1292.514945,Dodonaea viscosa ssp. angustissima
Eremophila longifolia,EreLon,1,EreLon_1_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,5.03,0.724148,0.638508371,0.973333333,0.621481481,4373.15,62.92866,963.0648926,Eremophila longifolia
Eremophila longifolia,EreLon,2,EreLon_2_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.9,0.889535,0.589092141,0.984,0.579666667,5684.49,79.35409,2130.587478,Eremophila longifolia
Eremophila longifolia,EreLon,3,EreLon_3_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.38,0.5216915,0.641718976,0.941363636,0.604090909,5795.72,63.77486,-277.1042077,Eremophila longifolia
Eremophila longifolia,EreLon,4,EreLon_4_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.28,0.866723,0.667089679,0.985,0.657083333,8069,93.19019,-65.5760256,Eremophila longifolia
Eremophila longifolia,EreLon,5,EreLon_5_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.46,1.037813,0.651668352,0.989,0.6445,8259.46,100.20504,1086.497498,Eremophila longifolia
Geijera parviflora,GeiPar,1,GeiPar_1_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.2,0.7263748,0.657180969,1.1245,0.739,7037.46,88.02548,561.9619312,Geijera parviflora
Geijera parviflora,GeiPar,2,GeiPar_2_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.66,1.2052132,0.679146256,1.099230769,0.746538462,5052.94,64.55997,1389.896734,Geijera parviflora
Geijera parviflora,GeiPar,3,GeiPar_3_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.17,1.3548502,0.625102543,1.06,0.662608696,6533.15,79.30965,2162.992888,Geijera parviflora
Geijera parviflora,GeiPar,4,GeiPar_4_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.15,1.2201769,0.645248172,1.181363636,0.762272727,8346,102.3204,731.7962256,Geijera parviflora
Geijera parviflora,GeiPar,5,GeiPar_5_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.19,1.0505883,0.708515815,1.141666667,0.808888889,5588.21,74.34186,782.8795646,Geijera parviflora
Hakea tephrosperma,HakTep,1,HakTep_1_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.2,0.1981864,0.60243218,1.187777778,0.715555556,8859.05,118.23077,-8415.115194,Hakea tephrosperma
Hakea tephrosperma,HakTep,2,HakTep_2_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,3.53,0.84927,0.605428987,1.146111111,0.693888889,9756.46,92.24216,-7.21671967,Hakea tephrosperma
Hakea tephrosperma,HakTep,3,HakTep_3_at_LR-HN,"Woodland, RoundHill",low,high,LR-HN,sapwood,4.53,0.84927,0.569578213,1.158076923,0.659615385,5398.86,52.74252,2566.605256,Hakea tephrosperma
