Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
MARATTIACEAE,NA,NA,NA,NA,NA,NA,NA
Angiopteris,NA,NA,NA,NA,NA,NA,NA
Angiopteris evecta (G.Forst.) Hoffm.,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
MARSILEACEAE,NA,NA,NA,NA,NA,NA,NA
Marsilea,NA,NA,NA,NA,NA,NA,NA
Marsilea angustifolia R.Br.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Marsilea costulifera D.L.Jones,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Marsilea crenata C.Presl,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Marsilea cryptocarpa Albr. & Chinnock,NA,NA,NA,NA,NA,NA,NA
Marsilea drummondii A.Braun,NA,NA,Yates 2003,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Marsilea exarata A.Braun,NA,NA,Latz 2004,"Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA
Marsilea hirsuta R.Br.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Marsilea latzii D.L.Jones,NA,NA,"Latz 2004, Liddle 2004",Seeder,None,NA,NA
Marsilea mutica Mett.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
MARTYNIACEAE,NA,NA,NA,NA,NA,NA,NA
Martynia,NA,NA,NA,NA,NA,NA,NA
Martynia annua L.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
MELASTOMATACEAE,NA,NA,NA,NA,NA,NA,NA
Dissotis rotundifolia (Sm.) Triana,NA,NA,NA,NA,NA,NA,NA
Melastoma,NA,NA,NA,NA,NA,NA,NA
Melastoma imbricatum Wall. ex C.B.Clarke,NA,NA,NA,NA,NA,NA,NA
Melastoma malabathricum L.,NA,NA,NA,NA,NA,NA,NA
Melastoma malabathricum L. subsp. malabathricum,NA,NA,"Yates 2003, KNP plots, JRS 2004",Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Memecylon,NA,NA,NA,NA,NA,NA,NA
Memecylon arnhemensis Whiffin,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Memecylon pauciflorum Blume,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Osbeckia,NA,NA,NA,NA,NA,NA,NA
Osbeckia australiana Naudin,NA,NA,Yates 2003,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Osbeckia chinensis L.,NA,NA,NA,NA,NA,NA,NA
Osbeckia chinensis L. var. chinensis,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Pternandra,NA,NA,NA,NA,NA,NA,NA
Pternandra coerulescens Jack,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),Dispersal reliant,NA
MELIACEAE,NA,NA,NA,NA,NA,NA,NA
Aglaia,NA,NA,NA,NA,NA,NA,NA
Aglaia brownii Pannell,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Aglaia sapindina (F.Muell.) Harms,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Azadirachta,NA,NA,NA,NA,NA,NA,NA
Azadirachta indica A.Juss.,NA,NA,NA,NA,NA,NA,NA
Dysoxylum,NA,NA,NA,NA,NA,NA,NA
Dysoxylum acutangulum Miq.,NA,NA,NA,NA,NA,NA,NA
Dysoxylum acutangulum Miq. subsp. foveolatum (Radlk.) Mabb.,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Dysoxylum latifolium Benth.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Khaya,NA,NA,NA,NA,NA,NA,NA
Khaya senegalensis (Desr.) A.Juss.,NA,NA,NA,NA,NA,NA,NA
Melia,NA,NA,NA,NA,NA,NA,NA
Melia azedarach L.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Owenia,NA,NA,NA,NA,NA,NA,NA
Owenia acidula F.Muell.,NA,NA,Latz 2004,NA,NA,NA,NA
Owenia reticulata F.Muell.,NA,NA,Latz 2004,Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Owenia sp. Top End (I.D.Cowie 14038 & N.J.Cuff) Cowie,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Owenia vernicosa F.Muell.,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Turraea,NA,NA,NA,NA,NA,NA,NA
Turraea pubescens Hell.,NA,NA,JRS 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Vavaea,NA,NA,NA,NA,NA,NA,NA
Vavaea amicorum Benth.,NA,NA,JRS 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),Dispersal reliant,NA
Vavaea sp. sandstone (C.R.Dunlop 5540),NA,NA,I.D.Cowie,NA,NA,NA,NA
Xylocarpus,NA,NA,NA,NA,NA,NA,NA
Xylocarpus granatum J.König,NA,NA,NA,NA,NA,NA,NA
Xylocarpus moluccensis (Lam.) M.Roem.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
MENISPERMACEAE,NA,NA,NA,NA,NA,NA,NA
Hypserpa,NA,NA,NA,NA,NA,NA,NA
Hypserpa decumbens (Benth.) Diels,NA,NA,NA,NA,NA,NA,NA
Hypserpa polyandra Becc.,NA,NA,NA,NA,NA,NA,NA
Hypserpa polyandra Becc. var. polyandra,NA,NA,NA,NA,NA,NA,NA
Pachygone,NA,NA,NA,NA,NA,NA,NA
Pachygone ovata (Poir.) Hook.f. & Thomson,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Stephania,NA,NA,NA,NA,NA,NA,NA
Stephania japonica (Thunb.) Miers,NA,NA,NA,NA,NA,NA,NA
Stephania japonica (Thunb.) Miers var. japonica,NA,NA,NA,NA,NA,NA,NA
Stephania japonica (Thunb.) Miers var. timoriensis (DC.) Forman,NA,NA,NA,NA,NA,NA,NA
Tiliacora,NA,NA,NA,NA,NA,NA,NA
Tiliacora australiana Forman,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),Dispersal reliant,NA
Tinospora,NA,NA,NA,NA,NA,NA,NA
Tinospora esiangkara (F.M.Bailey) Forman,NA,NA,"KNP plots, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Tinospora smilacina Benth.,NA,NA,"Yates 2003, JRS 2004, Latz 2004",Resprouter,"Epicormic shoots, Underground storage organs (bulbs/tubers)",NA,NA
MENYANTHACEAE,NA,NA,NA,NA,NA,NA,NA
Nymphoides,NA,NA,NA,NA,NA,NA,NA
Nymphoides aurantiaca (Dalzell) Kuntze,NA,NA,Brennan 2004,NA,NA,NA,NA
Nymphoides crenata (F.Muell.) Kuntze,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Nymphoides exiliflora (F.Muell.) Kuntze,NA,NA,NA,NA,NA,NA,NA
Nymphoides furculifolia Specht,NA,NA,NA,NA,NA,NA,NA
Nymphoides indica (L.) Kuntze,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Nymphoides minima (F.Muell.) Kuntze,NA,NA,NA,NA,NA,NA,NA
Nymphoides parvifolia (Griseb.) Kuntze,NA,NA,NA,NA,NA,NA,NA
Nymphoides planosperma Aston,NA,NA,NA,NA,NA,NA,NA
Nymphoides quadriloba Aston,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Nymphoides simulans Aston,NA,NA,NA,NA,NA,NA,NA
Nymphoides spongiosa Aston,NA,NA,NA,NA,NA,NA,NA
Nymphoides subacuta Aston,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
MOLLUGINACEAE,NA,NA,NA,NA,NA,NA,NA
Glinus,NA,NA,NA,NA,NA,NA,NA
Glinus lotoides L.,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA
Glinus oppositifolius (L.) Aug.DC.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA
Glinus orygioides F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Glinus sessiliflorus P.S.Short,NA,NA,NA,NA,NA,NA,NA
Hypertelis,NA,NA,NA,NA,NA,NA,NA
Hypertelis cerviana (L.) Thulin,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
Trigastrotheca,NA,NA,NA,NA,NA,NA,NA
Trigastrotheca molluginea F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Trigastrotheca pentaphylla (L.) Thulin,NA,NA,NA,NA,NA,NA,NA
MORACEAE,NA,NA,NA,NA,NA,NA,NA
Antiaris,NA,NA,NA,NA,NA,NA,NA
Antiaris toxicaria Lesch.,NA,NA,NA,NA,NA,NA,NA
Antiaris toxicaria Lesch. subsp. macrophylla (R.Br.) C.C.Berg,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Artocarpus,NA,NA,NA,NA,NA,NA,NA
Artocarpus glaucus Blume,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Fatoua,NA,NA,NA,NA,NA,NA,NA
Fatoua villosa (Murray) Nakai,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA
Ficus,NA,NA,NA,NA,NA,NA,NA
Ficus aculeata Miq.,NA,NA,I.D.Cowie,NA,NA,NA,NA
Ficus aculeata Miq. var. aculeata,NA,NA,NA,NA,NA,NA,NA
Ficus aculeata Miq. var. indecora (Miq.) D.J.Dixon,NA,NA,NA,NA,NA,NA,NA
Ficus adenosperma Miq.,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus atricha D.J.Dixon,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Ficus benjamina L.,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus brachypoda (Miq.) Miq.,NA,NA,"Latz 2004, Nano 2005","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA
Ficus carpentariensis D.J.Dixon,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus cerasicarpa D.J.Dixon,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus congesta Roxb.,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus coronulata Miq.,NA,NA,"Yates 2003, JRS 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus henneana Miq.,NA,NA,"JRS 2004, Liddle 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus hispida L.f.,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus lilliputiana D.J.Dixon,NA,NA,NA,NA,NA,NA,NA
Ficus lilliputiana D.J.Dixon f. lilliputiana,NA,NA,NA,NA,NA,NA,NA
Ficus lilliputiana D.J.Dixon f. pilosa D.J.Dixon,NA,NA,NA,NA,NA,NA,NA
Ficus platypoda (Miq.) Miq.,NA,NA,"Yates 2003, JRS 2004","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA
Ficus racemosa L.,NA,NA,"Yates 2003, JRS 2004",Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Ficus scobina Benth.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA
Ficus sp. rock walls (K.G.Brennan 7265) K.G.Brennan,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Ficus subpuberula Corner,NA,NA,JRS 2004,"Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA
Ficus tinctoria G.Forst.,NA,NA,NA,NA,NA,NA,NA
Ficus tinctoria G.Forst. subsp. tinctoria,NA,NA,NA,NA,NA,NA,NA
Ficus virens Aiton,NA,NA,NA,NA,NA,NA,NA
Ficus virens Aiton var. dasycarpa Corner,NA,NA,NA,NA,NA,NA,NA
Ficus virens Aiton var. virens,NA,NA,NA,NA,NA,NA,NA
Trophis,NA,NA,NA,NA,NA,NA,NA
Trophis scandens (Lour.) Hook. & Arn.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Trophis scandens (Lour.) Hook. & Arn. subsp. scandens,NA,NA,JRS 2004,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
MYRISTICACEAE,NA,NA,NA,NA,NA,NA,NA
Horsfieldia,NA,NA,NA,NA,NA,NA,NA
Horsfieldia australiana S.T.Blake,NA,NA,"KNP plots, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Myristica,NA,NA,NA,NA,NA,NA,NA
Myristica insipida R.Br.,NA,NA,"KNP plots, JRS 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Myristica insipida R.Br. var. insipida,NA,NA,NA,NA,NA,NA,NA
Myristica lancifolia Poir.,NA,NA,NA,NA,NA,NA,NA
Myristica lancifolia Poir. subsp. australiana Jessup & W.J.de Wilde,NA,NA,NA,NA,NA,NA,NA
MYRTACEAE,NA,NA,NA,NA,NA,NA,NA
Allosyncarpia,NA,NA,NA,NA,NA,NA,NA
Allosyncarpia ternata S.T.Blake,NA,NA,"KNP plots, Nitmiluk plots, JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",Dispersal reliant,NA
Aluta,NA,NA,NA,NA,NA,NA,NA
Aluta maisonneuvei (F.Muell.) Rye & Trudgen,NA,NA,NA,NA,NA,NA,NA
Aluta maisonneuvei (F.Muell.) Rye & Trudgen subsp. maisonneuvei,NA,NA,"Latz 2004, Liddle 2004",Seeder,NA,NA,NA
Asteromyrtus,NA,NA,NA,NA,NA,NA,NA
Asteromyrtus arnhemica (Byrnes) Craven,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Asteromyrtus lysicephala (F.Muell. & F.M.Bailey) Craven,NA,NA,NA,NA,NA,NA,NA
Asteromyrtus magnifica (Specht) Craven,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA
Asteromyrtus symphyocarpa (F.Muell.) Craven,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA
Calytrix,NA,NA,NA,NA,NA,NA,NA
Calytrix achaeta (F.Muell.) Benth.,NA,NA,KNP plots,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Calytrix arborescens (F.Muell.) Benth.,NA,NA,KNP plots,Faculative resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Calytrix brownii (Schauer) Craven,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003",Faculative resprouter,NA,NA,NA
Calytrix carinata Craven,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Calytrix decussata Craven,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA
Calytrix exstipulata DC.,NA,NA,"KNP plots, Nitmiluk plots, Yates 2003, Liddle 2004",Faculative resprouter,NA,NA,NA
Calytrix faucicola Craven,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Calytrix inopinata Craven,NA,NA,I.D.Cowie,Faculative resprouter,NA,NA,NA
Calytrix megaphylla (F.Muell.) Benth.,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA
Calytrix micrairoides Craven,NA,NA,I.D.Cowie,NA,NA,NA,NA
Calytrix mimiana Craven,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Calytrix rupestris Craven,NA,NA,NA,NA,NA,NA,NA
Calytrix surdiviperana Craven,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Calytrix verticillata Craven,NA,NA,NA,NA,NA,NA,NA
Corymbia,NA,NA,NA,NA,NA,NA,NA
Corymbia abbreviata (Blakely & Jacobs) K.D.Hill & L.A.S.Johnson,NA,NA,"Yates 2003, Liddle 2004",Resprouter,Epicormic shoots,NA,NA
Corymbia aparrerinja (Blakely) K.D.Hill & L.A.S.Johnson,NA,NA,"Yates 2003, Latz 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Corymbia arnhemensis (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,KNP plots,Faculative resprouter,NA,NA,NA
Corymbia aspera (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Corymbia bella K.D.Hill & L.A.S.Johnson,NA,NA,KNP plots,Resprouter,Epicormic shoots,NA,NA
Corymbia bleeseri (Blakely) K.D.Hill & L.A.S.Johnson,NA,NA,Nitmiluk plots,Faculative resprouter,NA,NA,NA
Corymbia candida K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia candida K.D.Hill & L.A.S.Johnson subsp. dipsodes K.D.Hill & L.A.S.Johnson,NA,NA,Brennan 2004,NA,NA,NA,NA
Corymbia chartacea K.D.Hill & L.A.S.Johnson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Corymbia chippendalei (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,Latz 2004,"Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Corymbia cliftoniana (W.V.Fitzg.) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia confertiflora (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Corymbia curtipes (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia deserticola (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia deserticola (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson subsp. mesogeotica K.D.Hill & L.A.S.Johnson,NA,NA,Latz 2004,"Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Corymbia dichromophloia (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Corymbia disjuncta K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia dunlopiana K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia eremaea (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia eremaea (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson subsp. eremaea,NA,NA,Latz 2004,"Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Corymbia eremaea (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson subsp. oligocarpa (Blakely & Jacobs) K.D.Hill & L.A.S.Johnson,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,NA,NA,NA
Corymbia ferruginea (Schauer) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia ferruginea (Schauer) K.D.Hill & L.A.S.Johnson subsp. ferruginea,NA,NA,NA,NA,NA,NA,NA
Corymbia ferruginea (Schauer) K.D.Hill & L.A.S.Johnson subsp. stypophylla K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia flavescens K.D.Hill & L.A.S.Johnson,NA,NA,Latz 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Corymbia foelscheana (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Corymbia grandifolia (R.Br. ex Benth.) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia grandifolia (R.Br. ex Benth.) K.D.Hill & L.A.S.Johnson subsp. grandifolia,NA,NA,NA,NA,NA,NA,NA
Corymbia grandifolia (R.Br. ex Benth.) K.D.Hill & L.A.S.Johnson subsp. lamprocardia K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia grandifolia (R.Br. ex Benth.) K.D.Hill & L.A.S.Johnson subsp. longa K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia greeniana (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Corymbia jacobsiana (Blakely) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia kombolgiensis (Brooker & Dunlop) K.D.Hill & L.A.S.Johnson,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA
Corymbia latifolia (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,"KNP plots, Nitmiluk plots",Resprouter,Epicormic shoots,NA,NA
Corymbia nesophila (Blakely) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia oocarpa (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Corymbia opaca (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,Latz 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Corymbia pachycarpa K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia pachycarpa K.D.Hill & L.A.S.Johnson subsp. glabrescens K.D.Hill & L.A.S.Johnson,NA,NA,Brennan 2004,NA,NA,NA,NA
Corymbia pachycarpa K.D.Hill & L.A.S.Johnson subsp. pachycarpa,NA,NA,NA,NA,NA,NA,NA
Corymbia papillosa K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia pauciseta K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia polycarpa (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Corymbia polysciada (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,Nitmiluk plots,Faculative resprouter,NA,NA,NA
Corymbia porrecta (S.T.Blake) K.D.Hill & L.A.S.Johnson,NA,NA,"KNP plots, Nitmiluk plots, Liddle 2004","Resprouter, Faculative resprouter",NA,NA,NA
Corymbia ptychocarpa (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia ptychocarpa (F.Muell.) K.D.Hill & L.A.S.Johnson subsp. aptycha K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia ptychocarpa (F.Muell.) K.D.Hill & L.A.S.Johnson subsp. ptychocarpa,NA,NA,NA,NA,NA,NA,NA
Corymbia setosa (Schauer) K.D.Hill & L.A.S.Johnson,NA,NA,NA,NA,NA,NA,NA
Corymbia setosa (Schauer) K.D.Hill & L.A.S.Johnson subsp. setosa,NA,NA,Brennan 2004,NA,NA,NA,NA
Corymbia sphaerica K.D.Hill & L.A.S.Johnson,NA,NA,"Latz 2004, Liddle 2004","Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Corymbia terminalis (F.Muell.) K.D.Hill & L.A.S.Johnson,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Corymbia umbonata (D.J.Carr & S.G.M.Carr) K.D.Hill & L.A.S.Johnson,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Eucalyptus,NA,NA,NA,NA,NA,NA,NA
Eucalyptus alba Reinw. ex Blume,NA,NA,NA,NA,NA,NA,NA
Eucalyptus alba Reinw. ex Blume var. australasica Blakely & Jacobs,NA,NA,NA,NA,NA,NA,NA
Eucalyptus apodophylla Blakely & Jacobs,NA,NA,NA,NA,NA,NA,NA
Eucalyptus barklyensis L.A.S.Johnson & K.D.Hill,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eucalyptus bigalerita F.Muell.,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Eucalyptus brachyandra F.Muell.,NA,NA,Yates 2003,Resprouter,Epicormic shoots,NA,NA
Eucalyptus brevifolia F.Muell.,NA,NA,"Yates 2003, Latz 2004",Faculative resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Eucalyptus camaldulensis Dehnh.,NA,NA,NA,NA,NA,NA,NA
Eucalyptus camaldulensis Dehnh. subsp. arida Brooker & M.W.McDonald,NA,NA,I.D.Cowie,NA,NA,NA,NA
Eucalyptus camaldulensis Dehnh. subsp. obtusa (Blakely) Brooker & M.W.McDonald,NA,NA,Latz 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Eucalyptus chlorophylla Brooker & Done,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eucalyptus chlorophylla Brooker & Done subsp. chlorophylla,NA,NA,NA,NA,NA,NA,NA
Eucalyptus coolabah Blakely & Jacobs,NA,NA,NA,NA,NA,NA,NA
Eucalyptus coolabah Blakely & Jacobs subsp. arida (Blakely) L.A.S.Johnson & K.D.Hill,NA,NA,Latz 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Eucalyptus cupularis C.A.Gardner,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Eucalyptus cyanoclada Blakely,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
"Eucalyptus distans Brooker, Boland & Kleinig",NA,NA,NA,NA,NA,NA,NA
Eucalyptus gamophylla F.Muell.,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eucalyptus gigantangion L.A.S.Johnson & K.D.Hill,NA,NA,KNP plots,Resprouter,Epicormic shoots,NA,NA
Eucalyptus gillenii Ewart & L.R.Kerr,NA,NA,Latz 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Eucalyptus glomericassis L.A.S.Johnson & K.D.Hill,NA,NA,NA,NA,NA,NA,NA
Eucalyptus gongylocarpa Blakely,NA,NA,Latz 2004,"Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA
Eucalyptus gregoryensis N.G.Walsh & Albr.,NA,NA,NA,NA,NA,NA,NA
