Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,stem buds
Trianthema patellitectum A.M.Prescott,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA
Trianthema pilosum F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Trianthema portulacastrum L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Trianthema rhynchocalyptrum F.Muell.,NA,NA,Yates 2003,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA
Trianthema triquetrum Willd.,NA,NA,Latz 2004,Seeder,None,NA,NA
Trianthema turgidifolium F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Zaleya,NA,NA,NA,NA,NA,NA,NA
Zaleya galericulata (Melville) H.Eichler,NA,NA,NA,NA,NA,NA,NA
Zaleya galericulata (Melville) H.Eichler subsp. galericulata,NA,NA,Latz 2004,Resprouter,Root suckers or rhizomes,NA,NA
ALISMATACEAE,NA,NA,NA,NA,NA,NA,NA
Butomopsis,NA,NA,NA,NA,NA,NA,NA
Butomopsis latifolia (D.Don) Kunth,NA,NA,Cowie 2019,NA,NA,NA,NA
Caldesia,NA,NA,NA,NA,NA,NA,NA
Caldesia acanthocarpa (F.Muell.) Buchenau,NA,NA,NA,NA,NA,NA,NA
Caldesia oligococca (F.Muell.) Buchenau,NA,NA,NA,NA,NA,NA,NA
Caldesia oligococca (F.Muell.) Buchenau var. oligococca,NA,NA,NA,NA,NA,NA,NA
AMARANTHACEAE,NA,NA,NA,NA,NA,NA,NA
Achyranthes,NA,NA,NA,NA,NA,NA,NA
Achyranthes aspera L.,NA,NA,"Yates 2003, JRS 2004",Seeder,None,NA,NA
Aerva,NA,NA,NA,NA,NA,NA,NA
Aerva javanica (Burm.f.) Juss.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Alternanthera,NA,NA,NA,NA,NA,NA,NA
Alternanthera angustifolia R.Br.,NA,NA,"KNP plots, Albrecht 2004",Seeder,None,NA,NA
Alternanthera brasiliana (L.) Kuntze,NA,NA,NA,NA,NA,NA,NA
Alternanthera denticulata R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Alternanthera denticulata R.Br. var. denticulata,NA,NA,NA,NA,NA,NA,NA
Alternanthera denticulata R.Br. var. micrantha Benth.,NA,NA,NA,NA,NA,NA,NA
Alternanthera ficoidea (L.) P.Beauv.,NA,NA,NA,NA,NA,NA,NA
Alternanthera nana R.Br.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Alternanthera nodiflora R.Br.,NA,NA,"Yates 2003, Latz 2004",Seeder,None,NA,NA
Alternanthera pungens Kunth,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA
Amaranthus,NA,NA,NA,NA,NA,NA,NA
Amaranthus caudatus L.,NA,NA,NA,NA,NA,NA,NA
Amaranthus centralis J.Palmer & Mowatt,NA,NA,"Albrecht 2004, Brennan 2004",Seeder,NA,NA,NA
