Water_treatment,Species,Subfamily,Tribe,Tillers_prefire,Tillers_postfire,Basal_cm2,Tillers_cm2,Wet_weight_mg,LA_mm2,Dry_weight_mg,SLA,LDMC,Photosynthetic_pathway,Growth_habit,Life_cycle,bud_location,resprout_prop
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,21,0,7.96,2.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Walwhalleya proluta,Panicoideae,Paniceae,17,0,31.83,0.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,12,0,11.46,1.05,407,905.58,124,7.3,304.67,NA,NA,NA,NA,0
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,10,0,5.09,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,12,0,6.45,1.86,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,16,0,6.45,2.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Walwhalleya proluta,Panicoideae,Paniceae,10,0,9.63,1.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Paspalum distichum,Panicoideae,Paspaleae,76,45,161.14,0.47,913,1618.49,201,8.05,220.15,C4,Stoloniferous,Perennial,Rhizome,0.5921052631578947
4 Days,Paspalum distichum,Panicoideae,Paspaleae,38,13,198.94,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.34210526315789475
4 Days,Paspalum distichum,Panicoideae,Paspaleae,81,22,296.11,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2716049382716049
4 Days,Paspalum distichum,Panicoideae,Paspaleae,43,30,175.79,0.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6976744186046512
4 Days,Paspalum distichum,Panicoideae,Paspaleae,72,45,215.18,0.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.625
8 Days,Paspalum distichum,Panicoideae,Paspaleae,34,36,206.98,0.16,544,1218.41,132,9.23,242.65,NA,NA,NA,NA,1.0588235294117647
8 Days,Paspalum distichum,Panicoideae,Paspaleae,33,31,223.53,0.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9393939393939394
8 Days,Paspalum distichum,Panicoideae,Paspaleae,61,38,140.37,0.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6229508196721312
8 Days,Paspalum distichum,Panicoideae,Paspaleae,45,18,240.72,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4
8 Days,Paspalum distichum,Panicoideae,Paspaleae,27,27,249.56,0.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11 Days,Paspalum distichum,Panicoideae,Paspaleae,49,37,240.72,0.2,618,1265.07,158,8.01,255.66,NA,NA,NA,NA,0.7551020408163265
11 Days,Paspalum distichum,Panicoideae,Paspaleae,66,16,175.79,0.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.24242424242424243
11 Days,Paspalum distichum,Panicoideae,Paspaleae,34,25,206.98,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7352941176470589
11 Days,Paspalum distichum,Panicoideae,Paspaleae,52,36,191.07,0.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6923076923076923
11 Days,Paspalum distichum,Panicoideae,Paspaleae,51,24,240.72,0.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.47058823529411764
4 Days,Amphibromus nervosus,Pooideae,Poeae,115,60,17.9,6.42,742,917.01,238,3.85,320.75,C3,Tufed,Perennial,Crown,0.5217391304347826
4 Days,Amphibromus nervosus,Pooideae,Poeae,88,72,15.6,5.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8181818181818182
4 Days,Amphibromus nervosus,Pooideae,Poeae,68,44,15.6,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6470588235294118
4 Days,Amphibromus nervosus,Pooideae,Poeae,154,59,15.6,9.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.38311688311688313
4 Days,Amphibromus nervosus,Pooideae,Poeae,87,37,9.63,9.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.42528735632183906
8 Days,Amphibromus nervosus,Pooideae,Poeae,90,63,17.9,5.03,539,915.09,166,5.51,307.98,NA,NA,NA,NA,0.7
8 Days,Amphibromus nervosus,Pooideae,Poeae,57,51,15.6,3.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8947368421052632
8 Days,Amphibromus nervosus,Pooideae,Poeae,98,66,13.45,7.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.673469387755102
8 Days,Amphibromus nervosus,Pooideae,Poeae,71,58,17.9,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8169014084507042
8 Days,Amphibromus nervosus,Pooideae,Poeae,66,37,15.6,4.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5606060606060606
11 Days,Amphibromus nervosus,Pooideae,Poeae,73,53,28.73,2.54,302,484.02,102,4.75,337.75,NA,NA,NA,NA,0.726027397260274
11 Days,Amphibromus nervosus,Pooideae,Poeae,45,54,11.46,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2
11 Days,Amphibromus nervosus,Pooideae,Poeae,77,85,15.6,4.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.103896103896104
11 Days,Amphibromus nervosus,Pooideae,Poeae,58,57,17.9,3.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9827586206896551
11 Days,Amphibromus nervosus,Pooideae,Poeae,81,103,9.63,8.41,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.271604938271605
4 Days,Deschampsia cespitosa,Pooideae,Poeae,47,28,49.74,0.94,4696,5031.89,1910,2.63,406.73,C3,Tufted,Perennial,Crown,0.5957446808510638
4 Days,Deschampsia cespitosa,Pooideae,Poeae,30,35,17.9,1.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1666666666666667
4 Days,Deschampsia cespitosa,Pooideae,Poeae,54,27,28.73,1.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5
4 Days,Deschampsia cespitosa,Pooideae,Poeae,52,37,15.6,3.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7115384615384616
4 Days,Deschampsia cespitosa,Pooideae,Poeae,36,23,38.52,0.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6388888888888888
8 Days,Deschampsia cespitosa,Pooideae,Poeae,31,61,25.78,1.2,3236,3698.84,871,4.25,269.16,NA,NA,NA,NA,1.967741935483871
8 Days,Deschampsia cespitosa,Pooideae,Poeae,63,37,23,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5873015873015873
8 Days,Deschampsia cespitosa,Pooideae,Poeae,39,64,31.83,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.641025641025641
8 Days,Deschampsia cespitosa,Pooideae,Poeae,40,30,28.73,1.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.75
8 Days,Deschampsia cespitosa,Pooideae,Poeae,40,49,17.9,2.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.225
11 Days,Deschampsia cespitosa,Pooideae,Poeae,58,48,20.37,2.85,2620,3234.33,1025,3.16,391.22,NA,NA,NA,NA,0.8275862068965517
11 Days,Deschampsia cespitosa,Pooideae,Poeae,26,51,20.37,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9615384615384615
11 Days,Deschampsia cespitosa,Pooideae,Poeae,31,48,28.73,1.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5483870967741935
11 Days,Deschampsia cespitosa,Pooideae,Poeae,35,56,23,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6
11 Days,Deschampsia cespitosa,Pooideae,Poeae,41,60,31.83,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4634146341463414
4 Days,Dryopoa  dives,Pooideae,Poeae,30,0,31.83,0.94,15365,15396.11,4985,3.09,324.44,C3,Tufted,Annual/Biennial,Crown,0
4 Days,Dryopoa  dives,Pooideae,Poeae,29,0,28.73,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Dryopoa  dives,Pooideae,Poeae,54,0,23,2.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Dryopoa  dives,Pooideae,Poeae,53,14,53.79,0.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2641509433962264
4 Days,Dryopoa  dives,Pooideae,Poeae,44,0,38.52,1.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dryopoa  dives,Pooideae,Poeae,30,0,25.78,1.16,7714,5923.76,1465,4.04,189.91,NA,NA,NA,NA,0
8 Days,Dryopoa  dives,Pooideae,Poeae,25,0,38.52,0.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dryopoa  dives,Pooideae,Poeae,34,0,13.45,2.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dryopoa  dives,Pooideae,Poeae,41,0,38.52,1.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dryopoa  dives,Pooideae,Poeae,38,0,23,1.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Dryopoa  dives,Pooideae,Poeae,20,0,15.6,1.28,4606,5099.77,1498,3.4,325.23,NA,NA,NA,NA,0
11 Days,Dryopoa  dives,Pooideae,Poeae,22,0,17.9,1.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Dryopoa  dives,Pooideae,Poeae,29,0,23,1.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Dryopoa  dives,Pooideae,Poeae,24,0,28.73,0.84,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Dryopoa  dives,Pooideae,Poeae,33,0,28.73,1.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Dichelachne siebriana,Pooideae,Poeae,26,0,20.37,1.28,757,894.95,327,2.74,431.97,C3,Tufted,Perennial,Crown,0
4 Days,Dichelachne siebriana,Pooideae,Poeae,8,0,11.46,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Dichelachne siebriana,Pooideae,Poeae,14,0,38.52,0.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Dichelachne siebriana,Pooideae,Poeae,17,0,15.6,1.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Dichelachne siebriana,Pooideae,Poeae,3,0,15.6,0.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dichelachne siebriana,Pooideae,Poeae,35,0,15.6,2.24,801,1022.29,270,3.79,337.08,NA,NA,NA,NA,0
8 Days,Dichelachne siebriana,Pooideae,Poeae,26,0,20.37,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dichelachne siebriana,Pooideae,Poeae,33,0,25.78,1.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dichelachne siebriana,Pooideae,Poeae,39,0,20.37,1.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Dichelachne siebriana,Pooideae,Poeae,23,0,13.45,1.71,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Dichelachne siebriana,Pooideae,Poeae,26,0,38.52,0.68,472,658.52,153,4.3,324.15,NA,NA,NA,NA,0
11 Days,Dichelachne siebriana,Pooideae,Poeae,16,0,17.9,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Dichelachne siebriana,Pooideae,Poeae,29,0,25.78,1.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Dichelachne siebriana,Pooideae,Poeae,21,0,23,0.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Dichelachne siebriana,Pooideae,Poeae,30,0,25.78,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Deyeuxia quadriseta,Pooideae,Poeae,77,37,49.74,1.55,953,1440.15,290,4.97,304.3,C3,Tufted,Perennial,Crown,0.4805194805194805
4 Days,Deyeuxia quadriseta,Pooideae,Poeae,42,6,23,1.83,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.14285714285714285
4 Days,Deyeuxia quadriseta,Pooideae,Poeae,5,0,7.96,0.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Deyeuxia quadriseta,Pooideae,Poeae,94,31,62.39,1.51,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.32978723404255317
4 Days,Deyeuxia quadriseta,Pooideae,Poeae,49,29,17.9,2.74,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5918367346938775
8 Days,Deyeuxia quadriseta,Pooideae,Poeae,90,85,71.62,1.26,770,1390.43,260,5.35,337.66,NA,NA,NA,NA,0.9444444444444444
8 Days,Deyeuxia quadriseta,Pooideae,Poeae,49,6,31.83,1.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.12244897959183673
8 Days,Deyeuxia quadriseta,Pooideae,Poeae,43,10,23,1.87,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.23255813953488372
8 Days,Deyeuxia quadriseta,Pooideae,Poeae,79,56,25.78,3.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7088607594936709
8 Days,Deyeuxia quadriseta,Pooideae,Poeae,48,25,23,2.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5208333333333334
11 Days,Deyeuxia quadriseta,Pooideae,Poeae,53,25,31.83,1.67,751,1757.66,321,5.48,427.43,NA,NA,NA,NA,0.4716981132075472
11 Days,Deyeuxia quadriseta,Pooideae,Poeae,37,31,31.83,1.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8378378378378378
11 Days,Deyeuxia quadriseta,Pooideae,Poeae,31,20,20.37,1.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6451612903225806
11 Days,Deyeuxia quadriseta,Pooideae,Poeae,37,50,71.62,0.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3513513513513513
11 Days,Deyeuxia quadriseta,Pooideae,Poeae,49,11,23,2.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.22448979591836735
4 Days,Echinopogon ovatus,Pooideae,Poeae,106,105,58.01,1.83,512,1017.15,157,6.48,306.64,C4,Rhizomatous,Perennial,Rhizome,0.9905660377358491
4 Days,Echinopogon ovatus,Pooideae,Poeae,63,75,45.84,1.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1904761904761905
4 Days,Echinopogon ovatus,Pooideae,Poeae,111,45,31.83,3.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.40540540540540543
4 Days,Echinopogon ovatus,Pooideae,Poeae,67,114,91.99,0.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7014925373134329
4 Days,Echinopogon ovatus,Pooideae,Poeae,78,109,42.1,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3974358974358974
8 Days,Echinopogon ovatus,Pooideae,Poeae,90,216,62.39,1.44,239,695.16,63,11.03,263.6,NA,NA,NA,NA,2.4
8 Days,Echinopogon ovatus,Pooideae,Poeae,77,174,86.66,0.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.25974025974026
8 Days,Echinopogon ovatus,Pooideae,Poeae,67,132,25.78,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9701492537313432
8 Days,Echinopogon ovatus,Pooideae,Poeae,71,109,86.66,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.5352112676056338
8 Days,Echinopogon ovatus,Pooideae,Poeae,88,87,45.84,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9886363636363636
11 Days,Echinopogon ovatus,Pooideae,Poeae,67,105,62.39,1.07,166,508.46,50,10.17,301.2,NA,NA,NA,NA,1.5671641791044777
11 Days,Echinopogon ovatus,Pooideae,Poeae,56,63,20.37,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.125
11 Days,Echinopogon ovatus,Pooideae,Poeae,60,86,42.1,1.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4333333333333333
11 Days,Echinopogon ovatus,Pooideae,Poeae,44,140,97.48,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1818181818181817
11 Days,Echinopogon ovatus,Pooideae,Poeae,87,48,31.83,2.73,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5517241379310345
4 Days,Lachnagrostis filiformis,Pooideae,Poeae,93,88,15.6,5.96,714,1373.58,198,6.94,277.31,C3,"Tufted, shortly rhizomatous",Annual/Biennial/Perennial,Crown,0.946236559139785
4 Days,Lachnagrostis filiformis,Pooideae,Poeae,64,75,15.6,4.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.171875
4 Days,Lachnagrostis filiformis,Pooideae,Poeae,150,0,35.09,4.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Lachnagrostis filiformis,Pooideae,Poeae,51,115,62.39,0.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2549019607843137
4 Days,Lachnagrostis filiformis,Pooideae,Poeae,58,0,28.73,2.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Lachnagrostis filiformis,Pooideae,Poeae,52,0,31.83,1.63,438,1172.08,116,10.1,264.84,NA,NA,NA,NA,0
8 Days,Lachnagrostis filiformis,Pooideae,Poeae,45,6,49.74,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13333333333333333
8 Days,Lachnagrostis filiformis,Pooideae,Poeae,38,0,25.78,1.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Lachnagrostis filiformis,Pooideae,Poeae,90,12,66.92,1.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13333333333333333
8 Days,Lachnagrostis filiformis,Pooideae,Poeae,16,0,25.78,0.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Lachnagrostis filiformis,Pooideae,Poeae,81,0,35.09,2.31,232,539.07,71,7.59,306.03,NA,NA,NA,NA,0
11 Days,Lachnagrostis filiformis,Pooideae,Poeae,126,126,31.83,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11 Days,Lachnagrostis filiformis,Pooideae,Poeae,75,0,58.01,1.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Lachnagrostis filiformis,Pooideae,Poeae,67,0,13.45,4.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Lachnagrostis filiformis,Pooideae,Poeae,62,0,15.6,3.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Poa labillardieri,Pooideae,Poeae,124,105,23,5.39,2628,2674.84,1279,2.09,486.68,C3,Tufted,Perennial,Crown,0.8467741935483871
4 Days,Poa labillardieri,Pooideae,Poeae,131,113,23,5.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8625954198473282
4 Days,Poa labillardieri,Pooideae,Poeae,182,79,23,7.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4340659340659341
4 Days,Poa labillardieri,Pooideae,Poeae,119,92,25.78,4.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.773109243697479
4 Days,Poa labillardieri,Pooideae,Poeae,103,76,20.37,5.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7378640776699029
8 Days,Poa labillardieri,Pooideae,Poeae,90,96,23,3.91,2065,1914.27,822,2.33,398.06,NA,NA,NA,NA,1.0666666666666667
8 Days,Poa labillardieri,Pooideae,Poeae,86,119,17.9,4.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3837209302325582
8 Days,Poa labillardieri,Pooideae,Poeae,104,101,23,4.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9711538461538461
8 Days,Poa labillardieri,Pooideae,Poeae,69,114,23,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6521739130434783
8 Days,Poa labillardieri,Pooideae,Poeae,91,104,23,3.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1428571428571428
11 Days,Poa labillardieri,Pooideae,Poeae,119,107,23,5.17,1772,1756.3,913,1.92,515.24,NA,NA,NA,NA,0.8991596638655462
11 Days,Poa labillardieri,Pooideae,Poeae,84,99,17.9,4.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1785714285714286
11 Days,Poa labillardieri,Pooideae,Poeae,109,109,17.9,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,1
11 Days,Poa labillardieri,Pooideae,Poeae,76,139,17.9,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8289473684210527
11 Days,Poa labillardieri,Pooideae,Poeae,108,86,17.9,6.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7962962962962963
4 Days,Pentapogon quadrifidus,Pooideae,Poeae,44,32,17.9,2.46,724,1094.95,278,3.94,383.98,C3,Tufted,Annual/Perennial,Crown,0.7272727272727273
4 Days,Pentapogon quadrifidus,Pooideae,Poeae,38,31,11.46,3.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8157894736842105
4 Days,Pentapogon quadrifidus,Pooideae,Poeae,71,35,42.1,1.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.49295774647887325
4 Days,Pentapogon quadrifidus,Pooideae,Poeae,96,51,25.78,3.72,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.53125
4 Days,Pentapogon quadrifidus,Pooideae,Poeae,39,37,17.9,2.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9487179487179487
8 Days,Pentapogon quadrifidus,Pooideae,Poeae,51,46,23,2.22,543,945.62,161,5.87,296.5,NA,NA,NA,NA,0.9019607843137255
8 Days,Pentapogon quadrifidus,Pooideae,Poeae,77,81,23,3.35,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.051948051948052
8 Days,Pentapogon quadrifidus,Pooideae,Poeae,57,34,13.45,4.24,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5964912280701754
8 Days,Pentapogon quadrifidus,Pooideae,Poeae,46,27,28.73,1.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5869565217391305
8 Days,Pentapogon quadrifidus,Pooideae,Poeae,70,71,17.9,3.91,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0142857142857142
11 Days,Pentapogon quadrifidus,Pooideae,Poeae,51,6,23,2.22,510,793.14,177,4.48,347.06,NA,NA,NA,NA,0.11764705882352941
11 Days,Pentapogon quadrifidus,Pooideae,Poeae,18,21,17.9,1.01,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1666666666666667
11 Days,Pentapogon quadrifidus,Pooideae,Poeae,44,20,15.6,2.82,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.45454545454545453
11 Days,Pentapogon quadrifidus,Pooideae,Poeae,53,44,20.37,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8301886792452831
11 Days,Pentapogon quadrifidus,Pooideae,Poeae,51,63,17.9,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2352941176470589
4 Days,Poa sieberiana,Pooideae,Poeae,154,0,17.9,8.6,1009,716.11,350,2.05,346.88,C3,Tufted,Perennial,Crown,0
4 Days,Poa sieberiana,Pooideae,Poeae,139,23,13.45,10.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16546762589928057
4 Days,Poa sieberiana,Pooideae,Poeae,128,0,11.46,11.17,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Poa sieberiana,Pooideae,Poeae,109,63,15.6,6.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5779816513761468
4 Days,Poa sieberiana,Pooideae,Poeae,195,27,20.37,9.57,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.13846153846153847
8 Days,Poa sieberiana,Pooideae,Poeae,81,17,17.9,4.52,810,989.58,247,4.01,304.94,NA,NA,NA,NA,0.20987654320987653
8 Days,Poa sieberiana,Pooideae,Poeae,381,279,31.83,11.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7322834645669292
8 Days,Poa sieberiana,Pooideae,Poeae,74,12,6.45,11.48,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.16216216216216217
8 Days,Poa sieberiana,Pooideae,Poeae,103,11,28.73,3.59,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10679611650485436
8 Days,Poa sieberiana,Pooideae,Poeae,106,0,13.45,7.88,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Poa sieberiana,Pooideae,Poeae,82,21,23,3.57,1040,825.41,416,1.98,400,NA,NA,NA,NA,0.25609756097560976
11 Days,Poa sieberiana,Pooideae,Poeae,97,111,15.6,6.22,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1443298969072164
11 Days,Poa sieberiana,Pooideae,Poeae,78,0,17.9,4.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
11 Days,Poa sieberiana,Pooideae,Poeae,126,35,17.9,7.04,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2777777777777778
11 Days,Poa sieberiana,Pooideae,Poeae,157,0,15.6,10.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,51,0,15.6,3.27,1567,2923.45,569,5.14,363.11,C3,"Tufted, shortly rhizomatous",Perennial,Crown,0
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,37,0,13.45,2.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,55,0,15.6,3.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,45,0,15.6,2.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
4 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,59,0,31.83,1.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,72,73,20.37,3.53,879,896.8,327,2.74,372.01,NA,NA,NA,NA,1.0138888888888888
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,61,0,31.83,1.92,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,71,0,17.9,3.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,84,0,25.78,3.26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
8 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,80,82,35.09,2.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.025
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,35,12,15.6,2.24,1153,1198.25,531,2.26,460.54,NA,NA,NA,NA,0.34285714285714286
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,45,47,11.46,3.93,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.0444444444444445
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,82,70,28.73,2.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8536585365853658
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,45,35,25.78,1.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7777777777777778
11 Days,Austrostipa rudis ssp rudis,Pooideae,Stipeae,65,58,45.84,1.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8923076923076924
