taxon_name,family,plant_growth_form_to_use,woodiness_to_use
Euphrasia scabra,Scrophulariaceae,herb,herbaceous
Euphrasia semipicta,Scrophulariaceae,herb,herbaceous woody_base
Euphrasia sp. Bivouac Bay (W.R.Barker 7626 et al.),Scrophulariaceae,herb,herbaceous woody_base
Euphrasia striata,Scrophulariaceae,herb,herbaceous woody_base
Glycocystis beckeri,Scrophulariaceae,shrub,woody
Hebenstretia dentata,Scrophulariaceae,shrub,woody
Limosella australis,Scrophulariaceae,herb,herbaceous
Limosella curdieana,Scrophulariaceae,herb,herbaceous
Limosella curdieana var. Long-pedicelled (W.R.Barker 3577),Scrophulariaceae,herb,herbaceous
Limosella granitica,Scrophulariaceae,herb,herbaceous
Maurandya barclayana,Scrophulariaceae,climber_herbaceous,herbaceous
Maurandya scandens,Scrophulariaceae,climber_herbaceous,herbaceous
Myoporum acuminatum,Scrophulariaceae,shrub tree,woody
Myoporum acuminatum - Myoporum boninense subsp. australe,Scrophulariaceae,shrub,woody
Myoporum bateae,Scrophulariaceae,shrub,woody
Myoporum betcheanum,Scrophulariaceae,shrub tree,woody
Myoporum boninense,Scrophulariaceae,shrub,woody
Myoporum boninense subsp. australe,Scrophulariaceae,shrub,woody
Myoporum brevipes,Scrophulariaceae,shrub,woody
Myoporum caprarioides,Scrophulariaceae,shrub,woody
Myoporum cordifolium,Scrophulariaceae,shrub,woody
Myoporum floribundum,Scrophulariaceae,shrub,woody
Myoporum insulare,Scrophulariaceae,shrub tree,woody
Myoporum montanum,Scrophulariaceae,shrub tree,woody
Myoporum obscurum,Scrophulariaceae,shrub tree,woody
Myoporum oppositifolium,Scrophulariaceae,shrub,woody
Myoporum parvifolium,Scrophulariaceae,shrub,woody
Myoporum petiolatum,Scrophulariaceae,shrub,woody
Myoporum platycarpum,Scrophulariaceae,shrub tree,woody
Myoporum platycarpum subsp. perbellum,Scrophulariaceae,shrub tree,woody
Myoporum platycarpum subsp. platycarpum,Scrophulariaceae,shrub tree,woody
Myoporum sp. Tinaroo Range (V.K.Moriarty 302),Scrophulariaceae,,woody
Myoporum tetrandrum,Scrophulariaceae,shrub,woody
Myoporum turbinatum,Scrophulariaceae,shrub,woody
Myoporum velutinum,Scrophulariaceae,shrub,woody
Myoporum viscosum,Scrophulariaceae,shrub,woody
Nemesia strumosa,Scrophulariaceae,herb,herbaceous
Phyllopodium cordatum,Scrophulariaceae,herb,herbaceous
Polycarena rariflora,Scrophulariaceae,herb,herbaceous
Scrophularia auriculata,Scrophulariaceae,herb,herbaceous
Scrophularia nodosa,Scrophulariaceae,herb,herbaceous
Selago canescens,Scrophulariaceae,shrub,woody
Selago corymbosa,Scrophulariaceae,shrub,woody
Verbascum blattaria,Scrophulariaceae,herb,herbaceous
Verbascum creticum,Scrophulariaceae,herb,herbaceous
Verbascum sinuatum,Scrophulariaceae,herb,herbaceous
Verbascum thapsus,Scrophulariaceae,herb,herbaceous
Verbascum thapsus subsp. thapsus,Scrophulariaceae,herb,herbaceous
Verbascum virgatum,Scrophulariaceae,herb,herbaceous
Zaluzianskya divaricata,Scrophulariaceae,herb,herbaceous
Selaginella alutacia,Selaginellaceae,lycophyte,herbaceous
Selaginella andrewsii,Selaginellaceae,lycophyte,herbaceous
Selaginella australiensis,Selaginellaceae,lycophyte,herbaceous
Selaginella biformis,Selaginellaceae,lycophyte,herbaceous
Selaginella brisbanensis,Selaginellaceae,lycophyte,herbaceous
Selaginella ciliaris,Selaginellaceae,lycophyte,herbaceous
Selaginella gracillima,Selaginellaceae,lycophyte,herbaceous
Selaginella kraussiana,Selaginellaceae,lycophyte,herbaceous
Selaginella longiciliata,Selaginellaceae,lycophyte,herbaceous
Selaginella longipinna,Selaginellaceae,lycophyte,herbaceous
Selaginella plana,Selaginellaceae,lycophyte,herbaceous
Selaginella pygmaea,Selaginellaceae,lycophyte,herbaceous
Selaginella sp. Mt Gilruth (D.L.Jones 1543),Selaginellaceae,lycophyte,herbaceous
Selaginella uliginosa,Selaginellaceae,lycophyte,herbaceous
Selaginella umbrosa,Selaginellaceae,lycophyte,herbaceous
Selaginella vogelii,Selaginellaceae,lycophyte,herbaceous
Selaginella willdenowii,Selaginellaceae,lycophyte,herbaceous
Ailanthus altissima,Simaroubaceae,tree,woody
Ailanthus integrifolia,Simaroubaceae,tree,woody
Ailanthus integrifolia subsp. integrifolia,Simaroubaceae,tree,woody
Ailanthus triphysa,Simaroubaceae,tree,woody
Brucea javanica,Simaroubaceae,shrub tree,woody
Samadera baileyana,Simaroubaceae,tree,woody
Samadera bidwillii,Simaroubaceae,shrub tree,woody
Samadera sp. Barong (B.Gray 742),Simaroubaceae,tree,woody
Samadera sp. Dam Creek (T.S.Ryan 1006),Simaroubaceae,,woody
Samadera sp. Kennedy River (J.R.Clarkson 5645),Simaroubaceae,,woody
Samadera sp. Mary River (I.D.Cowie 1454),Simaroubaceae,,woody
Samadera sp. Moonee Creek (J.King s.n. Nov. 1949),Simaroubaceae,shrub,woody
Samadera sp. Mt Goonaneman (J.Randall 738),Simaroubaceae,,woody
Samadera sp. Mt Nardi (B.L.Walker AQ330746),Simaroubaceae,shrub tree,woody
Samadera sp. St Mary (P.Grimshaw+ PG2159),Simaroubaceae,,woody
Samadera sp. Tozer Range (L.J.Brass 19393),Simaroubaceae,tree,woody
Smilax aculeatissima,Smilacaceae,climber_herbaceous,herbaceous
Smilax australis,Smilacaceae,climber_herbaceous,herbaceous
Smilax blumei,Smilacaceae,climber_herbaceous,herbaceous
Smilax calophylla,Smilacaceae,climber_herbaceous,herbaceous
Smilax glyciphylla,Smilacaceae,climber_herbaceous,herbaceous
Smilax kaniensis,Smilacaceae,climber_herbaceous,herbaceous
Smilax macrophylla,Smilacaceae,climber_herbaceous,herbaceous
Smilax sp. Bamaga (L.S.Smith 12476),Smilacaceae,climber_herbaceous,herbaceous
Smilax sp. Cardwell (A.Thorsborne+ 61),Smilacaceae,climber_herbaceous,herbaceous
Smilax sp. Hinchinbrook Island (P.Sharpe 1638),Smilacaceae,climber_herbaceous,herbaceous
Smilax sp. Watson River (J.R.Clarkson 4075A),Smilacaceae,climber_herbaceous,herbaceous
Alkekengi officinarum,Solanaceae,herb,herbaceous
Anthocercis angustifolia,Solanaceae,shrub,woody
Anthocercis anisantha,Solanaceae,shrub,woody
Anthocercis anisantha subsp. anisantha,Solanaceae,shrub,woody
Anthocercis anisantha subsp. collina,Solanaceae,shrub,woody
Anthocercis fasciculata,Solanaceae,shrub,woody
Anthocercis genistoides,Solanaceae,shrub,woody
Anthocercis gracilis,Solanaceae,shrub,woody
Anthocercis ilicifolia,Solanaceae,shrub,woody
Anthocercis ilicifolia subsp. caldariola,Solanaceae,shrub,woody
Anthocercis ilicifolia subsp. ilicifolia,Solanaceae,shrub,woody
Anthocercis intricata,Solanaceae,shrub,woody
Anthocercis littorea,Solanaceae,shrub,woody
Anthocercis sp. Shark Bay (T.E.H.Aplin 3335),Solanaceae,shrub,woody
Anthocercis sylvicola,Solanaceae,shrub,woody
Anthocercis viscosa,Solanaceae,shrub,woody
Anthocercis viscosa subsp. caudata,Solanaceae,shrub,woody
Anthocercis viscosa subsp. viscosa,Solanaceae,shrub,woody
Anthocercis x tenuipes,Solanaceae,shrub,woody
Anthotroche myoporoides,Solanaceae,shrub,woody
Anthotroche pannosa,Solanaceae,shrub,woody
Anthotroche walcottii,Solanaceae,shrub,woody
Browallia americana,Solanaceae,herb,herbaceous
Brugmansia suaveolens,Solanaceae,shrub,woody
Brugmansia x candida,Solanaceae,shrub tree,woody
Brunfelsia australis,Solanaceae,shrub tree,woody
Calibrachoa parviflora,Solanaceae,herb,herbaceous
Capsicum annuum,Solanaceae,shrub,woody
Capsicum annuum var. glabriusculum,Solanaceae,shrub,woody
Capsicum frutescens,Solanaceae,herb shrub,herbaceous woody
Cestrum aurantiacum,Solanaceae,shrub,woody
Cestrum elegans,Solanaceae,shrub,woody
Cestrum fasciculatum,Solanaceae,shrub,woody
Cestrum nocturnum,Solanaceae,shrub tree,woody
Cestrum parqui,Solanaceae,shrub,woody
Cestrum x cultum,Solanaceae,shrub,woody
Crenidium spinescens,Solanaceae,shrub,woody
Cyphanthera albicans,Solanaceae,shrub,woody
Cyphanthera albicans subsp. albicans,Solanaceae,shrub,woody
Cyphanthera albicans subsp. notabilis,Solanaceae,shrub,woody
Cyphanthera albicans subsp. tomentosa,Solanaceae,shrub,woody
Cyphanthera anthocercidea,Solanaceae,shrub,woody
Cyphanthera microphylla,Solanaceae,shrub,woody
Cyphanthera miersiana,Solanaceae,shrub,woody
Cyphanthera myosotidea,Solanaceae,shrub,woody
Cyphanthera odgersii,Solanaceae,shrub,woody
Cyphanthera odgersii subsp. occidentalis,Solanaceae,shrub,woody
Cyphanthera odgersii subsp. odgersii,Solanaceae,shrub,woody
Cyphanthera racemosa,Solanaceae,shrub,woody
Cyphanthera scabrella,Solanaceae,shrub,woody
Cyphanthera tasmanica,Solanaceae,shrub,woody
Cyphanthera x cuneata,Solanaceae,shrub,woody
Cyphanthera x frondosa,Solanaceae,shrub,woody
Datura ferox,Solanaceae,herb,herbaceous
Datura innoxia,Solanaceae,herb,herbaceous
Datura leichhardtii,Solanaceae,herb,herbaceous
Datura leichhardtii subsp. leichhardtii,Solanaceae,herb,herbaceous
Datura metel,Solanaceae,herb,herbaceous
Datura stramonium,Solanaceae,herb,herbaceous
Datura wrightii,Solanaceae,herb,herbaceous
Duboisia arenitensis,Solanaceae,shrub,woody
Duboisia hopwoodii,Solanaceae,shrub,woody
Duboisia leichhardtii,Solanaceae,shrub tree,woody
Duboisia leichhardtii x Duboisia myoporoides,Solanaceae,shrub tree,woody
Duboisia myoporoides,Solanaceae,shrub tree,woody
Grammosolen dixonii,Solanaceae,shrub,woody
Grammosolen sp. Mt Ridley (W.R.Archer 1210911),Solanaceae,shrub,woody
Grammosolen truncatus,Solanaceae,shrub,woody
Hyoscyamus albus,Solanaceae,herb,herbaceous
Hyoscyamus niger,Solanaceae,herb,herbaceous
Lycianthes biflora,Solanaceae,herb,herbaceous
Lycianthes rantonnetii,Solanaceae,shrub,woody
Lycianthes shanesii,Solanaceae,tree,woody
Lycium afrum,Solanaceae,shrub,woody
Lycium australe,Solanaceae,shrub,woody
Lycium barbarum,Solanaceae,shrub,woody
Lycium ferocissimum,Solanaceae,shrub,woody
Nicandra physalodes,Solanaceae,herb,herbaceous
Nicotiana amplexicaulis,Solanaceae,herb,herbaceous
Nicotiana benthamiana,Solanaceae,herb,herbaceous
Nicotiana burbidgeae,Solanaceae,herb,herbaceous
Nicotiana cavicola,Solanaceae,herb,herbaceous
Nicotiana excelsior,Solanaceae,herb,herbaceous
Nicotiana faucicola,Solanaceae,herb,herbaceous
Nicotiana forsteri,Solanaceae,herb,herbaceous
Nicotiana gascoynica,Solanaceae,herb,herbaceous
Nicotiana glauca,Solanaceae,shrub tree,woody
Nicotiana goodspeedii,Solanaceae,herb,herbaceous
Nicotiana gossei,Solanaceae,herb,herbaceous
Nicotiana heterantha,Solanaceae,herb,herbaceous
Nicotiana karijini,Solanaceae,herb,herbaceous
Nicotiana maritima,Solanaceae,herb,herbaceous
Nicotiana megalosiphon,Solanaceae,herb,herbaceous
Nicotiana megalosiphon subsp. megalosiphon,Solanaceae,herb,herbaceous
Nicotiana megalosiphon subsp. sessilifolia,Solanaceae,herb,herbaceous
Nicotiana monoschizocarpa,Solanaceae,herb,herbaceous
Nicotiana occidentalis,Solanaceae,herb,herbaceous
Nicotiana occidentalis subsp. hesperis,Solanaceae,herb,herbaceous
Nicotiana occidentalis subsp. obliqua,Solanaceae,herb,herbaceous
Nicotiana occidentalis subsp. occidentalis,Solanaceae,herb,herbaceous
Nicotiana rosulata,Solanaceae,herb,herbaceous
Nicotiana rosulata subsp. ingulba,Solanaceae,herb,herbaceous
Nicotiana rosulata subsp. rosulata,Solanaceae,herb,herbaceous
Nicotiana rotundifolia,Solanaceae,herb,herbaceous
Nicotiana simulans,Solanaceae,herb,herbaceous
Nicotiana sp. Corunna (D.E.Symon 17088),Solanaceae,,
Nicotiana suaveolens,Solanaceae,herb,herbaceous
Nicotiana tabacum,Solanaceae,herb shrub,herbaceous woody_base
Nicotiana truncata,Solanaceae,herb,herbaceous
Nicotiana umbratica,Solanaceae,herb,herbaceous
Nicotiana velutina,Solanaceae,herb,herbaceous
Nicotiana wuttkei,Solanaceae,herb,herbaceous
Nicotiana x flindersiensis,Solanaceae,herb,herbaceous
Nicotiana yandinga,Solanaceae,herb,herbaceous
Nierembergia hippomanica,Solanaceae,herb,herbaceous woody_root
Petunia axillaris,Solanaceae,herb,herbaceous
Petunia x atkinsiana,Solanaceae,herb,herbaceous
Physalis angulata,Solanaceae,herb shrub,herbaceous semi_woody
Physalis cinerascens,Solanaceae,herb,herbaceous
Physalis crassifolia,Solanaceae,herb,herbaceous
Physalis crassifolia var. versicolor,Solanaceae,herb,herbaceous
Physalis hederifolia,Solanaceae,herb,herbaceous
Physalis ixocarpa,Solanaceae,herb,herbaceous
Physalis lanceifolia,Solanaceae,herb,herbaceous
Physalis longifolia,Solanaceae,herb,herbaceous
Physalis micrantha,Solanaceae,herb,herbaceous
Physalis minima,Solanaceae,herb,herbaceous
Physalis peruviana,Solanaceae,shrub,semi_woody woody
Physalis philadelphica,Solanaceae,herb,herbaceous
Physalis pubescens,Solanaceae,herb,herbaceous
Salpichroa origanifolia,Solanaceae,herb,herbaceous
Solandra maxima,Solanaceae,shrub climber_woody,woody
Solanum abutiloides,Solanaceae,shrub tree,woody
Solanum acanthodapis,Solanaceae,shrub,woody
Solanum aculeastrum,Solanaceae,shrub tree,woody
Solanum adenophorum,Solanaceae,herb,herbaceous
Solanum adoxum,Solanaceae,shrub,woody
Solanum amblymerum,Solanaceae,shrub,woody
Solanum americanum,Solanaceae,herb shrub,herbaceous semi_woody
Solanum ammophilum,Solanaceae,shrub,woody
Solanum angustum,Solanaceae,herb,herbaceous
Solanum apodophyllum,Solanaceae,shrub,woody
Solanum argopetalum,Solanaceae,herb,herbaceous
Solanum aridicola,Solanaceae,herb,herbaceous
Solanum armourense,Solanaceae,shrub,woody
Solanum ashbyae,Solanaceae,shrub,woody
Solanum asymmetriphyllum,Solanaceae,shrub,woody
Solanum austropiceum,Solanaceae,shrub,woody
Solanum aviculare,Solanaceae,shrub,woody
Solanum bauerianum,Solanaceae,shrub tree,woody
Solanum beaugleholei,Solanaceae,shrub,woody
Solanum betaceum,Solanaceae,tree,woody
Solanum brownii,Solanaceae,shrub,woody
Solanum callosum,Solanaceae,shrub,woody
Solanum campanulatum,Solanaceae,shrub,woody
Solanum capitaneum,Solanaceae,shrub,woody
Solanum capsiciforme,Solanaceae,shrub,woody
Solanum capsicoides,Solanaceae,shrub herb,herbaceous semi_woody
Solanum carduiforme,Solanaceae,shrub,herbaceous woody_base
Solanum cataphractum,Solanaceae,shrub,woody
Solanum celatum,Solanaceae,shrub,woody
Solanum centrale,Solanaceae,herb,herbaceous woody_base
Solanum chenopodinum,Solanaceae,shrub,woody
Solanum chenopodioides,Solanaceae,herb,herbaceous
Solanum chillagoense,Solanaceae,shrub,woody
Solanum chippendalei,Solanaceae,shrub,woody
Solanum chrysotrichum,Solanaceae,shrub,woody
Solanum cinereum,Solanaceae,shrub,woody
Solanum clarkiae,Solanaceae,shrub,woody
Solanum cleistogamum,Solanaceae,herb,herbaceous
Solanum coactiliferum,Solanaceae,shrub,woody
Solanum cocosoides,Solanaceae,shrub,woody
Solanum cookii,Solanaceae,shrub,woody
Solanum coracinum,Solanaceae,shrub,woody
Solanum corifolium,Solanaceae,shrub,woody
Solanum cowiei,Solanaceae,subshrub,woody
Solanum crassitomentosum,Solanaceae,shrub,woody
Solanum crebrispinum,Solanaceae,shrub,woody
Solanum cunninghamii,Solanaceae,shrub,woody
Solanum curvicuspe,Solanaceae,shrub,woody
Solanum defensum,Solanaceae,shrub,woody
Solanum densevestitum,Solanaceae,shrub,woody
Solanum dimidiatum,Solanaceae,herb,herbaceous
Solanum dimorphispinum,Solanaceae,shrub,woody
Solanum dioicum,Solanaceae,shrub,woody
Solanum discolor,Solanaceae,shrub,woody
Solanum dissectum,Solanaceae,shrub,woody
Solanum ditrichum,Solanaceae,herb,herbaceous
Solanum diversiflorum,Solanaceae,shrub,woody
Solanum douglasii,Solanaceae,herb shrub,herbaceous woody
Solanum dryanderense,Solanaceae,shrub,woody
Solanum dulcamara,Solanaceae,shrub,woody
Solanum dumicola,Solanaceae,herb,herbaceous
Solanum dunalianum,Solanaceae,shrub tree,woody
Solanum dysprosium,Solanaceae,shrub,woody
Solanum eardleyae,Solanaceae,shrub,woody
Solanum eburneum,Solanaceae,herb subshrub,herbaceous woody
Solanum echinatum,Solanaceae,shrub,woody
Solanum elachophyllum,Solanaceae,shrub,woody
Solanum elaeagnifolium,Solanaceae,herb,herbaceous
Solanum elatius,Solanaceae,shrub,woody
Solanum ellipticum,Solanaceae,herb shrub,herbaceous woody
Solanum eminens,Solanaceae,climber_herbaceous shrub,herbaceous woody
Solanum emmottii,Solanaceae,shrub,woody
Solanum eremophilum,Solanaceae,herb,herbaceous
Solanum erianthum,Solanaceae,shrub tree,woody
Solanum esuriale,Solanaceae,herb,herbaceous
Solanum fecundum,Solanaceae,shrub,woody
Solanum ferocissimum,Solanaceae,shrub,woody
Solanum ferox,Solanaceae,shrub,woody
Solanum fervens,Solanaceae,shrub,woody
Solanum francisii,Solanaceae,shrub,woody
Solanum furcatum,Solanaceae,herb,herbaceous
Solanum furfuraceum,Solanaceae,shrub,woody
Solanum gabrielae,Solanaceae,shrub,woody
Solanum galbinum,Solanaceae,shrub,woody
Solanum giganteum,Solanaceae,shrub tree,woody
Solanum gilesii,Solanaceae,shrub,woody
Solanum graniticum,Solanaceae,herb,herbaceous
Solanum gympiense,Solanaceae,shrub,woody
Solanum hamulosum,Solanaceae,shrub,woody
Solanum hapalum,Solanaceae,shrub,woody
Solanum hesperium,Solanaceae,shrub,woody
Solanum heteropodium,Solanaceae,shrub,woody
Solanum hoplopetalum,Solanaceae,herb,herbaceous
Solanum horridum,Solanaceae,shrub,woody
Solanum hystrix,Solanaceae,herb,herbaceous
Solanum inaequilaterum,Solanaceae,shrub,woody
Solanum incanum,Solanaceae,shrub,woody
Solanum innoxium,Solanaceae,shrub,woody
Solanum insanum,Solanaceae,shrub,woody
Solanum intonsum,Solanaceae,shrub,woody
Solanum iodinum,Solanaceae,shrub,woody
Solanum jobsonii,Solanaceae,herb subshrub,herbaceous woody_base
Solanum johnsonianum,Solanaceae,shrub,woody
Solanum jucundum,Solanaceae,shrub,woody
Solanum karsense,Solanaceae,herb,herbaceous
Solanum kentrocaule,Solanaceae,shrub,woody
Solanum lachnophyllum,Solanaceae,shrub,woody
Solanum laciniatum,Solanaceae,shrub,woody
Solanum lacunarium,Solanaceae,herb,herbaceous
Solanum lapidosum,Solanaceae,shrub,woody
Solanum lasiocarpum,Solanaceae,shrub,woody
Solanum lasiophyllum,Solanaceae,shrub,woody
Solanum latens,Solanaceae,shrub,woody
Solanum laxum,Solanaceae,climber_herbaceous,herbaceous
Solanum leopoldense,Solanaceae,shrub,woody
Solanum limitare,Solanaceae,shrub,woody
Solanum linearifolium,Solanaceae,shrub,woody
Solanum linnaeanum,Solanaceae,shrub,woody
Solanum lithophilum,Solanaceae,herb shrub,herbaceous woody
Solanum lobatum,Solanaceae,shrub,woody
Solanum lucani,Solanaceae,herb,herbaceous
Solanum lycopersicum,Solanaceae,herb,herbaceous
Solanum lythrocarpum,Solanaceae,shrub,woody
Solanum macoorai,Solanaceae,shrub tree,woody
Solanum magnifolium,Solanaceae,shrub,woody
Solanum marginatum,Solanaceae,shrub,woody
Solanum mauritianum,Solanaceae,shrub tree,woody
Solanum medicagineum,Solanaceae,shrub,woody
Solanum melanospermum,Solanaceae,shrub,woody
Solanum melongena,Solanaceae,herb,herbaceous woody_base
Solanum mentiens,Solanaceae,shrub,woody
Solanum mitchellianum,Solanaceae,shrub,woody
Solanum morrisonii,Solanaceae,shrub,woody
Solanum multiglochidiatum,Solanaceae,herb,herbaceous
Solanum nemophilum,Solanaceae,shrub,woody
Solanum neoanglicum,Solanaceae,shrub,woody
Solanum nigrum,Solanaceae,herb shrub,herbaceous semi_woody
Solanum nobile,Solanaceae,shrub,woody
Solanum nummularium,Solanaceae,shrub,woody
Solanum octona,Solanaceae,shrub,woody
Solanum oedipus,Solanaceae,shrub,woody
Solanum oldfieldii,Solanaceae,shrub,woody
Solanum oligacanthum,Solanaceae,herb subshrub,herbaceous woody_base
Solanum oligandrum,Solanaceae,shrub,woody
Solanum opacum,Solanaceae,herb,herbaceous
Solanum orbiculatum,Solanaceae,shrub,woody
Solanum orbiculatum subsp. macrophyllum,Solanaceae,shrub,woody
Solanum orbiculatum subsp. orbiculatum,Solanaceae,shrub,woody
Solanum orgadophilum,Solanaceae,herb,herbaceous
Solanum ossicruentum,Solanaceae,shrub,woody
Solanum osteocarpum,Solanaceae,shrub,woody
Solanum pallidifolium,Solanaceae,shrub,woody
Solanum papaverifolium,Solanaceae,herb,herbaceous
Solanum parvifolium,Solanaceae,shrub,woody
Solanum parvifolium subsp. parvifolium,Solanaceae,shrub,woody
Solanum parvifolium subsp. tropicum,Solanaceae,shrub,woody
Solanum petraeum,Solanaceae,shrub,woody
Solanum petrophilum,Solanaceae,shrub,woody
Solanum phlomoides,Solanaceae,shrub,woody
Solanum physalifolium,Solanaceae,herb,herbaceous
Solanum piceum,Solanaceae,shrub,woody
Solanum pisinnum,Solanaceae,herb,herbaceous
Solanum plicatile,Solanaceae,shrub,woody
Solanum prinophyllum,Solanaceae,herb,herbaceous woody_base
Solanum prolatum,Solanaceae,shrub,woody
Solanum pseudocapsicum,Solanaceae,shrub,woody
Solanum pseudolulo,Solanaceae,shrub,woody
Solanum pugiunculiferum,Solanaceae,herb,herbaceous
Solanum pungetium,Solanaceae,herb,herbaceous woody_base
Solanum pusillum,Solanaceae,herb,herbaceous
Solanum pycnotrichum,Solanaceae,shrub,woody
Solanum pyracanthos,Solanaceae,shrub,woody
Solanum quadriloculatum,Solanaceae,shrub,woody
Solanum radicans,Solanaceae,herb,herbaceous
Solanum reclusum,Solanaceae,shrub,woody
Solanum retroflexum,Solanaceae,herb,herbaceous
Solanum rhaphiotes,Solanaceae,shrub,woody
Solanum rixosum,Solanaceae,shrub,woody
Solanum rostratum,Solanaceae,herb,herbaceous
Solanum sarrachoides,Solanaceae,herb,herbaceous
Solanum seaforthianum,Solanaceae,climber_woody,woody
Solanum sejunctum,Solanaceae,shrub,woody
Solanum semiarmatum,Solanaceae,shrub,woody
Solanum senticosum,Solanaceae,shrub,woody
Solanum serpens,Solanaceae,shrub,woody
Solanum shirleyanum,Solanaceae,shrub,woody
Solanum silvestre,Solanaceae,shrub,woody
Solanum simile,Solanaceae,shrub,woody
Solanum sisymbriifolium,Solanaceae,herb,herbaceous
Solanum sp. Bachsten Creek (R.L.Barrett & M.D.Barrett RLB 3813),Solanaceae,,
Solanum sp. Boomerang Bay (K.F.Kenneally 10021),Solanaceae,herb shrub,herbaceous woody
Solanum sp. Longini (C.T.Martin 807 et al.),Solanaceae,,
Solanum sp. Mosquito Creek (A.A.Mitchell et al. AAM 10795),Solanaceae,,
Solanum sp. Prince Regent River (T.HandasydeCH 1925),Solanaceae,,
Solanum spirale,Solanaceae,shrub,woody
Solanum sporadotrichum,Solanaceae,shrub,woody
Solanum stelligerum,Solanaceae,shrub,woody
Solanum stenopterum,Solanaceae,herb,herbaceous
Solanum stupefactum,Solanaceae,shrub,woody
Solanum sturtianum,Solanaceae,shrub,woody
Solanum styleanum,Solanaceae,herb,herbaceous
Solanum succosum,Solanaceae,shrub,woody
Solanum symonii,Solanaceae,shrub,woody
Solanum terraneum,Solanaceae,herb,herbaceous
Solanum tetrandrum,Solanaceae,shrub,woody
Solanum tetrathecum,Solanaceae,herb subshrub,herbaceous woody_base
Solanum torvum,Solanaceae,shrub,woody
Solanum triflorum,Solanaceae,herb,herbaceous
Solanum tuberosum,Solanaceae,herb,herbaceous
Solanum tudununggae,Solanaceae,shrub,woody
Solanum tumulicola,Solanaceae,herb,herbaceous
Solanum ultimum,Solanaceae,shrub,woody
Solanum ultraspinosum,Solanaceae,shrub,woody
Solanum unispinum,Solanaceae,herb shrub,herbaceous woody
Solanum vansittartense,Solanaceae,shrub,woody
Solanum versicolor,Solanaceae,herb,herbaceous
Solanum vescum,Solanaceae,shrub,woody
Solanum vicinum,Solanaceae,shrub,woody
Solanum villosum,Solanaceae,herb,herbaceous
Solanum viridifolium,Solanaceae,shrub,woody
Solanum watneyi,Solanaceae,shrub,woody
Solanum wilkinsii,Solanaceae,shrub,woody
Solanum zoeae,Solanaceae,shrub,woody
Symonanthus aromaticus,Solanaceae,shrub,woody
Symonanthus bancroftii,Solanaceae,shrub,woody
Withania somnifera,Solanaceae,shrub,woody
Sparganium erectum,Sparganiaceae,herb,herbaceous
Sparganium erectum subsp. stoloniferum,Sparganiaceae,herb,herbaceous
Sparganium subglobosum,Sparganiaceae,herb,herbaceous
Sphenoclea zeylanica,Sphenocleaceae,herb,herbaceous
Stemona angusta,Stemonaceae,herb,herbaceous
Stemona australiana,Stemonaceae,herb climber_herbaceous,herbaceous
Stemona lucida,Stemonaceae,climber_herbaceous,herbaceous
Stemona prostrata,Stemonaceae,geophyte,herbaceous
Strelitzia nicolai,Strelitziaceae,palmoid,semi_woody
Donatia novae-zelandiae,Stylidiaceae,herb,herbaceous
Forstera bellidifolia,Stylidiaceae,herb,herbaceous
Levenhookia chippendalei,Stylidiaceae,herb,herbaceous
Levenhookia dubia,Stylidiaceae,herb,herbaceous
Levenhookia leptantha,Stylidiaceae,herb,herbaceous
Levenhookia murfetii,Stylidiaceae,herb,herbaceous
Levenhookia octomaculata,Stylidiaceae,herb,herbaceous
Levenhookia pauciflora,Stylidiaceae,herb,herbaceous
Levenhookia preissii,Stylidiaceae,herb,herbaceous
Levenhookia pulcherrima,Stylidiaceae,herb,herbaceous
Levenhookia pusilla,Stylidiaceae,herb,herbaceous
Levenhookia sonderi,Stylidiaceae,herb,herbaceous
Levenhookia stipitata,Stylidiaceae,herb,herbaceous
Phyllachne colensoi,Stylidiaceae,herb,herbaceous
Stylidium accedens,Stylidiaceae,herb,herbaceous
Stylidium aceratum,Stylidiaceae,herb,herbaceous
Stylidium acuminatum,Stylidiaceae,herb,herbaceous
Stylidium acuminatum subsp. acuminatum,Stylidiaceae,herb,herbaceous
Stylidium acuminatum subsp. meridionale,Stylidiaceae,herb,herbaceous
Stylidium adenophorum,Stylidiaceae,herb,herbaceous
Stylidium adnatum,Stylidiaceae,herb,herbaceous
Stylidium adpressum,Stylidiaceae,herb,herbaceous
Stylidium aeonioides,Stylidiaceae,herb,herbaceous
Stylidium affine,Stylidiaceae,herb,herbaceous
Stylidium albolilacinum,Stylidiaceae,herb,herbaceous
Stylidium albomontis,Stylidiaceae,herb,herbaceous
Stylidium alsinoides,Stylidiaceae,herb,herbaceous
Stylidium amabile,Stylidiaceae,herb,herbaceous
Stylidium amoenum,Stylidiaceae,herb,herbaceous
Stylidium amoenum var. amoenum,Stylidiaceae,herb,herbaceous
Stylidium amoenum var. caulescens,Stylidiaceae,herb,herbaceous
Stylidium amphora,Stylidiaceae,herb,herbaceous
Stylidium androsaceum,Stylidiaceae,herb,herbaceous
Stylidium angustifolium,Stylidiaceae,herb,herbaceous
Stylidium angustifolium subsp. angustifolium,Stylidiaceae,herb,herbaceous
Stylidium angustifolium subsp. glaucifolium,Stylidiaceae,herb,herbaceous
Stylidium applanatum,Stylidiaceae,herb,herbaceous
Stylidium aquaticum,Stylidiaceae,herb,herbaceous
