Taxon,Vegetative persistence,Propagule persistence,Eco Source,Fire Response Adult,Resprout Type,Seed Bank,Fire_Response_Adult,Resprout_Type,stem buds
Acacia sp. El Sharana (N.B.Byrnes 1326) G.J.Leach,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sp. Goomadeer (K.G.Brennan 5756) K.G.Brennan,NA,NA,I.D. Cowie 2021,NA,NA,NA,NA,NA,NA
Acacia sp. Gove (N.B.Byrnes 2586) G.J.Leach,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sp. Indiana Station (P.K.Latz 4430),NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia sp. Jim Jim Falls (M.Lazarides 9075),NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sp. Krichauff Range (A.Soos 241),NA,NA,Latz 2004,"Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,4,7,NA
Acacia sp. Kununurra (Lullfitz 6195) NSW Herbarium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sp. Lake Mackay (P.K.Latz 12836),NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sp. Lake Woods (N.Forde 248) K.G.Brennan,NA,NA,I.D. Cowie 2021,NA,NA,NA,NA,NA,NA
Acacia sp. Timber Creek (D.L.Lewis 2090) Jobson,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Acacia sp. Urandangie (L.Pedley 2025) Maslin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sp. affin. oncinocarpa (C.R.Michell 4200),NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sp. blue mulga (C.R.Dunlop 1951),NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sp. holey trunk (P.K.Latz 12458),NA,NA,Latz 2004,"Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia sp. laterite (I.D.Cowie 8754) Cowie,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia spondylophylla F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
"Acacia stellaticeps Kodela, Tindale & D.Keith",NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia stenophylla A.Cunn. ex Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia stigmatophylla A.Cunn. ex Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia stipuligera F.Muell.,NA,NA,"Albrecht 2004, JRS 2004, Liddle 2004, Brennan 2004","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA,NA,NA
Acacia stipulosa F.Muell.,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia strongylophylla F.Muell.,NA,NA,Latz 2004,Seeder,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia subcontorta Maslin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia sublanata Benth.,NA,NA,"KNP plots, Nitmiluk plots, Liddle 2004","Seeder, Resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Acacia subternata F.Muell.,NA,NA,"JRS 2004, Liddle 2004, Brennan 2004",Seeder,None,NA,NA,NA,NA
Acacia symonii Whibley,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia synchronicia Maslin,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia tenuior Maiden,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia tenuissima F.Muell.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Acacia tephrina Pedley,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Acacia tetragonophylla F.Muell.,NA,NA,"Latz 2004, Brock 2005","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots, None",NA,NA,NA,NA
Acacia thomsonii Maslin & M.W.McDonald,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia tolmerensis G.J.Leach,NA,NA,Cowie 2019,Resprouter,NA,NA,NA,NA,NA
Acacia torulosa Benth.,NA,NA,"KNP plots, Nitmiluk plots","Seeder, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), None",NA,NA,NA,NA
Acacia translucens A.Cunn. ex Hook.,NA,NA,"Yates 2003, Liddle 2004",Seeder,None,NA,NA,NA,NA
Acacia tropica (Maiden & Blakely) Tindale,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia tumida F.Muell. ex Benth.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Acacia tumida F.Muell. ex Benth. var. kulparn M.W.McDonald,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia tumida F.Muell. ex Benth. var. tumida,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia umbellata A.Cunn. ex Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Acacia undoolyana G.J.Leach,NA,NA,"Latz 2004, Liddle 2004","Resprouter, Faculative resprouter","Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Acacia validinervia Maiden & Blakely,NA,NA,"Latz 2004, Liddle 2004",Resprouter,Root suckers or rhizomes,NA,NA,NA,NA
Acacia victoriae Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia wickhamii Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia wickhamii Benth. subsp. wickhamii,NA,NA,NA,NA,NA,NA,NA,NA,NA
Acacia wiseana C.A.Gardner,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",Resprouter,NA,NA,NA,NA,NA
Acacia yirrkallensis Specht,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Acacia zatrichota A.S.George,NA,NA,I.D. Cowie 2021,NA,NA,NA,NA,NA,NA
Adenanthera,NA,NA,NA,NA,NA,NA,NA,NA,NA
Adenanthera pavonina L.,NA,NA,JRS 2004,Resprouter,Epicormic shoots,NA,NA,NA,NA
Aenictophyton,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aenictophyton anomalum (F.Muell.) I.Thomps.,NA,NA,"Latz 2004, Liddle 2004",Faculative resprouter,Root suckers or rhizomes,NA,NA,NA,NA
Aenictophyton reconditum A.T.Lee,NA,NA,"Latz 2004, Albrecht 2004",Resprouter,Root suckers or rhizomes,NA,NA,NA,NA
Aenictophyton reconditum A.T.Lee subsp. reconditum,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene americana L.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Aeschynomene aspera L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene indica L.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Aeschynomene paniculata Willd. ex Vogel,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aeschynomene villosa Poir.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albizia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albizia canescens Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Albizia lebbeck (L.) Benth.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Albizia procera Benth.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Alysicarpus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Alysicarpus aurantiacus Pedley,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Alysicarpus brownii Schindl.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Alysicarpus muelleri Schindl.,NA,NA,"KNP plots, Albrecht 2004",Seeder,None,NA,NA,NA,NA
Alysicarpus ovalifolius (Schumach.) Leonard,NA,NA,"Brock 2004, Brennan 2004","Seeder, Faculative resprouter",Underground storage organs (bulbs/tubers),NA,NA,NA,NA
Alysicarpus schomburgkii Schindl.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Alysicarpus suffruticosus Pedley,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Alysicarpus vaginalis (L.) A.DC.,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Aphyllodium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphyllodium biarticulatum (L.) Gagnep.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphyllodium schindleri Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Aphyllodium stylosanthoides Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrodolichos,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrodolichos errabundus (M.B.Scott) Verdc.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrodolichos errabundus (M.B.Scott) Verdc. var. errabundus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrodolichos errabundus (M.B.Scott) Verdc. var. variabilis R.S.Cowan ined.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Austrodolichos sp. Arnhem (I.D.Cowie 8659),NA,NA,NA,NA,NA,NA,NA,NA,NA
Bauhinia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bauhinia acuminata L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bauhinia binata Blanco,NA,NA,JRS 2004,Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Bauhinia cunninghamii (Benth.) Benth.,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Bauhinia gilva (F.M.Bailey) A.S.George,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Bauhinia malabarica Roxb.,NA,NA,JRS 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Bossiaea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bossiaea bossiaeoides (A.Cunn. ex Benth.) Court,NA,NA,"KNP plots, Nitmiluk plots",Faculative resprouter,NA,NA,NA,NA,NA
Caesalpinia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Caesalpinia bonduc (L.) Roxb.,NA,NA,JRS 2004,Seeder,None,NA,NA,NA,NA
Caesalpinia gilliesii (Wall. ex Hook.) Benth.,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Cajanus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cajanus acutifolius (F.Muell.) Maesen,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA,NA,NA
Cajanus aromaticus Maesen,NA,NA,I.D.Cowie,Seeder,NA,NA,NA,NA,NA
Cajanus cinereus (F.Muell. ex Benth.) F.Muell.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cajanus crassicaulis Maesen,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cajanus geminatus Pedley ex Maesen,NA,NA,I.D.Cowie,Resprouter,NA,NA,NA,NA,NA
Cajanus latisepalus (S.T.Reynolds & Pedley) Maesen,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cajanus marmoratus (R.Br. ex Benth.) F.Muell.,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Cajanus pubescens (Ewart & Morrison) Maesen,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cajanus reticulatus (Aiton) F.Muell.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cajanus reticulatus (Aiton) F.Muell. var. grandifolius (F.Muell.) Maesen,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cajanus reticulatus (Aiton) F.Muell. var. maritimus (S.T.Reynolds & Pedley) Maesen,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cajanus reticulatus (Aiton) F.Muell. var. reticulatus,NA,NA,I.D. Cowie,NA,NA,NA,NA,NA,NA
Cajanus sp. Elcho Island (J.R.Maconochie 2213) Cowie,NA,NA,Yates 2003; Cowie 2020,Seeder,None,NA,NA,NA,NA
Cajanus sp. Limmen (C.R.Michell 137 & J.Egan) P.C.Jobson,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Cajanus sp. Purnululu (I.D.Cowie 783) I.D.Cowie,NA,NA,I.D. Cowie 2020,Seeder,None,NA,NA,NA,NA
Calopogonium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Calopogonium mucunoides Desv.,NA,NA,JRS 2004,Seeder,None,NA,NA,NA,NA
Canavalia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Canavalia cathartica Thouars,NA,NA,"JRS 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Canavalia papuana Merr. & L.M.Perry,NA,NA,JRS 2004,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Canavalia rosea (Sw.) DC.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Cassia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cassia fistula L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cathormion,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cathormion umbellatum (Vahl) Kosterm.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Cathormion umbellatum (Vahl) Kosterm. subsp. moniliforme (DC.) Brummitt,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Centrosema,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrosema molle Mart. ex Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrosema pascuorum Mart. ex Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Centrosema plumieri (Turpin ex Pers.) Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista absus (L.) H.S.Irwin & Barneby,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Chamaecrista absus (L.) H.S.Irwin & Barneby var. absus,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Chamaecrista deserti Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista grisea Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista longipes (Domin) Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista mimosoides (L.) Greene,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA,NA,NA
Chamaecrista nigricans (Vahl) Greene,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Chamaecrista nomame (Siebold) H.Ohashi,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Chamaecrista nomame (Siebold) H.Ohashi var. grandiflora Pedley,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Chamaecrista nomame (Siebold) H.Ohashi var. nomame,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Chamaecrista rotundifolia (Pers.) Greene,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista rotundifolia (Pers.) Greene var. rotundifolia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Chamaecrista symonii Pedley,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Christia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Christia australasica (Schindl.) Bakh.f. ex Meeuwen,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Clitoria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clitoria australis Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Clitoria ternatea L.,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Crotalaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Crotalaria aridicola Domin,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria aridicola Domin subsp. densifolia A.E.Holland,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria brevis Domin,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Crotalaria calycina Schrank,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria crassipes Hook.,NA,NA,"KNP plots, Nitmiluk plots",Seeder,None,NA,NA,NA,NA
Crotalaria crispata F.Muell. ex Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Crotalaria cunninghamii R.Br.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Crotalaria cunninghamii R.Br. subsp. cunninghamii,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Crotalaria cunninghamii R.Br. subsp. sturtii (R.Br.) A.E.Holland,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria dissitiflora Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria dissitiflora Benth. subsp. dissitiflora,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria dissitiflora Benth. subsp. rugosa (Benth.) A.T.Lee,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria eremaea F.Muell.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria eremaea F.Muell. subsp. eremaea,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria eremaea F.Muell. subsp. strehlowii (E.Pritz.) A.T.Lee,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
Crotalaria goreensis Guill. & Perr.,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Crotalaria humifusa Graham ex Benth.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Crotalaria incana L.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Crotalaria incana L. subsp. incana,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria juncea L.,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Crotalaria lanceolata E.Mey.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria medicaginea Lam.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Crotalaria medicaginea Lam. var. medicaginea,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Crotalaria medicaginea Lam. var. neglecta (Wight & Arn.) Baker,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Crotalaria montana Heyne ex Roth,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria montana Heyne ex Roth var. angustifolia (Gagnep.) Niyomdham,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria montana Heyne ex Roth var. exserta (Domin) A.E.Holland,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,Latz 2004,Resprouter,"Root suckers or rhizomes, Basal stem buds (includes lignotuber and basal stem)",NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria pallida Aiton,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria pallida Aiton var. obovata (G.Don) Polh.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria prostrata Rottl.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria quinquefolia L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria ramosissima Roxb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria retusa L.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Crotalaria sessiliflora L.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria sessiliflora L. var. anthylloides (Lam.) Ansari & Thoth,NA,NA,NA,NA,NA,NA,NA,NA,NA
Crotalaria smithiana A.T.Lee,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Crotalaria verrucosa L.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Cullen,NA,NA,NA,Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Cullen australasicum (Schtdl.) J.W.Grimes,NA,NA,Latz 2004,"Seeder, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Cullen badocanum (Blanco) Verdc.,NA,NA,I.D. Cowie 2020,NA,NA,NA,NA,NA,NA
Cullen balsamicum (F.Muell.) J.W.Grimes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cullen cinereum (Lindl.) J.W.Grimes,NA,NA,Latz 2004,Seeder,None,NA,NA,NA,NA
Cullen corallum J.W.Grimes,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Cullen cuneatum (W.Fitzg.) J.W.Grimes,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cullen discolor (Domin) J.W.Grimes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cullen graveolens (Domin) J.W.Grimes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cullen leucanthum (F.Muell.) J.W.Grimes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cullen martinii (F.Muell.) J.W.Grimes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cullen pallidum (N.T.Burb.) J.W.Grimes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cullen patens (Lindl.) J.W.Grimes,NA,NA,"Albrecht 2004, Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cullen plumosum J.W.Grimes,NA,NA,Brennan 2004,NA,NA,NA,NA,NA,NA
Cullen pustulatum (F.Muell.) J.W.Grimes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cullen walkingtonii (F.Muell.) J.W.Grimes,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Cyclocarpa,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cyclocarpa stellaris K.Afzel. ex Urb.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynometra,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cynometra iripa Kostel.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalbergia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dalbergia candenatensis (Dennst.) Prain,NA,NA,"JRS 2004, Liddle 2004",NA,NA,NA,NA,NA,NA
Dalbergia sissoo Roxb.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Daviesia,NA,NA,NA,NA,NA,NA,NA,NA,NA
Daviesia arthropoda F.Muell.,NA,NA,Latz 2004,"Resprouter, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Daviesia eremaea Crisp,NA,NA,Latz 2004,"Resprouter, Faculative resprouter",Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Daviesia reclinata A.Cunn. ex Benth.,NA,NA,"KNP plots, Liddle 2004",Seeder,None,NA,NA,NA,NA
Delonix,NA,NA,NA,NA,NA,NA,NA,NA,NA
Delonix regia (Bojer ex Hook.) Raf.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolobium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolobium multiflorum Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dendrolobium polyneurum (S.T.Blake) H.Ohashi,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Dendrolobium stipatum S.T.Blake,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derris,NA,NA,NA,NA,NA,NA,NA,NA,NA
Derris trifoliata Lour.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Desmanthus,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmanthus pernambucanus (L.) Thell.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium brachypodum A.Gray,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Desmodium brownii Schindl.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Desmodium campylocaulon F.Muell. ex Benth.,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Desmodium filiforme Zoll. & Moritzi,NA,NA,"Albrecht 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Desmodium flagellare Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium gangeticum (L.) DC.,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA,NA,NA
Desmodium glareosum Pedley,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Desmodium hannii Schindl.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium heterocarpon (L.) DC.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium heterocarpon (L.) DC. var. strigosum (Meeuwen) H.Ohashi,NA,NA,"KNP plots, JRS 2004, Liddle 2004",Seeder,None,NA,NA,NA,NA
Desmodium muelleri Benth.,NA,NA,"Albrecht 2004, Brock 2004, Brennan 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
Desmodium pullenii Pedley,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium pycnotrichum Pedley,NA,NA,KNP plots,Seeder,None,NA,NA,NA,NA
Desmodium rhytidophyllum F.Muell. ex Benth.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium scorpiurus (Sw.) Desv.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium tiwiense Pedley,NA,NA,"Liddle 2004, Brennan 2004",NA,NA,NA,NA,NA,NA
Desmodium tortuosum (Sw.) DC.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium trichostachyum Benth.,NA,NA,Yates 2003,Seeder,None,NA,NA,NA,NA
Desmodium triflorum (L.) DC.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Desmodium velutinum (Willd.) DC.,NA,NA,"KNP plots, JRS 2004",Seeder,None,NA,NA,NA,NA
Dichrostachys,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichrostachys cinerea (L.) Wight & Arn.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichrostachys cinerea (L.) Wight & Arn. subsp. malesiana Brenan & Brummitt,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dichrostachys spicata (F.Muell.) Domin,NA,NA,"Yates 2003, JRS 2004",Resprouter,"Basal stem buds (includes lignotuber and basal stem), Epicormic shoots",NA,NA,NA,NA
Dunbaria,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunbaria rotundifolia (Lour.) Merr.,NA,NA,NA,NA,NA,NA,NA,NA,NA
Dunbaria singuliflora F.Muell.,NA,NA,KNP plots,"Seeder, Resprouter",None,NA,NA,NA,NA
Entada,NA,NA,NA,NA,NA,NA,NA,NA,NA
Entada rheedii Spreng.,NA,NA,"JRS 2004, Liddle 2004",Resprouter,Basal stem buds (includes lignotuber and basal stem),NA,NA,NA,NA
