find,dataset_id,replace,reason,taxonomic_resolution
Anthobolus filifolius R.Br.,Nano_2011,Anthobolus filifolius,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Anthobolus leptomerioides F.Muell.,Nano_2011,Anthobolus leptomerioides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Antiaris toxicaria Lesch. subsp. macrophylla (R.Br.) C.C.Berg,Nano_2011,Antiaris toxicaria,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Antidesma ghesaembilla Gaertn.,Nano_2011,Antidesma ghesaembilla,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Antidesma parvifolium Thwaites & F.Muell.,Nano_2011,Antidesma parvifolium,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Arenga microcarpa Becc.,Nano_2011,Arenga microcarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida arida B.K.Simon,Nano_2011,Aristida arida,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida biglandulosa J.M.Black,Nano_2011,Aristida biglandulosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida capillifolia Henrard,Nano_2011,Aristida capillifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida contorta F.Muell.,Nano_2011,Aristida contorta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida dominii B.K.Simon,Nano_2011,Aristida dominii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida exserta S.T.Blake,Nano_2011,Aristida exserta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida holathera Domin var. holathera,Nano_2011,Aristida holathera var. holathera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Aristida hygrometrica R.Br.,Nano_2011,Aristida hygrometrica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida inaequiglumis Domin,Nano_2011,Aristida inaequiglumis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida jerichoensis (Domin) Henrard var. subspinulifera Henrard,Nano_2011,Aristida jerichoensis,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Aristida latifolia Domin,Nano_2011,Aristida latifolia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida latzii B.K.Simon,Nano_2011,Aristida latzii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida nitidula (Henrard) S.T.Blake ex J.M.Black,Nano_2011,Aristida nitidula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida obscura Henrard,Nano_2011,Aristida obscura,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida pruinosa Domin,Nano_2011,Aristida pruinosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida strigosa (Henrard) S.T.Blake ex J.M.Black,Nano_2011,Aristida strigosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristida superpendens Domin,Nano_2011,Aristida superpendens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristolochia holtzei F.Muell.,Nano_2011,Aristolochia holtzei,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristolochia indica L.,Nano_2011,Aristolochia indica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aristolochia pubera R.Br.,Nano_2011,Aristolochia pubera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Arnhemia cryptantha Airy Shaw,Nano_2011,Arnhemia cryptantha,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Arthrochilus byrnesii Blaxell,Nano_2011,Arthrochilus byrnesii,match_14. Automatic alignment with species-level name known by APC when notes are ignored (2023-06-18),Species
Arthrochilus latipes D.L.Jones,Nano_2011,Arthrochilus latipes,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Arthrostylis aphylla R.Br.,Nano_2011,Arthrostylis aphylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Artocarpus glaucus Blume,Nano_2011,Artocarpus glaucus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Arundinella nepalensis Trin.,Nano_2011,Arundinella nepalensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Arytera bifoliolata S.T.Reynolds,Nano_2011,Arytera bifoliolata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Asparagus racemosus Willd,Nano_2011,Asparagus racemosus,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Asplenium polyodon G.Forst.,Nano_2011,Asplenium polyodon,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Asteromyrtus magnifica (Specht) Craven,Nano_2011,Asteromyrtus magnifica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Astrebla elymoides F.Muell.,Nano_2011,Astrebla elymoides,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Astrebla lappacea (Lindl.) Domin,Nano_2011,Astrebla lappacea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Astrebla pectinata (Lindl.) F.Muell. ex Benth.,Nano_2011,Astrebla pectinata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Astrebla squarrosa C.E.Hubb.,Nano_2011,Astrebla squarrosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Atalaya hemiglauca (F.Muell.) F.Muell. ex Benth.,Nano_2011,Atalaya hemiglauca,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Atalaya salicifolia (DC.) Blume,Nano_2011,Atalaya salicifolia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Atriplex elachophylla F.Muell.,Nano_2011,Atriplex elachophylla,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Atriplex holocarpa F.Muell.,Nano_2011,Atriplex holocarpa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Atriplex nummularia Lindl. subsp. nummularia,Nano_2011,Atriplex nummularia subsp. nummularia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Atriplex nummularia Lindl. subsp. omissa Aellen,Nano_2011,Atriplex nummularia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Atriplex semibaccata R.Br.,Nano_2011,Atriplex semibaccata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Atriplex stipitata Benth.,Nano_2011,Atriplex stipitata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
"Auranticarpa melanosperma (F.Muell.) L.Cayzer, Crisp & I.Telford",Nano_2011,Auranticarpa melanosperma,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
"Austrostipa aquarii (Vickery, S.W.L.Jacobs & J.Everett) S.W.L.Jacobs & J.Everett",Nano_2011,Austrostipa aquarii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Austrostipa scabra (Lindl.) S.W.L.Jacobs & J.Everett subsp. scabra,Nano_2011,Austrostipa scabra subsp. scabra,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Azolla pinnata R.Br.,Nano_2011,Azolla pinnata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bacopa floribunda (R.Br.) Wettst.,Nano_2011,Bacopa floribunda,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bambusa arnhemica F.Muell.,Nano_2011,Bambusa arnhemica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Banksia dentata L.f.,Nano_2011,Banksia dentata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Barringtonia acutangula (L.) Gaertn. subsp. acutangula,Nano_2011,Barringtonia acutangula subsp. acutangula,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Subspecies
Barringtonia asiatica (L.) Kurz,Nano_2011,Barringtonia asiatica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Basilicum polystachyon (L.) Moench,Nano_2011,Basilicum polystachyon,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bauhinia binata Blanco,Nano_2011,Bauhinia binata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bauhinia cunninghamii (Benth.) Benth.,Nano_2011,Bauhinia cunninghamii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bauhinia malabarica Roxb.,Nano_2011,Bauhinia malabarica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bergia henshallii G.J.Leach,Nano_2011,Bergia henshallii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bergia pedicellaris (F.Muell.) F.Muell. ex Benth.,Nano_2011,Bergia pedicellaris,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Bergia trimera Fisch. & C.A.Mey.,Nano_2011,Bergia trimera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Berrya javanica (Turcz.) Burret,Nano_2011,Berrya javanica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bidens bipinnata L.,Nano_2011,Bidens bipinnata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bidens pilosa L.,Nano_2011,Bidens pilosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Blainvillea cunninghamii (DC.) Orchard,Nano_2011,Blainvillea cunninghamii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Blechnum orientale L.,Nano_2011,Blechnum orientale,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Blennodia canescens R.Br.,Nano_2011,Blennodia canescens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Blepharocarya depauperata Specht,Nano_2011,Blepharocarya depauperata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Blumea diffusa R.Br. ex Benth.,Nano_2011,Blumea diffusa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Blumea tenella DC.,Nano_2011,Blumea tenella,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boerhavia coccinea Mill.,Nano_2011,Boerhavia coccinea,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boerhavia dominii Meikle & Hewson,Nano_2011,Boerhavia dominii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boerhavia paludosa (Domin) Meikle,Nano_2011,Boerhavia paludosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boerhavia repleta Hewson,Nano_2011,Boerhavia repleta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boerhavia schomburgkiana Oliv.,Nano_2011,Boerhavia schomburgkiana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bolbitis quoyana (Gaudich.) Ching,Nano_2011,Bolbitis quoyana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bolboschoenus caldwellii (V.Cook.) Sojak,Nano_2011,Bolboschoenus caldwellii,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Bombax ceiba L.,Nano_2011,Bombax ceiba,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bonamia erecta R.W.Johnson,Nano_2011,Bonamia erecta,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bonamia pannosa (R.Br.) Hallier f.,Nano_2011,Bonamia pannosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boronia amplectens Duretto,Nano_2011,Boronia amplectens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boronia filicifolia A.Cunn. ex DC.,Nano_2011,Boronia filicifolia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Boronia lanceolata F.Muell.,Nano_2011,Boronia lanceolata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boronia lanuginosa Endl.,Nano_2011,Boronia lanuginosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boronia tolerans Duretto,Nano_2011,Boronia tolerans,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Boronia xanthastrum Duretto,Nano_2011,Boronia xanthastrum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bossiaea bossiaeoides (A.Cunn. ex Benth.) Court,Nano_2011,Bossiaea bossiaeoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Bothriochloa ewartiana (Domin) C.E.Hubb.,Nano_2011,Bothriochloa ewartiana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
