find,dataset_id,replace,reason,taxonomic_resolution
Acacia tolmerensis G.J.Leach,Nano_2011,Acacia tolmerensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia torulosa Benth.,Nano_2011,Acacia torulosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia translucens A.Cunn. ex Hook.,Nano_2011,Acacia translucens,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia umbellata A.Cunn. ex Benth.,Nano_2011,Acacia umbellata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia undoolyana G.J.Leach,Nano_2011,Acacia undoolyana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia validinervia Maiden & Blakely,Nano_2011,Acacia validinervia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia wiseana C.A.Gardner,Nano_2011,Acacia wiseana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acacia yirrkallensis Specht,Nano_2011,Acacia yirrkallensis,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acanthospermum hispidum DC.,Nano_2011,Acanthospermum hispidum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Achyranthes aspera L.,Nano_2011,Achyranthes aspera,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acrostichum aureum L.,Nano_2011,Acrostichum aureum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Acrostichum speciosum Willd.,Nano_2011,Acrostichum speciosum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Actinobole uliginosum (A.Gray) H.Eichler,Nano_2011,Actinobole uliginosum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Actinoschoenus sp. sandstone (P.K.Latz 7686) NT Herbarium,Nano_2011,Actinoschoenus sp. sandstone (P.K.Latz 7686),match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Actinostachys digitata (L.) Wall. ex Reed,Nano_2011,Actinostachys digitata,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Adansonia gregorii F.Muell.,Nano_2011,Adansonia gregorii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Adenanthera pavonina L.,Nano_2011,Adenanthera pavonina,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Adenia heterophylla (Blume) Koord. subsp. australis (R.Br. ex DC.) W.J.de Wilde,Nano_2011,Adenia heterophylla,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Adenostemma lavenia (L.) Kuntze,Nano_2011,Adenostemma lavenia,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Adenostemma lavenia (L.) Kuntze var. lanceolatum (Miq.) Koster,Nano_2011,Adenostemma lavenia,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Adiantum hispidulum Sw. var. hispidulum,Nano_2011,Adiantum hispidulum var. hispidulum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Varietas
Adiantum philippense L.,Nano_2011,Adiantum philippense,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Adriana tomentosa Gaudich. var. hookeri (F.Muell.) C.L.Gross & M.A.Whalen,Nano_2011,Adriana tomentosa,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Aenictophyton anomalum (F.Muell.) I.Thomps.,Nano_2011,Aenictophyton anomalum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aenictophyton reconditum A.T.Lee,Nano_2011,Aenictophyton reconditum,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aeschynomene indica L.,Nano_2011,Aeschynomene indica,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Ageratum conyzoides L.,Nano_2011,Ageratum conyzoides,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aglaia brownii Pannell,Nano_2011,Aglaia brownii,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aglaia sapindina (F.Muell.) Harms,Nano_2011,Aglaia sapindina,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Aidia racemosa (Cav.) Tirveng.,Nano_2011,Aidia racemosa,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Albizia lebbeck (L.) Benth.,Nano_2011,Albizia lebbeck,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Albizia procera Benth.,Nano_2011,Albizia procera,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Alectryon kimberleyanus S.T.Reynolds,Nano_2011,Alectryon kimberleyanus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Alectryon oleifolius (Desf.) S.T.Reynolds subsp. elongatus S.T.Reynolds,Nano_2011,Alectryon oleifolius,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Alectryon tropicus (S.T.Reynolds) S.T.Reynolds,Nano_2011,Alectryon tropicus,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Allocasuarina decaisneana (F.Muell.) L.A.S.Johnson,Nano_2011,Allocasuarina decaisneana,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
Allophylus cobbe (L.) Raeusch.,Nano_2011,Allophylus cobbe,match_14. Automatic alignment with species-level canonical name in APC accepted when notes are ignored (2023-06-18),Species
Allosyncarpia ternata S.T.Blake,Nano_2011,Allosyncarpia ternata,match_05. Automatic alignment with scientific name in APC accepted list (2023-06-18),Species
