dataset_id.x,species_name,site_name.x,observation_id.x,trait_name.x,value.x,unit.x,value_type,replicates.x,original_name.x,dataset_id.y,site_name.y,observation_id.y,trait_name.y,value.y,unit.y,replicates.y,original_name.y
Kooyman_2011,Richea dracophylla,NA,Kooyman_2011_0280,plant_height,5,m,expert_max,NA,Richea dracophylla,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Richea pandanifolia subsp. pandanifolia,NA,Kooyman_2011_0281,plant_height,12,m,expert_max,NA,Richea pandanifolia_pandanifoia,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Richea pandanifolia subsp. ramulosa,NA,Kooyman_2011_0282,plant_height,4,m,expert_max,NA,Richea pandanifolia_ramulosa,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Trochocarpa bellendenkerensis,NA,Kooyman_2011_0283,plant_height,7,m,expert_max,NA,Trochocarpa bellendenkerensis,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Trochocarpa laurina,NA,Kooyman_2011_0284,plant_height,13,m,expert_max,NA,Trochocarpa laurina,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Trochocarpa montana,NA,Kooyman_2011_0285,plant_height,10,m,expert_max,NA,Trochocarpa montana,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Trochocarpa cunninghamii,NA,Kooyman_2011_0286,plant_height,3,m,expert_max,NA,Trochocarpa cunninghamii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Trochocarpa disticha,NA,Kooyman_2011_0287,plant_height,4,m,expert_max,NA,Trochocarpa disticha,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Trochocarpa gunnii,NA,Kooyman_2011_0288,plant_height,6,m,expert_max,NA,Trochocarpa gunnii,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Erythroxylum australe,NA,Kooyman_2011_0289,plant_height,8,m,expert_max,NA,Erythroxylum australe,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Erythroxylum Brewer,NA,Kooyman_2011_0290,plant_height,25,m,expert_max,NA,Erythroxylum Brewer,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Erythroxylum Mosquito-Point,NA,Kooyman_2011_0291,plant_height,7,m,expert_max,NA,Erythroxylum Mosquito-Point,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Erythroxylum Splityard-Creek,NA,Kooyman_2011_0292,plant_height,8,m,expert_max,NA,Erythroxylum Splityard-Creek,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Anopterus glandulosus,NA,Kooyman_2011_0293,plant_height,4,m,expert_max,NA,Anopterus glandulosus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Anopterus macleayanus,NA,Kooyman_2011_0294,plant_height,10,m,expert_max,NA,Anopterus macleayanus,NA,NA,NA,NA,NA,NA,NA,NA
Kooyman_2011,Acalypha Big-Scrub,NA,Kooyman_2011_0295,plant_height,2,m,expert_max,NA,Acalypha Big-Scrub,NA,NA,NA,NA,NA,NA,NA,NA
