material,Abbreviation,replicate,length (mm),width (mm),thickness (mm),NEWthickness (mm),actual mass (g),dry mass (g),scanned area (cm2),SA (cm2),volume (cm3),SA:V (1/cm),density (dry mass) (g/cm3),density (actual mass) (g/cm3),FMC  (% odw),SLA* (cm2/g),N (%mass),P (%mass),lignin (%mass),tannin (%mass),ignition Y/N,TTI (s),FD (s),SD (s),TBT (s),Genus,Species,Family,Rainfall a,Soil P b,taxon,site_conditions,site_name,senesced_leaf_N_per_dry_mass,senesced_leaf_P_per_dry_mass,SLA
DRIED,Dod_vis,3,NA,NA,NA,0.38,NA,NA,2.5,NA,0.09,52.63,NA,NA,NA,NA,1.98,0.115,17.47,14.29,0,NA,NA,NA,NA,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Dod_vis,4,NA,NA,NA,0.28,NA,NA,2.5,NA,0.07,71.43,NA,0.69,NA,51.71,1.98,0.115,17.47,14.29,1,2.1,2.2,11.5,13.7,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Dod_vis,5,NA,NA,NA,0.43,NA,NA,2.4,NA,0.1,46.51,NA,0.32,NA,71.7,1.98,0.115,17.47,14.29,1,1.2,1.7,9.6,11.3,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Dod_vis,6,NA,NA,NA,0.4,NA,NA,2.3,NA,0.09,50,NA,0.44,NA,56.49,1.98,0.115,17.47,14.29,1,1.2,1.9,7.9,9.8,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Dod_vis,7,NA,NA,NA,0.5,NA,NA,2.2,NA,0.11,40,NA,0.39,NA,51.3,1.98,0.115,17.47,14.29,1,1.7,1.6,11.2,12.8,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Dod_vis,8,NA,NA,NA,0.3,NA,NA,2.3,NA,0.07,66.67,NA,0.77,NA,43.21,1.98,0.115,17.47,14.29,1,2,2.3,14.2,16.5,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Dod_vis,9,NA,NA,NA,0.44,NA,NA,2.4,NA,0.1,45.45,NA,0.37,NA,60.87,1.98,0.115,17.47,14.29,1,1.5,1.7,9.8,11.5,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Dod_vis,10,NA,NA,NA,0.47,NA,NA,3.6,NA,0.17,42.55,NA,0.5,NA,42.38,1.98,0.115,17.47,14.29,1,1.7,2.4,20.3,22.7,Dodonaea,viscosa subsp. spathulata,Sapindaceae,low,high,Dodonaea viscosa subsp. spathulata,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Ere_gla,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eremophila,glabra,Myoporaceae,low,high,Eremophila glabra,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Ere_gla,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eremophila,glabra,Myoporaceae,low,high,Eremophila glabra,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Ere_gla,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eremophila,glabra,Myoporaceae,low,high,Eremophila glabra,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Ere_gla,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eremophila,glabra,Myoporaceae,low,high,Eremophila glabra,low rainfall high soil P,Round Hill woodland,NA,NA,NA
DRIED,Ere_gla,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Eremophila,glabra,Myoporaceae,low,high,Eremophila glabra,low rainfall high soil P,Round Hill woodland,NA,NA,NA
