Genus Authority,Photosynthetic types,Species sampled,References,Notes
Cleistogenes Keng,C4,"Cleistogenes caespitosa Keng, Cleistogenes kitagawae Honda, Cleistogenes foliosa Keng, Cleistogenes songorica (Roshev.) Ohwi, Cleistogenes squarrosa (Trin.) Keng",Pyankov et al. (2000) [reported from earlier papers in Russian],
Coelachne R.Br.,C3,"Coelachne pulchella R. Br, Coelachne hackelii Merr., Coelachne perpusilla (Nees ex Steud.) Thwaites, Coelachne simpliciuscula (Steud.) Munro ex Benth.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Coelachyrum Hochst. & Nees,C4,"Coelachyrum poaeflorum Chiov., Coelachyrum brevifolium Hochst. & Nees",Metcalfe (1960); Van den Borre (1994); Watson & Dallwitz (1992 onwards),
Coelorachis Brongn.,C4,Coelorachis rottboellioides (R. Br.) Camus,Watson & Dallwitz (1992 onwards),
Coix L.,C4,Coix lacryma-jobi L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Colanthelia McClure & Smith,C3,Colanthelia cingulata (McClure & Smith) McClure,Watson & Dallwitz (1992 onwards),
Coleanthus Seidel,C3,Coleanthus subtilis (Tratt.) Seidel.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Colpodium Trin.,C3,"Colpodium altaicum Trin. (= Paracolpodium), Colpodium chionogeiton Pilg. (= Keinochloa)",Watson & Dallwitz (1992 onwards),
Cornucopiae L.,C3,Cornucopiae cucullatum L.,Watson & Dallwitz (1992 onwards),
Cortaderia Stapf,C3,"Cortaderia archboldii (Hitchc.) Connor & Edgar, Cortaderia bifida Pilger, Cortaderia selloana (Schultes & Schultes) Aschers & Graebner, Cortaderia conspicua (E.Forst.) Stapf (Chionochloa)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Corynephorus Beauv.,C3,Corynephorus canescens (L.) Beauv.,Watson & Dallwitz (1992 onwards),
Cottea Kunth,C4,Cottea pappophoroides Kunth,Watson & Dallwitz (1992 onwards),
Craspedorhachis Benth.,C4,Craspedorhachis africana Benth.,Watson & Dallwitz (1992 onwards),
Crinipes Hochst.,C3,Crinipes abyssinicus (A. Rich.) Hochst.,Watson & Dallwitz (1992 onwards),
Crithopsis Jaub. & Spach,C3, -,BEP clade,
Crypsis Ait.,C4,Crypsis aculeata (L.) Ait.,Watson & Dallwitz (1992 onwards),
Cryptochloa Swallen,C3,Cryptochloa capillata (Trin.) Soderstrom,Watson & Dallwitz (1992 onwards),
Ctenium Panz.,C4,Ctenium polystachyum Balansa,Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Cutandia Willk.,C3,"Cutandia dichotoma (Forsk.) Trab., Cutandia memphitica (Spreng.) Richt., Cutandia philistaea Benth.",Watson & Dallwitz (1992 onwards),
Cyathopus Stapf,C3, -,BEP clade,
Cyclostachya J. & C. Reeder,C4,Cyclostachya stolonifera (Scribn.) Reeder & Reeder,Watson & Dallwitz (1992 onwards),
Cymbopogon Spreng.,C4,"Cymbopogon refractus (R. Br.) Camus, Cymbopogon citratus (DC.) Stapf, Cymbopogon giganteus Chiov., Cymbopogon martini (Roxb.) W.Watson, Cymbopogon nardus (L.) Rendle (=Cymbopogon validus (Stapf) Stapf ex Burtt Davy)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Cynodon L. Rich.,C4,Cynodon dactylon (L.) Pers.,Watson & Dallwitz (1992 onwards),
Cynosurus L.,C3,"Cynosurus cristatus L., Cynosurus echinatus L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Cyperochloa Lazarides & Watson,C3,Cyperochloa hirsuta Lazarides & Watson,Watson & Dallwitz (1992 onwards),
Cyphochlaena Hack.,C3,Cyphochlaena madagascariensis Hack.,Watson & Dallwitz (1992 onwards),
Cyrtochloa S.Dransfield,C3, -,BEP clade,
Cyrtococcum Stapf,C3,"Cyrtococcum sp., Cyrtococcum trigonum (Retz.) A.Camus",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Dactylis L.,C3,Dactylis glomerata L.,Watson & Dallwitz (1992 onwards),
Dactyloctenium Willd.,C4,"Dactyloctenium aegyptium (L.) Beauv., Dactyloctenium giganteum B.S.Fisher & Schweick",Metcalfe (1960); Watson & Dallwitz (1992 onwards),
Dallwatsonia Simon,C3,Dallwatsonia felliana B.K. Simon,Watson & Dallwitz (1992 onwards),
