Genus Authority,Photosynthetic types,Species sampled,References,Notes,genus_name
Pentarrhaphis Kunth,C4,Pentarrhaphis scabra H.B.K.,Watson & Dallwitz (1992 onwards),NA,Pentarrhaphis
Pereilema Presl,C4,"Pereilema brasilianum Trin., Pereilema crinitum J. & C. Presl",Watson & Dallwitz (1992 onwards),NA,Pereilema
Periballia Trin.,C3,Periballia minuta (L.) Aesch. & Graebn.,Watson & Dallwitz (1992 onwards),NA,Periballia
Perotis Ait.,C4,"Perotis rara R. Br., Perotis indica (L.) Kuntze, Perotis patens Gand.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Perotis
Perrierbambus A.Camus,C3,-,BEP clade,NA,Perrierbambus
Peyritschia Fourn.,C3,"Peyritschia koelerioides (Peyr.) Fourn. (= Trisetum altijugum (Fourn.) Scribn.), Peyritschia pringlei Scribn. (= Trisetum kochianum I. Holz. T.)",Watson & Dallwitz (1992 onwards),NA,Peyritschia
Phacelurus Griseb.,C4,"Phacelurus huillensis (Rendle) Stapf, Phacelurus franksae (J.M.Wood) Clayton",Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Phacelurus
Phaenanthoecium C.E.Hubbard,C3,Phaenanthoecium koestlinii (Hochst. ex A. Rich.) C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Phaenanthoecium
Phaenosperma Benth.,C3,Phaenosperma globosa Munro,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Phaenosperma
Phalaris L.,C3,"Phalaris aquatica L., Phalaris arundinacea L., Phalaris canariensis L., Phalaris coerulescens Desf (=Phalaris caerulescens Desf)., Phalaris minor Retz.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Phalaris
Pharus P.Browne,C3,Pharus latifolius L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Pharus
Pheidochloa S.T.Blake,C4,"Pheidochloa gracilis Blake, Pheidochloa vulpioides Blake",Watson & Dallwitz (1992 onwards),NA,Pheidochloa
Phippsia R.Br.,C3,Phippsia algida (Solander) R. Br.,Watson & Dallwitz (1992 onwards),NA,Phippsia
Phleum L.,C3,Phleum pratense L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Phleum
Pholiurus Trin.,C3,Pholiurus pannonicus (Host) Trin.,Watson & Dallwitz (1992 onwards),NA,Pholiurus
Phragmites Adanson,C3,Phragmites australis (Cav.) Trin. ex Steud. (=Phragmites communis Trin.),Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Phragmites
Phuphanochloa Sungkaew & Teerawat,C3,-,BEP clade,NA,Phuphanochloa
Phyllorachis Trimen,C3,Phyllorachis sagittata Trimen,Metcalfe (1960),NA,Phyllorachis
Phyllosasa Demoly,C3,-,BEP clade,NA,Phyllosasa
Phyllostachys Sieb. & Zucc.,C3,"Phyllostachys bambusoides Siebold & Zucc. (=Phyllostachys castillonis (Marliac ex Carrière) Mitford and =Phyllostachys reticulata (Rupr.) K.Koch), Phyllostachys edulis (Carrière) J.Houz. (=Phyllostachys heterocycla (Carrière) Matsum.), Phyllostachys nigra (Lodd.) Munro, Phyllostachys viridiglaucescens Rivière & C.Rivière",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Phyllostachys
Pinga E.A.Widjaja,C3,-,BEP clade,NA,Pinga
Piptatherum P. Beauv.,C3,-,BEP clade,NA,Piptatherum
Piptochaetium Presl,C3,"Piptochaetium brevicalyx Ricker ex Hitchc., Piptochaetium fimbriatum (H.B.K.) Hitchc.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Piptochaetium
Piptophyllum C.E.Hubbard,C3,Piptophyllum welwitschii (Rendle) C.E.Hubb.,Renvoize (1986),NA,Piptophyllum
Piresia Swallen,C3,Piresia goeldii Swallen,Watson & Dallwitz (1992 onwards),NA,Piresia
"Piresiella Judz., Zuloaga & Morrone",C3,-,BEP clade,NA,Piresiella
Plagiantha Renvoize,C3,Plagiantha tenella Renvoize,Watson & Dallwitz (1992 onwards),NA,Plagiantha
Plagiosetum Benth.,C4,Plagiosetum refractum (F. Muell.) Benth.,Watson & Dallwitz (1992 onwards),NA,Plagiosetum
Pleioblastus Nakai,C3,-,BEP clade,NA,Pleioblastus
Pleuropogon R.Br.,C3,"Pleuropogon californicus (Nees) Benth., Pleuropogon sabinii R. Br., Pleuropogon refractus (Gray) Benth. ex Vasey",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Pleuropogon
Plinthanthesis Steud.,C3,"Plinthanthesis paradoxa (R. Br.) S. T. Blake, Plinthanthesis rodwayi (C. E. Hubbard) S. T. Blake",Watson & Dallwitz (1992 onwards),NA,Plinthanthesis
Poa L.,C3,"Poa annua L., Poa clivicola Vickery, Poa ensiformis Vickery, Poa exilis Vickery (= P. meionectes Vickery), Poa helmsii Vickery, Poa labillaridieri Steud., Poa phillipsiana Vickery, Poa pratensis L., Poa queenslandica C.E. Hubb., Poa saxicola R.Br., Poa sieberana Nees, Poa glauca Vahl, Poa iridifolia Hauman, Poa palustris L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),"Poa L. including Poagrostis Raf. is C3, Watson & Dallwitz (1992 onwards)",Poa
Podophorus Phil.,C3,Podophorus bromoides Phil.,Watson & Dallwitz (1992 onwards),NA,Podophorus
Poecilostachys Hack.,C3,"Poecilostachys festucaceus (Mez) Camus, Poecilostachys viguieri Camus",Watson & Dallwitz (1992 onwards),Poor material of P. festucaceus and P. viguieri,Poecilostachys
Pogonachne Bor,C4,Pogonachne racemosa Bor,Renvoize (1982),NA,Pogonachne
Pogonarthria Stapf,C4,"Pogonarthria fleckii Hack. (=Pogonarthria tuberculata Pilg.), Pogonarthria squarrosa Pilger",Metcalfe (1960); Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Pogonarthria
Pogonatherum Beauv.,C4,Pogonatherum paniceum (Lam.) Hackel,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Pogonatherum
Pogonochloa C.E.Hubbard,C4,Pogonochloa greenwayi Hubbard,Watson & Dallwitz (1992 onwards),NA,Pogonochloa
Pogononeura Napper,C4,Pogoneura biflora Napper,Watson & Dallwitz (1992 onwards),NA,Pogononeura
"Pohlidium Davidse, Sod. & Ellis",C3,"Pohlidium petiolatum Davidse, Soderstr. & R.P.Ellis",Watson & Dallwitz (1992 onwards),NA,Pohlidium
Polevansia de Winter,C4,Polevansia stricta de Winter,Watson & Dallwitz (1992 onwards),NA,Polevansia
Polypogon Desf.,C3,"Polypogon monspeliensis (L.) Desf., Polypogon viridis (Gouan) Breistr. (=Agrostis semiverticillata (Forssk.) C.Chr.), Polypogon chilensis (Kunth) Pilg.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Polypogon
Polytoca R.Br.,C4,Polytoca macrophylla Benth.,Watson & Dallwitz (1992 onwards),NA,Polytoca
Polytrias Hack.,C4,Polytrias amura (Buse) Kuntze,Watson & Dallwitz (1992 onwards),NA,Polytrias
Pommereulla L.f.,C4,Pommereulla cornucopia L.,Metcalfe (1960); Van den Borre (1994); Watson & Dallwitz (1992 onwards),NA,Pommereulla
Porteresia Tateoka,C3,-,BEP clade,NA,Porteresia
Potamophila R.Br.,C3,Potamophila parviflora R. Br.,Watson & Dallwitz (1992 onwards),NA,Potamophila
Pringleochloa Scribn.,C4,Pringleochloa stolonifera (Fourn.) Scribn.,Watson & Dallwitz (1992 onwards),NA,Pringleochloa
Prosphytochloa Schweick.,C3,Prosphytochloa prehensilis (Nees) Schweick.,Watson & Dallwitz (1992 onwards),NA,Prosphytochloa
Psammagrostis Gardner & Hubbard,C4,Psammagrostis wiseana C. Gardner & C.E. Hubbard,Watson & Dallwitz (1992 onwards),NA,Psammagrostis
Psammochloa Hitchc.,C3,Psammochloa villosa (Trin.) Bor (=Psammochloa mongolica Hitchc.),Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Psammochloa
Psathyrostachys Nevski,C3,Psathyrostachys junceus (Fischer) Nevski,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Psathyrostachys
Pseudanthistiria Hook.f.,C4,Pseudanthistiria umbellata (Hack.) Hook. f.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Pseudanthistiria
Pseudechinolaena Stapf,C3,Pseudechinolaena polystachya (H.B.K.) Stapf,Watson & Dallwitz (1992 onwards),NA,Pseudechinolaena
Pseudochaetochloa Hitchc.,C4,Pseudochaetochloa australiensis,Watson & Dallwitz (1992 onwards),NA,Pseudochaetochloa
Pseudodanthonia Bor & Hubbard,C3,Pseudodanthonia himalaica Bor & C.E. Hubb.,Watson & Dallwitz (1992 onwards),NA,Pseudodanthonia
Pseudodichanthium Bor,C4,Pseudodichanthium serrafalcoides (Cooke & Stapf) Bor,Renvoize (1982),NA,Pseudodichanthium
Pseudopentameris Conert,C3,Pseudopentameris macrantha (Schrad.) Conert,Renvoize (1986),NA,Pseudopentameris
Pseudoraphis Griff. ex Pilger,C4,"Pseudoraphis abortiva (R.Br.) Pilger, Pseudoraphis paradoxa (R.Br.) Pilger, Pseudoraphis spinescens Vickery",Watson & Dallwitz (1992 onwards),NA,Pseudoraphis
Pseudosasa Nakai,C3,Pseudosasa japonica (Sieb. & Zucc. ex Steud.) Makino ex Nakai,Watson & Dallwitz (1992 onwards),NA,Pseudosasa
Pseudosclerochloa Tzvelev,C3,-,BEP clade,NA,Pseudosclerochloa
Pseudosorghum A.Camus,C4,Pseudosorghum fasciculare (Roxb.) A.Camus,Renvoize (1982),NA,Pseudosorghum
Pseudostachyum Munro,C3,Pseudostachyum polymorphum Munro,Metcalfe (1960),NA,Pseudostachyum
Pseudoxytenanthera Soderstrom & Ellis,C3,Pseudoxytenanthera monadelpha (Thwaites) Soderstrom & Ellis,Soderstrom & Ellis (1988),NA,Pseudoxytenanthera
Pseudozoysia Chiov.,C4,Pseudozoysia sessilis Chiov.,Watson & Dallwitz (1992 onwards),NA,Pseudozoysia
Psilolemma S.M.Phillips,C4,Psilolemma jaegeri (Pilger) S.M. Phillips,Watson & Dallwitz (1992 onwards),NA,Psilolemma
Psilurus Trin.,C3,Psilurus incurvus (Gouan) Schinz & Thell.,Watson & Dallwitz (1992 onwards),NA,Psilurus
Puccinellia Parl.,C3,"Puccinellia stricta (Hook.f.) Blom, Puccinellia fasciculata (Torr.) E.P.Bicknell, Puccinellia maritima (Huds.) Parl.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Puccinellia
Puelia Franch.,C3,"Puelia ciliata Franch., P. dewevrei Wild. & Dur.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Puelia
Pyrrhanthera Zotov,C3,Pyrrhanthera exigua (Kirk) Zotov,Watson & Dallwitz (1992 onwards),NA,Pyrrhanthera
Racemobambos Holttum,C3,Racemobambos gibbsiae (Stapf) Holttum,Watson & Dallwitz (1992 onwards),NA,Racemobambos
Raddia Bertoloni,C3,Raddia brasiliensis A. Bertoloni,Watson & Dallwitz (1992 onwards),NA,Raddia
Raddiella Swallen,C3,Raddiella esenbeckiana (Steud.) Calderon & Soderstrom,Watson & Dallwitz (1992 onwards),NA,Raddiella
Ratzeburgia Kunth,C4,Ratzeburgia pulcherrima Kunth,Renvoize (1982),NA,Ratzeburgia
Redfieldia Vasey,C4,Redfieldia flexuosa (Thurb.) Vasey,Watson & Dallwitz (1992 onwards),NA,Redfieldia
Reederochloa Sod. & Deck.,C4,Reederochloa eludens Soderstrom & Decker,Van den Borre (1994),NA,Reederochloa
Rehia Fijten,C3,Rehia nervata (Swallen) Fitjen,Watson & Dallwitz (1992 onwards),NA,Rehia
Reimarochloa Hitchc.,C4,Reimarochloa brasiliensis Hitchc.,Watson & Dallwitz (1992 onwards),NA,Reimarochloa
Reitzia Swallen,C3,Reitzia smithii Swallen,Watson & Dallwitz (1992 onwards),NA,Reitzia
Relchela Steud.,C3,Relchela panicoides Steud.,Watson & Dallwitz (1992 onwards),NA,Relchela
Reynaudia Kunth,C4,Reynaudia filiformis Kunth.,Watson & Dallwitz (1992 onwards),NA,Reynaudia
"Rheochloa Filg., Peterson & Herrera",C4,"Rheochloa scabriflora Filg., P.M.Peterson & Y.Herrera",Filigueiras et al. (1999),NA,Rheochloa
Rhipidocladum McClure,C3,"Rhipidocladum pittieri (Hack.) McClure, Rhipidocladum racemiflorum (Steud.) McClure",Watson & Dallwitz (1992 onwards),NA,Rhipidocladum
Rhizocephalus Boiss.,C3,Rhizocephalus orientalis Boiss.,Watson & Dallwitz (1992 onwards),NA,Rhizocephalus
Rhombolytrum Link,C3,Rhomboelytrum monandrum (Hack.) Nicora & Rugolo,Watson & Dallwitz (1992 onwards),NA,Rhombolytrum
Rhynchoryza Baillon,C3,Rhynchoryza suloulata (Nees) Baillon,Watson & Dallwitz (1992 onwards),NA,Rhynchoryza
Rhytachne Desv.,C4,Rhytachne rottboellioides Desv.,Metcalfe (1960),NA,Rhytachne
Richardsiella Ellfers & O'Byrne,C4,Richardsiella eruciformis Elffers & Kennedy O’Byrne,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Richardsiella
Rostraria Trin.,C3,Lophochloa cristata (L.) Hyl. = Rostraria cristata (L.) Tzvelev (=Koeleria phleoides (Vill.) Pers),Watson & Dallwitz (1992 onwards),NA,Rostraria
Rottboellia L.f.,C4,Rottboellia exaltata L. f,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Rottboellia
Rytidosperma Steud.,C3,"Danthonia dimidiata Vickery (= Rytidosperma), Danthonia nivicola Vickery (= Rytidosperma), Danthonia nudiflora Morris (= Rytidosperma), Danthonia procera Vickery (= Rytidosperma?), Rytidosperma buchananii (Hook.f.) Connor & Edgar (=Danthonia buchananii Hook.f.), Rytidosperma pilosum (R.Br.) Connor & Edgar  (=Danthonia pilosa R.Br.), Rytidosperma semiannulare (Labill.) Connor & Edgar (=Danthonia semiannularis (Labill.) R.Br.)",Watson & Dallwitz (1992 onwards),NA,Rytidosperma
Saccharum L.,C4,"Saccharum robustum Brandes & Jeswiet, Saccharum spontaneum L., Saccharum bengalense Retz., Saccharum officinarum L.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Saccharum
Sacciolepis Nash,C3,"Sacciolepis indica (L.) Chase, Sacciolepis africana C.E.Hubb. & Snowden, Sacciolepis chevalieri Stapf, Sacciolepis myosuroides (R.Br.) A.Camus (=Sacciolepis huillensis (Rendle) Stapf), Sacciolepis interrupta (Willd.) Stapf",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Sacciolepis
Sartidia de Winter,C3,"Sartidia angolensis (C.E.Hubb.) De Winter, Sartidia dewinteri J. Munday & L. Fish, Sartidia jucunda (Schweick.) De Winter, Sartidia perrieri (A.Camus) Bourreil, Sartidia vanderystii (De Wild.) De Winter",de Winter (1965); Brown (1975); Renvoize (1986); Balkwill et al. (2011),NA,Sartidia
Sasa Mak. & Shib.,C3,Sasa kurilensis (Rupr.) Makino & Shibata,Watson & Dallwitz (1992 onwards),NA,Sasa
Schaffnerella Nash,C4,Schaffnerella gracilis (Benth.) Nash,Watson & Dallwitz (1992 onwards),NA,Schaffnerella
Schedonnardus Steud.,C4,Schedonnardus paniculatus (Nutt.) Trel.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Schedonnardus
Schismus Beauv.,C3,Schismus barbatus (L.) Thell. (=Schismus calycinus (Loefl.) K.Koch),Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Schismus
Schizachne Hack,C3,Schizachne purpurascens (Torr.) Swallen,Watson & Dallwitz (1992 onwards),NA,Schizachne
Schizachyrium Nees,C4,"Schizachyrium fragile (R. Br.) A. Camus, Schizachyrium jeffreysii (Hack.) Stapf,  Schizachyrium exile (Hochst.) Pilg., Schizachyrium sanguineum (Retz.) Alston","Metcalfe (1960); Watson & Dallwitz (1992 onwards); C.B. de Yong, pers. comm.",NA,Schizachyrium
Schizostachyum Nees,C3,"Schizostachyum lima Merril, Schizostachyum gracile (Munro) Holttum (=Schizostachyum gracile var. erectum Holttum)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Schizostachyum
Schmidtia Steud.,C4,"Schmidtia pappophoroides Steud. ex Schmidt, Schmidtia kalahariensis Stent",Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Schmidtia
Schoenefeldia Kunth,C4,Schoenefeldia transiens Chiov.,Watson & Dallwitz (1992 onwards),NA,Schoenefeldia
Sclerochloa Beauv.,C3,Sclerochloa dura (L.) Beauv.,Watson & Dallwitz (1992 onwards),NA,Sclerochloa
Sclerodactylon Stapf,C4,Sclerodactylon macrostachyum (Benth.) A. Camus,Watson & Dallwitz (1992 onwards),NA,Sclerodactylon
Scleropogon Phil.,C4,Scleropogon brevifolius Phil.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Scleropogon
Scolochloa Link,C3,Scolochloa festucacea (Willd.) Link,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Scolochloa
Scribneria Hack.,C3,Scribneria bolanderi (Thurb.) Hack.,Watson & Dallwitz (1992 onwards),NA,Scribneria
Scrotochloa Jud.,C3,Scrotochloa urceolata (Roxb.) Judziewicz,Watson & Dallwitz (1992 onwards),NA,Scrotochloa
Scutachne Hitchc. & Chase,C4,Scutachne dura (Griseb.) Hitchc. & Chase,Watson & Dallwitz (1992 onwards),NA,Scutachne
Secale L.,C3,Secale cereale L.,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Secale
Sehima Forssk.,C4,Sehima nervosa (Rottb.) Stapf,Watson & Dallwitz (1992 onwards),NA,Sehima
Semiarundinaria Nakai,C3,Semiarundinaria fastuosa (Mitford) Makino,Metcalfe (1960),NA,Semiarundinaria
Sesleria Scop.,C3,"Sesleria caerulea (L.) Ard., Sesleriella (Sesleria) sphaerocephala",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Sesleria
Setaria Beauv.,C4,"Setaria geniculata (Lam.) Beauv., Setaria palmifolia (Koenig) Stapf, Setaria verticillata (L.) Beauv., Setaria barbata (Lam.) Kunth, Setaria italica (L.) P.Beauv., Setaria plicata (Lam.) T.Cooke, Setaria viridis (L.) P.Beauv., Setaria sphacelata (Schumach.) Stapf & C.E.Hubb. ex Moss (=Setaria aurea Hochst. ex A.Braun), Setaria glauca (L.) P.Beauv. (Pennisetum)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Setaria
Setariopsis Scribn. & Millsp.,C4,Setariopsis auriculata Scribn.,Watson & Dallwitz (1992 onwards),NA,Setariopsis
Shibataea Nakai,C3,Shibataea kumasaca (Steud.) Makino (=Shibataea ruscifolia (Siebold ex Munro) Makino),Metcalfe (1960),NA,Shibataea
"Silentvalleya Nair, Sreek., Vaj. & Bargh.",C4,"Silentvalleya naivii Nair, Sreekumar, Vajravdu & Bhargavan",Van den Borre (1994); Watson & Dallwitz (1992 onwards),NA,Silentvalleya
Simplicia T.Kirk,C3,Simplicia buchananii Zotov,Watson & Dallwitz (1992 onwards),NA,Simplicia
Sinobambusa Nakai,C3,Sinobambusa tootsik Makino,Watson & Dallwitz (1992 onwards),NA,Sinobambusa
Sinochasea Keng,C3,-,BEP clade,NA,Sinochasea
Sirochloa S.Dransfield,C3,-,BEP clade,NA,Sirochloa
Snowdenia C.E.Hubbard,C4,Snowdenia polystachya (Fresen) C.E. Hubbard,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Snowdenia
Soderstromia Morton,C4,Soderstromia mexicana (Scribn.) Morton,Watson & Dallwitz (1992 onwards),NA,Soderstromia
Soejatmia K. M. Wong,C3,-,BEP clade,NA,Soejatmia
Sohnsia Airy-Shaw,C4,Sohnsia filifolia (Fourn.) Airy Shaw,Watson & Dallwitz (1992 onwards),NA,Sohnsia
Sorghastrum Nash,C4,"Sorghastrum nudipes Nash, Sorghastrum stipoides (Kunth) Nash",Watson & Dallwitz (1992 onwards); Photos provided by R.P. Ellis,NA,Sorghastrum
Sorghum Moench,C4,"Sorghum leiocladum (Hackel) Hubbard, Sorghum halepense (L.) Pers",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Sorghum
Spartina Schreb.,C4,"Spartina maritima (Curtis) Fernald, Spartina × townsendii H.Groves & J.Groves",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Spartina
Spartochloa C.E.Hubbard,C3,Spartochloa scirpioides Hubbard,Watson & Dallwitz (1992 onwards),NA,Spartochloa
Spathia Ewart & Davies,C4,Spathia neurosa Ewart & Archer,Watson & Dallwitz (1992 onwards),NA,Spathia
Sphaerobambos S.Dransfield,C3,-,BEP clade,NA,Sphaerobambos
Sphaerocaryum Hook.f.,C3,Sphaerocaryum malacense (Trin.) Pilger,Watson & Dallwitz (1992 onwards),NA,Sphaerocaryum
Spheneria Kuhlm.,C4,Spheneria kegelii (C. Muell.) Pilger,Watson & Dallwitz (1992 onwards),NA,Spheneria
Sphenopholis Scribn.,C3,Sphenopholis obtusata (Michx.) Scribner,Watson & Dallwitz (1992 onwards),NA,Sphenopholis
Sphenopus Trin.,C3,"Sphenopus divaricatus (Gouan) Reichenb., Sphenopus sp.",Watson & Dallwitz (1992 onwards),NA,Sphenopus
Spinifex L.,C4,"Spinifex hirsutus Labill., Spinifex longifolius R. Br., Spinifex sericeus R. Br.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Spinifex
Spodiopogon Trin.,C4,Spodiopogon lacei Hole,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Spodiopogon
Sporobolus R.Br.,C4,"Sporobolus crebar de Nardi, Sporobolus elongatus R. Br., Sporobolus pulchellus R. Br., Sporobolus africanus (Poir.) Robyns & Tournay, Sporobolus diandrus (Retz.) P.Beauv.  (=Sporobolus diander (Retz.) P. Beauv.), Sporobolus indicus (L.) R.Br., Sporobolus molleri Hack., Sporobolus junceus (P.Beauv.) Kunth  (=Sporobolus poiretii (Roem. & Schult.) Hitchc.), Sporobolus pyramidalis P.Beauv., Sporobolus virginicus (L.) Kunth, Sporobolus wrightii Scribn.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Sporobolus
Steinchisma Raf.,"C3, C3-C4","Steinchisma hians (Panicum hians Ell.), Steinchisma decipiens (Nees ex Trin.) W.V.Br., Steinchisma laxa (Sw.) Zuloaga, Steinchisma spathellosum (Döll) Renvoize, Steinchisma exiguiflorum (Griseb.) W.V.Br., Steinchisma cupreum (Hitchc. & Chase) W.V.Br., Steinchisma stenophylla (Hack.) Zuloaga & Morrone",Brown (1977); Morgan & Brown (1979); Renvoize (1987); Watson & Dallwitz (1992 onwards); Zuloaga et al. (1998),NA,Steinchisma
Steirachne Ekman,C4,Steirachne diandra Ekman,Watson & Dallwitz (1992 onwards),NA,Steirachne
Stenostachys Turcz.,C3,-,BEP clade,NA,Stenostachys
Stenotaphrum Trin.,C4,"Stenotaphrum micranthum (Desv.) C.E. Hubb., Stenotaphrum secundatum (Walter) Kuntze, Stenotaphrum dimidiatum (L.) Brongn.",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Stenotaphrum
Stephanachne Keng,C3,Stephanachne (Pappagrostis) pappophorea,Watson & Dallwitz (1992 onwards),NA,Stephanachne
Stereochlaena Hack.,C4,Stereochlaena cameronii (Stapf) Pilger,Watson & Dallwitz (1992 onwards),NA,Stereochlaena
Steyermarkochloa Davidse & Ellis,C3,Steyermarkochloa uniflora Davidse & Ellis,Watson & Dallwitz (1992 onwards),NA,Steyermarkochloa
Stipa L.,C3,"Stipa aristiglumis F. Muell. (Austrostipa), Stipa bigeniculata Hughes (Austrostipa), Stipa blackii Hubbard (Austrostipa), Stipa columbiana Maccun (Achnatherum), Stipa comata Trin. & Rupr. (Hesperostipa), Stipa densiflora Hughes (Austrostipa), Stipa elegantissima Labill. (Austrostipa), Stipa falcata Hughes (Austrostipa), Stipa falcata scabra (Austrostipa), Stipa filiculmis Delile (Nassella), Stipa filifolia Nees (Achnatherum), Stipa gigantea Link (Achnatherum?), Stipa hookeri Stapf (=Trikeraia hookeri (Stapf) Bor), Stipa ichu Kunth (Jarava), Stipa leucotricha Trin. & Rupr. (Nassella), Stipa neomexicana (Thurb.) Scribn. (Ptilagrostis), Stipa nervosa Vickery (Austrostipa), Stipa pubescens R. Br. (Austrostipa), Stipa ramosissima (Trin.) Trin. (Austrostipa), Stipa teretifolia Steudel. (= stipoides, Austrostipa), Stipa verticillata Nees & Sprengel (Austrostipa), Stipa calamagrostis (L.) Wahlenb., Stipa dregeana Steud., Stipa hyalina Nees, Stipa pennata L., Stipa splendens Trin., Stipa tenacissima L., Stipa hookeri Stapf (Trikeraia)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Stipa
Stipagrostis Nees,C4,"Stipagrostis ciliata (Desf.) de Winter, Stipagrostis pungens (Desf.) De Winter (=Aristida pungens Desf.), Stipagrostis uniplumis (Licht.) de Winter",Metcalfe (1960); Renvoize (1986); Watson & Dallwitz (1992 onwards); Sage et al. (1999); This study.,"Kranz anatomy and C4 isotope values in all species studied to-date. S. paradisea, C4 isotope value = -12.5",Stipagrostis
Streptochaeta Schrad.,C3,Streptochaeta spicata Schrad. ex Nees,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Streptochaeta
Streptogyna Beauv.,C3,"Streptogyna americana C.E. Hubb., Streptogyna crinita P.Beauv. (=Streptogyna gerontogaea Hook.f.)",Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Streptogyna
Streptolophus Hughes,C4,Streptolophus sagittifolius Hughes,Watson & Dallwitz (1992 onwards),NA,Streptolophus
Streptostachys Desv.,C4 (& C3-C4?) & C3,"Streptostachys asperifolia Desf., Streptostachys lanciflora R.P.Oliveira & Longhi-Wagner, Streptostachys macrantha (Trin.) Zuloaga & Soderstr, Streptostachys ramosa Zuloaga & Soderstr, Streptostachys rigidifolia Filg., Morrone & Zuloaga",Morrone and Zuloaga (1991); Watson & Dallwitz (1992 onwards); Sede et al. (2009); P-A Christin (pers. comm.),"S. asperifolia is characterised by large bundle sheath cells containing a high concentration of chloroplasts, a trait combination often associated with C3-C4 intermediates (P-A Christin, pers. comm.)",Streptostachys
Styppeiochloa de Winter,C3,Styppeiochloa gynoglossa (Gooss.) De Winter,Renvoize (1986),NA,Styppeiochloa
Sucrea Soderstrom,C3,Sucrea maculata Soderstrom,Watson & Dallwitz (1992 onwards),NA,Sucrea
Suddia Renvoize,C3,-,BEP clade,NA,Suddia
Swallenia Sod. & Deck.,C4,Swallenia alexandrae (Swallen) Soderstrom & Decker,Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Swallenia
Symplectrodia Lazarides,C4,"Symplectrodia lanosa M. Lazarides, Symplectrodia gracilis M. Lazarides",Watson & Dallwitz (1992 onwards),NA,Symplectrodia
Taeniatherum Nevski,C3,Taeniatherum caput-medusae (L.) Nevski (=Elymus caput-medusae L.),Metcalfe (1960); Watson & Dallwitz (1992 onwards),NA,Taeniatherum
Taeniorhachis Cope,unknown,-,NA,NA,Taeniorhachis
Tarigidia Stent,C4,Tarigidia aequiglumis (Goossens) Stent,Watson & Dallwitz (1992 onwards),NA,Tarigidia
Tatianyx Zul. & Sod.,C4,Tatianyx arnactites (Trin.) Zuloaga & Soderstrom,Watson & Dallwitz (1992 onwards),Described by Watson & Dallwitz (1992 onwards) from poorly preserved material,Tatianyx
Temburongia S. Dransfield & K.M. Wong,C3,-,BEP clade,NA,Temburongia
Temochloa S. Dransfield,C3,-,BEP clade,NA,Temochloa
