species,naming_authority,site,edaphic_preference,fire_response,juvenile_period,juvenile_period_value_type,flowering_time,flowering_notes,other_notes
Banksia candolleana,Meissn.,Northern Sandplain shrublands,Sand,Sprout,≤4>2,bin,nnnyyyyynnnn,,Distribution restricted to an area with 160 km diameter (after Marchant and Keighery 1979).
Banksia menziesii,R.Br.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnyyyyyynnn,,
Banksia prostrata,R.Br.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnnnnnnnnyn,,
Banksia sphaerocarpa,R.Br.,Northern Sandplain shrublands,Generalist,Seed and sprout,,,nnnnnnnnnnny,,
Banksia sp. aff. sphaerocarpa,R.Br.,Northern Sandplain shrublands,Generalist,Seed and sprout,≤2,bin,nnnnyyynnnny,,
Conospermum acerosum,Lindl.,Northern Sandplain shrublands,Sand,Sprout,,,nnnnnnnnnynn,,
Conospermum incurvum,Lindl.,Northern Sandplain shrublands,Sand,Sprout,<5,bin,nnnnnnnnnnyn,,
Conospermum nervosum,Meissn.,Northern Sandplain shrublands,Laterite,Seed,,,,,Distribution restricted to an area with 100 km diameter (after Marchant and Keighery 1979)
Conospermum stoechadis,Endl.,Northern Sandplain shrublands,Sand,Sprout,<2,bin,nnnnnnnnnynn,,
Conospermum triplinervium,R.Br.,Northern Sandplain shrublands,Sand,Sprout,<2,bin,nnnyyynnnnyy,,
Dryandra bipinnatifida,R.Br.,Northern Sandplain shrublands,Laterite,Sprout and seed,,,,,
Dryandra carlinoides,Meissn.,Northern Sandplain shrublands,Generalist,Seed,≤4>2,bin,nnnnnnnnnynn,,
Dryandra kippistiana,Meissn.,Northern Sandplain shrublands,Laterite,Seed,<2,bin,nnnnnnnnyynn,,
Dryandra nana,Meissn.,Northern Sandplain shrublands,Generalist,Sprout,<2,bin,nnnnnnnnnynn,,Species poorly known (after Marchant and Keighery 1979)
Dryandra nivea,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnnnnnnnynn,,
Dryandra sessilis,(R.Br.) Druce.,Northern Sandplain shrublands,Laterite,Seed,≤2,bin,nnnnnnnnnynn,,
Dryandra shuttleworthiana,Meissn.,Northern Sandplain shrublands,Generalist,Sprout,,,,,
Dryandra tridentata,Meissn.,Northern Sandplain shrublands,Sand,Sprout,<2,bin,nnnnnnnnnynn,,Distribution restricted to an area with 100 km diameter (after Marchant and Keighery 1979)
Grevillea pilulifera,(Lindl.) C.A.Gardn.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnnnnyyynnn,,
Grevillea shuttleworthiana,Meissn.,Northern Sandplain shrublands,Sand,Sprout,,,nnnnnnnnynnn,,
Grevillea synapheae,R.Br.,Northern Sandplain shrublands,Laterite,Seed,≤2,bin,nnnnnnnyyynn,,
Hakea auriculata,Meissn.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnnnnnyyynn,,
Hakea conchifolia,Hook.,Northern Sandplain shrublands,Laterite,Sprout,<2,bin,nnnnnyyyynnn,,
Hakea corymbosa,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnnnnnnynnn,,
Hakea costata,Meissn.,Northern Sandplain shrublands,Sand,Seed,≤6,bin,nnnnnnnnynnn,,
Hakea flabellifolia,Meissn.,Northern Sandplain shrublands,Generalist,Sprout,,,,,Distribution restricted to an area with 100 km diameter (after Marchant and Keighery 1979)
Hakea incrassata,R.Br.,Northern Sandplain shrublands,Laterite,Sprout,≤2,bin,nnnnnnnynnnn,,
Hakea lissocarpha,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,,,nnnnyyyynnnn,,
Hakea obliqua,R.Br.,Northern Sandplain shrublands,Sand,Seed,≤4,bin,nnnnnnnnnynn,,
Hakea prostrata,R.Br.,Northern Sandplain shrublands,Sand,Sprout,,,nnnnnnnnynnn,,
Hakea ruscifolia,Labill.,Northern Sandplain shrublands,Sand,,,,,,
Hakea sulcata var. scoparia,R.Br.,Northern Sandplain shrublands,Laterite,Seed,,,nnnnnnnnynnn,,
Hakea undulata,R.Br.,Northern Sandplain shrublands,,,,,,,
Isopogon asper,R.Br.,Northern Sandplain shrublands,Laterite,,<2,bin,nnnnnnnnynnn,,
Isopogon linearis,Meissn.,Northern Sandplain shrublands,,Sprout,≤4>2,bin,nnnnnnnnynnn,,Distribution restricted to an area with 160 km diameter (after Marchant and Keighery 1979).
Isopogon teretifolius,R.Br.,Northern Sandplain shrublands,,,,,,,
Lambertia multiflora,Lindl.,Northern Sandplain shrublands,Generalist,Sprout,≤2,bin,nnnnnnnnyyyn,,
Persoonia dillwynioides,Meissn.,Northern Sandplain shrublands,Laterite,Sprout,≤4,bin,nnnnnnnnnnyy,,
Petrophile incospicua,Meissn.,Northern Sandplain shrublands,Generalist,Sprout and seed,,,nnnnnnnynnnn,,
Petrophile linearis,R.Br.,Northern Sandplain shrublands,Sand,Sprout,≤2,bin,nnnnnnnnnynn,,
Petrophile macrostachya,R.Br.,Northern Sandplain shrublands,Generalist,Sprout,≤4,bin,nnnnnnnnnynn,,
Petrophile media,R.Br.,Northern Sandplain shrublands,Generalist,Seed,≤2,bin,nnnnnnnnyynn,,
Petrophile serruriae,R.Br.,Northern Sandplain shrublands,,,,,,,
Petrophile striata,R.Br.,Northern Sandplain shrublands,Generalist,Sprout and seed,,,nnnnnnnnnynn,,
Stirlingia latifolia,(R.Br.) Steud.,Northern Sandplain shrublands,Sand,Sprout,≤2,bin,nnnnnnnnynnn,,
Stirlingia simplex,Lindl.,Northern Sandplain shrublands,,Sprout,,,,,
