name_original,raw_trait_value,trait,units
Jagera pseudorhus,45.8421,volume seed,mm3
Cochlospermum fraseri,45.853,volume seed,mm3
Elaeocarpus grandis,45.8772,volume seed,mm3
Pithecolobium muellerana,47.7,volume seed,mm3
Cassytha glabella,47.7129,volume seed,mm3
Macaranga tanarius,50.7708,volume seed,mm3
Abrus precatorius,51.562,volume seed,mm3
Pleiogynium timorense,54.496,volume seed,mm3
Dendrophthoe glabrescens,55.7109,volume seed,mm3
Brachychiton compactus,56.7057,volume seed,mm3
Acacia complanata,58.361,volume seed,mm3
Mackinlaya macrosciadea,58.6,volume seed,mm3
Eucalyptus ptychocarpa,59.1646,volume seed,mm3
Bellendena montana,61.308,volume seed,mm3
Randia sessilis,62.8319,volume seed,mm3
Brachychiton rupestris,65.4542,volume seed,mm3
Antidesma bunius,67.072,volume seed,mm3
Flindersia brayleana,71.8639,volume seed,mm3
Brachychiton collinus,72.2201,volume seed,mm3
Barklya syringifolia,73.5051,volume seed,mm3
Pilidiostigma rhytispermum,76.236,volume seed,mm3
Mallotus claoxyloides,80.172,volume seed,mm3
Brachychiton obtusilobus,80.9641,volume seed,mm3
Hakea actites,86.2524,volume seed,mm3
Brachychiton populneus,86.7472,volume seed,mm3
Syzygium alatoramulum,87.1137,volume seed,mm3
Syzygium trachyphloia,87.1137,volume seed,mm3
Albizia lebbek,87.9436,volume seed,mm3
Elaeocarpus carnea,92.2,volume seed,mm3
Eriostemon queenslandicum,94.25,volume seed,mm3
Toechima dasyrrhache,97.6826,volume seed,mm3
Brachychiton diversifolius,104.0967,volume seed,mm3
Syzygium wilsonii,105.6832,volume seed,mm3
Bertya pinifolia,107.061,volume seed,mm3
Phaleria octandra,107.233,volume seed,mm3
Syzygium francisii,113.0973,volume seed,mm3
Toechima pterocarpum,117.8097,volume seed,mm3
Baloghia lucida,120.78,volume seed,mm3
Lysiphyllum carronii,125.3495,volume seed,mm3
Brachychiton australis,134.6303,volume seed,mm3
Erythrina vespertilio,138.4311,volume seed,mm3
Syzygium tierneyanum,143.7933,volume seed,mm3
Syzygium wex,143.7933,volume seed,mm3
Hemicyclia australasica,144.1,volume seed,mm3
Memecylon pauciflorum,157.4791,volume seed,mm3
Syzygium apodophyllum,160.2212,volume seed,mm3
Melodorum tetraphyllus,164.9336,volume seed,mm3
Rauwenhoffia leichhardtii,164.9336,volume seed,mm3
Syzygium banksii,169.646,volume seed,mm3
Alyxia ruscifolia,169.8,volume seed,mm3
Syzygium corynanthum,179.5944,volume seed,mm3
Strychnos lucida,188.4956,volume seed,mm3
Waterhousea hedraiaphylla,226.9801,volume seed,mm3
Actephila lindleyi,241.7631,volume seed,mm3
Acacia harpophylla,243.027,volume seed,mm3
Cupaniopsis anarcardioides,250.0538,volume seed,mm3
Syzygium oleosum,263.8938,volume seed,mm3
Syzygium angophoroides,268.0826,volume seed,mm3
Syzygium minutiflorum,268.0826,volume seed,mm3
Syzygium operculatum,268.0826,volume seed,mm3
Brachychiton acerifolius,271.2,volume seed,mm3
Acmena smithii,273.9555,volume seed,mm3
Syzygium fibrosum,287.3144,volume seed,mm3
Syzygium australe,318.3481,volume seed,mm3
Phaleria clerodendron,325,volume seed,mm3
Cryptocarya triplinervis,346.3606,volume seed,mm3
Syzygium endophloium,354.4109,volume seed,mm3
Synoum glandulosum,381.5,volume seed,mm3
