"Species","Trait","Value","Unit","Citation_author","Citation_full"
"Linospadix monostachyos","height","5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Lissanthe strigosa","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Lissanthe strigosa","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Litsea australis","height","20","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Livistona fulva","height","13","m","Department of Environment and Heritage Protection, 2014","DEHP WetlandInfo online"
"Logania albiflora","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Lomatia arborescens","height","25","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Lomatia silaifolia","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Lysiphyllum carronii","height","10","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Macadamia integrifolia","height","20","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Macadamia ternifolia","height","6","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Macadamia tetraphylla","height","18","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Macropteranthes leichhardtii","height","7","m","Australian National Botanic Gardens, 2015","http://www.anbg.gov.au/"
"Macrozamia cardiacensis","height","0.4","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Maireana microcarpa","height","0.5","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Maireana microphylla","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Mallotus discolor","height","30","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Mallotus megadontus","height","0.6","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Malvastrum americanum","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Malvastrum americanum","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Malvastrum coromandelianum","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Malvastrum coromandelianum","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Mangifera indica","height","25","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Marsdenia coronata","height","3","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Marsdenia flavescens","height","5","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Marsdenia fraseri","height","3","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Marsdenia hemiptera","height","4","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Marsdenia lloydii","height","7","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Marsdenia pleiadenia","height","10","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Marsdenia viridiflora","height","4","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Marsdenia viridiflora","height","4","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Medicosma cunninghamii","height","10","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Melaleuca cheelii","height","10","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melaleuca decora","height","12","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melaleuca formosa","height","5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melaleuca groveana","height","10","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melaleuca irbyana","height","8","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melaleuca linearis","height","3","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Melaleuca pachyphylla","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melaleuca salicina","height","15","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Melaleuca styphelioides","height","20","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melaleuca thymifolia","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melaleuca viminalis","height","10","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Melichrus procumbens","height","0.3","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Melicope hayesii","height","20","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Micrantheum ericoides","height","0.6","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Micromyrtus littoralis","height","2.5","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Micromyrtus sessilis","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Micromyrtus vernicosa","height","2","m","Department of Environment and Heritage Protection, 2014","DEHP WetlandInfo online"
"Mirbelia aotoides","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Mirbelia rubiifolia","height","0.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Mirbelia speciosa","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Mischocarpus australis","height","25","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Mischocarpus pyriformis","height","18","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Monococcus echinophorus","height","3","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Monotoca scoparia","height","2","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Monotoca sp.","height","4","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Myoporum boninense","height","2","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Myrsine angusta","height","1.5","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Myrsine howittiana","height","23","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Nerium oleander","height","8","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Niemeyera chartacea","height","20","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Notelaea linearis","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Notelaea microcarpa","height","10","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Notelaea pungens","height","0.6","m","Guymer, 1987","Guymer, G. P. 1987. Two new species of Notelaea Vent. (Oleaceae) from south-eastern Queensland. Austrobaileya 2:339-343."
"Nothofagus moorei","height","30","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Ochna serrulata","height","1.7","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Ochrosia moorei","height","11","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Ochrosperma lineare","height","2","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Oenothera rosea","height","0.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Olax retusa","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Olax stricta","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Olearia chrysophylla","height","3","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Olearia elliptica","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Olearia heterocarpa","height","5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Olearia nernstii","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Olearia rosmarinifolia","height","1.6","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Opercularia aspera","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Opuntia streptacantha","height","4","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Opuntia stricta","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Opuntia tomentosa","height","6","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Owenia cepiodora","height","30","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Owenia venosa","height","20","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Oxylobium arborescens","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Oxylobium robustum","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Ozothamnus diosmifolius","height","5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Ozothamnus rufescens","height","4","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Ozothamnus vagans","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pachygone ovata","height","15","m","Western Australian Herbarium, 2014","http://florabase.dpaw.wa.gov.au"
"Palmeria scandens","height","25","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Pandorea baileyana","height","25","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Parsonsia brisbanensis","height","10","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Parsonsia fulva","height","30","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Parsonsia kroombitensis","height","2","m","Department of Environment and Heritage Protection, 2014","DEHP WetlandInfo online"
"Parsonsia lilacina","height","4","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Parsonsia longipetiolata","height","10","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Parsonsia rotata","height","10","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Parsonsia ventricosa","height","6","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Passiflora foetida","height","4","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Passiflora suberosa","height","6","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Passiflora subpeltata","height","5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pavonia hastata","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pentaceras australe","height","18","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Persoonia adenantha","height","9","m","Australian National Botanic Gardens, 2015","http://www.anbg.gov.au/"
"Persoonia amaliae","height","8","m","Australian National Botanic Gardens, 2015","http://www.anbg.gov.au/"
"Persoonia cornifolia","height","6","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Persoonia iogyna","height","4","m","Australian National Botanic Gardens, 2015","http://www.anbg.gov.au/"
"Persoonia media","height","4","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Persoonia sericea","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Persoonia stradbrokensis","height","6","m","Australian National Botanic Gardens, 2015","http://www.anbg.gov.au/"
"Persoonia subtilis","height","1","m","Australian National Botanic Gardens, 2015","http://www.anbg.gov.au/"
"Persoonia tenuifolia","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Persoonia virgata","height","6","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Persoonia volcanica","height","6","m","Australian National Botanic Gardens, 2015","http://www.anbg.gov.au/"
"Petalostigma triloculare","height","15","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Petrophile canescens","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Phebalium nottii","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Phebalium woombye","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Philotheca difformis","height","2","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Philotheca difformis","height","2","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Philotheca glasshousiensis","height","2","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Philotheca queenslandica","height","1","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Phyllanthus subcrenulatus","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Physalis angulata","height","0.5","m","Department of Environment, 2014","http://www.flora.sa.gov.au"
"Physalis peruviana","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Phytolacca octandra","height","2","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Pilidiostigma rhytispermum","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pimelea curviflora","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pimelea glauca","height","0.3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pimelea neoanglica","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pimelea trichostachya","height","0.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pinus elliottii","height","30","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pittosporum angustifolium","height","10","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Pittosporum multiflorum","height","3","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Pittosporum undulatum","height","25","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Pittosporum viscidum","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Planchonella australis","height","45","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Planchonella myrsinoides","height","10","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Planchonella reticulata","height","10","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Platylobium formosum","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Platysace ericoides","height","0.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Platysace linearifolia","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Plectranthus argentatus","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Podolobium ilicifolium","height","3","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Polianthion minutiflorum","height","1","m","Department of Environment and Heritage Protection, 2014","DEHP WetlandInfo online"
"Polygala virgata","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Polyosma cunninghamii","height","15","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Polyscias sambucifolia","height","11","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Pomaderris ferruginea","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pomaderris lanigera","height","5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pomaderris queenslandica","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Prostanthera cryptandroides","height","2","m","The Royal Botanic Gardens and Domain Trust, 2014","Plantnet"
"Prostanthera nivea","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Prostanthera ovalifolia","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Prostanthera phylicifolia","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Prunus persica","height","8","m","Kleyer, 2008","Kleyer, M., R. M. Bekker, I. C. Knevel, J. P. Bakker, K. Thompson, M. Sonnenschein, P. Poschlod, J. M. Van Groenendael, L. Klime_, J. Klime_ov‡, S. Klotz, G. M. Rusch, M. Hermy, D. Adriaens, G. Boedeltje, B. Bossuyt, A. Dannemann, P. Endels, L. Gštzenberger, J. G. Hodgson, A. K. Jackel, I. KŸhn, D. Kunzmann, W. A. Ozinga, C. Ršmermann, M. Stadler, J. Schlegelmilch, H. J. Steendam, O. Tackenberg, B. Wilmann, J. H. C. Cornelissen, O. Eriksson, E. Garnier, and B. Peco. 2008. The LEDA Traitbase: A database of life-history traits of the Northwest European flora. Journal of Ecology 96:1266-1274."
"Pseudanthus orientalis","height","0.45","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
"Pseuderanthemum tenellum","height","1","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Psidium guajava","height","7","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Psychotria daphnoides","height","5","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Psychotria daphnoides","height","5","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Psychotria simmondsiana","height","5","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Psydrax lamprophylla","height","15","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Psydrax odorata","height","8","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Psydrax odorata","height","15","m","Floyd, 2008","Floyd, A. G. 2008. Rainforest Trees of Mainland South-eastern Australia. Terania Rainforest Publishing, Lismore, Australia."
"Psydrax oleifolia","height","6","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pultenaea borea","height","0.8","m","de Kok, 2004","de Kok, R. P. J., and J. G. West. 2004. A revision of the genus Pultenaea (Fabaceae). 3. The eastern species with recurved leaves. Australian Systematic Botany 17:273-326."
"Pultenaea bracteamajor","height","1","m","de Kok, 2004","de Kok, R. P. J., and J. G. West. 2004. A revision of the genus Pultenaea (Fabaceae). 3. The eastern species with recurved leaves. Australian Systematic Botany 17:273-326."
"Pultenaea euchila","height","2","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pultenaea flexilis","height","3","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pultenaea microphylla","height","0.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pultenaea myrtoides","height","1.5","m","Stanley, 1983","Stanley, T. D., and E. M. Ross. 1983. Flora of South-eastern Queensland. Queensland Department of Primary Industries, Brisbane, Australia."
"Pultenaea rariflora","height","1.8","m","Leiper, 2008","Leiper, G., J. Glazebrook, D. Cox, and K. Rathie. 2008. Mangroves to Mountains. Society for Growing Australian Plants (Queensland Region) Inc., Brisbane, Australia."
