current full name without authority,Endemicity_level,Growth Form,Growth Form_1,Growth Form_2,Raunkier_life_form,Height_max (m),Clonality,Photosynthetic pathway,MIN length Leaf (mm),MAX length Leaf (mm),MIN width Leaf (mm),MAX width Leaf (mm),Leaf_type,Laminar Unit Area (mm2),1_Nutrient_uptake_strategy,1_Dispersal_mode,Fruit_type,Fruit_functional_type,Min_length_fruit(mm),Max_length_fruit(mm),Min_breadth_fruit(mm),Max_breadth_fruit(mm),Seed_mass (g),1_Pollination_syndrome,Sex habit,References,regen_strategy
Arthragrostis deschampsioides,Queensland,Tussock,NA,NA,Therophyte,0.5,not_vegetative,C4,20,90,1,2.8,simple,62.7,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.2,1.4,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Arthraxon hispidus,Cosmopolitan,Tussock,Short basal,NA,Therophyte,1,not_vegetative,C4,10,80,3,25,simple,378,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3.5,5,NA,NA,NA,Wind,andromonoecious,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/NCA 2006/EPBC 1999,NA
Arundinella nepalensis,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1.8,vegetative,C4,80,300,3,10,simple,741,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,Clonal below ground
Arundinella setosa,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,1,vegetative,C4,100,250,2,5,simple,367.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,Clonal below ground
Arundo donax var. donax,Cosmopolitan,Tussock,NA,NA,Hemicryophyte,6,vegetative,C3,200,800,10,70,simple,12000,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,2,NA,NA,NA,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992,Clonal below ground
Astrebla elymoides,Australia,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C4,120,350,3,5,simple,564,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,4,6,NA,NA,0.006819,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Astrebla lappacea,Australia,Tussock,NA,NA,Hemicryophyte,0.8,not_vegetative,C4,100,200,4,5,simple,405,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,2,NA,NA,0.003691,Wind,hermaphrodite,AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Astrebla pectinata,Australia,Tussock,NA,NA,Hemicryophyte,1.2,not_vegetative,C4,75,250,3,6,simple,438.75,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,0.0033,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,NA
Astrebla squarrosa,Australia,Tussock,NA,NA,Hemicryophyte,1.5,not_vegetative,C4,150,300,3,6,simple,607.5,No obvious special uptake strategy,Wind,caryopsis,Dry dehiscent or indehsicent without attractant or wing,2.5,3,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Austrostipa ramosissima,Australia,Tussock,NA,NA,Hemicryophyte,2.5,vegetative,NA,350,400,1,10,simple,1237.5,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,1.5,1.6,NA,NA,NA,Wind,NA,APNI/AusGrass/GrassBase,Clonal below ground
Austrostipa rudis subsp. rudis,Australia,Tussock,NA,NA,Hemicryophyte,1.2,vegetative,NA,200,400,2,5,simple,630,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,3,6,NA,NA,NA,Wind,NA,APNI/AusGrass/GrassBase/ePIC,Clonal below ground
Avena sterilis subsp. ludoviciana,Cosmopolitan,Tussock,NA,NA,Therophyte,1.8,not_vegetative,C3,100,600,4,18,simple,2310,No obvious special uptake strategy,Exozoochory,caryopsis,Dry dehiscent or indehsicent without attractant or wing,11,12,NA,NA,NA,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992,NA
Axonopus compressus,Cosmopolitan,Tussock,Short basal,NA,Hemicryophyte,0.6,vegetative,C4,30,200,3,12,simple,517.5,No obvious special uptake strategy,Passive,caryopsis,Dry dehiscent or indehsicent without attractant or wing,NA,NA,NA,NA,3.9e-4,Wind,hermaphrodite,APNI/AusGrass/GrassBase/Watson & Dallwitz 1992/ePIC,Clonal above ground
