Original Taxonomic Concept,Species,Family,locality,life_history,"Height range at maturity (cm), Minimum",plant_height_maximum,"Diameter of crown (cm), 0–5","Diameter of crown (cm), 5–20","Diameter of crown (cm), 20–50","Diameter of crown (cm), 50–100","Diameter of crown (cm), 100–200","Diameter of crown (cm), >200","Canopy density, Dense","Canopy density, Intermediate","Canopy density, Sparse","Canopy density, None","Canopy elevation (cm), 0–20","Canopy elevation (cm), 20–50","Canopy elevation (cm), 50–100","Canopy elevation (cm), >100","Above-ground stem/stalk, None","Above-ground stem/stalk, Single","Above-ground stem/stalk, Multiple",stem_growth_habit,plant_climbing_mechanism,woodiness_detailed,plant_succulence,photosynthetic Flower stalk,plant_photosynthetic_organ,leaf_lamina_posture,leaf xs Terete,leaf xs Triangular,leaf xs Rectangular,leaf_compoundness,"Linear like (Tubular, Needle-like, Filiform, Linear)",Elliptical & Lanceolate,Orbicular,leaf_margin,leaf_lobation,leaf_margin_posture,leaf_hairs_adult_leaves,leaf_glaucousness_adaxial,leaf_glaucousness_abaxial,"Part protected by spines, None","Part protected by spines, Leaf","Part protected by spines, Stem","Part protected by spines, Branch","Part protected by spines, Fruit",plant_physical_defence_structures,"Root morphology, Bulb","Root morphology, Stilt",nitrogen_fixing,plant_alternative_energy_and_nutrient_acquisition_strategy,parasitic,flowering_time,fruit_fleshiness,resprouting_capacity,mycorrhizal_associations,photosynthetic_pathway,Microbial association
,Angianthus preissianus,Asteraceae,Cooljarloo,,3,16,1,1,,,,,,,1,,1,,,,,1,1,erect prostrate,,herbaceous,,1,leaf,flat,,,,simple,1,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Angianthus pygmaeus,Asteraceae,Cooljarloo,,0.5,6,1,,,,,,,,1,,1,,,,,1,1,prostrate,,herbaceous,,1,leaf,flat,,,,simple,1,1,,entire,,,hairy,glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Angianthus tomentosus,Asteraceae,Cooljarloo,,3,45,1,1,,,,,,1,,,1,1,,,,,1,erect,,herbaceous,,1,leaf,flat,,,,simple,1,1,,entire,,,hairy,glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Anigozanthos humilis subsp. humilis,Haemodoraceae,Eneabba & Cooljarloo,perennial,10,30,,1,,,,,,1,,,1,1,0,0,,,1,erect,,herbaceous,,1,leaf cladode,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Anigozanthos manglesii subsp. quadrans,Haemodoraceae,Eneabba & Cooljarloo,perennial,20,110,,1,1,,,,,1,,,1,1,,,,,1,erect,,herbaceous,,1,leaf cladode,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Anigozanthos pulcherrimus,Haemodoraceae,Eneabba & Cooljarloo,perennial,20,100,,1,1,,,,,1,,,1,1,1,0,,,1,erect,,herbaceous,,1,leaf cladode,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,resprouts,,C3,1
,Anigozanthos viridis subsp. Cataby (S.D. Hopper 1786),Haemodoraceae,Cooljarloo,perennial,20,50,,1,,,,,,,1,,1,1,1,0,,,1,erect,,herbaceous,,1,leaf cladode,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Anigozanthos viridis subsp. terraspectans,Haemodoraceae,Cooljarloo,perennial,5,20,,1,,,,,,,1,,1,1,0,0,,,1,erect,,herbaceous,,1,leaf cladode,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,resprouts,,C3,1
,Anthobolus foveolatus,Santalaceae,Eneabba,perennial,60,150,,,,1,,,1,1,,,1,,,,,,1,erect,,woody,,,leaf cladode,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,root_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Anthocercis ilicifolia subsp. ilicifolia,Solanaceae,Eneabba & Cooljarloo,perennial,50,300,,,1,1,,,,1,,,,1,1,1,,1,1,erect,,herbaceous,,,leaf cladode,flat,,,,simple,,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYNNNNNNNN,dry,,arbuscular_mycorrhizal,C3,
,Aotus gracillima,Fabaceae,Cooljarloo,perennial,60,300,,,1,1,,,,1,,,,1,1,1,,1,,erect,,woody,,,leaf,flat conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Aotus procumbens,Fabaceae,Cooljarloo,perennial,20,50,,1,1,,,,,1,,,1,1,,,,1,,erect prostrate,,woody,,,leaf,flat conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,nitrogen_fixer,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Aphelia cyperoides,Centrolepidaceae,Cooljarloo,,5,12.5,1,1,,,,,,1,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Apium prostratum subsp. prostratum,Apiaceae,Cooljarloo,perennial,15,100,,1,1,1,,,,1,,,1,1,1,1,,1,,erect prostrate,,herbaceous,,1,leaf,flat,,,,compound,1,1,,,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Arctotheca calendula,Asteraceae,Eneabba & Cooljarloo,,3,30,1,1,1,,,,1,1,,,1,,,,,1,1,erect decumbent,,herbaceous,,1,leaf,flat,,,,simplecompound,,1,,entire toothed,lobed_deep lobed,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Aristida contorta,Poaceae,Eneabba,perennial,12,44,,,1,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYNNNYY,dry,resprouts,arbuscular_mycorrhizal,C4,
,Aristida holathera var. holathera,Poaceae,Eneabba,,23,125,,,1,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYNNNNN,dry,,arbuscular_mycorrhizal,C4,
,Arnocrinum preissii,Hemerocallidaceae,Eneabba & Cooljarloo,perennial,15,60,,1,,,,,,,1,,1,1,1,0,,,1,erect,,herbaceous,,,leaf,flat,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Astartea scoparia,Myrtaceae,Cooljarloo,perennial,100,200,,,,1,1,1,1,1,,,0,1,1,1,,1,,erect,,woody,,,leaf,,,1,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Asteridea pulverulenta,Asteraceae,Cooljarloo,,5,70,1,1,1,,,,,,1,,1,1,,,,1,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,1,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
Astroloma glaucescens,Styphelia tortifolia,Ericaceae,Eneabba & Cooljarloo,perennial,10,60,1,1,1,1,,,1,,,,1,,,,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,toothed,,,glabrous,glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYYYYNN,dry,,ericoid_mycorrhizal,C3,
Astroloma oblongifolium,Styphelia oblongifolia,Ericaceae,Eneabba,perennial,10,30,1,1,1,1,,,1,1,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,,1,,entire,,,glabrous hairy,glaucous,glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYNNNNN,dry,resprouts,ericoid_mycorrhizal,C3,
Astroloma pallidum,Styphelia pallida,Ericaceae,Cooljarloo,perennial,5,30,1,1,1,1,,,1,,,,1,,,,,,1,erect prostrate,,woody,,,leaf,flat conduplicate,,,,simple,,1,,toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,resprouts,ericoid_mycorrhizal,C3,
Astroloma serratifolium,Styphelia serratifolia,Ericaceae,Eneabba,perennial,10,120,1,1,1,1,1,,1,,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,,,1,toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,,ericoid_mycorrhizal,C3,
Astroloma stomarrhena,Styphelia stomarrhena,Ericaceae,Eneabba & Cooljarloo,perennial,10,60,1,1,1,1,,,,1,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NYYYYYYYYYNN,dry,resprouts,ericoid_mycorrhizal,C3,
Astroloma xerophyllum,Styphelia xerophylla,Ericaceae,Eneabba & Cooljarloo,perennial,25,100,1,1,1,1,1,,1,1,,,1,,,,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,,1,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,resprouts,ericoid_mycorrhizal,C3,
,Austrostipa compressa,Poaceae,Eneabba & Cooljarloo,,20,70,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa drummondii,Poaceae,Cooljarloo,perennial,30,100,,1,,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa elegantissima,Poaceae,Eneabba & Cooljarloo,perennial,50,100,,,1,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Austrostipa exilis,Poaceae,Eneabba,perennial,25,60,,1,,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Austrostipa flavescens,Poaceae,Eneabba & Cooljarloo,perennial,20,120,,1,,,,,1,,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,glabrous hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Austrostipa hemipogon,Poaceae,Eneabba & Cooljarloo,perennial,30,100,,1,,,,,,,1,,1,,,,,1,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa macalpinei,Poaceae,Eneabba & Cooljarloo,,15,120,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa mollis,Poaceae,Eneabba,perennial,15,60,,,1,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa nitida,Poaceae,Eneabba,perennial,20,75,,,1,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,flat conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa scabra,Poaceae,Cooljarloo,perennial,30,60,,1,,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa semibarbata,Poaceae,Cooljarloo,perennial,30,100,,,1,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa sp. Marchagee (B.R. Maslin 1407),Poaceae,Cooljarloo,perennial,30,100,1,1,,,,,1,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa tenuifolia,Poaceae,Eneabba & Cooljarloo,perennial,25,100,,,1,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Austrostipa variabilis,Poaceae,Eneabba & Cooljarloo,perennial,30,80,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Avellinia michelii,Poaceae,Eneabba & Cooljarloo,,5,30,,1,,,,,,,1,,1,,,,,1,1,erect,,herbaceous,,1,leaf,flat,,,,simple,,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Avena barbata,Poaceae,Eneabba & Cooljarloo,,30,100,,,1,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNYYYYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Avena fatua,Poaceae,Eneabba,,60,90,,1,,,,,,,1,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Avena sativa,Poaceae,Eneabba & Cooljarloo,,25,150,,,1,,,,,1,,,1,,,,,,1,erect,,herbaceous,,1,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,NNNNNNNYYYNN,dry,,arbuscular_mycorrhizal,C3,
,Babingtonia camphorosmae,Myrtaceae,Eneabba & Cooljarloo,perennial,20,50,,,1,,,,,,1,,1,1,1,0,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYYYYYYYYY,dry,resprouts,arbuscular_mycorrhizal,C3,
,Babingtonia delicata,Myrtaceae,Cooljarloo,perennial,20,30,,,,1,,,,1,,,1,1,0,0,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Babingtonia erecta,Myrtaceae,Eneabba,perennial,30,250,,,,1,1,1,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYNNNYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Babingtonia grandiflora,Myrtaceae,Eneabba & Cooljarloo,perennial,30,100,,,1,1,,,,1,,,0,1,1,0,,,1,erect,,woody,,,leaf,flat,,,,simple,,1,,entire toothed,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YNNNYYYYYYYY,dry,,arbuscular_mycorrhizal,C3,
,Babingtonia urbana,Myrtaceae,Cooljarloo,perennial,30,120,,,,1,1,,,1,,,0,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,,not_parasitic,YYYYNNNNNNYY,dry,,arbuscular_mycorrhizal,C3,
,Banksia armata var. armata,Proteaceae,Eneabba & Cooljarloo,perennial,20,150,,,,1,1,,1,1,,,,1,1,1,,,1,erect prostrate,,woody,,,leaf,flat,,,,simple,1,,,toothed,lobed_deep,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Banksia attenuata,Proteaceae,Eneabba & Cooljarloo,perennial,40,1000,,,,1,1,1,1,1,,,,1,1,1,,,1,erect,,woody,,,leaf,flat conduplicate,,,,simple,1,,,toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,resprouts,,C3,1
,Banksia bipinnatifida subsp. multifida,Proteaceae,Eneabba,perennial,10,30,,1,1,,,,,1,,,1,1,,,,,1,prostrate,,woody,,,leaf,conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Banksia candolleana,Proteaceae,Eneabba & Cooljarloo,perennial,50,130,,,,1,1,,1,1,,,,1,1,1,,,1,erect decumbent,,woody,,,leaf,flat,,,,simple,1,,,,lobed_deep lobed,,hairy,glaucous,red_brown,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYNNNNN,dry,resprouts,,C3,1
,Banksia carlinoides,Proteaceae,Eneabba & Cooljarloo,perennial,30,120,,,1,1,,,1,,,,,1,1,1,,,1,erect,,woody,,,leaf,,1,,,simple,1,,,toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,,,C3,1
,Banksia chamaephyton,Proteaceae,Eneabba,perennial,15,70,,1,1,1,1,,1,1,,,1,1,,,,,1,prostrate,,woody,,,leaf,flat,,,,simple,1,,,,lobed_deep lobed,,hairy,red_brown,red_brown,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,,,C3,1
,Banksia cypholoba,Proteaceae,Eneabba,perennial,15,150,,1,1,1,1,,,1,,,1,1,,,,,1,prostrate,,woody,,,leaf,flat conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYNNNNN,dry,resprouts,,C3,1
,Banksia dallanneyi subsp. media,Proteaceae,Eneabba & Cooljarloo,perennial,15,100,,1,1,1,,,,1,,,,1,1,1,,,1,prostrate,,woody,,,leaf,flat conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYNNNNN,dry,resprouts,,C3,1
,Banksia dallanneyi subsp. pollosta,Proteaceae,Eneabba,perennial,20,25,,1,1,,,,,1,,,,1,1,1,,,1,prostrate,,woody,,,leaf,flat conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYNNNNN,dry,resprouts,,C3,1
Banksia dallanneyi var. dallanneyi,Banksia dallanneyi subsp. dallanneyi var. dallanneyi,Proteaceae,Eneabba & Cooljarloo,perennial,10,50,,1,1,1,1,,,1,,,1,1,,,,,1,prostrate decumbent,,woody,,,leaf,flat conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYNNNNN,dry,resprouts,,C3,1
,Banksia elegans,Proteaceae,Eneabba,perennial,100,400,,,,,1,1,1,1,,,,,1,1,,1,1,erect,,woody,,,leaf,flat,,,,simple,1,,,toothed,lobed,undulate,hairy,red_brown,red_brown,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
,Banksia fraseri var. crebra,Proteaceae,Eneabba,perennial,100,600,,,,1,1,1,1,,,,,,1,1,,1,,erect prostrate,,woody,,,leaf,conduplicate,,,,simple,1,,,,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,resprouts,,C3,1
,Banksia fraseri var. fraseri,Proteaceae,Eneabba,perennial,20,100,,,1,1,,,1,,,,,1,1,,,1,,erect prostrate,,woody,,,leaf,conduplicate,,,,simple,1,,,,lobed_deep lobed,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,resprouts,,C3,1
,Banksia glaucifolia,Proteaceae,Eneabba,perennial,50,150,,,,1,,,1,,,,,,1,1,,1,,erect,,woody,,,leaf,flat,,,,simple,1,,,toothed,lobed,,hairy,glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Banksia grandis,Proteaceae,Eneabba & Cooljarloo,perennial,150,1000,,,,,,1,,1,,,,,,1,,1,,erect prostrate,,woody,,,leaf,flat conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,red_brown,not_glaucousglaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,resprouts,,C3,1
,Banksia grossa,Proteaceae,Eneabba,perennial,70,100,,,,1,,,1,1,,,,1,1,,,,1,erect,,woody,,,leaf,flat conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,resprouts,,C3,1
,Banksia hookeriana,Proteaceae,Eneabba,perennial,50,300,,,,,1,1,1,,,,,,,1,,,1,erect,,woody,,,leaf,flat,,,,simple,1,,,,lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYYYYNN,dry,resprouts,,C3,1
,Banksia ilicifolia,Proteaceae,Cooljarloo,perennial,50,1200,,,,,1,1,1,1,,,,,,1,,1,,erect,,woody,,,leaf,flat,,,,simple,,1,,toothed,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YYYYYYYYYYYY,dry,resprouts,,C3,1
,Banksia incana,Proteaceae,Eneabba & Cooljarloo,perennial,20,70,,,1,1,,,,1,,,,1,1,,,,1,erect,,woody,,,leaf,flat conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YYYYNNNYYYYY,dry,resprouts,,C3,1
,Banksia kippistiana var. kippistiana,Proteaceae,Eneabba,perennial,40,150,,,,1,1,,,1,,,,1,1,1,,1,,erect,,woody,,,leaf,conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNYYYYYYNN,dry,,,C3,1
,Banksia lanata,Proteaceae,Eneabba,perennial,50,150,,,,,1,,1,,,,,,1,1,,,1,prostrate,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YNNNNNNYYYYY,dry,resprouts,,C3,1
,Banksia leptophylla var. leptophylla,Proteaceae,Eneabba,perennial,30,200,,,,,1,,1,1,,,,,,1,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YYYYNNNYYYYY,dry,resprouts,,C3,1
,Banksia leptophylla var. melletica,Proteaceae,Eneabba,perennial,30,230,,,1,1,1,,1,1,,,,,,1,,,1,erect,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYNNNNN,dry,resprouts,,C3,1
,Banksia littoralis,Proteaceae,Cooljarloo,perennial,150,2500,,,,,,1,1,1,,,,,,1,,1,1,erect prostrate,,woody,,,leaf,flat conduplicate,,,,simple,1,,,entire toothed,,,hairy,not_glaucous,glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NYYYYYYNNNNN,dry,resprouts,,C3,1
,Banksia menziesii,Proteaceae,Eneabba & Cooljarloo,perennial,130,1000,,,,,,1,1,1,,,,,,1,,1,1,erect,,woody,,,leaf,flat conduplicate,,,,simple,1,,,toothed,,,hairy,not_glaucousred_brown,not_glaucousred_brown,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YYYYYYYYYYYY,dry,resprouts,,C3,1
,Banksia micrantha,Proteaceae,Eneabba,perennial,30,60,,,1,1,,,1,,,,,,1,,,1,,erect prostrate,,woody,,,leaf,conduplicate,,,,simple,1,,,entire,,,glabrous,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,YYYYNNNNNNYY,dry,resprouts,,C3,1
,Banksia nana,Proteaceae,Eneabba,perennial,10,50,,1,1,1,,,,1,,,1,1,,,,,1,prostrate,,woody,,,leaf,conduplicate,,,,simple,1,,,,lobed_deep lobed,,hairy,not_glaucous,not_glaucous,absent,,,,,absent,,,,nutrient_mining,not_parasitic,NNNNNNNYYYNN,dry,resprouts,,C3,1
