Accepted taxon name in Plant List www.theplantlist.org,growth habit,growth habit source,climbing type,climbing type source,dispersal appendage/syndrome,dispersal source ,SLA (mm2/mg),SLA source,leaf size (cm2),leaf size source,seed mass (mg) ,seed mass source,,,,,,,,
Muehlenbeckia australis,,,,,,,,,6.82,"35,57",4.15,53,,,,,,,,
Muehlenbeckia sagittifolia,,,,,,,,,,,,,,,,,,,,
Mussaenda arcuata,woody,83,twiner,72,animal,72,,,48.70,83,0.14,53,,,,,,,,
Mussaenda frondosa,,,,,,,,,,,,,,,,,,,,
Mussaenda hirsutissima,,,,,,,,,,,,,,,,,,,,
Mussaenda hossei,,,,,,,,,,,,,,,,,,,,
Mussaenda parviflora,woody,10,scrambler,10,drupe,10,,,22.75,10,0.19,100,,,,,,,,
Mutisia coccinea,,,,,,,,,,,3.83,53,,,,,,,,
Myriaspora egensis,,,,,,,,,,,,,,,,,,,,
Myrsine andina,,,,,fleshy,86,,,,,,,,,,,,,,
Naravelia zeylanica,,,,,,,,,47.60,9,,,,,,,,,,
Neosepicaea jucunda,woody,27,twiner,27,wing,27,,,46.86,27,20.00,53,,,,,,,,
Neuropeltis acuminata,woody,36,twiner,36,,,,,32.73,36,14.77,100,,,,,,,,
Neuropeltis prevosteoides,,,,,,,,,,,,,,,,,,,,
Niedenzuella acutifolia,,,,,wind,53,,,,,,,,,,,,,,
Niedenzuella multiglandulosa,,,,,wind,53,,,,,,,,,,,,,,
Norantea guianensis,,,,,,,,,168.00,4,,,,,,,,,,
Nothocissus penninervis,woody,27,tendrils,27,drupe,63,,,19.60,27,66.00,53,,,,,,,,
Nothocissus sterculiifolia,woody,27,tendrils,27,drupe,63,11.94,15,33.50,15,,,,,,,,,,
Odontadenia macrantha,woody,5,twiner,5,wind,5,,,63.50,3,172.00,53,,,,,,,,
Odontadenia paraensis,,,,,,,,,,,,,,,,,,,,
Odontadenia puncticulosa,woody,5,twiner,5,wind,"5,57",12.117016,57,82.18,"3,33,57",,,,,,,,,,
Odontadenia verrucosa,,,,,,,,,,,,,,,,,,,,
Odontocarya acuparata,,,,,drupe,74,,,,,,,,,,,,,,
Odontocarya mexicana,,,,,animal,"53,57",,,,,,,,,,,,,,
Olax scandens,,,scrambler,75,animal,75,,,,,,,,,,,,,,
Oldenlandia lancifolia,herbaceous,21,scrambler,21,viscid when wet,21,,,17.15,21,0.08,100,,,,,,,,
Omphalea bracteata,woody,82,tendrils,82,,,,,73.50,82,5.01,100,,,,,,,,
Omphalea diandra,woody,5,twiner,5,,,10.80054018,57,90.91,"5,57",8272.15,100,,,,,,,,
Omphalea sargentii,woody,82,tendrils,82,fleshy,82,,,139.65,82,10.00,100,,,,,,,,
Oncinotis gracilis,,,,,,,,,,,,,,,,,,,,
Oncinotis pontyi,,,,,,,,,,,,,,,,,,,,
Oncinotis tenuiloba,woody,83,twiner,72,animal,72,,,23.52,83,38.20,100,,,,,,,,
Opilia amentacea,woody,9,twiner,72,drupe,9,,,29.40,9,443.66,53,,,,,,,,
Orthosia urceolata,,,,,,,,,,,,,,,,,,,,
Oxypetalum appendiculatum,,,,,coma,86,,,,,,,,,,,,,,
Oxypetalum balansae,,,,,coma,86,,,,,,,,,,,,,,
Oxypetalum erianthum,,,,,coma,86,,,,,,,,,,,,,,
Oxypetalum molle,,,,,coma,86,,,,,,,,,,,,,,
Oxyrhynchus trinervius,,,,,,,,,,,,,,,,,,,,
Oxystelma bornouense,,,twiner,72,wind,72,,,,,0.87,53,,,,,,,,
Oxystelma secamone,,,,,coma,86,,,,,,,,,,,,,,
Pachygone ovata,woody,27,twiner,27,berry,27,,,50.45,31,202.05,100,,,,,,,,
Pachyptera kerere,woody,43,,,water,43,13.500436,57,29.62,33,,,,,,,,,,
Pacouria guianensis,,,,,,,,,,,,,,,,,,,,
Paedaria scandens,,,,,,,,,,,,,,,,,,,,
Palmeria scandens,woody,27,twiner,27,aril,27,19.98121336,57,37.93,"16,57",59.45,100,,,,,,,,
Pandorea jasminoides,woody,27,twiner,28,wing,28,,,8.27,28,9.34,53,,,,,,,,
Pandorea pandorana,woody,27,twiner,28,wing,28,28.48548745,57,5.20,"15,17,57",3.80,53,,,,,,,,
Paramignya armata,,,,,,,,,,,,,,,,,,,,
Paramignya monophylla,,,,,,,,,,,,,,,,,,,,
Parapachygone longifolia,woody,27,twiner,27,berry,27,,,97.13,27,1027.43,100,,,,,,,,
Pararistolochia deltantha,woody,27,twiner,27,fleshy capsule,27,,,40.95,27,59.05,100,,,,,,,,
Pararistolochia goldieana,,,,,,,,,,,,,,,,,,,,
Pararistolochia sparusifolia,herbaceous,27,twiner,27,fleshy capsule,27,,,37.80,27,151.15,100,,,,,,,,
Parsonsia alboflavescens,woody,9,twiner,81,coma,9,,,29.40,9,29.38,100,,,,,,,,
Parsonsia brownii,herbaceous,28,twiner,28,coma,27,,,14.00,28,,,,,,,,,,
Parsonsia eucalyptophylla,woody,28,twiner,28,coma,"28,57",6.37116073,57,10.89,"16,30,57",12.54,50,,,,,,,,
Parsonsia latifolia,woody,27,twiner,27,coma,27,,,61.43,27,22.00,53,,,,,,,,
Parsonsia rotata,herbaceous,27,twiner,27,coma,27,,,27.64,"27,28",5.39,53,,,,,,,,
Parsonsia straminea,woody,27,twiner,27,coma,27,26.49667252,57,31.53,"15,31",8.40,53,,,,,,,,
Parsonsia velutina,herbaceous,27,twiner,27,coma,27,,,56.88,28,19.10,100,,,,,,,,
Parsonsia ventricosa,herbaceous,28,twiner,28,coma,28,,,21.61,28,,,,,,,,,,
Parthenocissus quinquefolia,,,,,berry,9,40.33027389,57,42.13,"42,57",25.90,53,,,,,,,,
Parthenocissus semicordata,,,roots,77,animal,77,,,,,,,,,,,,,,
Passiflora actinia,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora alata ,,,tendrils,9,berry,63,,,,,28.20,53,,,,,,,,
Passiflora ambigua,herbaceous,5,tendrils,5,berry,5,,,68.25,5,34.00,53,,,,,,,,
Passiflora amethystina,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora aroujoi,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora auriculata,herbaceous,5,tendrils,9,berry,63,,,53.90,43,14.44,100,,,,,,,,
Passiflora calcarata,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora capsularis,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora cincinnata,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora coccinea,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora costaricensis,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora edulis,herbaceous,9,tendrils,9,berry,9,,,73.50,9,15.46,53,,,,,,,,
Passiflora foetida,herbaceous,9,tendrils,9,berry,"9,57",,,36.34,"9,11",8.00,53,,,,,,,,
Passiflora galbana,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora glandulosa,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora hahnii,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora miersii,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora misera,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora nitida,herbaceous,5,tendrils,9,berry,63,,,89.25,5,36.96,100,,,,,,,,
Passiflora picturata,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora riparia,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora sidiifolia,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora suberosa,herbaceous,9,tendrils,9,berry,9,,,36.40,9,55.85,100,,,,,,,,
Passiflora subpeltata,,,tendrils,9,berry,63,,,,,50.00,53,,,,,,,,
Passiflora tricuspis,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora vespertilio,,,tendrils,9,berry,63,,,,,,,,,,,,,,
Passiflora vitifolia,,43,tendrils,9,berry,"5,57",20.653748,57,71.86,"2,3,57",3.30,53,,,,,,,,
Paullinia baileyi,woody,5,tendrils,5,aril,5,,,37.38,3,211.85,100,,,,,,,,
Paullinia bracteosa,woody,5,,,bird,43,,,106.40,5,838.33,100,,,,,,,,
Paullinia clavigera,,,,,animal,"53,57",,,,,,,,,,,,,,
Paullinia costata,,,,,animal,"53,57",,,,,,,,,,,,,,
Paullinia cururu,,,,,,,,,,,,,,,,,,,,
Paullinia elegans,,,,,bird,57,,,,,110.00,53,,,,,,,,
Paullinia faginea,,,,,,,,,,,,,,,,,,,,
Paullinia fibrigera,woody,5,,,bird,43,14.6155335,57,48.93,"3,33,57",275.26,100,,,,,,,,
Paullinia firma,,,,,,,,,,,,,,,,,,,,
Paullinia fuscescens,woody,5,tendrils,5,aril,5,,,13.86,5,151.15,100,,,,,,,,
Paullinia glomerulosa,woody,5,tendrils,5,aril,5,,,8.05,5,100.03,100,,,,,,,,
Paullinia granatensis,,,,,,,,,,,,,,,,,,,,
Paullinia mallophyla,,,,,,,,,,,,,,,,,,,,
Paullinia meliifolia,,,,,,,,,,,,,,,,,,,,
Paullinia obovata,,,,,,,,,,,47.00,53,,,,,,,,
Paullinia pinnata,woody,5,tendrils,5,aril,5,,,35.44,"3,7",210.64,53,,,,,,,,
Paullinia pterocarpa,woody,5,tendrils,5,aril,5,,,48.44,3,141.14,100,,,,,,,,
Paullinia rhomboidea,,,,,,,,,,,,,,,,,,,,
Paullinia robusta,,,,,,,,,,,,,,,,,,,,
Paullinia rugosa,woody,5,tendrils,5,aril,5,,,173.21,3,273.50,100,,,,,,,,
Paullinia seminuda,,,,,,,,,,,,,,,,,,,,
Paullinia serjaniifolia,,,,,,,,,,,,,,,,,,,,
Paullinia spicata,,,,,,,,,,,,,,,,,,,,
Paullinia trigonia,,,,,,,,,,,,,,,,,,,,
Paullinia turbacensis,woody,5,tendrils,5,aril,5,,,43.57,3,100.03,100,,,,,,,,
Paullinia venosa,,,,,,,,,,,,,,,,,,,,
Pavonia cancellata,herbaceous,18,scrambler,18,animal,18,,,3.85,18,3.39,53,,,,,,,,
Peixotoa paludosa,,,,,,,,,,,,,,,,,,,,
Peixotoa reticulata,,,,,,,,,,,,,,,,,,,,
Peltastes peltatus,,,,,,,,,,,,,,,,,,,,
Peltophorum pterocarpum,,,,,wind,"53,57",,,,,55.40,53,,,,,,,,
Pentarrhinum abyssinicum,herbaceous,36,twiner,36,coma,36,,,11.70,36,57.99,100,,,,,,,,
Pentarrhinum insipidum,herbaceous,36,twiner,36,coma,36,,,11.03,36,4.63,53,,,,,,,,
Pentatropis nivalis,,,twiner,72,wind,72,,,,,,,,,,,,,,
Peponium vogelii,herbaceous,21,tendrils,21,animal,72,,,132.83,21,20.30,100,,,,,,,,
Pereskia aculeata,woody,9,hooks,9,,,,,16.49,9,6.99,100,,,,,,,,
Pergularia flavescens,herbaceous,28,twiner,28,coma,28,37.64308992,57,13.99,"15,23,57",,,,,,,,,,
Pergularia rostrata,woody,27,twiner,27,coma,27,30.79612584,57,30.16,"15,33,57",,,,,,,,,,
Perianthomega vellozii,,,,,,,,,,,,,,,,,,,,
Periploca linearifolia,,,twiner,72,wind,72,,,,,7.10,53,,,,,,,,
Periploca nigrescens,,,,,coma,86,,,,,,,,,,,,,,
Peritassa compta,,,,,animal,"53,57",,,,,2297.73,52,,,,,,,,
Peritassa hatschbachii,,,,,,,,,,,,,,,,,,,,
Peritassa laevigata,,,,,,,,,,,,,,,,,,,,
Petraeovitex multiflora,,,,,,,,,,,,,,,,,,,,
Petrea aspera,woody,43,,,wind,43,,,50.15,3,35.00,53,,,,,,,,
Petrea maynensis,,,,,,,,,,,,,,,,,,,,
Petrea volubilis,woody,12,twiner,12,wind,"53,57",,,50.31,12,,,,,,,,,,
Phaseolus lunatus,herbaceous,9,twiner,9,unassisted,"53,57",,,35.70,9,571.00,53,,,,,,,,
Philodendron propinquum,,,,,,,,,,,,,,,,,,,,
Philodendron solimoesense,,,,,,,,,,,,,,,,,,,,
Philodendron consanguineum,,,,,,,,,,,,,,,,,,,,
Phyla nodiflora,herbaceous,9,scrambler,9,,,,,1.40,9,0.54,53,,,,,,,,
Phyllanthus flexuosus,,,scrambler,9,berry,9,,,5.12,9,,,,,,,,,,
Phyllanthus muellerianus,woody,36,scrambler,36,fleshy,36,,,13.65,36,2.95,53,,,,,,,,
Phyllanthus novae-hollandiae,,,,,,,,,4.60,27,,,,,,,,,,
Phyllanthus ovalifolius,woody,83,scrambler,83,wind,72,,,0.10,83,3.72,53,,,,,,,,
Phyllanthus reticulatus,woody,9,scrambler,9,fleshy,36,,,4.20,9,1.53,53,,,,,,,,
Phytocrene anomala,,,,,,,,,,,,,,,,,,,,
Phytocrene macrophylla,,,,,,,,,,,,,,,,,,,,
Phytolacca dodecandra,herbaceous,83,scrambler,36,animal,"53,57",,,32.92,36,5.00,53,,,,,,,,
Pileostegia viburnoides,woody,9,scrambler,9,,,,,37.19,9,,,,,,,,,,
Pinzona coriacea,,,,,,,,,32.70,7,,,,,,,,,,
Pinzona coriacea,,,,,,,,,,,,,,,,,,,,
Piper abbreviatum,,,,,berry,86,,,,,,,,,,,,,,
Piper argyrophyllum,,,,,berry,86,,,,,,,,,,,,,,
Piper aristolochiaefolium,,43,,,bird,43,,,,,,,,,,,,,,
Piper beetle,,,,,berry,86,,,,,,,,,,,,,,
Piper caninum,herbaceous,27,,,berry,27,,,73.24,27,89.80,100,,,,,,,,
Piper flaviflorum,,,,,drupe,9,,,67.81,9,,,,,,,,,,
Piper fluminense,,,,,berry,86,,,,,,,,,,,,,,
Piper guineense,woody,83,roots,72,animal,72,,,51.45,83,,,,,,,,,,
Piper halconense,,,,,berry,86,,,,,,,,,,,,,,
Piper mullesua,woody,9,,,drupe,9,,,20.21,9,,,,,,,,,,
Piper multiplinervium,,,,,berry,86,,,,,,,,,,,,,,
Piper nigrum,woody,9,,,drupe,9,,,61.25,9,24.90,53,,,,,,,,
Piper novae-hollandiae,woody,27,,,berry,27,18.75725596,57,32.89,"16,27,57",45.00,51,,,,,,,,
Piper ritaceum,,,,,berry,86,,,,,,,,,,,,,,
Piper toppingii,,,,,berry,86,,,,,,,,,,,,,,
Piper trichostachyon,,,,,berry,86,,,,,,,,,,,,,,
Piper viminale,,,,,berry,86,,,,,,,,,,,,,,
Piptadenia adiantoides,,,,,,,,,,,52.37,53,,,,,,,,
Piptadenia micracantha,,,,,,,,,,,,,,,,,,,,
Piptocarpha poeppigiana,,,,,,,,,,,,,,,,,,,,
Piptocarpha sellowii,,,,,,,,,,,,,,,,,,,,
Pisonia aculeata,woody,9,hooks,83,exozoochory,5,,,19.34,9,,,,,,,,,,
Pisoniella arborescens,,,,,,,,,,,,,,,,,,,,
Plecospermum spinosum,,,scrambler,75,animal,75,,,,,,,,,,,,,,
Plectocomia elongata,,,,,animal,"53,57",,,,,,,,,,,,,,
Plectocomiopsis geminiflora,,,,,,,,,,,,,,,,,,,,
Pleonotoma stichadenia,,,,,wind,87,,,,,,,,,,,,,,
Pleonotoma tetraquetra,,,,,wind,87,,,,,,,,,,,,,,
Pleonotoma variabilis,woody,5,tendrils,5,wing,5,8.1679385,57,35.30,"5,57",32.00,53,,,,,,,,
Pleurisanthes flava,,,,,,,,,,,,,,,,,,,,
Plukenetia polyadenia,,,,,,,,,,,,,,,,,,,,
Plukenetia polyantha,,,,,,,,,,,,,,,,,,,,
Plukenetia stipellata,,,,,,,,,,,,,,,,,,,,
Plumbago zeylanica,herbaceous,83,twiner,72,wind,72,,,24.64,9,6.95,53,,,,,,,,
Poikilospermum erectum,,,,,,,,,,,,,,,,,,,,
Poikilospermum suaveolens,,,,,,,,,236.25,9,,,,,,,,,,
Poranopsis paniculata,,,,,,,,,,,,,,,,,,,,
Pothos cylindricus,,,,,,,,,,,,,,,,,,,,
Pothos longipes,herbaceous,27,roots,27,berry,27,,,4.20,27,109.00,53,,,,,,,,
Pothos scandens,,,,,,,,,,,,,,,,,,,,
Premna coriacea var. villosa,,,,,,,,,,,,,,,,,,,,
Premna corymbosa,,,twiner,75,animal,75,,,,,,,,,,,,,,
Premna fulva,woody,9,scrambler,9,,,,,43.23,9,,,,,,,,,,
Premna mollissima,woody,9,scrambler,9,,,,,61.25,9,,,,,,,,,,
Premna tomentosa,,,,,,,,,,,,,,,,,,,,
Prestonia coalita,,,,,,,,,,,,,,,,,,,,
Prestonia dusenii,,,,,,,,,,,,,,,,,,,,
Prestonia lagoensis,,,,,,,,,,,,,,,,,,,,
Prestonia portobellensis,woody,5,twiner,5,wind ,5,,,67.85,"3,46",77.50,100,,,,,,,,
Prestonia quinquangularis,herbaceous,5,twiner,5,wind,63,,,13.13,5,,,,,,,,,,
Prestonia riedelii,,,,,,,,,,,,,,,,,,,,
Prestonia tomentosa,,,,,,,,,,,,,,,,,,,,
Prestonia trifida,woody,5,twiner,5,wind,5,,,202.13,5,,,,,,,,,,
Prionostemma aspera,woody,5,twiner,5,wing,"5,57",6.451612903,57,26.00,3,182.00,53,,,,,,,,
Pristimera andina,,,,,,,,,,,,,,,,,,,,
Pristimera arborea,woody,9,,,wing,9,,,88.55,9,,,,,,,,,,
Pristimera indica,woody,83,twiner,75,wing,75,,,39.90,83,,,,,,,,,,
Pristimera plumbea,,,,,,,,,,,,,,,,,,,,
Pseudaidia speciosa,,,twiner,76,animal,76,,,,,,,,,,,,,,
Pseudoconnarus macrophyllus,,,,,,,,,,,,,,,,,,,,
Pseudogynoxys cummingii,,,,,,,,,,,,,,,,,,,,
Psiguria ternata,,,tendrils,86,,,,,,,,,,,,,,,,
Psiguria triphylla,,,tendrils,86,,,,,,,,,,,,,,,,
Psiguria umbrosa,,,tendrils,86,,,,,,,,,,,,,,,,
Psiguria warscewiczii,herbaceous,5,tendrils,5,animal,5,,,65.98,5,31.90,100,,,,,,,,
Psychotria calceata,,,,,,,,,,,,,,,,,,,,
Psychotria ixoroides,,,,,,,,,,,,,,,,,,,,
Psychotria serpens,,,,,animal,"53,57",,,,,5.30,53,,,,,,,,
Pterocarpus acapulcensis,,,,,,,,,,,,,,,,,,,,
Pterolobium hexapetalum,,,scrambler,80,unassisted,80,,,,,,,,,,,,,,
Pterolobium stellatum,woody,36,spines,36,wing,36,,,19.60,36,114.01,53,,,,,,,,
Pueraria montana,,,twiner,9,,,,,104.65,9,12.30,53,,,,,,,,
Pueraria peduncularis,herbaceous,9,twiner,77,unassisted,77,,,32.73,9,12.80,53,,,,,,,,
Pueraria phaseoloides,herbaceous,9,twiner,9,,,,,37.80,9,12.80,53,,,,,,,,
Pueraria montana var. lobata,,,twiner,77,unassisted,77,,,137.16,12,12.30,53,,,,,,,,
Pupalia lappacea,herbaceous,12,twiner,72,wind,72,,,17.15,12,8.57,53,,,,,,,,
Pyralnidanthe prismatica,,,,,fleshy,86,,,,,,,,,,,,,,
Pyrenacantha malvifolia,,,twiner,72,unassisted,72,,,,,500.00,53,,,,,,,,
Pyrenacantha sylvestris,,,,,,,,,,,,,,,,,,,,
Pyrenacantha vogeliana,,,,,,,,,,,,,,,,,,,,
Pyrenacantha volubilis,woody,9,twiner,75,animal,75,,,19.69,9,,,,,,,,,,
Pyrostegia venusta,herbaceous,12,,,wind,87,,,14.33,12,,,,,,,,,,
Quechualia fulta,,,,,,,,,,,,,,,,,,,,
Quintinia fawkneri,,,,,,,,,,,,,,,,,,,,
Randia altiscandens,,,,,,,,,,,,,,,,,,,,
Randia retroflexa,,,,,animal,"53,57",,,,,,,,,,,,,,
Raukaua laetevirens,,,,,animal,"53,57",,,,,,,,,,,,,,
Rhaphidophora africana,,,,,,,,,,,,,,,,,,,,
Rhaphidophora korthalsii,,,,,,,,,,,,,,,,,,,,
Rhaphiostylis beninensis,woody,83,twiner,72,unassisted,72,,,30.80,83,,,,,,,,,,
Rhaphiostylis ferruginea,,,,,,,,,,,,,,,,,,,,
Rhoicissus tridentata,woody,83,tendrils,72,unassisted,72,,,34.65,83,70.16,53,,,,,,,,
Rhynchosia phaseoloides,,,,,animal,"53,57",,,,,,,,,,,,,,
Rhynchosia pyramidalis,woody,5,twiner,5,animal,"53,57",,,52.50,5,74.00,53,,,,,,,,
Ripogonum album,herbaceous,27,twiner,27,berry,27,,,18.38,27,,,,,,,,,,
Ripogonum discolor,herbaceous,27,twiner,27,berry,27,,,6.78,"27,28",,,,,,,,,,
Ripogonum scandens,,,,,,,17.97289912,57,37.91,35,,,,,,,,,,
Ritchiea capparoides var. longipedicellata,,,,,,,,,,,,,,,,,,,,
Rivea hypocrateriformis,,,twiner,75,animal,75,,,,,,,,,,,,,,
Romanoa tamnoides,,,,,,,,,,,,,,,,,,,,
Rosa laevigata,woody,9,hooks,9,,,,,6.58,9,19.75,53,,,,,,,,
Rosa leschenaultiana,,,,,,,,,,,,,,,,,,,,
Rosa longicuspis,woody,9,hooks,77,animal,77,,,14.70,9,10.19,53,,,,,,,,
Rourea doniana,,,,,,,,,,,,,,,,,,,,
Rourea glabra,woody,5,twiner,5,aril,5,,,22.31,5,,,,,,,,,,
Rourea ligulata,,,,,,,,,,,,,,,,,,,,
Rourea minor,woody,9,,,,,,,18.38,9,284.00,53,,,,,,,,
Rourea pubescens,,,,,,,,,,,,,,,,,,,,
Rourea suerrensis,,,,,,,,,,,,,,,,,,,,
Rourea surinamensis,,,,,,,,,11.75,7,,,,,,,,,,
Rourea thomsonii,,,,,,,,,,,,,,,,,,,,
Rubus apetalus,woody,21,hooks,72,bird,21,,,27.30,21,2.58,53,,,,,,,,
Rubus australis,,,,,,,20.80387662,57,3.06,35,,,,,,,,,,
Rubus australis var. cissoides,,,,,,,14.71700372,57,24.46,35,7.60,53,,,,,,,,
Rubus australis var. schmidelioides,,,,,,,17.16705832,57,4.20,35,,,,,,,,,,
Rubus brasiliensis,,,,,,,,,,,,,,,,,,,,
Rubus corchorifolius,,,scrambler,9,drupe,9,,,22.31,9,0.50,53,,,,,,,,
Rubus ellipticus,woody,83,scrambler,9,drupe,9,,,33.60,9,0.50,53,,,,,,,,
Rubus fraxinifolius,,,scrambler,9,drupe,9,,,13.65,9,,,,,,,,,,
Rubus hillii,herbaceous,28,scrambler,28,aggregate berry,28,17.04664253,57,29.68,"16,28,57",0.85,53,,,,,,,,
Rubus idaeus,,,scrambler,9,drupe,9,24.65126663,57,41.26,"9,57",0.90,53,,,,,,,,
Rubus lasiotrichus,,,hooks,77,animal,77,,,,,,,,,,,,,,
Rubus moluccanus,herbaceous,28,scrambler,28,aggregate berry,28,,,38.68,28,0.85,53,,,,,,,,
Rubus moorei,herbaceous,28,scrambler,28,aggregate berry,28,25.5330154,57,13.52,"28,57",,,,,,,,,,
Rubus paniculatus,,,scrambler,9,drupe,9,,,67.20,9,,,,,,,,,,
Rubus rosifolius,herbaceous,28,scrambler,9,drupe,"9,57",23.95926416,57,2.72,"9,57",0.60,53,,,,,,,,
Rubus steudneri,woody,21,hooks,72,animal,21,,,65.52,21,,,,,,,,,,
Rubus urticifolius,,,,,,,,,,,1.00,53,,,,,,,,
Rubus utchinensis,,,,,,,,,,,,,,,,,,,,
Rubus wallichianus,,,hooks,77,animal,77,,,,,0.50,53,,,,,,,,
Rutidea olenotricha,woody,83,scrambler,83,animal,83,,,45.94,83,42.98,100,,,,,,,,
Rutidea orientalis,woody,83,scrambler,83,animal,83,,,41.26,83,32.63,100,,,,,,,,
Ruttya speciosa,,,,,,,,,,,,,,,,,,,,
Ruyschia enervia,,,,,,,,,,,,,,,,,,,,
Saba comorensis,woody,83,twiner,72,animal,72,,,62.61,83,636.41,53,,,,,,,,
Saba senegalensis,,,,,,,,,,,1232.00,53,,,,,,,,
Sabia schumanniana,woody,9,twiner,77,animal,77,,,14.00,9,,,,,,,,,,
Sabia yunnanensis,woody,9,twiner,77,drupe,9,,,23.80,9,,,,,,,,,,
Sabicea aspera,,,,,,,,,,,,,,,,,,,,
Sabicea velutina,,,,,,,,,,,,,,,,,,,,
Sabicea villosa,woody,5,twiner,5,berry,5,,,28.94,3,,,,,,,,,,
Sageretia filiformis,woody,12,hooks,12,drupe,12,,,13.48,12,,,,,,,,,,
Sageretia hamosa,woody,9,hooks,9,drupe,9,,,55.83,9,47.81,100,,,,,,,,
Sageretia thea,woody,9,twiner,72,drupe,9,,,3.64,9,,,,,,,,,,
Salacia adolfi,,,,,,,,,,,,,,,,,,,,
Salacia alata,,,,,,,,,,,,,,,,,,,,
Salacia aurantiaca,woody,9,scrambler,9,drupe,9,,,40.25,9,642.90,100,,,,,,,,
Salacia beddomei,,,,,,,,,,,,,,,,,,,,
Salacia chinensis,woody,9,scrambler,9,drupe,9,,,18.38,9,,,,,,,,,,
Salacia congolensis,woody,83,twiner,83,fleshy,83,,,40.25,83,,,,,,,,,,
Salacia cordata,,,,,animal,"53,57",6.507918059,57,223.97,22,,,,,,,,,,
Salacia disepala,woody,27,tendrils,27,drupe,27,,,48.13,27,1467.74,100,,,,,,,,
Salacia elegans,woody,83,scrambler,83,red,83,,,35.74,83,283.04,53,,,,,,,,
Salacia erecta,woody,83,scrambler,83,orange,83,,,18.25,83,,,,,,,,,,
Salacia leptoclada,woody,83,scrambler,83,red,83,10.76,57,24.62,57,,,,,,,,,,
Salacia multiflora,,,,,,,,,,,,,,,,,,,,
Salacia owabiensis,,,,,,,,,,,,,,,,,,,,
Salacia polysperma,woody,9,scrambler,9,drupe,9,,,54.86,9,,,,,,,,,,
Santaloides brachyandrum,woody,27,twiner,27,aril,27,,,27.52,27,85.60,100,,,,,,,,
Sarcopetalum harveyanum,herbaceous,27,twiner,27,berry,27,,,123.20,27,10.88,50,,,,,,,,
Sarcorhachis naranjoana,,,,,berry,86,,,,,,,,,,,,,,
Sarcostemma acidum,,,twiner,9,coma,9,,,0.02,9,7.67,100,,,,,,,,
Sarcostemma clausum,,,,,coma,86,,,,,,,,,,,,,,
Sarcostigma kleinii,,,,,,,,,,,,,,,,,,,,
Sarcostigma philippinense,,,,,,,,,,,,,,,,,,,,
Schefflera goetzenii,woody,83,roots,72,,,,,154.00,83,,,,,,,,,,
Schefflera myriantha,woody,83,roots,72,unassisted,72,,,245.00,83,,,,,,,,,,
Schefflera venulosa,,,,,,,,,,,,,,,,,,,,
Schisandra henryi,,,twiner,77,drupe,9,,,40.95,9,7.33,53,,,,,,,,
Schisandra repanda,,,,,animal,78,,,,,12.23,53,,,,,,,,
Schizophragma hydrangeoides,,,,,gravity,78,,,,,,,,,,,,,,
Schizophragma integrifolium,woody,9,roots,77,wing,9,,,78.40,9,0.22,53,,,,,,,,
Schlegelia brachyantha,,,,,wind,87,,,,,,,,,,,,,,
Schlegelia fastigiata,,,,,wind,87,,,,,,,,,,,,,,
Schubertia grandiflora,,,,,,,,,,,,,,,,,,,,
Sciadotenia cayennensis,,,,,,,,,,,,,,,,,,,,
Sciadotenia toxifera,,,,,drupe,74,,,,,,,,,,,,,,
Scindapsus officinalis,,,,,,,,,,,,,,,,,,,,
Scutia myrtina,woody,9,hooks,9,animal,72,,,7.98,9,24.57,53,,,,,,,,
Secamone elliptica,woody,27,twiner,27,coma,9,,,6.32,"9,27",28.64,100,,,,,,,,
Secamone emetica,,,twiner,75,wind,75,,,,,,,,,,,,,,
Secamone parvifolia,,,twiner,72,wind,72,,,,,,,,,,,,,,
Secamone punctulata,,,twiner,72,wind,72,,,,,15.08,53,,,,,,,,
Secondatia densiflora,,,,,,,,,,,,,,,,,,,,
Securidaca bialata,,,,,,,,,,,,,,,,,,,,
Securidaca divaricata,,,,,,,,,,,,,,,,,,,,
Securidaca diversifolia,woody,5,scrambler,5,wind,53,16.267098,57,20.85,"2,3,57",,,,,,,,,,
Securidaca hostmanii,,,,,,,,,,,,,,,,,,,,
Securidaca inappendiculata,,,,,,,,,,,,,,,,,,,,
Securidaca lanceolata,,,,,,,,,,,,,,,,,,,,
