species_name,seed_mass_max_Kew_2019_1,seed_mass_max_Mokany_2015,seed_mass_max_RBGK_2014,seed_mass_to_keep_max,seed_mass_mean_Kew_2019_1,seed_mass_mean_Mokany_2015,seed_mass_mean_RBGK_2014,seed_mass_to_keep_mean,original_name,seed_mass_unique
Carex archeri,NA,1.43,NA,keep,NA,1.43,NA,keep,Carex archeri,seed_mass_to_keep
Carex breviculmis,NA,1.43,NA,keep,NA,1.43,NA,keep,Carex breviculmis,seed_mass_to_keep
Carex diandra,NA,1.43,NA,keep,NA,1.43,NA,keep,Carex diandra,seed_mass_to_keep
Carex gaudichaudiana,1.12,1.12,NA,omit,0.95,1.12,NA,keep,Carex gaudichaudiana,seed_mass_to_keep
Carex gunniana,3.18,3.2,NA,keep,2.64,3.2,NA,keep,Carex gunniana,seed_mass_to_keep
Carex inversa,1.11,0.78,NA,keep,0.76,0.78,NA,keep,Carex inversa,seed_mass_to_keep
Carex iynx,1.54,2.24,NA,keep,1.54,2.24,NA,keep,Carex iynx,seed_mass_to_keep
Carex longibrachiata,NA,1.56,NA,keep,NA,1.56,NA,keep,Carex longebrachiata,seed_mass_to_keep
Carex polyantha,1.04,1.43,NA,keep,1.04,1.43,NA,keep,Carex polyantha,seed_mass_to_keep
Carex pseudocyperus,1.39,1.51,NA,keep,1.22,1.51,NA,keep,Carex fascicularis,seed_mass_to_keep
