taxon_name,authors
Potamogetonaceae,Author: H.B.S. Womersley
Potamogeton,"Author:Prepared by J.P. Jessop; Citation: L., Sp. Pl. 126 (1753)."
Potamogeton australiensis,"Citation: A. Bennett, J. Bot., Lond. 48:149 (1910)."
Potamogeton crispus,"Citation: L., Sp. Pl. 126 (1753)."
Potamogeton ochreatus,"Citation: Raoul, Annls Sci. nat., s r. 3, 2:117 (1844)."
Potamogeton pectinatus,"Citation: L., Sp. Pl. 127 (1753)."
Potamogeton tepperi,"Citation: A. Bennett, J. Bot., Lond. 25:178 (1887)."
Potamogeton tricarinatus,"Citation: F. Muell. & A. Bennett ex A. Bennett, J. Bot., Lond. 30:229 (1892)."
Ruppia,Author: H.B.S. Womersley
Ruppia maritima,"Citation: L., Sp. pl. 127 (1753)."
Ruppia megacarpa,Author: H.B.S. Womersley
Ruppia polycarpa,"Citation: R. Mason, New Zealand J. Bot. 5:524, figs 1 & 2 (1967)."
Ruppia tuberosa,Author: H.B.S. Womersley
Posidoniaceae,Author: H.B.S. Womersley
Posidonia,Author: H.B.S. Womersley
Posidonia angustifolia,Author: H.B.S. Womersley
Posidonia australis,Author: H.B.S. Womersley
Posidonia coriacea,"Citation: Cambridge & Kuo, Aquatic Bot. 20:285 (1984)."
Posidonia ostenfeldii,Author: H.B.S. Womersley
Posidonia denhartogii,"Citation: Kuo & Cambridge, Aquatic Bot. 20:277 (1984)."
Posidonia sinuosa,Author: H.B.S. Womersley
Zosteraceae,Author: H.B.S. Womersley
Zostera,Author: H.B.S. Womersley
Zostera muelleri,Author: H.B.S. Womersley
Zostera capricorni,Author: H.B.S. Womersley
Zostera mucronata,Author: H.B.S. Womersley
Heterozostera tasmanica,Author: H.B.S. Womersley
Zannichelliaceae,Author: H.B.S. Womersley
Lepilaena australis,"Citation: Drumm. ex Harvey, Hooker's J. Bot. Kew Gard. Misc. 7:58 (1855)."
Lepilaena bilocularis,"Citation: T. Kirk, Trans. N.Z. Inst. 28:500 (1896)."
Lepilaena cylindrocarpa,Author: H.B.S. Womersley
Lepilaena preissii,Author: H.B.S. Womersley
Lepilaena marina,Author: H.B.S. Womersley
Lepilaena patentifolia,"Citation: E. Robertson, sp. nov."
Zannichellia,"Citation: L., Sp. Pl. 969 (1753)."
Cymodoceaceae,Author: H.B.S. Womersley
Amphibolis,Author: H.B.S. Womersley
Amphibolis antarctica,Author: H.B.S. Womersley
Amphibolis griffithii,Author: H.B.S. Womersley
Najadaceae,Author:Prepared by J.P. Jessop
Najas,"Citation: L., Sp. Pl. 1015 (1753)."
Najas tenuifolia,"Citation: R. Br., Prod. Fl. Nov. Holl. 345 (1810)."
Liliaceae,Author:Prepared by J.P. Jessop except as indicated
Allium,Citation: L. Sp. Pl. 294 (1753).
Allium ampeloprasum,"Citation: L., Sp. Pl. 295 (1753)."
Allium neapolitanum,"Citation: Cyr., Pl. Rar. Neap. 1:13 (1788)."
Allium paniculatum,"Citation: L., Syst. Nat. edn 10:978 (1759)."
Allium roseum,"Citation: L., Sp. Pl. 296 (1753) subsp. bulbiferum (DC.) E. Warb. in Clapham, Tutin & E. Warb., Fl. Brit. Isles 1237 (1952)."
Allium scorodoprasum,"Citation: L., Sp. Pl. 297 (1753)."
Allium scorodoprasum rotundum,"Citation:  Stearn, Ann. Mus. Goulandris 4:178 (1978)."
Allium triquetrum,"Citation: L., Sp. Pl. 300 (1753)."
Allium vineale,"Citation: L., Sp. Pl. 299 (1753)."
Aloe,"Citation: L., Sp. Pl. 319 (1753)."
Aloe arborescens,"Citation: Miller, Gard. Dict. edn 8 (1768)."
Aloe saponaria,"Citation: Haw., Trans. Linn. Soc. 7:17 (1804)."
Arthropodium,"Citation: R. Br., Prod. Fl. Nov. Holl. 276 (1810)."
Arthropodium fimbriatum,"Citation: R. Br., Prod. Fl. Nov. Holl. 276 (1810)."
Arthropodium milleflorum,"Citation:  Macbride, Contr. Gray Herb. 56:2 (1918)."
Arthropodium minus,"Citation: R. Br., Prod. Fl. Nov. Holl. 276 (1810)."
Arthropodium strictum,"Citation: R. Br., Prod. Fl. Nov. Holl. 276 (1810)."
Asparagus,"Citation: L., Sp. Pl. 313 (1753)."
Myrsiphyllum asparagoides,"Citation:  Willd., Neue Schr. Ges. naturfFreund. Berl. 2:25 (1808)."
Myrsiphyllum declinatum,"Citation: Oberm., Bothalia 15:86 (1984)."
Asparagus officinalis,"Citation: L., Sp. Pl. 313 (1753)."
Protasparagus setaceus,"Citation: Oberm., S. Afr. J. Bot. 2:244 (1983)."
Asphodelus,"Citation: L., Sp. Pl. 309 (1753)."
Asphodelus fistulosus,"Citation: L., Sp. Pl. 309 (1753)."
Bulbine,"Citation: Willd., Enum. Hort. Berol. 372 (1809)."
Bulbine alata,"Citation: Baijnath, Brunonia l:117 (1978)."
Bulbine semibarbata,"Citation:  Haw., Rev. Pl. Succ. 33 (1921)."
Bulbine bulbosa,"Citation:  Haw., Rev. Pl. Succ. 33 (1821)."
Burchardia,"Citation: R. Br., Prod. Fl. Nov. Holl. 272 (1810)."
Burchardia umbellata,"Citation: R. Br., Prod. Fl. Nov. Holl. 273 (1810)."
Caesia,"Citation: R. Br., Prod. Fl. Nov. Holl. 277 (1810)."
Caesia vittata,"Citation: R. Br., Prod. Fl. Nov. Holl. 277 (1810)."
Caesia parviflora,"Citation: R. Br., Prod. Fl. Nov. Holl. 277 (1810)."
Calectasia,"Citation: R. Br., Prod. Fl. Nov. Holl. 263 ( 1810)."
Calectasia cyanea,"Citation: R. Br., Prod. Fl. Nov. Holl. 263 (1810) var. intermedia (Sonder) Anway, Aust. J. Bot. 17:158 (1969)."
Chamaescilla corymbosa,"Citation:  F. Muell. ex Benth., Fl. Aust. 7:48 (1878)."
Caesia lateriflora,"Citation: R. Br., ProdFl. Nov. Holl. 277 (1810)."
Dianella,"Author:Revised by R. J. F. Henderson; Citation: Lam. ex A.L. Juss., Gen. Pl. 41 (1789)."
Dianella revoluta,"Citation: R. Br., Prod. Fl. Nov. Holl. 280 (1810)."
Ipheion,"Citation: Raf., Fl. Tellur. 2:12 (1837)."
Ipheion uniflorum,"Citation:  Raft, Fl. Tellur. 2:12 (1836)."
Lachenalia,"Citation: Jacq. f., Nova Acta Helvet. 1:39 (1780-4)."
Lachenalia aloides,"Citation:  Hort., Notizbl. Bot. Gart. Berlin 2:321 (1899)."
Lachenalia bulbifera,"Citation:  Hort., Notizbl. Bot. Gart. Berlin 2:321 (1899)."
Laxmannia,"Citation: R. Br., Prod. Fl. Nov. Holl. 285 ( 1810)."
Laxmannia sessiliflora,"Citation: Decne., Nouv. Ann. Mus. Hist. Nat., Paris 3:500 (1834)."
Lomandra,"Citation: Labill., Nov. Holl. Pl. Sp. 1:92 (1805)."
Lomandra glauca,"Citation: Ewart, Proc. R. Soc. Vic. 28:219 (1916)."
Lomandra glauca collina,"Citation: A. Lee, Contr. N.S.W. natn. Herb. 4:257 (1972)."
Lomandra densiflora,"Citation: J. Black, Trans. R. Soc. S. Aust. 66:248 (1943)."
Lomandra effusa,"Citation:  Ewart, Proc. R. Soc. Vic. 28:219 (1916)."
Lomandra fibrata,"Citation: J. Black, Trans. R. Soc. S. Aust. 66:248 (1943)."
Lomandra juncea,"Citation:  Ewart, Proc. R. Soc. Vic. 28:220 (1916)."
Lomandra leucocephala,"Citation:  Ewart, Proc. R. Soc. Vic. 28:220 (1916) subsp. robusta A. Lee, Contr. N.S.W. natn. Herb. 3:161 (1962)."
Lomandra longifolia,"Citation: Labill., Nov. Holl. Pl. Sp. 1:92 (1805) subsp. longifolia."
Lomandra micrantha,"Citation: Ewart, Proc. R. Soc. Vic. 28:219 (1916)."
Lomandra multiflora,"Citation:  Britten in Banks & Sol., Ill. Aust. Pl. Cook's Voy. 3:95 (1905). Common_name: Manyflower mat-rush."
Lomandra dura,"Citation:  Ewart, Proc. R. Soc. Vic. 28:219 (1916)."
Lomandra glauca nana,"Citation: A. Lee, Contr. N.S.W. natn. Herb. 4:252 (1972)."
Lomandra sororia,"Citation:  Ewart, Proc. R. Soc. Vic. 28:219 (1916)."
Muscari,"Citation: Miller, Gard. Dict. edn 4 (1754)."
Muscari armeniacum,"Citation: Baker, Gdnrs' Chron. 9:798 (1878)."
Muscari comosum,"Citation: Miller, Gdnrs' Dict. edn 8 (1768)."
Nothoscordum,"Citation: Kunth, Enum. Pl. 4:457 (1843)."
Nothoscordum inodorum,"Citation:  Nicholson, Ill. Dict. Gard. 2:457 (1885)."
Ornithogalum,"Citation: L., Sp. Pl. 306 (1753)."
Ornithogalum arabicum,"Citation: L., Sp. Pl. 307 (1753)."
Ornithogalum pyrenaicum,"Citation: L., Sp. Pl. 306 (1753)."
Ornithogalum thyrsoides,"Citation: Jacq., Hort. Bot. Vind. 3:17 (1776)."
Ornithogalum umbellatum,"Citation: L., Sp. Pl. 307 (1753)."
Scilla,"Citation: L., Sp. Pl. 308 (1753). '"
Scilla hyacinthoides,"Citation: L., Syst. Nat. edn 12:243 (1767)."
Scilla peruviana,"Citation: L., Sp. Pl. 309 (1753)."
Stypandra,"Citation: R. Br., Prod. Fl. Nov. Holl. 278 (1810)."
Stypandra glauca,"Citation: R. Br., Prod. Fl. Nov. Holl. 279 (1810)."
Stypandra caespitosa,"Citation: R. Br., Prod. Fl. Nov. Holl. 279 (1810)."
Thysanotus,"Author:Prepared by N. H. Brittan; Citation: R. Br., Prod. Fl. Nov. Holl. 282 ( 1810)."
Thysanotus baueri,"Citation: R. Br., Prod. Fl. Nov. Holl. 283 (1810)."
Murchisonia volubilis,"Citation: Brittan, sp. nov."
Thysanotus exiliflorus,"Citation: F. Muell., Trans. R. Soc. S. Aust. 4:112 (1882)."
Thysanotus patersonii,"Citation: R. Br., Prod. Fl. Nov. Holl. 284 (1810)."
Thysanotus fractiflexus,"Citation: Brittan, Trans. R. Soc. S. Aust. 95:109 (1971)."
Thysanotus nudicaulis,"Citation: Brittan, d. Roy. Soc. W.A. 54:81 (1971)."
Thysanotus juncifolius,"Citation: J.H. Willis & Court, Muelleria 1:45 (1956)."
Thysanotus tenellus,"Citation: Endl. in Lehm., Pl. Preiss. 2:37 (1846)."
Thysanotus tuberosus,"Citation: R. Br., Prod. Fl. Nov. Holl. 282 (1810)."
Thysanotus tuberosus parviflorus,"Citation: Brittan, Brunonia 4:173 (1981)."
Thysanotus tuberosus tuberosus,"Citation: Ill. Brittan (1981) Brunonia 4:136, fig. 18d."
Thysanotus wangariensis,"Citation: Brittan, Trans. R. Soc. S. Aust. 102:55 (1978)."
Tricoryne,"Citation: R. Br., Prod. Fl. Nov. Holl. 278 ( 1810)."
Tricoryne elatior,"Citation: R. Br., Prod. Fl. Nov. Holl. 278 (1810)."
Wurmbea,"Author:Prepared by T. D. Macfarlane; Citation: Thunb., Nov. Gen. P1. 1:18 (1781)."
Wurmbea centralis,"Citation: T. Macfarl., Brunonia 3:188 (1980)."
Wurmbea dioica,"Citation: F. Muell., Fragm. Phyt. Aust. 10:119 (1877) subsp. dioica."
Wurmbea latifolia,"Citation: T. Macfarl., Brunonia 3:170 (1980)."
Wurmbea uniflora,"Citation: T. Macfarl., Brunonia 3:194 (1980)."
Xanthorrhoea,"Author:Prepared by D. J. Bedford; Citation: Smith, Trans. Linn. Soc. 4:219 (1798)."
Xanthorrhoea australis,"Citation: R. Br., Prod. FI. Nov. Holl. 288 (1810)."
Xanthorrhoea caespitosa,"Citation: Bedford, Fl. Aust. 46: unpubl. (1986)."
Xanthorrhoea minor,"Citation: R. Br., Prod. Fl. Nov. Holl. 288 (1810) subsp. Intea Bedford, Fl. Aust. 46: unpubl. (1986)."
Xanthorrhoea quadrangulata,"Citation: F. Muell., Fragm. Phyt. Aust. 4:111 (1864)."
Xanthorrhoea semiplana,"Citation: F. Muell., Fragm. Phyt. Aust. 4:111 (1864)."
Xanthorrhoea semiplana tateana,"Citation: Bedford, Fl. Aust. 46: unpubl. (1986)."
Xanthorrhoea thorntonii,"Citation: Tate, Rep. Horn Exped. 3:191 (1896)."
Agavaceae,Author:Prepared by J. P. Jessop
Agave,"Citation: L., Sp. Pl. 323 (1753)."
Agave americana,"Citation: L., Sp. Pl. 323 (1753)."
Agave americana picta,"Citation: A. Terrac., Primo Contr. Monograph. Agave (1885)."
Amaryllidaceae,Author:Prepared by J. P. Jessop
Amaryllis,"Citation: L., Sp. Pl. 292 (1753)."
Amaryllis belladonna,"Citation: L., Sp. Pl. 293 (1753)."
Calostemma,"Citation: R. Br., Prod. Fl. Nov. Holl. 298 (1810)."
Calostemma purpureum,"Citation: R. Br., Prod. Fl. Nov. Holl. 298 (1810)."
Calostemma luteum,"Citation: Sims, Curtis's Bot. Mag. 46:t. 2101 (1819)."
Crinum,"Citation: L., Sp. Pl. 291 (1753)."
Crinum flaccidum,"Citation: Herbert, Curtis's Bot. Mag. 47:t. 2121 (1820)."
Leucojum,"Citation: L., Sp. Pl. 289 (1753)."
Leucojum aestivum,"Citation: L., Syst. Nat. edn 10:975 (1759)."
Narcissus,"Citation: L., Sp. Pl. 289 (1753)."
Narcissus tazetta,"Citation: L., Sp. Pl. 290 (1753)."
Sternbergia,"Citation: Waldst. & Kit., Descript. Icon. Pl. Hung. 2:172 (1804)."
Sternbergia lutea,"Citation:  Kew Gawler ex Sprengel, Syst. Veg. 2:57 (1825) subsp. lutea."
Hypoxidaceae,Author:Prepared by J.P. Jessop
Hypoxis,"Citation: L., Syst. Nat. edn 10:986 (1759)."
Hypoxis glabella,"Citation: R. Br., Prod. Fl. Nov. Holl. 289 (1810)."
Hypoxis hookeri,"Citation: Geer., Bull. Jard. Bot. Nat. Belg. 39:79 (1969)."
Pontederiaceae,Author:Prepared by J.P. Jessop
Eichhornia,"Citation: Kunth, Eichhornia, genus novum (Diss.) (1842)."
Eichhornia crassipes,"Citation:  Solms in A. & C. DC., Monogr. Phanerog. 4:527 (1883)."
Iridaceae,Author:Prepared by D. A. Cooke
Babiana,"Citation: Ker Gawler, Curtisg Bot. Mag. 16:t. 576 (1802)."
Babiana stricta,"Citation: Ker Gawler, Curtisg Bot. Mag. 17:t. 621 (1803)."
Chasmanthe,"Citation: N.E. Br., Trans. R. Soc. S. Afr. 20:272 (1932)."
Chasmanthe floribunda,"Citation: N.E. Br., Trans. R. Soc. S. Afr. 20:274 (1932) var. floribunda."
Crocosmia,"Citation: Planchon, Fl. des Serres 7:161 & t. 702 (1851-2)."
Dierama,"Citation: K. Koch & C. Bouch , Index Sem. Hort. Berol. App. l0 (1854)."
Dierama pendulum,"Citation:  Baker, d. Linn. Soc. (Bot.) 16:99 (1877)."
Ferraria,"Citation: Burman ex Miller, Figs. Pl. 187 (1759)."
Ferraria crispa,"Citation: Burman, Acta Acad. Caes. Leop.Car. 2:199 (1761) subsp. crispa."
Freesia,"Citation: Klatt, Linnaea 34:672 (1866)."
Gladiolus,"Citation: L., Sp. Pl. 36 (1753)."
Gladiolus angustus,"Citation: L., Sp. Pl. 37 (1753)."
Gladiolus carneus,"Citation: Delaroche, Pl. Nov. Descr. 3:30, t. 4 (1766)."
Gladiolus communis,"Citation: L., Sp. Pl. 36 (1753) subsp. byzantinus (Miller) A.P. Ham., Bot. J. Linn. Soc. 76:358 (1978)."
Gladiolus floribundus,"Citation: Jacq., Collect. 4:162 (1791)."
Gladiolus tristis,"Citation: L., Sp. Pl. edn 2:53 (1762)."
Gladiolus undulatus,"Citation: L., Mant. 27 (1767)."
Homoglossum watsonium,"Citation: N.E. Br., Trans. R. Soc. S. Afr. 20:278 (1932)."
Hesperantha,"Citation: Ker Gawler, Ann. Bot.(Koenig & Sims) 1:224 (1804)."
Hesperantha falcata,"Citation: Ker Gawler, Ann. Bot.(Koentg & Sims) 1:225 (1804)."
Iris,"Citation: L., Sp. Pl. 38 (1753)."
Iris germanica,"Citation: L., Sp. Pl. 38 (1753)."
Iris orientalis,"Citation: Miller, Gard. Dict. edn 8 (1768)."
Iris unguicularis,"Citation: L stylosa Desf., Fl. Atlant. 1:40 (1798)."
Ixia,"Citation: L., Sp. Pl. edn 2:51 (1762)."
Ixia maculata,"Citation: L., Sp. Pl. edn 2:1664 (1763)."
Ixia paniculata,"Citation: Delaroche, Pl. Nov. Descr. 26 (1766)."
Ixia polystachya,"Citation: L., Sp. Pl. edn 2:51 (1762)."
Ixia viridiflora,"Citation: Lam., Encycl. 3:340 (1789)."
Moraea,"Citation: Miller, Figs. Pl. 159:t. 238 (1758)."
Moraea aristata,"Citation:  Asch. & Graebner, Syn. Mitteleur. Fl. 3:518 (1906)."
Moraea bellendenii,"Citation:  N.E. Br., Kew Bull. 1929:139 (1929)."
Homeria flaccida,"Citation: Sweet, Hort. Brit. 395 (1827)."
Moraea fugax,"Citation:  Jacq., Hort. Vind. 3:14 (1776)."
Homeria miniata,"Citation:  Sweet, Brit. Flower-gdn 2:t. 152 (1826)."
Homeria ochroleuca,"Citation: Salisb., Trans. Hort. Soc. London 1:308 (1812)."
Gynandriris setifolia,"Citation: Foster, Contr. Gray Herb. n.s. 114:40 (1936)."
Moraea vegeta,"Citation: L., Sp. Pl. edn 2:59 (1762)."
Orthrosanthus,"Citation: Sweet, Fl. Austr. t. 11 (1827)."
Orthrosanthus multiflorus,"Citation: Sweet, Fl. Austr. t. 11 (1827)."
Patersonia,"Citation: R. Br., in Ker Gawler, Curtis's Bot. Mag. 26:t. 1041 (1807)."
Patersonia fragilis,"Citation: Asch. & Graebner, Syn. Mitteleur. Fl. 3:522 (1906)."
Patersonia occidentalis,"Citation: R. Br., Prod. Fl. Nov. Holl. 304 (1810)."
Romulea,"Citation: Maratti, Pl. Rom. Sat. 13 (1772)."
Romulea minutiflora,"Citation: Klatt, Abh. nat. Ges. Halle 15:399 (1882)."
Romulea rosea,"Citation:  Ecklon, Top. Verz. 19 (1827) var. australis (Ewart) De Vos, Jl S. Afr. Bot. Suppl. 9:254 (1972)."
Sisyrinchium,"Citation: L., Sp. Pl. 1:954 (1753)."
Sisyrinchium iridifolium,"Citation: Kunth in Humb., Nov. Oen. 1:324 (1816)."
Sparaxis,"Citation: Ker Gawler, Ann. Bot.(Koenig & Sims) 1:225 (1804)."
Sparaxis bulbifera,"Citation:  Ker Gawler, Ann. Bot.(Koenig & Sims) 1:225 (1804)."
Sparaxis tricolor,"Citation:  Ker Gawler, Ann. Bot. (Koenig & Sims) 1:225 (1804)."
Synnotia villosa,"Citation:  N.E. Br., Kew Bull. 1929:133 (1929)."
Tritonia,"Citation: Ker Gawler, Curtis's Bot. Mag. 16:t. 581 (1802)."
Tritonia lineata,"Citation:  Ker Gawler, Ann. Bot. (Koenig & Sims) 1:228 (1804)."
Tritonia squalida,"Citation:  Ker Gawler, Curlis's Bot. Mag. 16:t. 581 (1802)."
Watsonia,"Citation: Miller, Figs. Pl. 2:184, t. 276 (1758)."
Watsonia pyramidata,"Citation:  Klatt in Durand & Schinz, Consp. Fl. Afr. 5:194 (1895)."
Watsonia marginata,"Citation: Ker Gawler, Curtis's Bot. Mag. 17:t. 608 (1802)."
Watsonia meriana,"Citation:  Miller, Figs. Pl. 2:184, t. 276 (1758)."
Watsonia bulbillifera,"Citation: J. Mathews & L. Bolus, Ann. Bol. Herb. 3:140 (1922)."
Juncaceae,Author:Prepared by J.P. Jessop
Juncus,"Citation: L., Sp. Pl. 325 (1753)."
Juncus acutus,"Citation: L., Sp. Pl. 325 (1753)."
Juncus amabilis,"Citation: Edgar, New Zealand J. Bot. 2:186, figs 7 & 21 (1964)."
Juncus aridicola,"Citation: L. Johnson in J. Black, Fl. S. Aust. 323 (1978)."
Juncus articulatus,"Citation: L., Sp. Pl. 327 (1753)."
Juncus australis,"Citation: Hook. f., Fl . Tasm. 2:66 (1858)."
Juncus bufonius,"Citation: L., Sp. Pl. 328 (1753)."
Juncus bulbosus,"Citation: L., Sp. PL 327 (1753)."
Juncus caespiticius,"Citation: E. Meyer in Lehm., Pl. Preiss. 2:47 (1846)."
Juncus capitatus,"Citation: Weigel, Obs. bot. 28 (1772)."
Juncus effusus,"Citation: L., Sp. Pl. 326 (1753)."
Juncus flavidus,"Citation: L. Johnson in J. Black, Fl. S. Aust. 326 (1978)."
Juncus holoschoenus,"Citation: R. Br., Prod. Fl. Nov. Holl. 259 (1810)."
Juncus prismatocarpus,"Citation: R. Br., Prod. Fl. Nov. Holl. 259 (1810)."
Juncus homalocaulis,"Citation: F. Muell. ex Benth., Fl. Aust. 7:128 (1878)."
Juncus kraussii,"Citation: Hochst., Flora 28:342 (1845)."
Juncus pallidus,"Citation: R. Br., Prod. Fl. Nov. Holl. 258 (1810)."
Juncus pauciflorus,"Citation: R. Br., Prod. Fl. Nov. Holl. 259 ( 1810)."
Juncus planifolius,"Citation: R. Br., Prod. Fl. Nov. Holl. 259 (1810)."
Juncus procerus,"Citation: E. Meyer, Linnaea 3:367 (1828)."
Juncus radula,"Citation: Buchen., Krit. Verzeichn. Juncac. 38 (1880)."
Juncus sarophorus,"Citation: L. Johnson, Contr. N.S.W. natn. Herb. 3:242 (1963)."
Juncus subnodulosus,"Citation: Schrank, Baiersche Fl. 1:616 (1789)."
Juncus subsecundus,"Citation: Wakef., Victorian Nat. 73:211 (1957)."
Juncus usitatus,"Citation: L. Johnson, Contr. N.S.W. natn. Herb. 3:241 (1963)."
Luzula,"Citation: DC., in Lam. & DC., Fl. Franc. edn 3, 1:198 (1805)."
Luzula densiflora,"Citation: Edgar, New Zealand J. Bot. 13:786 (1975)."
Luzula meridionalis,"Citation: Nordensk., Bot. Notis. 122:71 (1969)."
Luzula flaccida,"Citation: Edgar, New Zealand J. Bot. 13:786 (1975)."
Luzula australasica,"Citation: Steudel, Synops. Pl. glumac. 2:394 (1855)."
Commelinaceae,Author:Prepared by J.P. Jessop
Commelina,"Citation: L., Sp. Pl. 40 (1753)."
Commelina ensifolia,"Citation: R. Br., Prod. Fl. Nov. Holl. 269 (1810)."
Xyridaceae,Author:Prepared by J.P. Jessop
Xyris,"Citation: L., Sp. Pl. 42 (1753)."
Xyris operculata,"Citation: Labill., Nov. Holl. Pl. Sp. 1:14 (1805)."
Eriocaulaceae,Author:Prepared by J.P. Jessop
Eriocaulon,"Citation: L., Sp. Pl. 87 (1753)."
Eriocaulon carsonii,"Citation: F. Muell., Proc. Linn. Soc. N.S.W. 5:250 (1890)."
Restionaceae,Author:Prepared by C. Marsden
Leptocarpus brownii,"Citation: Hook. f., Fl. Tasm. 2:73 (1858)."
Restio tetraphyllus,"Citation: Labill., Nov. Holl. Pl. Sp. 2:77 (1806)."
Loxocarya fasciculata,"Citation:  Benth., Fl. Aust. 7:242 (1878)."
Empodisma,"Citation: L. Johnson & Cutler, Kew Bull. 28:383 (1974)."
Empodisma minus,"Citation: L. Johnson & Cutler, Kew Bull. 28:383 (1974)."
Restio complanatus,"Citation: R. Br., Prod. Fl. Nov. Holl. 245 (1810)."
Hypolaena,"Citation: R. Br., Prod. Fl. Nov. Holl. 251 (1810)."
Hypolaena fastigiata,"Citation: R. Br., Prod. Fl. Nov. Holl. 2,31 (1810)."
Lepidobolus,"Citation: Nees, in Lehm., Pl. Preiss. 66 (1846)."
Leptocarpus,"Citation: R. Br., Prod. Fl. Nov. Holl. 250 (1810)."
Leptocarpus tenax,"Citation: R. Br., Prod. Fl. Nov. Holl. 250 (1810)."
Lepyrodia,"Citation: R. Br., Prod. Fl. Nov. Holl. 247 ( 1810)."
Lepyrodia muelleri,"Citation: Benth., Fl. Aust. 7:215 (1878)."
Lepyrodia valliculae,"Citation: J. Black, Trans. R. Soc. S. Aust. 52:225 (1928)."
Centrolepidaceae,Author:Prepared by D. A. Cooke
Aphelia,"Citation: R. Br., Prod. Fl. Nov. Holl. 251 (1810)."
Aphelia gracilis,"Citation: Brizula gracilis (Sonder) Hieron., Abh. Naturf. Ges. Halle 12:206 (1873)."
Aphelia pumilio,"Citation: Annual 1-3 cm high; leaves subulate to linear, acute, 1-2 cm long, glabrous."
Centrolepis,"Citation: Labill., Nov. Holl. Pl. Sp. 1:7 (1804)."
Centrolepis aristata,Citation:  Roemer & Schultes Syst. Veg. 1:44 (1817).
Centrolepis cephaloformis,"Citation: Reader, Victorian Nat. 19:97 (1902)."
Centrolepis cephaloformis murrayi,"Citation:  D. Cooke, Muelleria 4:269 (1980)."
Centrolepis drummondiana,"Citation:  Walp., Ann. Bot. Syst. 1:896 (1849)."
Centrolepis eremica,"Citation: D. Cooke, sp. nov."
Centrolepis polygyna,"Citation:  Hieron., Abh. Naturf Ges. Halle 12:210 (1873)."
Centrolepis fascicularis,"Citation: Labill., Nov. Holl. Pl. Sp. 1:7 (1804)."
Centrolepis glabra,"Citation:  Hieron., Abh. Naturf. Ges. Halle 12:209 (1873)."
Centrolepis strigosa,"Citation:  Roemer & Schultes, Syst. Veg. 1:43 (1817)."
Hydatellaceae,Author:Prepared by D. A. Cooke
Trithuria,"Citation: Hook. fi, Fl. Tasm. 2:78 (1858)."
Trithuria submersa,"Citation: Hook. f., Fl.. Tasm. 2:79, t. 138A (1858)."
Gramineae,Author:Prepared by J.P. Jessop except where indicated
Agrostis,"Citation: L., Sp. Pl. 61 (1753)."
Agrostis capillaris,"Citation: L., Sp. Pl. 62 (1753) var. capillaris."
Agrostis gigantea,"Citation: Roth, Tent. Fl. Germ. 1:31 (1788)."
Aira,"Citation: L., Sp. Pl. 63 (1753)."
Aira caryophyllea,"Citation: L., Sp. Pl. 66 (1753) subsp. caryophyllea."
Aira cupaniana,"Citation: Guss., Fl. Sicul. Syn. 1:148 (1843)."
Aira elegantissima,"Citation: Schur, Verh. Mitt. Siebenb. Ver. Naturw. 4:85 (1853) subsp. elegantissima. Comm_name: Delicate hair-grass."
Alopecurus,"Citation: L., L., Sp. Pl. 60 (1753)."
Alopecurus myosuroides,"Citation: Hudson, Fl. Angl. 23 (1762)."
Alopecurus pratensis,"Citation: L., Sp. Pl. 60 (1753)."
Ammophila,"Citation: Host, Ic. Descr. Gram. Aust. 4:24 (1809)."
Ammophila arenaria,"Citation:  Link, Hort. Bot. Berol. 1:105 (1827)."
Amphibromus,"Author:Prepared by L. Lapinpuro; Citation: Nees, London J. Bot. 2:420 (1843)."
Amphibromus archeri,"Citation:  P. Morris, Victorian Nat. 51:146 (1934)."
Amphibromus macrorhinus,Citation: S.W.L. Jacobs & Lapinpuro m.s.
Amphibromus nervosus,"Citation: Druce, Rep. Botl Soc. Exch. Club Br. Isl. 1916:604 (1917)."
Amphibromus recurvatus,"Citation: Swallen, Amer. J. Bot. 18:415 ( 1931 )."
Amphipogon,"Citation: R. Br., Prod. Fl. Nov. Holl. 175 (1810)."
Amphipogon caricinus,"Citation: F. Muell., Linnaea 25:445 (1853)."
Amphipogon strictus,"Citation: R. Br., Prod. Fl. Nov. Holl. 175 (1810) var. setifer Benth., Fl. Aust. 7:598 (1878)."
Elymus scabrus,"Citation:   . L ve, Reprium nov. Spec. Regni veg. 95:468 (1984)."
Anthoxanthum,"Citation: L., Sp. Pl. 28 (1753)."
Anthoxanthum odoratum,"Citation: L., Sp. Pl. 28 (1753)."
Aristida,"Author:Prepared by B. K. Simon; Citation: L., Sp. Pl. 82 (1753)."
Aristida anthoxanthoides,"Citation:  Henrard, Meded. Herb. Leid. 54:29 (1926)."
Aristida arida,"Citation: B. Simon, Austrobaileya 2:87, fig. 1B (1984)."
Aristida australis,"Citation: B. Simon, Austrobaileya 2:88, fig. 1C (1984)."
Aristida behriana,"Citation: F. Muell., J. Trans. Vict. Inst. 1:44 (1835)."
Aristida biglandulosa,"Citation: J. Black, Trans. R.Soc. S. Aust. 57:146 (1933) var. biglandulosa."
Aristida capillifolia,"Citation: Henrard, Meded. Herb. Leid. 58A:298 (1932)."
Aristida contorta,"Citation: F. Muell., J. Trans. Vict. Inst. 1:44 (1855)."
