euclid_name,accepted_name,juvleaflength_min,juvleaflength_max,juvleaflength_unit,juvleafwidth_min,juvleafwidth_max,juvleafwidth_unit
corymbia_kombolgiensis,Corymbia kombolgiensis,4.5,9,cm,2,6,cm
corymbia_lamprophylla,Corymbia lamprophylla,6.5,13.5,cm,1,2,cm
corymbia_latifolia,Corymbia latifolia,8.5,22.5,cm,8,14,cm
corymbia_leichhardtii,Corymbia leichhardtii,6.5,16.5,cm,2.5,7,cm
corymbia_lenziana,Corymbia lenziana,4,10,cm,0.3,0.8,cm
corymbia_leptoloma,Corymbia leptoloma,8.5,20,cm,5,10,cm
corymbia_ligans,Corymbia ligans,8,14,cm,1.3,1.8,cm
corymbia_maculata,Corymbia maculata,7,19,cm,3,7.5,cm
corymbia_nesophila,Corymbia nesophila,4.8,12.5,cm,2.3,8,cm
corymbia_novoguinensis,Corymbia novoguinensis,NA,NA,NA,NA,NA,NA
corymbia_oocarpa,Corymbia oocarpa,5.5,9.5,cm,1.3,2,cm
corymbia_pachycarpa,Corymbia pachycarpa,4,13,cm,1.5,5,cm
corymbia_papillosa,Corymbia papillosa,3,10,cm,1.5,5,cm
corymbia_papuana,Corymbia papuana,5,19,cm,2.2,11,cm
corymbia_paractia,Corymbia paractia,5,11,cm,4,6,cm
corymbia_pauciseta,Corymbia pauciseta,NA,NA,NA,NA,NA,NA
corymbia_peltata,Corymbia peltata,6,21,cm,4,12,cm
corymbia_petalophylla,Corymbia petalophylla,7.5,14.5,cm,4,10,cm
corymbia_plena,Corymbia plena,NA,NA,NA,NA,NA,NA
corymbia_pocillum,Corymbia pocillum,NA,18,cm,NA,3,cm
corymbia_polycarpa,Corymbia polycarpa,NA,25,cm,1,4,cm
corymbia_polysciada,Corymbia polysciada,NA,NA,NA,NA,NA,NA
corymbia_porrecta,Corymbia porrecta,18,25,cm,11,17,cm
corymbia_ptychocarpa_subsp._aptycha,Corymbia ptychocarpa subsp. aptycha,6,30,cm,7,13,cm
corymbia_ptychocarpa_subsp._ptychocarpa,Corymbia ptychocarpa subsp. ptychocarpa,6,30,cm,7,13,cm
corymbia_rhodops,Corymbia rhodops,4.5,12,cm,1.5,3,cm
corymbia_scabrida,Corymbia scabrida,5,18.5,cm,4,5.5,cm
corymbia_serendipita,Corymbia serendipita,6,12,cm,1.2,1.8,cm
corymbia_setosa,Corymbia setosa,3.8,7.8,cm,1.7,3.3,cm
corymbia_sphaerica,Corymbia sphaerica,NA,8,cm,NA,5,cm
corymbia_stockeri_subsp._peninsularis,Corymbia stockeri subsp. peninsularis,9,14.5,cm,0.9,1.3,cm
corymbia_stockeri_subsp._stockeri,Corymbia stockeri subsp. stockeri,6,12,cm,1,2.8,cm
corymbia_terminalis,Corymbia terminalis,6,17,cm,1.2,4.5,cm
corymbia_tessellaris,Corymbia tessellaris,5.5,11,cm,1,2,cm
corymbia_torelliana,Corymbia torelliana,9,14.5,cm,6,10.5,cm
corymbia_torta,Corymbia torta,NA,NA,NA,NA,NA,NA
corymbia_trachyphloia,Corymbia trachyphloia,5,12,cm,1,3.5,cm
corymbia_umbonata,Corymbia umbonata,5.5,15,cm,2.5,5.5,cm
corymbia_watsoniana_subsp._capillata,Corymbia watsoniana subsp. capillata,15,21,cm,7,12.5,cm
corymbia_watsoniana_subsp._watsoniana,Corymbia watsoniana subsp. watsoniana,11.5,21,cm,5,9.5,cm
corymbia_xanthope,Corymbia xanthope,4.8,10,cm,0.7,2,cm
corymbia_zygophylla,Corymbia zygophylla,3.5,10,cm,1.5,4.5,cm
