apc_nosubsp,budlength_min,budlength_max,budwidth_min,budwidth_max,frtlength_min,frtlength_max,frtwidth_min,frtwidth_max,bud_n_min,bud_n_max,colours_all,flowering_time_all,leaflength_min,leaflength_max,leafwidth_min,leafwidth_max
Eucalyptus olivina,0.5,0.8,0.25,0.35,0.3,0.5,0.3,0.6,7,9,white_cream,NNYNNNNNNNNN,3.5,8.5,0.3,1
Eucalyptus olsenii,1,1.7,0.6,0.7,1.2,2.2,1.2,1.8,7,7,white_cream,NNNNNNNNNYYN,5,12,1,2
Eucalyptus ophitica,0.8,1,0.4,0.6,0.4,0.6,0.5,0.7,7,7,white_cream,NNNNNNNNNNNN,7.8,17,1.7,2.5
Eucalyptus opimiflora,1,1.5,0.4,0.7,0.5,0.8,0.7,1,7,15,white_cream,NNNNNYNNNNYN,5.5,12,0.8,2
Eucalyptus optima,1.6,2.4,0.6,0.8,0.7,1.1,0.8,1.2,7,9,white_cream,NNNNYNNYYNNN,8,17.5,1.5,3.4
Eucalyptus oraria,0.45,0.7,0.2,0.4,0.5,0.8,0.4,0.5,9,19,white_cream,NNNNYNNYYYNN,6.5,10,0.8,2.3
Eucalyptus orbifolia,0.8,1.3,0.6,1.2,0.3,1,0.8,1.5,3,7,yellow_orange,NNNYNYYNYNNN,2.5,5,1.3,5
Eucalyptus ordiana,0.7,1,0.4,0.6,0.4,0.8,0.5,0.7,7,7,white_cream,NNNYNNYNNNNN,6,9,2,8
Eucalyptus oreades,0.5,NA,0.3,0.4,0.5,1,0.6,1,7,7,white_cream,NYYNNNNNNNNN,7.5,18,1,3.2
Eucalyptus orgadophila,0.7,0.9,0.4,0.6,0.7,1.1,0.6,1,7,7,white_cream,NYNYYNYYYNNN,6.5,18,1,2.5
Eucalyptus ornata,1.5,2,0.6,0.9,0.5,1,1,1.7,9,11,white_cream,NNNNNNNNNNNN,7,12,1,2
Eucalyptus orthostemon,0.9,1.4,0.3,0.5,0.5,0.8,0.5,0.7,7,7,white_cream,YYNNNNNNNNNN,3,5.5,0.2,0.5
Eucalyptus ovata,0.5,1.1,0.4,0.9,0.3,1,0.4,1.3,7,7,white_cream,NNYYNYYYYYYN,7.5,18,1.6,6
Eucalyptus ovularis,0.45,0.8,0.25,0.4,0.4,0.6,0.4,0.5,9,13,white_cream,NNNNNYNYNNNN,6,10,0.5,1
Eucalyptus oxymitra,1.1,1.6,0.6,1.3,0.5,1.2,1,2.1,7,7,white_cream,YNNYNNYNNYNY,5.5,12.5,1.5,4
Eucalyptus pachycalyx,0.7,1.2,0.4,0.6,0.4,0.6,0.6,0.9,7,11,white_cream,NYNNNNNNNNNN,6,17,1.2,2.5
Eucalyptus pachyloma,0.7,1,0.6,0.9,0.7,1.1,1.2,1.7,7,13,white_cream,YNNNNNNNNYNY,5.8,10.8,0.7,1.3
Eucalyptus pachyphylla,1.8,3.2,1.3,2.5,0.6,1.5,1.6,3.5,3,3,yellow_orange,NNYYYYYYYNNY,6,11.5,2,4.5
Eucalyptus paedoglauca,0.7,NA,0.4,NA,0.5,0.7,0.5,0.7,7,7,white_cream,NNNNNNNNNNNN,8,14,1.7,3.2
Eucalyptus paliformis,0.5,NA,0.3,NA,0.6,0.8,0.5,0.7,7,7,white_cream,NNNNYYYNNNNN,7,13,0.9,2
Eucalyptus paludicola,1,1.3,0.7,0.9,0.8,1.3,0.9,1.5,7,7,white_cream,NNNNYNNNNYNY,8,21,2,4
Eucalyptus panda,0.4,0.7,0.3,0.4,0.4,0.6,0.5,0.7,7,7,white_cream,NNNNYYNYYYYN,5,11,0.8,2.2
Eucalyptus paniculata,0.5,1.3,0.4,0.7,0.4,1.3,0.4,1,7,7,white_cream,YNYNYYYYYYYY,5,18,1.2,3.7
Eucalyptus pantoleuca,1.4,2.5,1.3,2.2,0.9,1.5,1.5,2.4,3,3,white_cream,NNNNNNYNNNNN,9,15,7,16
Eucalyptus parramattensis,0.4,1.2,0.3,0.6,0.3,0.6,0.5,0.9,7,7,white_cream,NNNNNNNNNNYY,7,20,1.2,3
Eucalyptus parvula,0.4,NA,0.2,0.3,0.3,0.4,0.3,0.5,7,7,white_cream,YYYNNNNNNNNN,3,8,0.5,1.5
Eucalyptus patellaris,0.9,1.6,0.6,0.9,0.6,1.2,0.6,1.3,7,7,white_cream,YYNNNNNNNNYY,9.5,27,1.3,3.5
Eucalyptus patens,0.7,1.1,0.5,0.7,0.7,1.4,0.7,1.3,7,11,white_cream,YYNNNNNYNNYN,8,17,1.5,3
Eucalyptus pauciflora,0.4,1.2,0.3,0.6,0.5,1.3,0.5,1.5,9,15,white_cream,YYNYNNNYNYYY,5,20,1,5
Eucalyptus pellita,1.5,1.6,0.9,1,0.6,1.1,0.8,1.4,7,7,white_cream,YYNNNNNYYYYY,10,23,3,6.5
Eucalyptus pendens,0.7,1,0.5,0.7,1.1,2,1.3,1.6,9,11,white_cream,NNNNYNNYYYNN,5.5,10,1,1.8
Eucalyptus peninsularis,1.2,1.7,0.4,0.6,0.9,1.1,0.6,0.9,7,11,white_cream,NNNNNNNNNNNY,7,13,1,2.3
Eucalyptus perangusta,0.5,0.9,0.2,0.3,0.4,0.6,0.4,0.5,7,9,white_cream,NNNNNNNNNNNY,4,8,0.2,0.5
Eucalyptus percostata,0.8,1.2,0.6,0.7,0.6,0.8,0.5,0.9,7,7,white_cream,NNNNYYYYYNYN,7,12,1.2,2.5
Eucalyptus perriniana,0.6,0.7,0.4,0.5,0.4,0.6,0.5,0.8,3,3,white_cream,YYYNNNNNNNNN,7,16.5,1.2,5.2
Eucalyptus persistens,0.3,0.6,0.2,0.3,0.3,0.5,0.3,0.4,7,7,white_cream,NNNYYYYNYYNN,7,14,0.7,2
Eucalyptus petiolaris,1.1,1.7,0.7,1,1.1,1.7,1,1.5,3,3,red_brown white_cream,YNNNNNNYYYYN,8.5,15,1.2,2.5
Eucalyptus petraea,0.6,0.9,0.4,0.7,0.4,1,0.5,1,7,7,white_cream,YYYYYYYYYNNN,8,14.5,1.5,3.5
Eucalyptus petrensis,1,1.5,0.4,0.6,0.5,0.8,0.7,1,9,15,white_cream,NNNYNYNNYYYN,7,12.7,1,2.8
Eucalyptus phaenophylla,1.2,1.9,0.3,0.5,0.5,0.9,0.5,0.7,11,13,white_cream yellow_orange,YYYYNNNYYYYY,4.3,8,0.7,2
Eucalyptus phenax,0.7,1.3,0.4,0.6,0.4,1,0.5,1,7,9,white_cream,YYYYYNNNNYYY,5,12,0.8,3.5
Eucalyptus phoenicea,0.8,1.9,0.5,0.8,1.9,3,0.9,1.3,7,7,yellow_orange,NYNYYYYYYNYN,6.5,14,1.2,3
Eucalyptus pilbarensis,0.9,1.4,0.45,0.6,0.8,1.2,0.6,0.9,7,7,white_cream,NNYNNNYNNNNN,6,11.7,1,2.2
Eucalyptus pileata,0.7,1.2,0.5,0.8,0.6,1,0.7,0.8,7,7,white_cream,NNNNNNYNNYYN,6.5,14,0.7,2.5
Eucalyptus pilularis,0.6,1,0.3,0.5,0.5,1.1,0.7,1.2,7,15,white_cream,YYYYNNYNYYYY,7.5,17,1.2,3.2
Eucalyptus pimpiniana,2,3.3,0.7,1,1.4,2,0.9,1.2,9,15,yellow_orange,YNNNNNYNNYNN,6.5,14,1.7,3.3
Eucalyptus piperita,0.5,0.7,0.2,0.3,0.5,0.8,0.4,0.8,9,15,white_cream,YYNYYNNNNNYY,7,20,1.2,4.7
Eucalyptus placita,0.6,0.7,0.3,0.4,0.5,0.9,0.5,0.7,7,7,white_cream,NNNYNYNNYYNN,6,12,1.5,3.5
Eucalyptus planchoniana,2,2.9,0.8,1,1.7,2.8,1.6,2.6,7,7,white_cream,NNNNNNNNNYYY,8,26,1.5,3.5
Eucalyptus platycorys,0.8,1.7,0.6,1,0.8,1.1,0.8,1.1,3,3,white_cream,NYNNYNYYYYNN,7,14,0.8,2.3
Eucalyptus platydisca,1.2,1.7,0.8,1,0.7,1.4,1.1,1.6,7,7,white_cream,NNNYNNNNNNNN,6.2,12.3,0.7,1.8
Eucalyptus platyphylla,0.6,0.9,0.5,0.7,0.3,0.6,0.6,1,7,7,white_cream,NNNNNYYYYYNN,5,21,3.5,12
Eucalyptus platypus,2.5,3.2,0.6,0.9,1,1.9,0.9,1.3,7,7,yellow_orange green red_brown,YYNNNNNNNNNY,3,8.2,1.5,4
Eucalyptus pleurocarpa,0.8,1.3,0.5,0.9,1.2,2.2,1.4,2,3,3,white_cream,YYNYNNNNNYYY,4.5,14,2.5,7
Eucalyptus pluricaulis,1.7,2.8,0.3,0.5,0.7,1.1,0.5,0.7,9,11,white_cream,NNYYYYYYNNNN,5,10.5,0.7,2.5
Eucalyptus polita,0.6,0.7,0.4,NA,0.4,0.5,0.4,0.7,7,11,white_cream,NNNNNNNNNNNN,7,12,0.7,1.5
Eucalyptus polyanthemos,0.3,0.6,0.2,0.4,0.3,0.6,0.3,0.6,7,7,white_cream,YNNNNYYYYYYY,3,15.5,1.5,6.3
Eucalyptus polybractea,0.4,0.6,0.3,0.4,0.4,0.7,0.3,0.5,7,11,white_cream,NNYYYYYYNNYN,6,17,0.4,2
Eucalyptus populnea,0.3,0.5,0.2,0.3,0.2,0.4,0.2,0.4,7,15,white_cream,YYYNYNNYYYYY,4,11,1.8,5
Eucalyptus porosa,0.4,0.7,0.3,0.5,0.4,0.7,0.4,0.8,7,7,white_cream,YYYYYNYNYYYY,5,12,0.8,2.3
Eucalyptus praetermissa,1.1,1.5,0.25,0.4,0.6,0.8,0.4,0.6,9,15,white_cream,YNNNNNNNNNYN,5,10,1,2
Eucalyptus prava,1,1.5,0.4,0.6,0.3,0.8,0.5,1,7,7,white_cream,YNNNNNNNNNNN,5.5,16,1.5,3.7
Eucalyptus preissiana,1.5,2.6,1.3,1.8,1.1,2.7,2,5.3,3,3,yellow_orange,NNNNNNNNYYYN,6.2,13.5,2.5,7.3
Eucalyptus prolixa,1.1,1.5,0.4,0.5,1,1.5,0.4,0.7,7,7,white_cream,NNNNNNYNYYYY,6,9.5,0.7,1.4
Eucalyptus prominens,0.7,1.1,0.5,0.8,0.6,1.1,0.7,1,7,9,white_cream,NNNNNNNYYYNN,8,14.5,0.7,2.2
Eucalyptus propinqua,0.3,0.5,0.3,NA,0.2,0.4,0.4,0.6,7,15,white_cream,YYYYNNNNNNNY,6,17,1.5,2.5
Eucalyptus protensa,2.9,4,0.6,0.9,0.6,0.8,0.8,1.3,7,7,yellow_orange,NNNNNNNNYYYN,5,12.5,0.7,1.7
Eucalyptus provecta,0.3,0.5,0.2,0.3,0.3,0.5,0.35,0.5,7,7,white_cream,YNNNYYYNNYNN,6.5,13,0.8,2
Eucalyptus proxima,0.8,1.5,0.5,0.9,0.9,1.3,0.8,1.4,7,7,red_brown yellow_orange,NNNNNNNNYYYN,4.7,8.5,1.5,2.3
Eucalyptus pruiniramis,1.1,1.6,0.5,0.7,0.8,1.2,0.8,1,7,11,white_cream,NNNNNNNNNNNN,8.5,12.5,1.5,3.3
Eucalyptus pruinosa,0.6,1.2,0.3,0.5,0.5,1.3,0.4,0.8,7,7,white_cream,YNYYYYYYNYYY,4.7,16,2.2,10.5
Eucalyptus psammitica,0.6,0.7,0.3,0.5,0.7,0.9,0.8,0.9,7,15,white_cream,NNNNNNNNNYYN,7,18,1.2,3
Eucalyptus pterocarpa,2,2.5,1,1.3,1.2,1.5,1.4,2.3,7,7,white_cream,NNNNNNNNNYNN,8,13.5,1.5,2.5
Eucalyptus pulchella,0.3,0.6,0.2,0.3,0.4,0.6,0.5,0.7,9,20,white_cream,NYYNNNNNNNYY,3.3,12,0.3,1
Eucalyptus pulverulenta,0.9,1.1,0.4,0.7,0.5,1,0.6,1.1,3,3,white_cream,NNNNYYYYYYYN,1.5,10,2,5
Eucalyptus pumila,0.7,1.1,0.4,0.6,0.4,0.6,0.7,0.9,7,7,white_cream,NYNYNYNYNNNN,5,16,1,3
Eucalyptus punctata,0.6,0.9,0.4,0.9,0.4,0.9,0.6,1,7,7,white_cream,YYYNYNNNNNNY,6,18,1.4,3.7
Eucalyptus purpurata,1.1,1.5,0.4,0.5,0.5,0.6,0.6,0.7,7,11,white_cream,NNNNNNNNNNYN,4.5,9.5,0.6,1.6
Eucalyptus pyriformis,3.2,6,2,3,2.5,4,3,5.5,3,3,red_brown yellow_orange,NNNNYNYYYNYN,5.5,9.5,1.5,3
Eucalyptus pyrocarpa,0.9,1.3,0.6,0.7,1,1.5,0.9,1.7,7,11,white_cream,NYYNNNNYNNNN,9,24,1.5,4
Eucalyptus quadrangulata,0.4,0.7,0.3,NA,0.4,0.5,0.4,0.6,7,7,white_cream,NYYYNNNNNNNN,10.5,19,1,2.2
Eucalyptus quadrans,0.5,0.7,0.3,0.6,0.6,0.9,0.4,0.7,7,7,white_cream,NNNNYNNYYNYN,5.5,10.5,0.5,1.5
Eucalyptus quadricostata,0.8,1.2,0.4,0.6,0.6,1.3,0.6,1,7,7,white_cream,YNNNNNYNNNNN,8,18,1.2,3.6
Eucalyptus quaerenda,0.4,0.6,0.3,0.4,0.4,0.5,0.5,0.7,7,7,white_cream,NNNNNNNNYNNN,5.5,9,0.4,0.7
Eucalyptus racemosa,0.3,0.5,0.2,0.3,0.3,0.6,0.4,0.7,7,15,white_cream,YYYNNNYYYYYY,6.5,20,1,3.5
Eucalyptus radiata,0.3,0.6,0.2,0.3,0.3,0.6,0.4,0.7,9,20,white_cream,YYNNNNNNNYYY,4.5,18,0.6,2.7
Eucalyptus rameliana,2.5,3.7,1.5,2.7,1.2,1.7,2.3,3.5,1,1,red_brown yellow_orange,NNNNYNNNNYNN,5,11,2.3,5
Eucalyptus raveretiana,0.3,0.4,0.15,0.2,0.05,0.15,0.15,0.3,7,7,white_cream,NYNNNNYNNNNN,8,17.2,1,3.5
Eucalyptus ravida,0.8,1.3,0.5,0.6,0.4,0.7,0.6,1,7,7,white_cream,NNYNYNNNNNYY,5.8,13,0.8,2.3
Eucalyptus recta,1.5,2.5,0.6,0.9,0.6,0.9,1,1.4,9,11,white_cream,YYNNYNNNNNNN,7,14.5,1,2.3
Eucalyptus recurva,0.4,0.5,0.3,0.4,0.3,NA,0.4,0.6,3,3,white_cream,YNNNNNNNNNNN,1,3.2,0.4,0.8
Eucalyptus redunca,1.6,2.6,0.3,0.5,0.7,1.1,0.5,0.8,9,11,yellow_orange,NNNNNNYNNNNN,5,7.5,0.7,2.5
Eucalyptus regnans,0.4,0.7,0.2,0.4,0.5,0.8,0.4,0.7,9,15,white_cream,YYYYYNNNNNNY,9,23,1.5,5
Eucalyptus relicta,0.6,1,0.4,0.7,0.4,0.6,0.7,0.8,7,13,white_cream,YYNNNNNNNNNN,8.8,18,1.5,3
Eucalyptus remota,0.4,0.6,0.3,0.4,0.6,1,0.5,1,9,19,white_cream,YYNNNNNNNNYY,7.5,15,2,4
Eucalyptus repullulans,0.8,1.2,0.5,0.6,0.7,1.2,0.7,0.9,7,13,white_cream,NNNNYNNNNNNN,6.2,13.5,1,2.8
Eucalyptus resinifera,1,1.9,0.3,0.7,0.3,0.8,0.6,1,7,11,white_cream,YNNNNNNNNNYY,6,18,1.3,3.6
Eucalyptus retinens,0.7,1,0.3,0.5,0.5,1,0.7,1,7,7,white_cream,NNNNNNNNNNNN,9,30,1,4
Eucalyptus retusa,NA,NA,NA,NA,0.8,NA,0.7,1,13,19,green,NNNNNNNNNNNN,3,5.5,1.4,2.1
Eucalyptus rhodantha,2.8,5.3,2.3,3.7,1.6,2.8,3.3,4.5,1,1,red_brown,NYNNYNYYYNNN,4.5,9,3,7.5
Eucalyptus rhombica,0.8,1.4,0.5,0.6,0.7,1,0.7,1,7,7,white_cream,YNYNNNNNYNYN,9,15,1.5,3.5
Eucalyptus rhomboidea,1.2,NA,0.6,NA,0.7,0.8,0.7,0.9,7,7,yellow_orange,NNNNNNNNYYNN,8,15.5,1.5,3.5
Eucalyptus rigens,1.2,1.5,0.6,1,0.9,1.3,0.8,1.3,3,3,white_cream,NNNNNNNYNNNN,6.5,12.5,1,2.2
Eucalyptus rigidula,0.8,1.2,0.3,0.5,0.4,0.8,0.5,0.8,9,11,white_cream,YYYYYNNNNNNY,4.7,10,0.4,1.7
Eucalyptus risdonii,0.4,0.7,0.3,0.5,0.6,1,0.6,0.9,9,15,white_cream,YNNNNNNNNNYY,2,10,2,5
Eucalyptus robusta,1.6,2,0.6,0.9,1,1.6,0.7,1.1,9,15,white_cream,NNNNYNYYYYNN,8.5,17,2.5,7
Eucalyptus rodwayi,0.4,0.6,0.2,0.35,0.2,0.5,0.4,0.6,7,11,white_cream,YYYNNNNNNNNY,5,13.5,0.7,2
Eucalyptus rosacea,1.1,1.7,0.6,0.7,0.3,0.5,0.6,1.2,7,7,red_brown white_cream,NNNNNNNNNNNY,6,12,0.5,1
Eucalyptus rossii,0.3,0.5,0.2,0.3,0.3,0.6,0.4,0.6,9,15,white_cream,YYNNNNNNYYYY,5.5,15,0.8,2.5
Eucalyptus rowleyi,0.5,0.6,0.3,0.5,0.5,1,0.4,0.7,7,9,white_cream,NNNNNNNNNNYN,7.5,14.7,1,2.5
Eucalyptus roycei,1.4,2.1,0.8,1.1,1.5,3,1.5,3,7,9,white_cream,YYYNNNNNNNNN,6.5,14,1.8,3
Eucalyptus rubida,0.5,0.9,0.3,0.5,0.3,0.8,0.4,0.8,3,3,white_cream,YYYYNNYNNYYY,8,22,0.8,3.4
Eucalyptus rubiginosa,0.8,1.1,0.4,0.7,0.6,0.9,0.9,1.2,9,11,white_cream,NNNNNNNNYYYN,7,15,1,3
Eucalyptus rudderi,0.3,NA,0.2,0.3,0.3,0.4,0.4,0.5,7,7,white_cream,NNYYNNNNNNNN,7,13,1.2,2.5
Eucalyptus rudis,0.8,1.5,0.4,0.9,0.4,0.8,0.7,1.4,7,11,white_cream,NNYNNNYYYYYN,7,18,1,3.5
Eucalyptus rugosa,0.8,1.2,0.5,0.8,0.6,1.1,0.6,1,7,11,white_cream,YYYNNNNNYNNY,5,12,0.7,3
Eucalyptus rugulata,1.5,2.2,0.7,0.9,0.7,1.2,0.8,1.2,7,7,white_cream,NNNNNNNNNNYN,7.5,11,1.3,2.3
Eucalyptus rummeryi,0.4,0.6,0.2,0.3,0.3,0.5,0.3,0.5,3,7,white_cream,NNNNNNNNNNYY,8,17,1,3
Eucalyptus rupestris,0.4,NA,0.3,NA,0.3,0.5,0.3,0.4,7,7,white_cream,NNNNYNNNNNNN,3.7,7.5,1,2.5
Eucalyptus sabulosa,0.5,0.7,0.3,0.4,0.3,0.4,0.4,0.6,7,7,white_cream,NYYYNNNNNNNN,7.5,16,1,2
Eucalyptus salicola,0.5,0.9,0.25,0.4,0.2,0.5,0.3,0.4,7,11,white_cream,YYYNNNNNNNNN,3.5,10.5,0.4,1.2
Eucalyptus saligna,0.5,1,0.3,0.5,0.4,0.9,0.4,0.7,7,11,white_cream,YYYYNNNNNNNN,9,19,1.5,4
Eucalyptus salmonophloia,0.4,0.7,0.3,0.4,0.3,0.5,0.4,0.5,9,13,white_cream,YYYNYNNYYYYY,6,12,0.6,1.7
Eucalyptus salubris,0.6,1.2,0.3,0.7,0.3,0.6,0.5,0.7,7,7,white_cream,YYYNNNNYYYYY,6.5,10.5,0.7,1.5
Eucalyptus sargentii,1.6,2.6,0.4,0.5,0.6,1.2,0.5,0.9,7,7,white_cream,NNNNNNNYNYYN,4.5,12.5,0.5,1.4
Eucalyptus saxatilis,0.9,1,0.8,0.9,0.7,1.1,0.8,1.4,3,3,white_cream,NNYNNNNYNNNN,5.5,20,0.7,2
Eucalyptus scias,1,1.9,0.7,1.3,0.5,1,1,1.8,3,7,white_cream,YYNNNNNNNNNN,7,20,2,6
Eucalyptus scoparia,0.4,0.5,0.3,0.4,0.3,0.5,0.4,0.6,7,7,white_cream,NNNNNNNNNNYN,6,16,0.5,1.5
Eucalyptus scopulorum,0.7,0.9,0.35,0.45,0.6,0.9,0.5,0.7,7,7,white_cream,NNNNNNNNNYNN,6,11,1.5,3.8
Eucalyptus scyphocalyx,0.8,1.2,0.6,0.8,0.8,1.2,0.7,1.1,3,7,white_cream,NA,6,10.5,1,2
Eucalyptus seeana,1,1.6,0.3,0.5,0.2,0.5,0.5,0.8,7,11,white_cream,NNNNNNNNNNYY,5,20,1,2.5
Eucalyptus semiglobosa,0.8,1.1,0.6,0.8,0.8,1,1,1.4,7,11,white_cream,NNNNNYNNNYYY,7.5,15,1.7,3.8
Eucalyptus semota,0.4,0.6,0.3,0.5,0.4,0.5,0.4,0.5,7,9,white_cream,NNNNNNNNNNNN,6,9,0.4,1.2
Eucalyptus sepulcralis,1.2,1.7,0.5,0.9,NA,NA,2,2.5,7,7,white_cream,YNNNNNNNNNYY,5,11.5,0.8,1.3
Eucalyptus serraensis,0.6,1.5,0.5,1,0.6,1.7,1,2,3,7,white_cream,NYNYYYYYYYYY,5,13,2,7
Eucalyptus sessilis,1.8,2.5,1,1.6,0.6,1.3,1.3,2.3,7,7,yellow_orange,NNYNYYYNNNNN,6,15,1.7,6.2
Eucalyptus sheathiana,0.6,1.2,0.4,0.7,0.5,1,0.5,0.8,7,7,white_cream,YYYNNNNNNNNY,7.5,13.3,0.8,1.8
Eucalyptus shirleyi,0.8,1,0.4,0.6,0.6,1,0.5,1,7,7,white_cream,YNNYNYNNNNNN,5,13,3,8
Eucalyptus sicilifolia,0.5,0.6,0.3,0.4,0.4,0.7,0.4,0.6,7,7,white_cream,NNNNNNNYNYNN,6.5,12,0.7,1.6
Eucalyptus siderophloia,0.5,1,0.3,0.4,0.3,0.8,0.4,0.7,7,7,white_cream,YNNNYNYNYYYY,8.5,17.5,1.5,3
Eucalyptus sideroxylon,0.6,1.5,0.4,0.6,0.5,1.1,0.5,1,7,7,red_brown white_cream,YYNYYYYYYYYY,5,14,1,4
Eucalyptus sieberi,0.3,0.5,0.3,0.4,0.6,1.1,0.6,0.9,7,15,white_cream,YNNNNNYYYYYY,8.5,19.5,1.2,3.8
Eucalyptus similis,0.8,1.2,0.4,0.5,0.8,1.5,0.6,1.3,7,7,white_cream,NNNNNNNNNNNY,8.5,18,1,3.5
Eucalyptus singularis,1.5,2.5,0.5,0.6,1,1.5,0.8,1.4,7,7,white_cream,NNNNNNNNNNYY,5.5,13,0.6,2
Eucalyptus sinuosa,NA,NA,NA,NA,NA,NA,NA,NA,11,25,green,NNNNNNNNNNYN,5,7.5,0.4,0.7
Eucalyptus smithii,0.4,0.6,0.3,0.4,0.3,0.6,0.4,0.8,7,7,white_cream,YNNNYNNNNNNY,6,21,0.7,1.6
Eucalyptus socialis,0.8,2,0.3,0.8,0.4,1.2,0.4,1,9,13,white_cream,YYNYYYYYYYYY,5,14,1,3
Eucalyptus sp. Kalbarri (M.I.H.Brooker 7937),0.7,1.4,0.3,0.5,0.5,0.8,0.5,0.8,9,11,white_cream,NNNNNNNNNNNN,6.5,10.5,0.8,1.5
Eucalyptus sp. Mulga Rock (K.D.Hill & L.A.S.Johnson KH 2668),0.8,NA,0.3,NA,0.4,NA,0.4,0.5,7,9,NA,NNNNNNNNNNNN,4,7.5,0.4,0.8
Eucalyptus sp. Southern wheatbelt (D.Nicolle & M.French DN 5507),0.7,1.3,0.4,0.7,0.6,1.1,0.7,0.9,9,13,white_cream,NNNYNNNNYYYN,5.5,10.5,0.9,2.2
Eucalyptus sparsa,0.4,0.6,0.3,0.4,0.4,0.7,0.5,0.7,7,7,white_cream,NNNNNNYYYNNN,7,10,1.3,2.5
Eucalyptus sparsifolia,0.4,0.6,0.2,NA,0.3,0.5,0.5,0.7,9,15,white_cream,YYYYYYNNYNNY,7,13.5,1,2.2
Eucalyptus spathulata,0.9,1.3,0.3,0.4,0.4,0.8,0.5,0.7,3,7,white_cream,YYNNNNNNNYNN,3.5,9.5,0.2,0.7
Eucalyptus sphaerocarpa,0.7,0.9,0.4,0.5,0.9,1.2,1,1.3,7,11,white_cream,NNNNNNNNYNNN,7.5,15,1.2,3.5
Eucalyptus splendens,0.5,NA,0.2,0.3,0.5,0.6,0.5,0.8,7,7,white_cream,NNNNNNNNNNNN,10,25,1.5,2.5
Eucalyptus sporadica,1.3,2.8,0.3,0.7,0.6,1.5,0.7,1,7,7,white_cream,YNYNNYYYYYYN,5,10,0.8,1.8
Eucalyptus spreta,0.7,1.1,0.4,0.5,0.4,0.7,0.4,0.7,7,7,white_cream,NNYNNNNNNNNN,7,13,0.7,2
Eucalyptus squamosa,0.6,1.1,0.3,0.5,0.4,0.7,0.6,0.8,7,11,white_cream,NNYNNNNYYYYY,6,13,0.9,2
Eucalyptus staeri,1.3,2,0.5,0.7,1.4,2.3,1.6,2.2,7,15,white_cream,NNNNNNNNYNYY,8,12.5,1.8,3.5
Eucalyptus staigeriana,0.6,0.7,0.3,0.4,0.4,0.7,0.4,0.7,7,7,white_cream,NYNNNNNNNNNY,4,11,1.2,3.2
Eucalyptus steedmanii,2,3.2,0.9,1.4,1.4,2,1.3,2.2,3,3,white_cream,YYYNNNNNNNNN,3,8.5,0.6,1.5
Eucalyptus stellulata,0.4,0.6,0.2,NA,0.3,0.5,0.3,0.5,9,15,white_cream,NYYYYNNNNNNN,4.7,11,0.9,3.2
Eucalyptus stenostoma,0.5,0.6,0.3,0.4,0.7,1.2,0.6,1.2,13,19,white_cream,NNNNNNNNYNNY,9,19.5,1,3
Eucalyptus stoatei,2.9,5.5,1.3,2.5,2.2,4,1.8,3,1,1,yellow_orange,YYNNNNNNYNYN,5,8,1.7,3.5
Eucalyptus stowardii,2.2,3.9,0.6,1,1.2,1.8,0.9,1.5,7,7,white_cream,NNNNNYNYYNNN,6,13.8,1.2,3.3
Eucalyptus striaticalyx,0.8,1.3,0.4,0.7,0.6,1,0.5,0.9,7,13,white_cream,YNNNNNNNNNNN,8,15,0.7,2.5
Eucalyptus stricklandii,2,2.5,0.8,1.2,1,1.8,1,1.5,7,7,yellow_orange,NNNNNNNNNNYY,10.5,18.5,2,3
Eucalyptus stricta,0.6,0.9,0.4,0.5,0.6,1,0.6,1.1,7,7,white_cream,YYYYNYNYYNNY,6,11,0.6,1.6
Eucalyptus strzeleckii,0.5,0.7,0.3,0.4,0.3,0.5,0.5,0.7,7,7,white_cream,NNNNNNNNYYYN,7.5,21.5,1.4,3.3
Eucalyptus sturgissiana,0.6,0.7,0.4,0.5,0.3,0.6,0.5,0.7,7,7,white_cream,YNNNYNNNNNNN,5,10,0.7,1.2
Eucalyptus subangusta,0.5,1,0.2,0.4,0.3,0.7,0.3,0.6,9,17,white_cream,NYYYYNYYYYYN,4.5,12,0.5,1.8
Eucalyptus subcrenulata,0.6,0.8,0.4,0.6,0.5,0.7,0.5,0.9,3,3,white_cream,YYYYYNNNNNYY,5.2,13.5,2,4.5
Eucalyptus suberea,0.6,NA,0.4,NA,0.6,0.8,0.7,1,11,20,white_cream,NNNNNNNNYNNN,5.5,10,0.8,1.7
Eucalyptus subtilis,0.6,0.8,0.2,0.3,0.4,0.6,0.3,0.5,9,11,white_cream,NNNNYNNNYNNN,4.5,8,0.3,0.7
Eucalyptus suffulgens,0.7,1,0.4,0.5,0.7,1.3,0.5,1,7,7,white_cream,NNNYYNYYYNNN,8,16,1.5,2.5
Eucalyptus suggrandis,1.1,2,0.4,0.7,0.6,1.5,0.5,0.9,3,7,white_cream,NNNNNNNNNNNN,3.3,8.5,0.3,2.5
Eucalyptus surgens,0.9,1.2,0.5,0.7,0.6,0.9,0.7,1,3,7,white_cream,NNNNNNNNNYNN,5,11.5,1,2.2
Eucalyptus sweedmaniana,5,NA,3.5,NA,3.4,3.8,3,4.1,1,1,red_brown,YNNNNNNNNNNN,16.5,26.3,4.5,6.7
