taxon,mean time to germinate,quickest time to germinate,longest time to germinate,times sown,recommended pretreatment
Solanum symonii,32,28,40,3,SMK
Solenostemon scutellarioides,12,8,15,2,
Sollya fusiformis,42,29,57,10,SMK
Sondottia connata,10,5,14,3,
Sowerbaea laxiflora,35,20,70,10,SMK
Spartochloa scirpoidea,24,22,25,2,
Sphaerolobium fornicatum,32,20,48,9,
Sphaerolobium grandiflorum,25,17,32,4,
Sphaerolobium macranthum,26,19,47,9,
Sphaerolobium scabriusculum,45,0,0,1,
Sphenotoma gracile,60,32,121,5,SMK
Spinifex hirsutus,32,0,0,1,
Spinifex longifolius,31,20,42,2,
Spyridium globulosum,47,29,54,7,HW
Stackhousia monogyna,42,20,76,11,
Stemodia grossa,24,12,50,7,
Stemodia lythrifolia,50,50,50,1,
Stenopetalum pedicellare,16,13,19,4,
Stenopetalum sphaerocarpum,7,4,9,7,
Stirlingia latifolia,29,7,63,3,
Stirlingia simplex,37,35,39,2,
Stirlingia tenuifolia,62,40,104,3,
Strangea cynanchocarpa,35,22,59,15,
Strangea stenocarpoides,28,22,34,2,
Streptoglossa cylindriceps,11,8,13,4,
Streptoglossa decurrens,15,11,19,2,
Streptoglossa liatroides,17,5,48,9,
Streptoglossa macrocephala,22,10,29,6,
Stylidium affine,45,15,75,2,SMK
Stylidium amoenum,55,21,74,7,SMK
Stylidium brunonianum,54,21,75,7,SMK
Stylidium bulbiferum,47,15,74,8,SMK
Stylidium caricifolium,49,43,55,2,SMK
Stylidium ciliatum,56,32,123,5,SMK
Stylidium crassifolium,57,0,0,1,SMK
Stylidium crossocephalum,48,21,82,3,SMK
Stylidium diuroides,47,0,0,1,SMK
Stylidium divaricatum,64,15,112,2,SMK
Stylidium diversifolium,37,0,0,1,SMK
Stylidium junceum,53,20,91,10,SMK
Stylidium leptocalyx,82,0,0,1,SMK
Stylidium scandens,44,19,56,5,SMK
Stylobasium australe,40,8,72,6,
Stylobasium spathulatum,43,21,79,6,
Stypandra glauca,44,21,59,5,
Swainsona canescens,11,4,31,13,HW
Swainsona colutoides,10,4,21,15,HW
Swainsona cyclocarpa,10,7,13,2,HW
Swainsona decurrens,9,4,18,9,HW
Swainsona formosa,8,1,27,32,HW
Swainsona forrestii,9,6,15,6,HW
Swainsona kingii,11,8,17,6,HW
Swainsona maccullochiana,7,3,18,13,HW
Swainsona microphylla,10,7,12,2,HW
Swainsona oroboides,12,8,15,2,HW
Swainsona pterostylis,9,3,18,10,HW
Swainsona stenodonta,12,4,31,6,HW
Swainsona stipularis,15,6,31,7,HW
Swainsona unifoliolata,15,7,31,4,HW
Swainsona villosa,14,6,31,5,HW
Synaphea favosa,77,0,0,1,
Synaphea petiolaris,56,34,77,2,
Taxandria floribunda,13,12,14,4,
Taxandria juniperina,38,15,114,13,
Taxandria linearifolia,19,11,45,8,
Taxandria marginata,23,13,35,7,
Taxandria spathulata,34,20,49,7,SMK
Templetonia battii,15,0,0,1,HW
Templetonia retusa,17,6,47,24,HW
Tephrosia bidwillii,50,8,153,6,
Tephrosia coriacea,20,20,20,1,
Tephrosia eriocarpa,17,0,0,1,
Tephrosia flammea,11,6,31,13,
Tephrosia rosea,11,5,50,24,
Tephrosia stipuligera,8,0,0,1,
Tephrosia uniovulata,14,0,0,1,
Terminalia canescens,26,16,35,4,
Terminalia grandiflora,35,0,0,1,
Terminalia platyphylla,17,0,0,1,
Tetragonia tetragonoides,19,15,22,2,
Tetratheca efoliata,60,0,0,1,SMK
Tetratheca hirsuta,34,31,35,3,SMK
Tetratheca setigera,46,39,56,4,SMK
Themeda triandra,3,3,3,1,
Thomasia angustifolia,43,23,101,6,
Thomasia foliosa,38,0,0,1,
Thomasia glutinosa,60,0,0,1,
Thomasia macrocarpa,32,22,69,14,
Thomasia quercifolia,23,23,23,1,
Thomasia solanacea,69,0,0,1,
Thomasia tenuivestita,20,20,20,1,
Thomasia triphylla,34,28,43,6,
Threlkeldia diffusa,19,6,39,11,
Thryptomene australis,57,36,72,9,SMK
Thryptomene baeckeacea,104,0,0,1,SMK
Thryptomene denticulata,50,26,96,14,SMK
Thryptomene elliottii,46,22,93,8,SMK
Thryptomene hyporhytis,74,38,176,7,SMK
Thryptomene johnsonii,42,25,58,2,SMK
Thryptomene mucronulata,48,31,72,5,SMK
Thryptomene racemulosa,208,0,0,1,SMK
Thryptomene saxicola,63,35,168,8,SMK
Thryptomene strongylophylla,56,45,76,4,SMK
Thryptomene urceolaris,52,40,72,6,SMK
Thysanotus arenarius,16,14,18,2,SMK
Thysanotus asper,59,35,108,4,SMK
Thysanotus dichotomus,36,28,45,9,SMK
Thysanotus manglesianus,18,17,19,2,SMK
Thysanotus multiflorus,30,20,40,17,SMK
Thysanotus patersonii,31,15,46,14,SMK
Thysanotus sparteus,34,15,63,8,SMK
Thysanotus spiniger,29,26,31,4,SMK
Thysanotus tenellus,62,0,0,1,SMK
Thysanotus triandrus,34,30,47,5,SMK
Toona ciliata,32,32,32,1,
Trachymene ceratocarpa,19,0,0,1,
Trachymene coerulea,18,7,39,17,SMK
Trachymene cyanopetala,16,12,20,9,SMK
Trachymene didiscoides,25,0,0,1,SMK
Trachymene glaucifolia,19,8,8,2,SMK
Trachymene ornata,16,13,20,7,SMK
Trachymene pilosa,25,4,4,2,SMK
Trianthema pilosa,46,0,0,1,
Trianthema triquetra,14,14,14,1,
Tribonanthes australis,65,55,103,5,
Tribulus astrocarpus,27,0,0,1,
Tribulus hirsutus,19,11,29,4,
Tribulus hystrix,12,10,14,2,
Tribulus occidentalis,18,14,31,5,
Tribulus platypterus,23,15,30,4,
Trichanthodium skirrophorum,7,4,9,3,Light
Trichocline spathulata,32,19,43,7,
Trichodesma zeylanicum,12,8,19,16,
Tricoryne elatior,23,0,0,1,
Triglochin centrocarpum,7,0,0,1,
Triglochin minutissimum,7,0,0,1,
Triglochin striatum,26,0,0,1,
Triodia basedowii,8,5,22,7,
Triodia bynoei,5,5,5,1,
Triodia danthonioides,6,5,7,2,
Triodia irritans,8,8,8,1,
Triodia lanigera,24,18,28,3,
Triodia pungens,17,3,36,6,
Triodia rigidissima,5,5,5,1,
Triodia schinzii,29,28,29,2,
Tripterococcus brunonis,57,0,0,1,
Triumfetta appendiculata,19,18,19,2,
Triumfetta chaetocarpa,23,8,40,8,
Triumfetta plumigera,21,17,30,3,
Trymalium ledifolium,38,0,0,1,HW
Trymalium spatulatum,37,32,46,3,HW
Typha domingensis,12,0,0,1,
Urodon capitatus,18,9,41,9,
Urodon dasyphyllus,14,9,19,6,
Velleia discophora,30,21,38,2,SMK
Velleia panduriformis,20,20,20,1,SMK
Velleia paradoxa,39,15,77,5,SMK
Velleia rosea,13,7,53,12,SMK
Velleia trinervis,15,10,19,11,SMK
Verreauxia reinwardtii,61,42,80,2,
Verticordia brachypoda,70,0,0,1,SMK
Verticordia brownii,66,45,98,10,SMK
Verticordia chrysantha,42,24,74,20,SMK
Verticordia chrysostachys,30,0,0,1,SMK
Verticordia densiflora,63,32,98,11,SMK
Verticordia drummondii,55,37,73,4,SMK
Verticordia etheliana,55,37,73,6,SMK
Verticordia fimbrilepis subsp.  fimbrilepis  ,68,68,68,1,SMK
Verticordia forrestii,46,30,61,2,SMK
Verticordia grandiflora,94,0,0,1,SMK
Verticordia grandis,30,24,36,2,SMK
Verticordia helmsii,74,0,0,1,SMK
Verticordia huegelii,62,44,72,3,SMK
Verticordia insignis,12,0,0,1,SMK
Verticordia lepidophylla,72,0,0,1,SMK
Verticordia mitchelliana,64,0,0,1,SMK
Verticordia monadelpha,61,44,86,13,SMK
Verticordia muelleriana,57,43,72,6,SMK
Verticordia multiflora,61,50,71,2,SMK
Verticordia nitens,89,42,146,15,SMK
Verticordia oculata,62,39,89,5,SMK
Verticordia penicillaris,74,0,0,1,SMK
Verticordia pennigera,59,45,73,2,SMK
Verticordia pholidophylla,58,30,73,9,SMK
Verticordia picta,53,41,70,5,SMK
Verticordia plumosa,103,30,151,3,SMK
Verticordia roei,52,0,0,1,SMK
Verticordia serrata,124,67,180,2,SMK
Verticordia spicata,56,38,74,5,SMK
Villarsia albiflora,38,0,0,1,GA
Villarsia calthifolia,41,40,41,4,GA
Villarsia latifolia,40,32,54,4,GA
Viminaria juncea,22,11,34,12,
Vittadinia triloba,13,9,17,2,
Wahlenbergia gracilenta,19,11,40,8,
Wahlenbergia preissii,17,13,20,6,
Waitzia acuminata,10,3,59,16,
Waitzia nitida,8,4,15,18,
Waitzia podolepis,7,5,10,3,
Waitzia suaveolens,10,5,13,12,
Wedelia asperrima,8,0,0,1,
Westringia rigida,31,27,34,3,
Xanthorrhoea brevistyla,37,26,42,3,SMK
Xanthorrhoea gracilis,49,26,165,8,SMK
Xanthorrhoea nana,42,22,57,5,SMK
Xanthorrhoea preissii,33,22,49,8,SMK
Xanthorrhoea thorntonii,31,20,57,4,SMK
Xanthosia atkinsoniana,87,0,0,1,SMK
Xanthosia rotundifolia,91,53,145,3,SMK
Xerochrysum bracteatum,8,3,21,22,
Xylomelum angustifolium,30,15,45,9,
Xylomelum occidentale,44,32,71,12,
Zygophyllum aurantiacum,21,14,49,7,
Zygophyllum fruticulosum,20,10,59,11,
Zygophyllum glaucum,27,13,40,6,
Zygophyllum iodocarpum,31,14,38,5,
Zygophyllum ovatum,24,16,30,3,
